SMILES,TARGET
CCC(C)N,7.36
ClC=C(Cl)Cl,19.86
CCC(C)CC(C)C(C)C,30.28
ClC(Cl)Cl,10.22
O=C(O)C(Cl)Cl,61.47
O=Cc1ccccc1,38.21
FC(Cl)(Cl)Cl,3.64
CCC(C)(C)OC,15.93
CCC(C(C)C)C(C)C,26.63
CCCCC(C)(C)CCC,29.83
CCCCC(C)C,16.44
CC(C)(C)C,4.71
C=O,0.016
CC(C)CNCC(C)C,27.49
CCC(CC)C(C)(C)CC,31.01
C=C(Cl)Cl,6.37
CCC(C)O,12.01
ClCC1CO1,15.22
O=Cc1ccco1,32.62
CCCCCCCCS,37.85
ClC(Cl)=C(Cl)Cl,39.17
CCCC(CCC)C(C)C,30.09
Cc1ccc2ccccc2n1,53.84
C#CCO,5.65
Cc1ccccc1C(C)C,36.37
CCl,0.05
CCCCCC=O,21.54
CCCN(CCC)CCC,32.1
CCc1cccc(CC)c1,36.52
O=C1CCCO1,35.07
CCCCCCCCC(=O)OCCCC,42.9
CCCCC(CC)CO,38.53
CN(C)CCO,24.42
CC(C)(C)CC(C)(C)C,24.72
Cc1cc(C)cc(C)c1,33.42
CCC(C)(C)CC,16.09
COC(=O)CCl,23.2
CC(C)(C)NC=O,37.06
ClC=CCl,6.93
Cc1ccc(C)cc1,27.37
ClCCl,2.51
CCCCCCCO,36.45
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],45.01
CCCSCC,22.58
CCCCl,5.36
Cc1ccccc1Cl,37.73
FCCF,0.02
CCCC(C)C,10.46
C=CCCCCCCCCCCCC,38.94
CC(N)CN,15.4
CCCCCC(=O)O,43.98
CCCCCCCCCCCCCC,33.96
BrCCBr,46.84
C=CC#N,3.48
Cc1cccc(N)c1,42.4
O=C(O)C(F)(F)F,2.71
C1=CCCC=C1,12.18
CCC(C)OC(C)CC,25.54
C=C(C)CCC,10.62
Cc1cccc(O)c1,45.63
Cc1ccccc1,20.07
CCI,19.99
CCCCC(C)C(C)C,26.79
c1ccc2c(c1)CCCC2,42.99
CCOCc1ccccc1,39.69
CC(C)CCC(C)C(C)C,29.75
CCCCOCCCC,28.04
CCCCN=C=O,19.49
CCOc1ccccc1,37.32
C1CN1,0.47
C=CCCC=C,10.16
CCC(C)S,14.12
CCC(CC)CC(C)C,26.16
CC(=O)OC(C)=O,22.33
CC(C)C(C)(C)C(C)(C)C,31.55
C#CCCCCC,16.73
ClC(Cl)(Cl)Br,40.63
CC(C)CCC(C)C,21.11
CCCCC(C)CC(C)C,29.58
CCCCCC(C)CC,27.08
CCCCCCc1ccccc1,41.05
ClCC=CCCl,36.645
CC(C)CCCl,18.01
Nc1ccccc1,0.74
CCCC(C)CCC,22.32
CC=O,0.27
CCCCCCOCCCCCC,39.1
CCCOC,4.77
C=CCCCCCCCC,31.29
CCCCC(=O)O,38.02
CC(C)c1cccc(C(C)C)c1,39.43
Cc1cccc2ccccc12,49.21
Fc1c(F)c(F)c(F)c(F)c1F,24.54
CCCCCCC(C)=O,34.87
CS,0.29
CCCCCC(C)(C)CC,30.26
CC1C=CCC1,10.24
CCCCCC(C)O,31.89
CS(C)=O,32.05
CCOC(=O)CC(C)C,28.46
OCC1CCCO1,36.14
C=C(C)C(C)=O,13.14
CCC(C)(C)S,19.51
C=C(C)CC,5.33
CCC(C)c1ccccc1,35.45
CCCC,2.28
CCCC#N,9.83
CCC(Cl)Cl,16.48
C1CCNCC1,15.77
OCCCl,14.43
S=C=S,1.85
CC(C)CCCC(C)C,25.95
CCC(C)(CC)CC,22.47
CCCCCl,11.69
C=CCCCCC,16.9
CC(C)(C)OC(C)(C)C,23.91
CCCC(CC)CC(C)C,29.81
CCCOCCO,27.75
CC=CCC,5.685
O=C1CCCCCO1,45.3
C1COCCO1,9.99
FC(F)(F)C(F)(F)Cl,2.61
CCCCC(C)CCC,26.89
CCC(C)C(C)(C)CC,27.12
CCc1ccc(C)cc1,32.75
CNCCO,25.53
CC=CC(=O)O,33.21
COCC(=O)O,51.0
C=COCCCC,17.17
