SMILES,TARGET
C1CCOCC1,1.4205
CCCCCCCCCO,1.4319
CCC(CC)CC(C)(C)C,1.4107
NCCN,1.455765
CCCCCCCCCCC=O,1.4288
C=CCCCCCCCCCCCCCCC,1.441
CCCCCCCCCCC1CCCCC1,1.4514
ICI,1.738
CCOCC,1.3495
CN(C)C,1.3443
CN,1.3491
C=CCCCCCCC,1.4133
CCCCC=O,1.3917
CC(F)F,1.2434
CCCC1CCCC1,1.4239
CCC(C)C(C)(CC)CC,1.4244
FCC(F)(F)F,1.0007
CCC(C)C(C)CC,1.4018
C=CCBr,1.4603
FC(F)(Cl)C(F)(F)Cl,1.288
c1ccc2ncccc2c1,1.6248
CCCCS,1.4403
CC=CCCCC,1.4031
CCOC(C)=O,1.3704
CCCC(C)(C)C(C)(C)C,1.426
CC(C)CCC(C)C,1.39
C=C=CCC,1.4177
CCCCCCCBr,1.4481
CCSCC,1.4402
C1=Cc2ccccc2C1,1.574
CC#CCCC,1.4109
CCCCNCCCC,1.4152
CCCCCS,1.4444
CC(=O)OCCC(C)C,1.3981
FC(F)Cl,1.256
CC=C(C)CC,1.3988
ClC=C(Cl)Cl,1.475
C1CCOC1,1.405
C=C(C)C1CC=C(C)CC1,1.4701
CCOC(C)(C)C,1.3745
CCC(C)(C)C(C)(C)CC,1.4346
CC1CCC(=O)O1,1.4321
OCC#CCO,1.45
CC1=CCC2CC1C2(C)C,1.4632
CCC(C)(C)C(C)C,1.4052
CCCCCCC1CCCCC1,1.4441
CCC(C)C(C)(C)CC,1.4154
CC(Cl)CCl,1.4368
O=C1CCCO1,1.4348
FC1(F)C(F)(F)C(F)(F)C1(F)F,1.217
CC(C)(C)NC=O,1.4275
CC(C)C(C)(C)C(C)(C)C,1.4341
COCCOCCOCCOC,1.4209
CCCCCCCCO,1.4276
C1=CCCCC1,1.4438
ClCCl,1.4212
CCC(C)(C)Cl,1.4023
CCCC(C)(C)CC,1.3978
COC(C)=O,1.3589
CCCCCCCCl,1.4248
C=C(C)Cl,1.392
CCCC(C)(C)CC(C)C,1.412
CCCC,1.3292
CCCCCC(C)=O,1.4066
C1CCCNCC1,1.4641
CCC(C)CC(C)(C)CC,1.4147
CCCCC(CC)COC(C)=O,1.4173
C=CCCCCCCCCCCC,1.4312
COCCOC,1.3781
FC(Cl)Cl,1.354
C#CCCCCCCCC,1.4249
CCCNCCC,1.4018
CCCCC,1.3547
CCC(C)(C)C(C)(C)C,1.4214
COCCOCCOCCO,1.437365
CCOP(=O)(OCC)OCC,1.4036
CCC(C)CC(C)(C)C,1.401
O=C1CCCN1C1CCCCC1,1.49825
CCC(=O)CC,1.39
C1CCC2CCCCC2C1,1.4674
CC(C)(C)Cl,1.3828
ClCC1CO1,1.4358
CCCCCCCCCCCC(=O)O,1.4401
CCC(C)(C)O,1.4024
CCCCCCC,1.3851
CCCCC(C)C(C)(C)C,1.4145
CCCCCCl,1.4104
CCC(C)C(C)C(C)(C)C,1.4193
C=CC(=O)OCCCC,1.4156
CC(C)C(C)O,1.4075
CCCC(C)CO,1.4172
CCC(=O)C(C)C,1.3958
CC1=CCC(C(C)C)C=C1,1.4691
CCCCCOC(C)=O,1.4028
CCCCC(C)CCC,1.4039
CCCCCC(CC)CC,1.4138
CCCCCCCCCCN,1.4352
Cc1ccsc1,1.5176
CBr,1.4187
CCCCCCCCOCCCCCCCC,1.4305
OCC1CCCO1,1.4499
CCCCCCCCCCCCC,1.4235
CCCCCCCSC,1.4525
OCC(O)CO,1.473
CC(=O)CO,1.4251
CCOC(=O)OCC,1.3829
FC(F)(F)C(Cl)Br,1.3961
CCCCCc1ccc2ccccc2c1,1.5675
CO,1.3265
CC=C(C)C,1.3842
CC(O)C(C)O,1.431
CC(C)CCC(C)C(C)C,1.4108
CCCCOC(=O)CCC,1.4029
Cc1cc(C)nc(C)c1,1.4959
CC=CCCC,1.3927
CCCOCCC,1.378
CCCCC(C)=O,1.3987
CC(C)CS,1.436
CCCCC(C)C,1.3823
CC(=O)CCC(C)C,1.4047
C=CC#CC,1.449
CCC(C(C)C)C(C)(C)C,1.4199
C=CCCCCC,1.3971
C#CC=C,1.4161
COC(C)(C)C,1.3663
CCCCSC,1.4452
ClCCCCl,1.446
CCC(Cl)Cl,1.4266
CCCCOC=O,1.3874
C=CC=CC,1.4298
CCOC(=O)CC(C)C,1.3975
CCC(C)CO,1.4086
CCCCCCCC(=O)OCC,1.41686
Cc1ccc2cccc(C)c2c1,1.6054
CCCC(C)(CC)CCC,1.4187
CCCCc1ccc2ccccc2c1,1.5747
CC(F)(F)F,1.206
CCCCCCCN,1.4228
CCO,1.3594
CC(c1ccccc1)c1ccccc1,1.5702
CCCSCC,1.4435
C=CCCl,1.4118
CCCCCCCCCN,1.4318
CCCCOC(C)=O,1.3918
CC1CCCC1,1.407
CCCCCCCC(C)O,1.429
CCC(C)(C)CCC(C)C,1.4126
CC(O)CCO,1.439
CC(Br)C(C)(C)Br,1.5078
CCCCC(C)C(C)CC,1.4159
CCCCCCCCCCCCC=O,1.4348
C=CC(C)CCC,1.3938
CCOC(=O)C(F)(F)F,1.3083
c1ccc(C2CCCCC2)cc1,1.5239
CCCCOCC,1.3793
CCCCCC(C)CC,1.404
ClC(Cl)(Cl)Cl,1.4573
CCF,1.2621
ClCBr,1.4808
CNC1CCCCC1,1.453
COCCOCCO,1.4245
CCCC(C(C)C)C(C)C,1.4172
CC(C)CCO,1.4052
CCl,1.3362
CC=CCCCCC,1.4107
C=CCCC,1.3684
CCCCCCCCCCCCO,1.4413
C1=CCOC1,1.434
CCC(CC)CCC(C)C,1.4111
C[N+](=O)[O-],1.3796
CCOC(=O)CCC(=O)OCC,1.419835
CC(=O)CC(C)C,1.3933
CC(C)CCCCC(C)C,1.4062
CCCCOC(=O)C=CC(=O)OCCCC,1.4435
CCCCCCCCCCCCCCCCSC,1.4621
CCC(C)N,1.3907
O=C1CCCC1,1.43585
CC(=O)OC1CCCCC1,1.4416
ClC(Cl)Cl,1.4431
COC,1.2964
CC(=O)C=C(C)C,1.4414
COCOC,1.3504
CC(O)C(=O)O,1.4392
CC(I)CI,1.62
CCC(C)C(C)C(C)CC,1.4206
C1COCCO1,1.4202
CC(=O)CC(C)(C)O,1.4219
C1CS1,1.487
Cc1ccc2c(C)cccc2c1,1.605
CC(C)(C)I,1.489
CCCCCCC(C)C,1.4008
FC(F)(Cl)Cl,1.285
CCCCCCCCCC,1.4097
C=C=C(C)C,1.4169
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,1.5626
CCCCCCCCCCCCCCO,1.4454
FC(F)(F)Br,1.238
CCC(C)C(CC)CC,1.4128
FC(F)(F)C(F)(F)Cl,1.214
CCCC(C)CC(C)(C)C,1.4089
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1.4397
CSSC,1.523
CC1CCC(O)CC1,1.4564
CC(Cl)(Cl)Cl,1.4313
C=C(C)CC(C)(C)C,1.406
CCCCCCCS,1.4498
CCOC(C)OCC,1.3682
C=C(Cl)CCl,1.4568
c1ccoc1,1.4187
C[Si](Cl)(Cl)Cl,1.4085
C=C(C)CC,1.3746
CCCCCC(C)CCC,1.4095
CC1C=CCC1,1.4184
Cc1ccc(C)c2ccccc12,1.6114
O=C(OCc1ccccc1)c1ccccc1,1.5681
CCCCCc1cccc2ccccc12,1.5704
FC(F)(F)Cl,1.199
CC(C)(Cl)Cl,1.4123
C1CCC(C2CCCCC2)CC1,1.4777
FCCF,1.28
CCCOC(=O)CC,1.392
CC=CC(C)C,1.3854
CCCCCCCCCCCCN,1.4406
C1CCCCC1,1.4235
CC(C)CNCC(C)C,1.409
CCC(C)CC(C)C,1.3929
C=CC(=O)OCC,1.4034
CC(C)CC(=O)O,1.4022
CC(=O)CC(C)=O,1.4465
CCOCCOCCO,1.4254
CCCOC=O,1.375
ClC(Cl)C(Cl)(Cl)Cl,1.5005
CCCC(CC)CC,1.3992
C=CCC=C,1.3854
CCCCCCCCOC=O,1.4141
CCC(C)(C)CC,1.3884
CCCCCCCCCl,1.4291
CCC(C)C(C)C,1.3895
c1ccc2c(c1)CCC2,1.5358
