SMILES,TARGET
c1ccc2c(c1)CCCC2,1.5392
CCC(CC(C)C)C(C)C,1.4134
CC(c1ccccc1)c1ccccc1,1.5702
C#CCCCCCCCCCC,1.4328
c1ccc2c(c1)CCC2,1.5358
CCC(C(C)C)C(C)C,1.4115
CC(O)CN,1.446
CCF,1.2621
C#CCCCCCCCC,1.4249
CCCCCCC=O,1.4094
CCC(C)CC(C)C,1.3929
CCC(CC)CC,1.3908
CCCCOCC,1.3793
CCCC(C)C(C)C,1.3988
OCC1CCCO1,1.4499
CCCCCBr,1.442
CC(C)CC(O)CC(C)C,1.4211
CCC#CCC,1.4088
CCOC(=O)CC#N,1.4179
CCC(C)(C)OC,1.3859
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,1.4397
C=C(C)C(=O)OCCCC,1.4215
CCC(C)C(C)C(C)(C)C,1.4193
CC(C)[N+](=O)[O-],1.3924
CCC(Br)CBr,1.5125
CCC(C)CCC(C)CC,1.4115
C=CCCCC,1.385
C=CCC#N,1.405
CCC(C)CC,1.3739
O=C=O,1.0004
CCI,1.5101
CCN(CC)CC,1.398
C1CSC1,1.5074
Cc1ccc(C)o1,1.44056
CC(F)F,1.2434
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,1.5626
C=CCCCCCCCCCCCCCCCCC,1.445
CCC1CO1,1.381
CCC(C)[N+](=O)[O-],1.4019
ClCC(Cl)(Cl)Cl,1.4794
CCCCC(C)CC,1.3961
CCCCCCCCCCCCCCS,1.4595
CC(C)C(C(C)C)C(C)C,1.4225
CCC(C)(C)C(C)(C)CC,1.4346
CCOP(=O)(OCC)OCC,1.4036
CCOCCOC(C)=O,1.4023
CCCCCCCC(=O)OCC,1.41686
CCOC(=O)CCCCC(=O)OCC,1.427625
CCCCCCCCCCC=O,1.4288
CCC(CC)(CC)C(C)C,1.432
CCCCCCCCCC(=O)O,1.4343
CC=CC(C)C,1.3854
C=CC(C)C,1.3611
CCCC(C)=O,1.388
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2515
CC(C)CO,1.3938
CC(C)CNCC(C)C,1.409
CC#N,1.3416
S=C=S,1.6241
C=CCCCCCCC,1.4133
ClC=C(Cl)Cl,1.475
CCCCCCCC,1.3951
CC(C)CC(C)O,1.409
CC(=O)OC1CCCCC1,1.4416
CCCNCCC,1.4018
C=COCC,1.3729
C=CC(=C)C,1.4185
CCCC(CC)C(C)CC,1.4183
C1=CCCC1,1.4194
CCN,1.3627
CCC(CC)CC(C)C,1.4046
CCCC1CCCC1,1.4239
CC(=O)CCC(C)C,1.4047
CCCC(C)C,1.3687
CC(C)CC(C)C(C)C,1.4037
CCCC(C)CC(C)CC,1.4115
CCCCOB(OCCCC)OCCCC,1.4071
C=CC(=O)O,1.4185
CCCCC#N,1.3951
OCC=CCO,1.4716
CCC,1.2861
CCC(C)CC(C)CC,1.4044
CC(C)(C)I,1.489
CCCCCCCCCCCCCCCCSC,1.4621
OCCCCCO,1.4487
COCOC,1.3504
CC1CC=CC1,1.4184
C=C,1.0007
CCCC=CCCC,1.4093
CCCC[N+](=O)[O-],1.408
CCC(CC)(CC)CC,1.4184
CNC1CCCCC1,1.453
CCCI,1.5028
C=CCCCCCC,1.4062
O=CO,1.3693
CCCCSSCCCC,1.4903
CCC(C)(C(C)C)C(C)C,1.431
CCCCC,1.3547
ClC(Cl)=C(Cl)Cl,1.5055
CCC(C)=O,1.3764
CC1=Cc2ccccc2C1,1.5627
CCSSCC,1.5047
CCC(CC)C(C)C(C)C,1.4203
CCCCC(C)C(C)(C)C,1.4145
CCC(C)(C)CC(C)C,1.4052
CCCF,1.3091
FC(F)(F)Br,1.238
c1ccc2c(c1)ccc1ccccc12,1.548
CCC(C)O,1.3949
CCCCCCCCCCCCCCC,1.4298
CCOCC,1.3495
CC(C)CCCC(C)C,1.3983
CCCCC1CCCCC1,1.4385
C=CCC=C,1.3854
C1CCSCC1,1.5043
CCC(C)CC(C)(C)CC,1.4147
O=C1CCCC1,1.43585
CCCCCCC1CCCCC1,1.4441
CCCCCCCl,1.41855
CCCC(C)(C)C,1.3795
CCCCCCCCCCCCCCCCS,1.4811
CC#CCC,1.4009
CC1C=CCC1,1.4184
Cc1ccc2cccc(C)c2c1,1.6054
CCCCCCCCCCCO,1.4386
CC(C)CCCCC(C)C,1.4062
C=CCCCCCCCCCCCCC,1.4367
CC(C)=O,1.356
CCCCCC(C)=O,1.4066
CN(C)P(=O)(N(C)C)N(C)C,1.4564
CCOC(C)=O,1.3704
CCCCCCCCOC=O,1.4141
CCCCC(C)=O,1.3987
CC(C)C(=O)O,1.3908
C=C(C)C(=C)C,1.4362
O=C(OCc1ccccc1)c1ccccc1,1.5681
CC(C)(C)S,1.42
CCCCCCCCC=O,1.4208
C=CCCCCCCCCCCCC,1.4341
CC1CCCCC1,1.4206
CCCCCCCCOCCCCCCCC,1.4305
CI,1.527
CCCCCCCCC(=O)OCC,1.4218
CC(=O)N(C)C,1.4356
FC(F)(F)Cl,1.199
CCCCCCC(C)CC,1.4103
N#CCCCC#N,1.4332
CCCCCOC=O,1.3977
CCC(C)C,1.3509
CC(O)CO,1.4314
CC1CCC(C)C1,1.4072
CCCCCCS,1.4473
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,1.5587
C=C(C)C(=O)O,1.4288
CCCCCCOC(C)=O,1.4073
CC1=CC=CC1,1.4572
CCC(=O)OC,1.3742
C#CCCCCC,1.406
CC(C)CCCl,1.4063
CC(C)C(C)C(C)(C)C,1.4125
CCCCCS,1.4444
c1cc[nH]c1,1.5078
CCC(C)C(C)CC,1.4018
CCCCCC=O,1.4017
CCCCCC(C)CC,1.404
C1=CCCCC1,1.4438
C=CC(=O)OCCO,1.446
CCCC(=O)OCC,1.39
CCOC(C)(C)C,1.3745
C#CCCCCCCC,1.4195
CCCCN,1.3967
CCCCl,1.3858
CCC(C)C(C)C(C)CC,1.4206
CC1(O)CCCCC1,1.4587
CCCCc1ccc2ccccc2c1,1.5747
CC1CCC(C)CC1,1.4229
C=CCCCCCCCCCCCCCCCC,1.4428
CCCC#N,1.382
CC(C)S,1.4225
CCOCCO,1.4057
C=CC(=O)OCC,1.4034
OCCOCCOCCOCCO,1.457
CCCCCC(CC)CC,1.4138
C=CCCl,1.4118
CCCCCCCCCCCCCCCS,1.4604
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1.4397
OCCCCO,1.4446
CCC(CC)CO,1.4205
OCCO,1.4306
CCCCC(CC)CO,1.429
CC1=CCC(C(C)C)C=C1,1.4691
CN(C)C,1.3443
C=COC(C)=O,1.3934
CC(O)C(C)O,1.431
C=C(C)Cl,1.392
CCC(C)(CC)CC(C)C,1.4212
Cc1cc(C)c2ccccc2c1,1.608
CC1=CCC(C(C)C)=CC1,1.4712
CC(C)C(C)C,1.3728
CCCCCC1CCCCC1,1.4416
CCCCCCCCCl,1.4291
CCCCCCCCCCCCCC(=O)O,1.4445
CCCCCCC(C)(C)C,1.406
C1CCNC1,1.4402
CCCC(C)C(C)CC,1.4089
FC(F)(Cl)Cl,1.285
CC(C)(C)NC=O,1.4275
CCC(C)CCC(C)(C)C,1.4078
CCCC(CCC)C(C)C,1.4132
CCCCCCCC(C)O,1.429
Cc1ccsc1,1.5176
CCCOC=O,1.375
C#CCCl,1.4317
CC(C)C=O,1.3698
c1ccc(C2CCCCC2)cc1,1.5239
CCOCCOCCOCCO,1.437115
CC1CCC(=O)O1,1.4321
CCCCCCCCCCO,1.435
c1ccc2cnccc2c1,1.6208
CCCCCCl,1.4104
CC(C)Cl,1.3752
CCc1ccc2ccccc2c1,1.5977
OC1=NCCC1,1.486
CCCCO,1.3971
CC(C)F,1.2992
O=C=NC1CCCCC1,1.5341
CC(Br)Br,1.5101
CC(=O)CO,1.4251
CC(=O)OC(C)OC(C)=O,1.3985
CCCCC1CCCC1,1.4293
C#CCCCCCCCCCCCCCC,1.443
CCCC(C)CC,1.3661
CC(C)CC(=O)CC(C)C,1.41475
C=CCCC,1.3684
CCCC(CC)CCC,1.4073
CC(C)OC(C)C,1.3655
CC(C)(Cl)Cl,1.4123
CN=C=O,1.363
N#CCCCCC#N,1.436
