SMILES,TARGET
CCCCCCC(C)(O)CC,26.135
CCCCOCCC(=O)OCCCC,26.84
CC(C)CCOC(C)OCCC(C)C,23.98
CCCCCCCC,21.135
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,35.18
CCCCCCCCN,26.94
OC1CCCC1,32.283
CCCCCC1CCCCC1,27.0
CC=CC(=O)OCCCC,27.35
CCCCCC(C)CCC,23.14
CCCCCC(=O)O,27.1315
CCCCCCCCCCCCCSCCCC,27.61
O=C(O)C(F)(F)F,13.4925
CSSC,33.135
CCCCCOC(=O)CCOCCCC,27.31
C1CCC(NC2CCCCC2)CC1,33.425
CCC(O)C(C)C,24.13
COC(=O)CCl,34.7
C=C(CC)CCCC,25.38
C#CCCCCCCC,24.765
CCCC(=O)OCC#CCOC(=O)CCC,33.14
O=Cc1cccnc1,46.57
CCCCOC(C)=O,24.772
CCCCCCCCCCCCl,28.98
C=C1CCC2CCCCC2C1,30.913
O=C(C(F)(F)F)C(F)(F)F,8.7
O=COCC(COC=O)OC=O,47.055
CCCC(=O)OCC,24.1325
CC1CCCC1C,22.41
CC(C)CCOC(=O)c1ccccc1O,32.64
CCCCCCCCCCC(C)Cl,28.62
c1cncnc1,30.865
OCCN(CCO)CCO,45.99
CCCCCOC(=O)C#CC(=O)OCCCCC,30.737
CC1CCCCC1=O,31.93
CF,1.82
CCCCCCCOCCC(=O)OCCCCCCC,28.95
CCCCCCOCCC(=O)OCCCCCC,28.37
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,31.15
CC(C)CCI,27.84
Cc1ccccc1Br,34.365
CCCCCCCCCCCCCCCC(OCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCO,36.0
ClC(Cl)C(Cl)SC(Cl)C(Cl)Cl,43.35
CCOS(=O)OCC,28.71
CCC(C)C(C)CC,21.424
BrCCCCCBr,40.56
CC(=O)OCCOC(C)=O,33.01
CCCCON=O,20.73
O=C(c1ccccc1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,12.8
CCCCCCCCCCOCCOCCO,34.0
O=C1CCCCCC1,34.68
N#Cc1ccccc1,38.345
CCCCCCCCCCCCC1CCCCC1,26.05
CC(C)CC(C)C,17.7065
CCc1cccc(CC)c1CC,28.31
CCCCOCCO,27.495
CC(C)CC1CCCCC1,25.84
CCC(=O)c1ccccc1,37.005
CCCCc1ccccc1,28.766
CCCCOC=O,24.705
CCCOC(=O)c1cccnc1,36.16
CCCc1ccccc1,28.635
CCCCCCCCC(=O)OCCCC,28.8
CC1CCC(C)C1,21.155
CCCCCC(Cl)(CC)CCCC,27.19
CC(C)CC1CCCC1,24.75
CCCCCC(=O)OCC#CCOC(=O)CCCCC,35.93
CCCCCCOC(=O)CCO,30.1
CC(C)CCOC(=O)CCCCCCCCC(=O)OCCC(C)C,30.49
