SMILES,TARGET
CI,254.01
COCCO,358.0
CCCI,336.06
OCCNCCO,428.78
C#CCC,290.83
C1CCCCC1,298.24
C1CCNC1,309.49
ClC(Cl)Cl,295.51
c1ccc(-c2ccccc2)cc1,392.67
CCCCCCCCCS,572.39
CCCCOCC,429.0
C=C(C)c1ccccc1,383.67
CC(O)C(=O)O,364.0
CCC(CC)(CC)CC,436.5
CCC(C)(C)C(C)(C)C,436.6
CF,222.78
CCCCCCCCCCc1ccccc1,673.7
CC(C)CO,348.34
CC(=O)C(C)C,369.9
CCOC(=O)CCC(=O)OCC,587.0
CCN,284.85
c1ccc(CCc2ccccc2)cc1,479.0
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,523.0
C=C(C)C=O,332.0
CC(=O)Nc1ccccc1,369.0
OCCO,323.55
CCCCN(CCCC)CCCC,657.0
CCCCCCCCCCCCc1ccccc1,751.57
CCCCCC(C)CCC,541.9
CC(C)C,295.39
c1ccc2cnccc2c1,365.2
COc1ccccc1,361.0
CCCCN,363.0
CCCOCCO,438.0
CCCCCOCCCCC,585.0
C1=CCOC1,284.84
CCCC(C)C,380.89
NCCN1CCNCC1,451.0
CCCCCCCO,460.45
ClC=CCl,289.73
CCCC1CCCC1,417.27
CCCCCC(C)CC,504.7
Oc1cccc(O)c1O,362.0
COC(C)C,341.6
O=C(O)c1ccccc1,368.99
O=[N+]([O-])c1ccccc1[N+](=O)[O-],406.0
FC(F)(Br)Br,325.24
N#Cc1ccccc1,321.04
COC(=O)C=CC(=O)OC,499.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,900.0
CCCCCCCC(C)O,548.0
CCc1ccc(C)cc1,398.9
CCOCCOC(C)=O,493.0
CCCCC(C)CCC,502.7
C=Cc1cccc(C)c1,389.5
CC1CCC(C)CC1,367.625
Nc1ccccc1N,360.0
C#CCCCC,369.4
CC1CCCCC1O,391.0
CCC(C)Br,381.0
CCC[N+](=O)[O-],355.64
O=C(O)c1ccccc1Cl,399.82
OCc1ccccc1,365.47
CCNCC,352.21
CC(C)(C)O,326.27
c1ccc(C2CCCCC2)cc1,428.48
CCOC(C)OCC,454.0
Ic1ccccc1,334.05
Cc1ccc(O)cc1C,391.16
N#CCC=CCC#N,394.0
COC(C)=O,319.8
CCCCCCCc1ccccc1,556.8
Clc1ccc(Cl)cc1,336.74
CCCCCCCCO,519.23
COCC(=O)O,360.0
NC(CCC(=O)O)C(=O)O,490.0
CCOC(=O)Cl,346.0
CC(C)CCCCO,467.0
Cc1ccc2ccccc2c1,380.03
Oc1ccc(Cl)cc1,345.0
C=C(CC)CCCC,459.0
Cc1cccc(C)c1O,389.72
CCCC,309.91
CCOC(=O)c1ccccc1,455.0
CCOCCOCCO,517.0
CCCCC(C)=O,417.86
CCOC(=O)CC,402.5
O=C(Cl)C(Cl)(Cl)Cl,369.36
CCOC=O,328.2
N#CCl,236.22
CS(C)=O,306.27
FC(F)(F)C(F)(F)F,332.08
CCCCCCCCCCCCC=O,698.0
CC(C)c1ccc(C(C)C)cc1,488.0
c1ccccc1,269.2
CCCCCCCCCCN,599.0
c1ccc2sccc2c1,211.0
CCCCS,375.2
Cc1ccccc1N,349.3
CC(C)c1ccccc1,388.57
CC1CCCCC1C,372.71
C=Cc1cccc(C=C)c1,412.0
CCCCCCOCCCCCC,658.6
CC(C)(c1ccccc1)C(C)(C)c1ccccc1,573.0
O=C(O)COCC(=O)O,441.0
ClCCCCl,367.6
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,543.54
BrC(Br)Br,330.59
CN(C)C,288.78
O=[N+]([O-])c1ccc(Cl)cc1,367.0
CC1=CCC2CC1C2(C)C,473.0
ClCOCCl,360.0
FC(F)(F)F,261.31
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1149.0
Clc1ccccc1,313.47
Nc1ccc(Cl)cc1,356.0
C#CC(C)C,318.9
Cc1cccc(C)c1C,380.5
CCCCc1cccc2ccccc12,497.2
OCC1CCCO1,374.0
CCC1(C)CCCC1,401.0
CCOC(=O)C(=O)OCC,527.0
Cc1ccc(Cl)cc1Cl,378.95
c1ccc2c(c1)-c1cccc3cccc-2c13,418.5
