SMILES,TARGET
CC(C)C(C)(C)C(C)C,5.2
CCOc1ccccc1,7.8
O=C1C=CC(=O)O1,7.1
CC1CCCC(C)C1,6.5
CC(=O)OC(C)(C)C,7.3
CC,12.5
Cc1cccnc1,11.9
COCCOCCOC,14.2
OCCN(CCO)CCO,9.9
CCCC(C)(CC)CCC,4.7
C=CC(=O)OCCCC,9.9
FC(F)=CCl,26.2
O=C1CCCO1,12.6
C#C,80.0
CCC(O)CC,9.0
CCCCCCOCCCCCC,5.5
Cc1ccc2ccccc2n1,6.8
FC(F)=C(F)F,60.0
C1=CCCC=CCC1,8.6
CC1CCCCC1O,8.2
CCCN(CCC)CCC,5.4
CC(C)(C)N,8.9
CC(=O)c1ccccc1,6.7
OCC1CCCO1,9.7
OCC#CCO,35.7
Cc1ccccc1,7.1
CC(C#N)CCC#N,3.3
O=C1CCCCC1,8.8
CCC1(C)CCCC1,6.1
Nc1cccc([N+](=O)[O-])c1,9.8
CCCCCCCO,7.2
NCCNCCO,8.0
N#Cc1ccccc1,8.0
CCCCCCCCCCCCCCCCCCCC,2.4
CCCC(C)CO,7.7
CCCCCCCCCCCCCCCC1CCCCC1,2.3
CC(=O)CC(C)=O,11.6
CCCCCCCCCCCCN,5.1
Cc1cc(C)cc(C)c1,5.2
CCCCCCCC=O,6.4
N#CCCO,12.1
CCCCCCCCCCCCc1ccccc1,2.9
COC(=O)c1ccccc1O,7.2
CC(C)C(C(C)C)C(C)C,4.7
CN=C=O,26.0
C=CC(C)C,9.1
CCCC(C)O,9.7
c1ccc2c(c1)ccc1ccccc12,5.2
CCC(CC(C)C)C(C)C,4.7
C=C=CCC,12.3
CCC(C)C(C)CC(C)C,4.7
C#CCCCCCCCCCCCCCCCCC,2.8
C#N,41.0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,5.1
C#CCCC,22.3
CCCCCc1ccccc1,5.1
CCC(C)(C)C(C)(C)C,4.9
CCC(CO)(CO)CO,9.7
C=C(C)C(C)C,9.1
CCCCCCCBr,7.2
C=CC(=O)O,20.2
C#CC,39.9
C1CCOC1,11.8
CCCC1CCCCC1,5.9
CCCC(C)=O,8.2
CC(C)CCCC(C)C,5.4
c1ccc(-c2ccccc2)cc1,5.8
CC1=CC=CC1,7.6
