SMILES,TARGET
O=C(O)c1ccc(C(=O)O)cc1,769.261111
C=C1CCC2CC1C2(C)C,528.15
OC1CCCCC1,573.15
C=COC(C)=O,699.816667
Nc1ccc([N+](=O)[O-])cc1,849.816667
C=CC#N,754.261111
OCCNCCO,935.372222
CN(C)CCO,568.15
ClCC(Cl)Cl,744.261111
CC=O,458.15
C=CCCCCCCCCCCCCCCCCC,509.816667
Oc1ccccc1O,839.816667
CCCCCC(=O)O,653.15
CC(O)C(C)O,675.372222
CCCCCCl,533.15
CCC=O,480.372222
C=CCCl,758.15
Cc1ccc(N)cc1,755.372222
CCC(C)N,650.927778
O=[N+]([O-])c1ccccc1,754.816667
C=C1CC(=O)O1,583.15
CCOCCOCCOCC,489.261111
Cc1cccc([N+](=O)[O-])c1,663.15
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,638.15
C1CCCCC1,533.15
CCCCOC(=O)CC,699.816667
c1ccc2ncccc2c1,753.15
CC1CCCC(C)C1,579.261111
CCCNCCC,572.038889
Cc1ccc(C)c(O)c1,872.038889
c1ccc(-c2ccccc2)cc1,813.15
CCCC(C)O,616.483333
Clc1ccccc1Cl,920.927778
CC(=O)OCCOC(C)=O,755.372222
CCc1cccc(C)c1,753.15
CC(C)C(C)C,693.15
CCCCC,533.15
Cc1cccc(C)c1,800.927778
CC(C)c1ccccc1,697.038889
C=CC=O,507.038889
ClCc1ccccc1,858.15
CCC(C)CC(C)C,709.816667
CCOC(=O)c1ccccc1C(=O)OCC,730.372222
C=C(C)CC(C)(C)C,693.15
[C-]#[O+],882.038889
C=CCCCCCCCCCCCCCC,513.15
CCCCCCC,495.927778
C=CCC,657.038889
CCCCCCCCCCCCCCCCCCC,503.15
CCCOC=O,728.15
Cc1ccccc1O,872.038889
CC1CCCCC1C,577.038889
CCCc1ccccc1,729.261111
COC=O,729.261111
C=C(C)c1ccccc1,847.594444
CCN,657.038889
O=Cc1ccccc1,464.816667
CCOC(=O)c1ccccc1,763.15
C=CCCCCCCCCCCC,509.816667
CCCCc1cccc2ccccc12,633.15
CC(C)c1cccc(C(C)C)c1,349.816667
Oc1ccccc1,988.15
CC(C)[N+](=O)[O-],700.927778
Nc1cccc([N+](=O)[O-])c1,849.816667
CC(C)c1ccc(C(C)C)cc1,349.816667
CCCCOC=O,595.372222
CCCCCCCCC(=O)O,649.816667
CC(C(C)(C)C)C(C)(C)C,484.816667
CCc1ccc(C)cc1,748.15
CCCCCCC(C)CC,487.038889
CNC,673.15
Cc1cccc(C(C)C)c1,709.261111
OCc1ccco1,664.261111
C=CC(=O)O,710.927778
CC(C)COC(=O)C(C)C,705.372222
CCOCCOCCO,477.038889
C#C,578.15
C=CCCCCCCCCCCCCCCCCCC,509.816667
CCOC=O,728.15
CCc1ccc(CC)cc1,703.15
CCCC1CCCCC1,520.927778
CCCCCCCCO,554.816667
CCCOCCO,508.15
CCC(C)c1ccccc1,690.927778
CCCCC1CCCCC1,519.261111
CCC(C)=O,788.705556
C1CCC(C2CCCCC2)CC1,518.15
C=CC,728.15
Cc1ccc(C)cc1,802.038889
CCOC,463.15
CC(=O)C=C(C)C,617.594444
CCC=CCC,552.038889
ClC=C(Cl)Cl,683.15
CCCCC(C)CC,512.038889
CC(O)CN,647.038889
CCC(=O)OC(=O)CC,558.15
CCCCCCCC(=O)O,649.816667
CCc1ccccc1,705.372222
CCC1CO1,712.038889
Cc1cc(C)cc(O)c1,872.038889
CC(C)C(=O)O,774.816667
CC(C)CCC(C)C,709.816667
CC(=O)OCC(C)C,695.927778
CC(C)CC(C)C,609.816667
CCCCCCC(C)C,493.15
C1CNCCN1,728.15
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,664.261111
CC1CCC(C)CC1,577.038889
C[SiH](C)C,593.15
CCO,695.927778
C#CCO,388.15
CCC(C)(C)C(C)(C)C,703.15
c1ccc(CCc2ccccc2)cc1,753.15
CCCCCCCCCCCCCCCC,475.372222
O=C(O)c1ccccc1O,818.15
CC=CC,597.594444
CCCCCCCCCO,549.816667
CC(C)(OO)c1ccccc1,422.038889
CCCCOCCO,510.927778
COCCO,558.15
ClCCCl,685.927778
C=Cc1ccccc1,763.15
CC(=O)O,699.816667
CC(O)CC(C)(C)O,579.261111
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,674.816667
CCC(C)C(C)C,610.372222
COC(=O)c1ccccc1O,728.15
CC1=CC=CC1,719.261111
CCCCCCCCCCCCCCCCCC(=O)OCCCC,628.15
Clc1ccc(Cl)cc1,919.816667
C1=CCCC1,668.15
CCCC(=O)OCC,735.927778
CCC(Cl)Cl,829.816667
OCc1ccccc1,709.261111
O=C(OCc1ccccc1)c1ccccc1,753.15
C[Si](C)(C)C,449.816667
Cc1cccc(O)c1C,872.038889
CC(Cl)CCl,830.372222
C=CC(=C)C,493.15
CC(C)=C(C)C,673.705556
CC1CCC(O)CC1,570.372222
CCCCOC(C)=O,694.261111
CC1(C)CCCCC1,577.038889
ClCCl,935.372222
C=COCC,474.816667
CC(C)C1CCCCC1,555.927778
CCCCCC,507.038889
CC(F)(F)Cl,904.816667
CCC(CC)(CC)CC,563.15
C1CCCC1,634.261111
CN(C)C,463.15
CCOC(C)=O,699.816667
C[N+](=O)[O-],652.038889
CBr,810.372222
Cc1cccc(N)c1,755.372222
CCCC(C)(C)CC,709.816667
C=CCCCCCCC,509.816667
CCCCCC(C)=O,665.927778
CCCC(=O)OC(=O)CCC,552.594444
CC(O)CCO,667.038889
CCCCCCCCC=CCCCCCCCC(=O)O,635.927778
CC(C)N,675.372222
CCOC(=O)Cl,773.15
CC12CCC(CC1=O)C2(C)C,739.261111
C,873.15
CCCCOCCCC,467.594444
CC(=O)Nc1ccccc1,803.15
COC(=O)c1ccccc1C(=O)OC,829.261111
CCC#N,784.816667
O=C(O)c1ccccc1C(=O)O,769.261111
CC(=O)c1ccccc1,844.261111
CC#N,797.038889
CCCCCCCCCCCCCCCCCCC(=O)O,649.816667
Cc1ccc([N+](=O)[O-])cc1,663.15
CC(C)CN,650.927778
ClCC(Cl)CCl,577.038889
CC(C)(CO)CO,672.038889
CCCCC(C)CCC,493.15
NCCNCCO,640.927778
CCCCc1ccccc1,685.372222
OCCO,673.15
Cc1cccc(O)c1,832.038889
CCOS(=O)(=O)OCC,709.261111
CCCCCC(C)C,519.816667
Cc1ccccc1C,737.038889
CCOCCO,508.15
C=CC(=O)OCC(C)C,613.15
c1ccc(Oc2ccccc2)cc1,890.927778
CC(=O)OC(C)=O,663.15
Cc1ccc(C(C)C)cc1,709.261111
C1COCCO1,453.15
C=CCOC(C)=O,647.038889
CC(C)(C)C,723.15
CCC(O)CC,708.15
CCc1ccccc1CC,668.15
C[SiH](Cl)Cl,503.15
COCCOC,474.816667
C=CC(=O)OC,740.927778
CC(C)CO,699.816667
CC(C)NC(C)C,588.705556
CC(C)CC(=O)O,689.261111
CCCCC=O,495.372222
c1ccc(Nc2ccccc2)cc1,907.038889
CO,737.038889
CC(C)C(C)(C)C,723.15
O=C(O)c1cccc(C(=O)O)c1,769.261111
CCC(=O)O,748.15
CCCCCCCCCCCCCCCCCCCC,474.816667
Clc1ccccc1,910.927778
CCCCOC(=O)c1ccccc1C(=O)OCCCC,675.372222
FC(Cl)Cl,825.372222
CC(C)(C)CC(C)(C)C,703.15
C1CC1,770.927778
OCCCO,650.927778
CCCCCCCCCCCCO,548.15
Nc1ccc(Cl)c(Cl)c1,538.15
C1CO1,702.038889
Brc1ccccc1,838.15
CC(Cl)Cl,730.927778
OCCOCCO,502.038889
FC(F)Cl,905.372222
Cc1ccccc1N,755.372222
CCCCCCCCCC,480.927778
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],543.15
C=C(C)C(C)(C)C,377.038889
CCCC1CCCC1,542.038889
CC=CCC,559.538889
Cc1ccccc1,753.705556
CCCCCCO,558.15
Cc1cccc(C)c1C,743.15
CCCC(C)CC,553.15
CCCCC(=O)O,673.15
CC(C)CC(=O)CC(C)C,669.261111
O=C(O)C(O)C(O)C(=O)O,700.927778
CCCC(C)C,579.261111
CCCCO,616.483333
O=CO,874.261111
Cc1cc(C)cc(C)c1,823.15
C=O,703.15
CNCCO,623.15
CCOC(=O)CC,749.816667
CCOCCC(=O)OCC,650.372222
C=CCCCCCC,503.15
Cc1ccc(O)cc1C,872.038889
C1=CCC=C1,913.15
N#CCCO,767.594444
CC(=O)OCc1ccccc1,734.261111
CC(O)CNCC(C)O,647.038889
C=CC(=O)OCCC,614.816667
O=C(O)c1ccccc1,847.038889
COS(=O)(=O)OC,460.927778
CCCCCCCCCCCCC,474.816667
CC(C)CC(C)(C)C,690.927778
COC(=O)c1ccc(C(=O)OC)cc1,843.15
CCCC(C)(CC)CCC,484.816667
CC(O)CO,694.261111
CCCCC(C)(C)C,709.816667
NCCNCCNCCN,610.927778
CCCCCCCCCCCCCCCCCC(=O)O,668.15
COCCOCCOCCOC,464.261111
