SMILES,TARGET
O=S(Cl)Cl,8.675
CCCCCCCCOC(=O)C=Cc1ccccc1,4.38
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,2.754
CC(ON=O)c1ccccc1,7.72
CCCCN(C(C)=O)c1ccccc1,11.66
CCO[Si](OCC)(OCC)OCC,2.5
Oc1ccc(Cl)cc1,11.3
CCCCCCC(C)F,4.17
CCC1CCC1,1.965
ICI,5.32
CCCCCCCCCCCCCl,4.17
CCCCOC(=O)CC,4.8105
CCCCCC#CCCCCC,2.171
FC(F)(F)c1ccccc1,9.22
CC(C)O,19.655
O=C(Oc1ccc2ccccc2c1)c1ccccc1O,6.2
CCC/C=C\CCC,2.053
CC1CCCCC1=O,14.0
CCCCC,1.83855
CCC(O)CC,13.375
CCCCCCCCCl,5.05
CCOC(=O)/C=C/c1ccccc1,5.63
CNC(=O)CC(C)C,114.0
CCCCCCCCCC(C)(C)C(=O)O,2.76
CCCCCCCCN,3.555
CCOP(=S)(OCC)OCC,10.4
O=C(OCC(F)(F)F)c1ccccc1,6.98
C1=CCCCCCC1,2.31
C=CCCCCCCCCC,2.137
CCCCCCOC(=O)c1ccccc1,4.8
OCCCCCCCO,22.9
CCCCBr,6.93
CCCCCCCO,11.64
CCCCOC(=O)c1cccs1,6.4
CCC(=O)N(C)C,34.6
Cc1ccc(Cl)cc1,6.035
CCCCCC(Br)CC,6.08
CC(=O)O,6.19
CCCCCCC(=O)CCCCCC,7.6
O=[N+]([O-])OCCO[N+](=O)[O-],28.26
C=CC(=C)C,2.099
CC1CCCC(=O)C1,12.4
Cc1c(C)c(Cl)c(Cl)c(Cl)c1Cl,8.0
Br/C=C/Br,2.88
CCCCOc1ccccc1,3.734
CC,1.42343
CCCCCC(Br)CBr,3.77
CN(C)C(=N)N(C)C,11.5
BrC(Br)Br,4.4
CC(C)(C)O,11.985
BrCCCCCBr,9.183
O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc1ccccc1,4.61
CCCCCCCCCBr,4.74
CCOCCOCC,3.9
CCCC,1.765005
O=S1(=O)CCCC1,42.0
CC=C(C)CCCC,2.42
CC(C)CCCC(C)CCC(C)C(=O)O,3.04
CCCC(Cl)CCC,6.54
Fc1ccccc1F,13.38
CC1=CC[C@H]2C[C@@H]1C2(C)C,2.3701
COc1cccc(C)c1,3.967
CCS(=O)(=O)CC(C)C,36.0
CCCCCCCCCCCCCCCBr,3.88
CCCC=C(C)C,2.962
CCCCSCCCC,4.29
O=C(O)CCl,14.3
CC1CCCC(O)C1,12.3
CC(C)COC(=O)CCCCC(=O)OCC(C)C,5.19
COc1ccccc1N,5.465
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,5.62
OCCCc1ccccc1,11.97
C[C@H]1CCCC[C@H]1O,9.375
CCC(Cl)CCl,7.74
CCSC#N,29.7
FC(F)(F)CCCl,7.32
CCCC/C=C\CCCC,2.071
CC(=O)CC(C)=O,26.524
CC1CCC2CC1C2(C)C,2.1456
CCCCCCCCCCCCCCCCCC(=O)OCCCC,3.12
CCCCCCCCC(=O)N(C)C,15.8
CCCCN=C=O,12.29
CCCC(=O)OC1CCCCC1,4.58
CCC(C)C(C)C,1.94115
CC(C)CCOC(=O)c1ccccc1O,7.26
CCCOC(=O)/C=C/c1ccccc1,5.45
CC1CCCCC1,2.024
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.22
CC(C)(C)N=S=O,7.22
CC(O)CCO,28.8
CCN(CC)C(=O)N(C)C,17.89
BrP(Br)Br,3.9
CCC(O)C(C)O,17.37
CCCCC(O)C(C)C,3.418
CC(=O)OCc1ccccc1,5.34
CC(Br)CCBr,9.14
CCOS(=O)(=O)OCC,29.2
CCCCC(C)(C)CO,4.5
OCCCCO,31.9
CCCS(=O)CCC,30.37
N#CCCCCCCCCC#N,22.0
CSSC,9.6
CCBr,9.105
ClSCl,2.915
CC(C)CN,4.47
COC(=O)c1ccccc1O,8.4
CC(=O)CC(C)C,13.015
BrCCCCCCCCBr,7.43
CCCCOC(=O)c1ccccc1,5.485
Cc1cccc(O)c1,12.12
Cc1ccccc1F,4.23
c1ccc2cnccc2c1,11.0
CCCCC(C)CCC,1.967
Nc1cccc(Cl)c1,13.3
CCCC(O)C(C)CC,7.25
CCCCCS,4.7595
FC(F)(Br)Br,2.713
O=COC1CCCCC1,6.47
CCCC(C)(C)C,1.915
C=CCBr,7.0
C=C(C)c1ccccc1,2.28
C=CCc1ccc(O)c(OC)c1,9.55
CCOCC,4.22085
OCCOCCO,31.38
CCCCCOC(=O)CCC,4.08
COc1ccc(Br)cc1C12CC3CC(CC(C3)C1)C2,39.0
CC(=O)OCCC(C)C,4.72
CCCS,5.72
CC(CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,7.44
CCCCCC(Cl)CC,6.17
BrCCCCCCCCCBr,7.153
CCCCCCCC(O)C(C)C(=O)O,5.5
CCc1ccccn1,8.33
CCCCCOCCCCC,2.798
ClC(Cl)(Cl)Br,2.4025
CCCCP(=S)(CCCC)CCCC,30.8
CCOC(=O)CCCCC(=O)OCC,6.109
Cc1cccc(N)c1,5.816
CCCC(=O)OC(=O)CCC,12.8
Cc1ccc(S(=O)(=O)c2ccc(C)c(C)c2)cc1,23.5
BrCCCCCCCCCCBr,6.56
O=C(F)c1ccccc1,22.7
CCOCCOCCO,13.4
C=CN=C=O,10.62
CCCCCCCCCCC(=O)OC,3.64075
C#CCO,20.8
CCCCC(=O)Oc1ccccc1,4.3
CCCCCCCCCC#N,10.6
CC=CC,1.96
CC1CCC(=O)O1,36.91
CCOc1ccccc1,4.283
ClCC1CO1,22.6
CC(=O)C(C)(C)C,12.73
CCCCOCCOCCO,10.93
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.68
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.82
CCO[N+](=O)[O-],19.7
CCCCCCBr,5.82
O=Cc1ccccc1,17.625
CCCCCC(F)CC,4.28
CCCCCCCCCCCCOC(=O)C1CCCCC1,3.37
OCC(O)CO,46.125
CCCCCCCCCCCCCCCCCCCCCC,2.084
CCCCCC(CC)[N+](=O)[O-],15.85
CC(C)CCCl,5.97
Cc1ccco1,2.76
ClCCc1cc(Cl)ccc1Cl,5.2
Cc1ccc(N(C)C)cc1,3.9
CC(C)CC(C)C,1.91075
O=C1CCCCCCCCCCC1,11.4
CCCCc1ccccc1,2.3845
COC(OC)(OC)OC,2.4
CCCCCCCOB(OCCCCCCC)OCCCCCCC,2.2
CCCCCCCCCCCCCCOC(C)=O,3.41
COc1c(C)cccc1C,3.78
Fc1ccccc1Cl,6.1
CCOC(=O)c1ccco1,9.02
CCC[Si](C)(C)CCC,2.054
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,3.466
CC(Cl)Cl,10.1
CCOC(=O)CC(C)C,4.71
CC=NO,4.7
CC(=O)OCCc1ccccc1,4.93
CC(C)C(C)C(C)C,1.9738
Clc1ccc(Cl)c(Cl)c1,6.75
Cc1ccccn1,9.94
CO[Si](OC)(OC)OC,6.0
CCc1ccccc1,2.4237
CC(C)COC(=O)C(Cl)(Cl)Cl,7.667
CCCCC(Br)CCC,5.95
CC(Br)C(C)Br,6.059
CCCCC(C)(CC)C(=O)O,2.7
C1CCOCC1,5.66
C=Cc1ccccc1,2.4737
CCOC(=O)CC(=O)OCC,7.908
CC(C)CCBr,5.94
C=CCCCCCCCC,2.136
CCCCCCI,5.36
CCCO[Si](C)(C)OCCC,2.992
CCC=CCCCC,2.031
CCN(CC)C(C)=O,31.25
CC(=O)c1ccccc1,17.42
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,3.109
O=[N+]([O-])c1ccccc1,35.15
O=P(N1CC1)(N1CC1)N1CC1,14.62
COC(=O)c1ccco1,11.01
Fc1cccc(Br)c1,4.85
CCCCCC(=O)OCc1ccco1,4.54
CF,8.2
CCCC(=O)OCCC(C)C,4.0
CCCC/C=C/CCCC,2.03
O=P(Cl)(Cl)Cl,14.225
SCCS,7.26
CCCCCC(O)CC,5.45
CCOC(=O)CCCCCCCCC(=O)OCC,4.995
CCCNC(C)=O,117.8
BrCCCCBr,8.69
CCOP(=O)(OCC)N(C)C,11.7
O=C(Cl)c1ccccc1,23.0
C=CCc1ccccc1,2.63
COc1ccccc1[N+](=O)[O-],44.875
CCCCCCCCCCOC(=O)C=Cc1ccccc1,4.05
CC(C)CBr,7.18
CN(C)C=S,47.5
C1CN1,18.3
COC(=O)c1cccs1,8.81
CCCCCCCCCCBr,4.44
CCCC(Br)CBr,4.39
CCCCO[N+](=O)[O-],13.1
O=[N+]([O-])OCCCO[N+](=O)[O-],18.97
Nc1ccccc1Cl,13.4
