SMILES,TARGET
CCOC(=O)C(C)O,15.4
CCCCI,6.195
C=CCCl,8.2
CCCC(C)=NO,3.3
CCO[Si](C)(OCC)OCC,3.845
CCCCCCCC(CCCCCCC)CCCCCCC,2.1017
CCCCCOC(=O)Cc1ccccc1,4.48
CCCCCCCCC(=O)O,2.4815
CCC(CC)C(=O)O,2.72
CCCCOC(=O)CC(CC(=O)OCCCC)C(=O)OCCCC,5.7
CCCCCC(CC)C(=O)O,1.98
CCCCCCC(C)O,7.965
ClC(Cl)C(Cl)Cl,8.5
O=C=NCc1cccc(CN=C=O)c1,13.787
COC(=O)CCCCl,9.51
CCCCCCCCC,1.9732
CCCCCCCCCCCCCCCCCCC,2.0706
CCCCCCCOC(=O)c1ccco1,5.8
O=S(=O)(c1ccc(S)cc1)C(F)(F)F,28.5
Cc1cnc(C)cn1,2.436
CCCCCCCCN(CCCCCCCC)C(C)=O,11.5
CN1CCCC1,32.2
Clc1ccccn1,27.32
CCOC(=O)C(=O)OCC,8.467
C/C=C(C)/C=C/C=C(C)C,2.5574
CCCCCC(O)CCC,3.69
CCCO[Si](C)(OCCC)OCCC,3.339
CCCCC#N,20.04
[C-]#[N+]CCCC,12.29
CCCCCCCCCCCCCCCCI,3.55
CCc1ccc(Br)cc1,5.42
CC1=CCC(=C(C)C)CC1,2.2918
NCCN,13.41
CCCCCCCCCC,1.98745
O=S=Nc1ccc(N=S=O)cc1,7.8
CCOCOCC,2.527
CC(C)(C)c1ccccc1,2.3589
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.476
CCCCCCCC(C)=O,9.14
CCCCCO[Si](OCCCCC)(OCCCCC)OCCCCC,2.82
Cc1cccc(C(C)(C)C)c1,2.33
CCc1cccc(Cl)c1,5.18
COC(=O)c1ccccc1,6.596
CCC(C)CCCCO,6.79
CCOP(=O)(OCC)OCC,13.125
CCOC(=O)CC(=O)OCC,7.908
Cc1ccc(O)cc1,12.85
CC(C)(C)C,1.769
CCCS,5.72
CCCCCCN,4.01
O=C(O)c1ccccc1.OCC(F)(F)C(F)(F)F,6.86
O=C(O)CCl,14.3
ClCCCl,10.39
CCCN(CCC)C(=O)c1cccnc1,2.277
CCNc1ccccc1,5.835
O=C(CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,7.48
CCCCCCCCP(=S)(CCCCCCCC)CCCCCCCC,17.2
c1ccccc1,2.27805
O=Cc1ccccc1,17.625
Oc1ccc(Cl)cc1,11.3
CC(C)(C)C(N)=O,20.13
CCCCCCC(=O)CCCCCC,7.6
CCOC(=O)c1ccccc1O,8.856
CCCCCCBr,5.82
NNc1ccccc1,7.15
Cc1ccc(C)cc1,2.26611
O=S(=O)(c1ccccc1)C(F)(F)F,31.0
CCC(C)(C)O,5.74
O=C(O)C(Cl)Cl,8.515
CCCC(=O)OCC,5.18
CCCOP(=O)(OCCC)OCCC,10.93
COS(=O)(=O)OC,55.0
CCCCOCCOCCOCCOCCOCCCC,5.15
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,4.0
CCOC(=O)CC,5.76
CCCCOP(=S)(OCCCC)OCCCC,6.92
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,4.0
CC(CCN=C=O)CC(C)(C)CN=C=O,10.731
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,6.0
C=C(C)C1CC=C(C)CC1,2.381
C=Cc1ccccn1,9.126
C1=C\CCCCCC/1,2.306
COc1ccccc1[N+](=O)[O-],44.875
CCOC(=O)C(C)Cl,11.95
COC(=O)c1ccccc1C(=O)OC,8.66
CCCCCCCC(O)C(C)C(=O)O,5.5
C[Si](C)(C)c1ccccc1,2.3533
CCCCCCC(C)C,1.967
O=P(Cl)(Cl)c1ccccc1,26.0
C[Si](C)(C)Oc1ccccc1O[Si](C)(C)C,2.9767
CCCCCCCCOC(=O)c1ccccc1,4.34
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,3.466
COC(=O)CCC(=O)OC,7.19
CCCCC(O)CC,6.71
CC(C)C(Br)C(=O)O,6.5
