SMILES,TARGET
CC12CCC(C1)C(C)(C)C2=O,12.8
CCN(CC)C(C)=O,31.25
O=[N+]([O-])C(Br)(Br)Br,9.034
O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,3.89
Fc1ccccc1Br,4.72
ClCCl,8.93
CCC(Br)C(Br)CC,6.732
OCC(O)CO,46.125
OCCOCCOCCOCCOCCO,18.2
CCC(C)Br,8.64
CCC(C)CC,1.89065
CCC(Br)C(C)Br,5.43
CS(C)=O,46.82
Cc1ccccc1C,2.561
CC[SiH2]CC,2.544
CCCOCC(C)O,8.681
CN(C)C=O,37.48
O=[N+]([O-])OCCO[N+](=O)[O-],28.26
CCCC(C)C,1.886
OC(C(F)(F)F)C(F)(F)F,16.7
CC(C)(C)Cl,9.6185
ClCCCCl,10.1775
CCC=CCC,2.0205
NCCNCCN,12.62
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,3.155
O=S1(=O)CCCC1,42.0
ClC(Cl)Cl,4.76345
Cc1cc(C)cc(C)c1,2.2795
CCc1cccc(Cl)c1,5.18
C=CCc1ccc(O)c(OC)c1,9.55
CCCCCC(=O)OCc1ccco1,4.54
CCCN(C=O)CCC,23.5
COC(=O)c1ccccc1[N+](=O)[O-],27.76
OCCNCCO,25.75
CCc1ccc(CC)cc1,2.259
COCCOCCOCCOCCOC,7.68
CCOP(=O)(OCC)OCC,13.125
c1ccoc1,2.9465
OCCOCCOCCOCCO,20.07
Cl,4.6
OC1CCc2ccccc2C1,11.7
BrC1CCCCC1,7.9613
CCC(C)N,4.82
C1CCCC1,1.964685
CCCCCCCCCCOC(=O)C=Cc1ccccc1,4.05
COC(=O)c1cccs1,8.81
C[Si](C)(C)c1ccccc1,2.3533
C=C(Cl)Cl,4.6
OC1CCCCCC1,13.5
c1ccc(CNCc2ccccc2)cc1,3.446
CCCO[Si](C)(C)OCCC,2.992
CCc1ccc(Cl)cc1,5.16
CO[Si](C)(C)OC,3.663
CCCCOC(=O)CCC,4.39
Cc1cccc2cccnc12,6.58
CCCCCCC(=O)Oc1ccccc1,3.9
CCc1ccccc1,2.4237
SCCCS,8.11
Clc1ccccc1Cl,10.11
O=C(CO)c1ccccc1,21.33
COc1ccccc1,4.3155
C=CCBr,7.0
CC(C)O[Si](C)(C)OC(C)C,3.05
CC(N)CN,12.54
Fc1ccccc1I,8.22
CCOS(=O)OCC,15.6
CCN(CC)C(=O)CC(C)=O,40.8
N#CCc1ccccc1,17.87
CN(C)C(=O)N(C)C,23.35
CCC=C(CC)CCC,2.48
CCc1ccccc1N,4.09
CCCO[Si](C)(OCCC)OCCC,3.339
CC(C)S(C)(=O)=O,55.0
Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.22
Cc1ccccc1,2.3837
Cc1ccccc1[N+](=O)[O-],26.4
CCC(C)O[Si](C)(OC(C)CC)OC(C)CC,2.95
CCOP(=O)(OCC)N(C)C,11.7
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.39
CCOCc1ccccc1,3.9
C1=CCCCCC1,2.265
O=S(=O)(Cl)c1ccc(S(=O)(=O)C(F)(F)F)cc1,4.72
C=C/C(C)=C/C,2.426
O=S(=O)(c1ccc(O)cc1)C(F)(F)F,42.2
CCCCC(C)(CC)C(=O)O,2.7
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,3.47
CCCCCCCCOC(=O)c1ccco1,5.67
CCc1ccccc1Cl,4.36
CCC(O)(CC)CC,3.158
CC(C)CCN(CCC(C)C)CCC(C)C,2.29
CCCOC(=O)CCC,4.3
NCCCc1ccccc1,4.83
CC(C)c1ccccc1,2.37855
CC(C)C(C)C(C)C,1.9738
CC(O)CC(C)O,24.69
CC(C)(C)C(N)=O,20.13
CC(C)CCOC(=O)CC(CC(=O)OCCC(C)C)C(=O)OCCC(C)C,5.1
CCOC(=O)Cl,11.0
CCOC(=O)CCCCCCCC(=O)OCC,5.133
FC(F)F,5.2
CCc1ccccc1Br,5.55
CC(C)(O)CCO,24.56
Cc1cccc([N+](=O)[O-])c1,25.075
Cc1ccc(Cl)cc1Cl,5.68
CCCC(=O)OCC(C)C,4.05
C[Si](C)(C)Cl,8.01
CC(=O)N(C)C,39.24
O=CC(Br)(Br)Br,7.6
C=CC(=O)OC,6.805
Cl[Si](Cl)(Cl)Cl,2.2377
NCCNCCO,21.81
CCCC(CC)CC,1.9617
O=C1CCCCCCCCCCCC1,9.34
CCCC(Cl)CCl,6.89
Nc1ccccc1,7.037
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,6.7
ClCCBr,7.0
CC(ON=O)c1ccccc1,7.72
CCCOC(=O)/C=C/c1ccccc1,5.45
CO[Si](OC)(OC)OC,6.0
N#CC1CCCC1,22.68
C=CC=CC,2.32
ClC(Cl)C(Cl)Cl,8.5
CC(C)COCCO,9.09
BrCCCCBr,8.69
ClCCc1cc(Cl)ccc1Cl,5.2
CCOCCOCCO,13.4
CC(C)CCCCC(C)C,1.98
CC(CO[N+](=O)[O-])O[N+](=O)[O-],26.8
CC(Br)C(C)Br,6.059
C1=CCC=CC1,2.211
BrCCCCCCCCCBr,7.153
C=Cc1ccncc1,10.5
O=C(O)CCl,14.3
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.22
CC(C)CCCl,5.97
CCCCCOC(=O)Cc1ccccc1,4.48
O=NOCc1ccccc1,7.78
C#COc1ccccc1,4.76
CCOC(=O)c1ccccc1,6.155
FC(F)(F)c1ccccc1,9.22
CCC=CCC=CCC=CCCCCCCCC(=O)OC,3.355
Cc1cccc(F)c1,5.41
Cc1ccccc1Cl,4.721
COC(=O)c1ccccc1N,21.9
CCCCCCCCCCCCOC(=O)C1CCCCC1,3.37
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,3.043
CC(C)(C)ON=O,11.47
NNc1ccccc1,7.15
CCCC(=O)N(C)C,29.7
O=P(Cl)(Cl)Cl,14.225
c1ccc2cnccc2c1,11.0
CCOC(=O)/C=C/C(=O)OCC,6.56
CC(C)(O)c1ccccc1,5.61
CC(=O)Oc1ccccc1,5.403
CCOC(=O)C(C)I,8.6
NC(=O)Nc1cc(C(F)(F)F)ccc1Cl,5.85
O=C=Nc1cccc(C(F)(F)F)c1,8.34
COc1ccccc1O,11.95
CCC(C)CCC(C)C,1.89
CC/C=C\CC,2.069
CCN(CC)C(=O)N(CC)CC,14.34
CC(O)CCC(C)O,23.0
CCN(CC)C(=O)N(C)C,17.89
CN(C)C=S,47.5
COC(=O)CCl,12.0
CCCC(O)CO,17.31
CCCC(Br)CBr,4.39
CCNC(C)=O,132.0
CC(C)C(CO)C(C)C,9.83
CCC(C)(C)O,5.74
C1CCCCCCC1,2.115765
CCC(C)Cl,8.564
CCNCC,3.72675
CCNC(=O)CC,126.8
Cc1ccc(C)cc1,2.26611
CCC(C)C,1.83625
O=COC1CCCCC1,6.47
CCCCCCCOC(=O)C1CCCCC1,3.82
CCc1ccc(C)cc1,2.265
COC(=O)CCC(=O)OC,7.19
C#COCC,8.05
CC(C)N(C=O)C(C)C,24.2
CC(C)CI,6.47
CO[Si](C)(C)C,3.248
O=P(Cl)(Cl)c1ccccc1,26.0
C1CCNCC1,4.255
CC(=O)CCC(C)C,13.32
C=COC=C,3.92
ClC(Cl)(Cl)Cl,2.24845
CCCC(=O)OCC,5.18
Cc1ccc(Cl)c([N+](=O)[O-])c1,28.07
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,3.931
FC(F)(Br)C(F)(F)Br,2.34
ClC(Cl)(Br)Br,2.544
Cc1ccco1,2.76
CC=C(CC)CC,2.051
CC(=O)Cl,15.85
Cc1ccc(N=C=O)cc1N=C=O,8.4565
CCCOC(=O)C(Cl)(Cl)Cl,8.32
CC(C)O[Si](C)(C)C,2.851
Cc1cccc(C)n1,7.33
ClCCOCCCl,21.2
Nc1cccc(Br)c1,13.0
Cc1c(Cl)cccc1Cl,3.36
CC(=O)Br,16.35
O=CCc1ccccc1,4.8
BrCCBr,4.76
CCOC(=O)/C=C/c1ccccc1,5.63
CCCCCCCOC(=O)c1ccncc1,6.07
C[Si](C)(C)N[Si](C)(C)C,2.273
CC(C)(C)N=S=O,7.22
COC(=O)C(C)Cl,11.45
O=Cc1ccccc1O,17.675
CCC(O)CCC(C)C,5.18
C=CCc1ccccc1,2.63
CCC(C)(C)I,8.192
COC(=O)CCCCC(=O)O,6.69
CC(C)O[Si](C)(OC(C)C)OC(C)C,3.255
BrCCCCCBr,9.183
CC(C)C(C)C,1.9186
CC(C)CCl,7.027
CC(C)CN,4.47
CCCCN(C(C)=O)c1ccccc1,11.66
CCC(C)=CCC(C)C,2.343
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,5.22
COC(=O)OC,3.087
COCC(C)OCC(C)O,10.76
CC(C)COC(=O)CCCCC(=O)OCC(C)C,5.19
Cc1ccnc2ccccc12,9.31
O=P(N1CC1)(N1CC1)N1CC1,14.62
Oc1ccccc1,12.9
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.476
C=C(C)C=CC,2.422
O=[N+]([O-])c1ccccc1O,16.75
CC(C)CCC(C)C,1.9561
CCC(=O)N(C)C,34.6
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.54
COc1ccc(N(CC(=O)Nc2cc(C)ccc2C)S(=O)(=O)c2ccc(C)cc2)cc1,21.2
C=Cc1ccccc1,2.4737
C#CCO,20.8
CC(=O)C=C(C)C,15.25
CC(=O)OCCC(C)C,4.72
