SMILES,TARGET
CCCCCCC,0.0
ClCC(Cl)Cl,1.25
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,2.48
O=C(O)C(=O)O,2.63
CC(C)CC(C)C,0.0
Cc1ccc(C)c(C)c1,0.3
C=CC#CC,0.66
C=O,2.33
C,0.0
CC(=O)CC(C)(C)O,3.24
CCCCCCC=O,2.58
CC(=O)c1ccccc1,3.02
N#CCCC#N,3.83
O=C1CCCCCN1,3.88
O=S1(=O)CCCC1,4.69
C=C(C)Cl,1.66
CCCCCCCCCCCCCCC,0.0
COC=O,1.77
C=CC,0.37
C=C=C,0.0
CCOC(=O)CC(C)C,1.97
CCCCC(C=O)CC,2.66
Clc1ccccc1,1.69
CN=CO,3.83
C[SiH](C)C,0.52
CCOC,1.23
CCCCBr,2.08
CCCCCCCCCCCCCCO,1.6
N#CCCCCC#N,3.76
O=C(O)CC(O)C(=O)O,3.12
Cc1ccccc1Cl,1.56
CC(=O)Cl,2.72
CCCCCCCBr,2.16
C#CC,0.78
OCCCCCCO,2.5
CC=Cc1ccc(OC)cc1,1.5
C=C(CC(=O)O)C(=O)O,2.25
CC(=O)OCC(COC(C)=O)OC(C)=O,2.58
Nc1ccccc1N,1.53
Cc1ccccc1C,0.62
OCC(O)CO,4.21
O=C(O)c1ccccc1O,2.65
OC1=NCCC1,3.1
COC(=O)c1ccccc1O,2.47
CCOC(=O)CC(=O)OCC,2.54
CCC(=O)CC,2.82
NC1CCCCC1,1.31
CCCOCC,1.16
O=C=O,0.0
Clc1ccc(Cl)c(Cl)c1,1.26
O=Cc1ccc(O)cc1,3.96
c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,0.33
Cc1ccccc1C(=O)O,1.7
CCC#N,4.02
c1cocn1,1.5
O=C1OC(=O)c2ccccc21,5.29
Cc1ccc2ccc(C)cc2c1,0.41
CCc1ccccc1,0.59
C=CC(=C)C,0.2
ClCCCCl,2.08
OCCOCCO,5.49
C=C(C)C=O,2.68
CCCCN(CCCC)CCCC,0.78
C=CCCC,0.47
Oc1ccc(O)cc1,1.4
CCc1ccc(C)cc1,0.0
CC1CCC(C)CC1,0.0
C#CCCCC,0.83
CCC(C)(C)CC,0.0
C1=CCCCC1,0.55
C=CCC,0.34
CC(Cl)Cl,2.06
O=C(O)C(O)C(O)C(=O)O,3.24
CC(C)Cc1ccccc1,0.31
Nc1ccc(N)cc1,1.53
CCCC[N+](=O)[O-],3.4
CNC,1.03
FC(F)(F)c1ccccc1,2.86
CCC(C)C,0.13
CCCCCCCCCCCCCCCC(=O)O,0.72
CN(CCO)CCO,2.86
Nc1cccc(Cl)c1,2.94
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,2.84
CCCCCCCCCCCCS,1.59
Cc1cccc(N)c1,1.49
CCCS,1.55
Sc1ccccc1,1.23
ClCCCCCl,2.22
CCC(C)(C)C,0.0
C#CCCCCC,0.87
CCCCc1ccc2ccccc2c1,0.75
COCOC,0.74
CCCCCN,1.55
NNc1ccccc1,1.67
CCCCC(C)CCC,0.0
C=C(F)F,1.38
CCCCCl,2.05
CC,0.0
C(=Cc1ccccc1)c1ccccc1,0.0
O=C(O)C(F)(F)F,2.28
CC#N,3.92
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,2.17
CCCC(C)(C)C,0.0
Nc1ccccc1[N+](=O)[O-],4.06
CN(C)c1ccc(C=O)cc1,5.58
Cc1cccs1,0.67
C(#Cc1ccccc1)c1ccccc1,0.3
C#CCO,1.78
c1ccc(Oc2ccccc2)cc1,1.16
ICCI,1.3
CC(O)CC(C)(C)O,2.9
Cc1ccsc1,0.82
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,4.32
O=C(O)c1ccccc1Cl,2.45
CCCCOCCCC,1.17
CCCCCCCCCCCCCCCCCCO,1.7
c1ccc(Cc2ccccc2)cc1,0.26
FC(F)(F)C(F)(F)Cl,0.52
O=Cc1ccccc1,2.8
CC(=O)CC(C)C,2.7
Cc1ccc(O)cc1,1.56
CCc1cccc(C)c1,0.33
CCCCCCCCCCS,1.59
CC(c1ccccc1)c1ccccc1,0.0
Nc1ccc([N+](=O)[O-])cc1,6.29
C=Cc1cccc(C)c1,0.36
FCCF,2.67
CC(=O)OCCC(C)C,1.8
O=C(Cl)CCl,2.23
CCCC(=O)O,1.23
Cc1ccc(C)c(O)c1,1.43
c1ccc2ncccc2c1,2.29
Cc1ccc(Br)cc1,1.9
CCC1CCCC1,0.0
CC1CCCCC1,0.0
Cc1ccccc1[N+](=O)[O-],3.75
O=C=S,0.71
Cc1ccc2c(C)cccc2c1,0.32
CC(C)I,1.95
O=[N+]([O-])c1ccccc1Cl,4.64
BrC(Br)Br,0.99
C=CCCl,1.94
CC(=O)C=C(C)C,3.2
C1CCSC1,1.9
c1ccc(-c2cccc3ccccc23)cc1,0.0
COc1ccccc1[N+](=O)[O-],4.83
Nc1cccc([N+](=O)[O-])c1,4.9
FC(F)C(F)(F)F,1.54
Cc1cc(C)cc(O)c1,1.76
C=CCCCCC,0.34
CC(C)C#N,4.29
C1CCCCCC1,0.0
O=C(O)CCC(=O)O,2.2
OCCN(CCO)CCO,1.08
CCCCCCCCCCCCO,1.7
CC(=O)OC(C)C,1.75
CCCCCCCCCCCC,0.0
Cc1ccc(O)c(C)c1,1.39
C=C(C)C(=O)OCC,2.15
C#CCCl,1.68
CCCCOC(C)=O,1.84
OC1CCCCC1,1.86
CCCCCCS,1.55
CCN(CC)CC,0.66
CCCCCCC(C)=O,2.72
OCC(CO)(CO)CO,2.0
CCC(CC)CC,0.0
C1CN1,1.9
C=C(Cl)Cl,1.34
O=CO,1.42
CC(=O)OCC(C)C,1.87
O=C(O)CCl,2.31
CCCCOC=O,1.92
Cc1cccc(C)c1O,1.41
CC1=CCC2CC1C2(C)C,0.36
CCCOCCC,1.21
O=CCCl,1.99
c1ccc2c(c1)-c1cccc3cccc-2c13,0.0
CCCCCCCC,0.0
Brc1cccc(Br)c1,1.47
O=C(C(F)(F)F)C(F)(F)F,0.65
Cc1ccc(C=O)cc1,3.3
CCCS(=O)(=O)CCC,4.47
CCCCc1cccc2ccccc12,0.69
CCOC(=O)Cl,2.55
CCSCC,1.54
CCCCCCCN,1.6
OCCO,2.31
CCCCc1ccccc1,0.37
CCC(C)Cl,2.04
ClC(Cl)C(Cl)Cl,1.29
ClC(Cl)=C(Cl)Cl,0.0
CC(C)C(=O)O,1.09
CSSC,1.97
CCCCC=O,2.57
N#CCl,2.82
CCCOC,1.24
CCCCOB(OCCCC)OCCCC,0.78
Cc1cccc([N+](=O)[O-])c1,4.23
CCOCCOC(C)=O,2.25
CC1=CC(=O)CC(C)(C)C1,3.99
CC(C)CN,1.27
Cc1ccc(C(C)C)cc1,0.0
CCCCS(=O)(=O)CCCC,4.47
CCCCCCCCCCCCCC,0.0
CCCC(C)C(C)C,0.0
CCCCCCOC(C)=O,1.8
ClC=C(Cl)Cl,0.77
CCCCCC(=O)O,1.13
CN1CCCC1=O,4.09
CN,1.31
C[Si](C)(C)C,0.0
CCC(C)(C)Cl,2.16
CC(C)[N+](=O)[O-],3.73
CC(F)(F)F,2.32
O=[N+]([O-])c1ccccc1,4.22
Nc1ccccc1,1.53
CSC,1.5
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.66
O=C(c1ccccc1)c1ccccc1,2.98
O=Cc1ccccc1O,2.88
Cc1cc(C)cc(C)c1,0.0
CCCCOCCO,2.08
N#CCC#N,3.72
C=CC(C)C,0.32
O=C(O)C=CC(=O)O,2.81
OCC=CCO,2.485
CCCCCC(C)O,1.73
CC(C)(C)c1ccccc1,0.7
