SMILES,TARGET
CCC(C)N,1.28
C#C,0.0
CC(O)CC(C)(C)O,2.9
Cc1cccc(O)c1,1.59
CC(C)CN,1.27
COC(=O)C=CC(=O)OC,2.48
FC(Cl)Cl,1.29
N#CCl,2.82
COc1ccccc1[N+](=O)[O-],4.83
O=Cc1ccccc1,2.8
FC(F)(F)c1ccccc1,2.86
O=C(O)C=CC(=O)O,2.81
Cc1cc(C)nc(C)c1,2.0
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],2.48
CC(C)C#N,4.29
O=C(Cl)CCl,2.23
Nc1cccc(N)c1,1.81
COc1cc(C=O)ccc1O,2.87
CCCCOCCCC,1.17
CCOc1ccccc1,1.41
CCCCCCCCCCS,1.59
FC(Cl)(Cl)Cl,0.45
CCNCC,0.92
C#CCO,1.78
Oc1ccccc1,1.45
CCCCCBr,1.99
N=CO,3.73
C=CC#CC,0.66
CCCCCCCCC=CCCCCCCCC(=O)O,1.44
CN(C)CCO,2.21
FC(F)C(F)(F)F,1.54
O=C(Cl)c1cccc(C(=O)Cl)c1,5.16
CCCS(=O)(=O)CCC,4.47
CCCOC(=O)CC,1.79
CSC,1.5
O=C(O)c1ccccc1Cl,2.45
CCCCCCOC(C)=O,1.8
CC(=O)C(C)C,2.77
CCCCCCCCCCCCCCO,1.6
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],2.81
Cc1cccc(C)n1,1.64
CCC=CCC,0.17
CC(C)CS,1.53
Cc1ccsc1,0.82
CCC(C)(C)C,0.0
COCCOCCOCCOCCOC,2.47
CC(=O)OC(C)C,1.75
CCC#N,4.02
CCC=O,2.52
ClC(Cl)=C(Cl)Cl,0.0
CCOC(=O)OCC,1.1
OCC(O)CO,4.21
COC=O,1.77
CC(C)CCC(C)C,0.0
CCC(CC)C(C)(C)C,0.0
Fc1ccccc1,1.6
C=C(C)C(C)=O,2.74
N#CCCC#N,3.83
C=COC=O,1.66
CCI,1.91
NCCO,0.78
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,4.32
CCCCSSCCCC,1.99
CCCOC,1.24
C=C(F)F,1.38
CCC(C)(C)O,1.7
C=C(C)C(=O)OC,1.97
Cc1ccc(O)c(C)c1,1.39
CN(C)C=O,3.82
COC(C)(C)C,1.36
CCCI,2.04
N=C=S,1.72
CF,1.85
Fc1c(F)c(F)c(F)c(F)c1F,0.33
CCCCCC(C)O,1.73
CCC(C)Cl,2.04
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.2
CCC(C)(C)CC,0.0
CC(C)c1ccccc1,0.39
CCCCCCC=O,2.58
FC(F)(F)C(F)(F)Cl,0.52
N#Cc1ccccc1,4.18
O=C(O)CCCCCCCC(=O)O,2.35
CC=Cc1ccc(OC)cc1,1.5
Cc1cccc(N)c1,1.49
Cc1ccccc1,0.36
Cc1ccc(C=O)cc1,3.3
CCCCCCCCCCCCCC(=O)O,0.77
CCCCCC(C)C,0.0
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.54
CC(F)(F)Cl,2.14
CCOP(=O)(OCC)OCC,3.09
CCCCCCCS,1.55
CN=CO,3.83
BrCBr,1.43
Sc1ccccc1,1.23
C=CCCCCC,0.34
C=C(C)C(=O)OCCC,2.12
C=C(C)C#N,3.69
O=C=Nc1ccccc1,2.25
O=Cc1ccccc1O,2.88
CC(Cl)(Cl)Cl,1.78
Nc1cccc([N+](=O)[O-])c1,4.9
CCCC(=O)OCC,1.76
CCCCCCl,1.94
OCCNCCO,0.85
CN(C)C,0.61
ClCCCl,2.94
CC(=O)OCc1ccccc1,1.8
CCCCCCCCS,1.61
Cc1cccs1,0.67
Cc1ccc(C)c(O)c1,1.43
CCCCCCCCCCO,1.62
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,6.39
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.15
CC(F)F,2.27
Cc1ccc(Cl)cc1,2.21
CCCC(C)(C)CC,0.0
ClC(Cl)(Cl)Br,0.59
C=CCI,1.62
CCCCCCCCCCCCCCCC,0.0
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,2.84
CCCCOC(=O)CC,1.8
C=COCCCC,1.25
CC,0.0
O=[N+]([O-])c1cccc(Cl)c1,3.73
CCC(Cl)Cl,2.08
O=C(Cl)Cl,1.17
CC(C)(OO)c1ccccc1,1.79
N#CC#N,0.0
CCCOC=O,1.91
COc1ccccc1O,2.46
OCC(CO)(CO)CO,2.0
O=C(F)F,0.95
C#N,2.98
CCCCCCCCCCCCCCCCC,0.0
C=CCl,1.45
OCCOCCO,5.49
CC(Cl)Cl,2.06
FCF,1.96
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,2.17
C=CCC,0.34
Nc1ccccc1Cl,1.77
CCCCc1ccccc1,0.37
CCCCCCCCO,1.65
CCOCCOC(C)=O,2.25
CCCCCCCCCC,0.0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.0
ClC(Cl)C(Cl)(Cl)Cl,0.92
C#CC=C,0.4
CCOC(=O)C(C)O,2.4
Cc1ccc(C(C)C)cc1,0.0
C=Cc1ccc(C)cc1,0.38
CO[N+](=O)[O-],2.88
C,0.0
Nc1ccc(N)cc1,1.53
NCCN,1.9
CCCl,2.05
O=[N+]([O-])c1ccccc1[N+](=O)[O-],6.3
CCOC(=O)C(C)C,2.07
CC#N,3.92
O=C=O,0.0
CCO[N+](=O)[O-],2.93
CCCOC(=O)CCC,1.75
CCl,1.87
CCCCN,1.39
CCOC,1.23
CCC(C)O,1.66
C#CC,0.78
CCCCCCCCCCCC(=O)O,0.76
CC(C)(C)CC(C)(C)C,0.0
CCCCCCCCCCCCO,1.7
CC(C)C(C)C(C)(C)C,0.0
CCc1cc(C)cc(C)c1,0.2
C=C,0.0
O=[N+]([O-])c1ccccc1,4.22
CCCOC(C)=O,1.79
C=CCC=C,0.38
CCCCCCCC(=O)O,1.15
ClCC(Cl)Cl,1.25
Cc1cc(C)cc(C)c1,0.0
ClC(Cl)(Cl)c1ccccc1,2.04
CCCCCCS,1.55
Cc1ccc(C)cc1,0.0
COCCOCCOCCOC,2.24
CCCCCCC(C)O,1.61
O=C(O)CCCCCCCCC(=O)O,2.4
CCC(C)C(C)CC,0.0
CCCCCCCCCO,1.61
COCOC,0.74
CBr,1.81
CCC(C)C,0.13
CCCCCC,0.0
Nc1ccccc1N,1.53
O=CO,1.42
CNC(C)=O,3.72
Cc1ccc(N)cc1,1.31
CCC(C)Br,2.23
CC(O)CO,3.63
CC=CC(=O)O,2.13
CN(C)P(=O)(N(C)C)N(C)C,5.54
Cc1ccncc1,2.75
CC(=O)OCCOC(C)=O,2.34
CC(C)CCCl,1.94
CO,1.7
ClCc1ccccc1,1.89
Cc1cccc(C)c1O,1.41
CC(C)(C)I,2.15
CCCC=CCCC,0.0
C=C=CC,0.4
Cc1cccnc1,2.4
CCCCO,1.66
