SMILES,TARGET
CCCCCCCCCCc1ccccc1,380.372222
CCc1ccc(CC)c(CC)c1,348.705556
COc1ccccc1[N+](=O)[O-],379.261111
CCCCC(CC)CO,346.483333
ClCBr,284.261111
c1ccc(Cc2ccccc2)cc1,403.15
CC(C)CN,255.372222
CCCI,280.927778
C=CCCCCCCC,299.816667
Clc1cccc2ccccc12,394.261111
C=CC(Cl)CCl,300.927778
CCC[N+](=O)[O-],309.261111
CC(C)CCC(C)C(C)C,304.261111
CC(=O)CCC(=O)O,409.816667
CCCCCCCCOC=O,337.038889
O=C1C=CC(=O)O1,375.372222
Oc1cccc(O)c1,399.816667
C=CCO,294.261111
CCCCCOC=O,305.927778
C=C(C)CCCC,267.038889
O=C(O)c1ccccc1Cl,434.261111
CC12CCC(CC1=O)C2(C)C,338.705556
CCc1cccc(C)c1,310.927778
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,485.927778
O=Cc1ccccc1,337.594444
CCc1cccc(CC)c1,329.261111
C1CC1,178.705556
Cc1ccc2ccccc2n1,352.594444
CCC(C)OC(C)CC,288.15
CCCCCCl,285.927778
O=C1OC(=O)c2ccccc21,424.816667
CCCCOC(C)=O,294.816667
CCCC(CCC)C(C)C,314.261111
c1ccc(Oc2ccccc2)cc1,388.15
CCCCCCCCCCCCCCO,414.261111
CN1CCCC1=O,368.705556
CCOC(=O)CC#N,383.15
CCCCCCCCN,333.15
C=C(C)C(=O)OC,284.261111
CCCC(C)C(C)CCC,314.261111
CC(F)(F)Cl,208.15
C=C(C)CC,266.483333
CCc1cc(C)cc(C)c1,325.927778
CC(c1ccccc1)c1ccccc1,402.038889
C=CCC(C)C,234.261111
c1ccc(C2CCCCC2)cc1,372.038889
CCCC(C)C(C)(C)CC,304.261111
Cc1ccc(Br)cc1,358.15
O=C(O)CC(O)(CC(=O)O)C(=O)O,559.261111
FC(F)F,160.927778
CC(C)CC(C)(C)C,260.927778
O=C1c2ccccc2C(=O)c2ccccc21,458.15
CC(C)(OO)c1ccccc1,322.038889
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,444.261111
CC(C)c1cccc(C(C)C)c1,349.816667
CCOCCC(=O)OCC,330.927778
C=C(C)C(C)(C)C,255.927778
CCC(C)CC(C)(C)CC,304.261111
C1CCCCCC1,279.816667
NCCCCC(N)C(=O)O,484.261111
CCCC1CCCC1,289.261111
c1ccc2c(c1)CCCC2,344.261111
Cc1ccccc1N,358.15
CCCCCCCc1ccccc1,368.15
CCCCCCCCCOCCCCCCCCC,429.816667
C#CCC,210.372222
C=COC(C)=O,264.816667
CC(C)OC(C)C,245.372222
CC(C)CCCC(C)C,299.261111
CCCCC(C)CCCC,312.038889
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,389.261111
CCCCCC(C)C(C)C,314.261111
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,467.038889
Cc1cc(C)c(C)cc1C,327.594444
CC(C)C(C)C(C)(C)C,284.261111
C1=CCOC1,257.038889
CCOC(=O)c1ccccc1C(=O)OCC,434.261111
CCCC(=O)OCC,298.705556
CCOc1ccc(N)cc1,389.261111
ICI,377.038889
CCCCCN,280.372222
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,505.372222
C=CCC,194.261111
C=Cc1cccc(C=C)c1,338.15
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,450.927778
CCC(C)c1ccccc1,325.372222
O=C=Nc1ccccc1,328.705556
C=Cc1ccccc1C,320.372222
CCCCCO,305.927778
CCC1(C)CCCC1,279.261111
O=Cc1ccccc1O,350.927778
ClC(Cl)(Cl)c1ccccc1,352.038889
CCC(C)C(=O)O,348.15
C=C(CC(=O)O)C(=O)O,488.15
CCCC(C)(C)C(C)(C)C,304.261111
CC=Cc1ccc(OC)cc1,362.038889
CCCC(C)(C)C(C)C,288.15
C=CC(=O)OC,269.816667
OCCCCCO,402.594444
Nc1ccc(N)cc1,428.705556
CC=CCCC,245.927778
COC(C)=O,263.15
OCCN(CCO)CCO,452.594444
OCCCCO,407.038889
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,480.372222
CCCOC=O,270.372222
