SMILES,TARGET
OCCc1ccccc1,369.261111
CCc1cccc(C)c1C,338.15
Cc1ccccn1,312.038889
C=CCCC,255.372222
CCc1ccccc1C,314.261111
CCC(C)CO,323.15
CCCCC(C)C(C)(C)C,304.261111
CCCCOCCOCCOCCCC,390.927778
CCCCC=O,285.372222
CCCC(CC)C(C)C,288.15
CCCCCCC(C)(C)C,304.261111
C=CCC(C)CC,258.15
CCCCCCCCCCCCCCCCCCC,429.261111
CC(C)C(C)(C)C,249.261111
CCCC(CC)CC(C)C,314.261111
C=CC,165.372222
C=C(CC)CCCC,279.261111
Cc1ccc(Cl)cc1Cl,369.261111
CCC(C)(C)C(C)(C)CC,304.261111
CCC(C)(CC)CC,275.927778
CCCCN,260.927778
CC=C(C)C,266.483333
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,505.372222
CCCCC#N,304.816667
Cc1ccc(C(C)C)cc1,320.372222
Oc1cccc(Cl)c1,363.15
CC(C)c1ccccc1,317.038889
CC,138.15
C[SiH](C)C,204.261111
CCCCC(C)CCCC,312.038889
c1ccc(COCc2ccccc2)cc1,408.15
CCCOC=O,270.372222
O=C1OCCO1,424.816667
Oc1ccc(O)cc1,438.15
CC(C)(C)CC(C)(C)c1ccc(O)cc1,405.927778
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,374.261111
O=C(O)C(O)C(O)C(=O)O,483.15
CC(C)CC(C)(C)C,260.927778
C=CCCC=C,227.038889
CCC(C)C(C)CC,277.038889
O=CO,342.038889
C=C(C)c1ccccc1,327.038889
C#CCCl,290.927778
CC(C)CC(C)C(C)C,288.15
CCCC(C)(C)C(C)(C)C,304.261111
C=C1CCC2CC1C2(C)C,312.594444
CCCC=O,266.483333
CCCC(C)CC,269.261111
CC=CC=O,285.927778
C#CCCCC,252.038889
Nc1ccc(Cl)cc1,385.927778
CCCCCCl,285.927778
CCCCCC(C)C(C)C,314.261111
CCCNCCC,290.372222
CCCCCCCCCCCCCCC(=O)O,454.816667
C=CCCCCCCCCC,344.261111
O=[N+]([O-])c1cccc(Cl)c1,400.372222
CCCCCCCCCCCCCCCCCO,427.594444
Oc1ccccc1,352.594444
CCC(C)CC(C)(C)CC,304.261111
CCCC(C)(CC)CC,288.15
CCCCCCCCCCCCCCCCCCCC,442.038889
C=CCN,244.261111
CCCCCCCC(=O)O,393.15
