SMILES,TARGET
CC(=CC(=O)O)C(=O)O,493.15
CN(C)C,266.483333
CBr,229.261111
CCOc1ccccc1,324.816667
COc1ccccc1O,354.816667
CC(C)Cl,240.927778
C=Cc1ccc(C)cc1,319.261111
C=C=CC,197.038889
CCCCCCCCN,333.15
Cc1ccccc1,277.594444
CC(C)(C)C,208.15
CCCCCCCCCCCC=O,378.15
C=C(C)C(C)=O,294.261111
CCCC=CCCC,280.927778
C=COCCCC,272.038889
Oc1ccccc1,352.594444
CCCI,280.927778
NCCCO,352.594444
CCC(C)CCCC(C)C,314.261111
N#CCCO,402.594444
CC(C)Cc1ccccc1,328.15
CCCCC(C)C(C)(C)C,304.261111
C=C(C)CCCC,267.038889
CCC(C)(CC)CC,275.927778
CC(=O)OCCOC(C)=O,360.927778
Oc1cccc(Cl)c1,363.15
C=C(C)CC,266.483333
CCN,227.038889
CCC(C)Cl,244.261111
CC(C)CC(=O)O,348.15
COc1cc(C=O)ccc1O,432.038889
CCCOCCC,294.261111
CCC(C)S,250.372222
Cc1cc(C)cc(C)c1,317.594444
O=[N+]([O-])c1cccc(C(F)(F)F)c1,360.927778
CC(=O)C=C(C)C,301.483333
Cc1cccc(O)c1,367.594444
CCC(C)CC(C)(C)C,288.15
CCCOC(=O)CC,352.594444
ClCC(Cl)(Cl)Cl,319.816667
CC(=O)OC(C)=O,327.038889
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,467.038889
O=Cc1ccc(O)cc1,444.816667
C=CC(=O)OC,269.816667
CC(C)C(C)CC(C)(C)C,304.261111
CO,284.261111
CCC(C)(C)OC,259.816667
Cc1ccc(O)cc1,367.594444
CCCCC(CC)COC(C)=O,360.927778
CC(=O)CC(C)=O,307.038889
CCCCCS,290.927778
CCCC(C)(CC)CC,288.15
CCC(C)C(C)C(C)C,288.15
CCCCNCCCC,320.372222
CC(C)CN,255.372222
COC(=O)CCl,324.816667
CCC(C)C(C)C(C)(C)C,304.261111
CCCCCCCCCS,350.927778
CCC(C)C(=O)O,348.15
CCC[N+](=O)[O-],309.261111
OCC(O)C(O)C(O)C(O)CO,658.15
COC=O,254.261111
CCCOC(C)=O,288.15
OCCCO,394.816667
CCc1cccc(C)c1,310.927778
NC(CCC(=O)O)C(=O)O,544.261111
CC(=O)N(C)C,335.927778
CCOC(=O)C(C)O,319.261111
CCCCCCCCCCCCCc1ccccc1,439.261111
CCCCCCCCC=CCCCCCCCC(=O)OC,449.816667
CSSC,279.816667
CCCC(C)CCC,278.15
CCc1cccc(C)c1C,338.15
CC(C)CCC(C)(C)C,285.927778
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,479.816667
Cc1cccc([N+](=O)[O-])c1,374.816667
CCC(C)(C)CC,254.261111
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,374.261111
O=C(O)C(=O)O,494.816667
CCCCC(C)C(C)C,288.15
Oc1cccc(O)c1O,458.15
CCC(C)C(C)CC(C)C,304.261111
CCc1cc(C)ccc1C,329.261111
CCCCCCCCCCCC,347.038889
ClCOCCl,308.15
CC(C)CC(O)CC(C)C,339.261111
CCCCCCCC(C)C,314.261111
CCCCCCCCC,304.261111
CCCCCCS,293.15
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,505.372222
Cc1ccc([N+](=O)[O-])cc1,379.261111
ClC(Cl)C(Cl)Cl,334.816667
C=CC=CC,230.927778
ClC=CCl,275.927778
CCCN(CCC)CCC,302.038889
O=Cc1ccco1,333.15
CCCNCCC,290.372222
FC(F)(F)c1ccc(Cl)cc1,315.927778
C=CC(C)CCC,267.038889
CCCCC(C=O)CC,317.038889
CC(C)CC(C)CC(C)C,304.261111
CCC=CCCCC,282.038889
CCCCCCCCCCCCCCN,405.927778
CC(C)(C)CC(C)(C)c1ccc(O)cc1,405.927778
CCCCCCC(C)(C)C,304.261111
CCC(C)CCC(C)(C)C,304.261111
Cc1ccc(Cl)cc1,324.816667
CC(C)CC(C)(C)C,260.927778
CCCCCCCCCCCCS,400.927778
CCCC(C)C(C)CC,288.15
CCCCCCCCCCCC(=O)O,429.816667
CC(=O)OC(C)OC(C)=O,339.261111
CC(C)O,284.816667
CCC(CC)C(C)(C)C,285.927778
C=CC(C)(C)C,244.816667
CC(C)CCCC(C)C,299.261111
CC=C(C)CC,244.816667
CCCC(C)C(C)C,278.705556
Nc1ccc(Cl)cc1,385.927778
CCCCCCCCCCS,368.15
COCCOCCOCCOC,383.15
Clc1ccc(Cl)cc1,339.261111
C=CCCCCCCCC,326.483333
NCCNCCN,372.038889
CCCCCC(CC)CC,314.261111
COC(=O)c1ccccc1O,369.261111
C#CC=C,209.816667
O=C(O)C(F)(F)F,294.261111
O=Cc1ccccc1,337.594444
S=C=S,243.15
CCC(CC)CC(C)C,288.15
CCCC(C)CC,269.261111
