SMILES,TARGET
COC(C)(C)C,3.179
C1CCC1,2.45
CC(c1ccccc1)c1ccccc1,5.437
CC(C)(c1ccccc1)c1ccc(O)cc1,5.582
OC1CCCCC1,3.601
CC(C)S,2.993
CCOC(=O)c1ccccc1,4.765
CCCCCCCCCCCCCCCCCCO,7.93
Cc1cc(C)c(C)cc1C,4.502
CC(C)C#N,3.211
Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],4.997
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,9.488
Cc1ccc(C(C)C)cc1,4.557
CCCCCCCCCCO,5.499
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,5.466
CCC(C)(CC)CC,3.928
C#CC(C)C,3.327
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,10.91
CC(C#N)CCC#N,4.448
OCCc1ccccc1,4.279
O=C(O)C(=O)O,3.22
CC(C)(C)O,3.067
C=C(C)c1ccccc1,4.147
CCCCCCC(=O)O,4.842
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,4.859
FC(F)=C(F)Cl,3.293
O=C=NC1CCCCC1,4.229
C1CN1,1.99
CCc1ccccc1C,4.084
CC(C)CCCCO,4.563
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.143
C=CCCCCC,4.083
CC#CC,2.519
CCOC(=O)CC,3.934
CCc1cccc(C)c1C,4.517
CCCCCC(C)(C)C,4.845
CCCCCCCCN,4.79
CC(C)c1ccccc1,4.322
CC(=O)CCC(=O)O,3.675
CC(C)CO,3.332
Cc1cccc(C)c1C,4.127
CC(=O)Nc1ccccc1,4.345
Cc1cccc([N+](=O)[O-])c1,4.468
FC(F)(F)Br,2.81
FC(F)(F)c1ccc(Cl)cc1Cl,5.233
CCC=O,2.643
CCC(C(C)C)C(C)C,4.371
C=CCC(C)C,3.679
CCCCCC(C)CC,5.02
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,5.314
Oc1ccc(Cl)cc1,3.913
CC(=O)C(=O)O,3.235
CCc1ccc(CC)cc1,4.58
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],5.07
CC(C)C,2.948
C=CCl,2.049
CCCCCCCCc1ccccc1,6.498
CN(C)c1ccccc1,4.076
C1CNCCN1,3.035
COCCOC,3.328
Sc1ccccc1,3.608
CC(=O)O,2.61
CCOC(C)OCC,4.329
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,4.873
Cc1ccccc1C(C)C,4.439
CC(N)CN,3.17
CCOC=O,2.963
CCOCCC(=O)OCC,5.086
CCC(C)=O,3.135
C=CCCCCCCC,4.873
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,5.983
CCCCCCCCS,5.014
Cc1ccccc1C,3.836
C=CC(C)CC,3.557
C=CC(CC)CC,3.95
C=C(C)CCC,3.704
C1=Cc2ccccc2C1,3.839
C[SiH](Cl)Cl,3.256
ClCCCl,2.827
CN(C)c1ccc(C=O)cc1,4.667
CCCCCCCCC=CCCCCCCCC(=O)O,10.43
COc1ccccc1[N+](=O)[O-],4.502
c1ccncc1,2.938
c1ccc2sccc2c1,3.984
COC(=O)c1ccccc1C(=O)OC,5.166
CC(O)CC(C)(C)O,3.918
ClC=C(Cl)Cl,3.742
Clc1ccccc1,3.603
CCCCC(C)CCC,4.772
Oc1ccccc1O,3.672
CCCCOC(=O)CCCC,5.615
CCC[N+](=O)[O-],3.359
C=C1CC(=O)O1,2.998
CCCCCOCCCCC,5.374
C=C(C)C=O,3.121
C=CCCCCCCCCC,5.429
ClCC=CCCl,3.826
CCCCCCCCCCCCCCCCCC,7.655
C=C1C2CCC(C2)C1(C)C,3.778
CC(O)C(=O)O,3.298
O=CC(Cl)(Cl)Cl,3.649
C=C(C)C(C)=O,3.48
CC1CCCC(C)C1,3.977
CC1CCCCC1O,3.8225
COCOC,2.891
Nc1ccc(N)cc1,3.733
CC(C)CCCCCCCO,5.684
O=[N+]([O-])c1cccc(Cl)c1,4.676
O=C(O)COCC(=O)O,4.475
Cc1ccc(C(=O)O)cc1,4.35
C=C(C)C(=O)OC,3.62
CSSC,2.942
N#CCCO,3.098
OCC#CCO,3.715
CC[N+](=O)[O-],2.795
CCC(C)Cl,3.324
O=[N+]([O-])c1ccccc1Cl,4.367
C=C(C)C(=O)OCCC,4.631
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,10.29
CI,1.035
CC(C)(O)c1ccccc1,4.285
O=C1CCCCC1,3.511
C=CCCCCCCCC,5.227
CCCCOC(=O)CCC,5.887
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,5.598
CCCOC(C)=O,3.969
CCCCC1CCCCC1,4.831
Cc1cccnc1,3.401
C=C(C)CCCC,4.199
CCO,2.259
CCCCCCC(C)O,4.898
C=CC(=O)OCCCC,4.765
c1ccc(Oc2ccccc2)cc1,4.986
CC(=CC(=O)O)C(=O)O,3.744
FC(F)(F)Cl,2.894
Cc1ccc(C)cc1,3.831
CC(C)CC(=O)O,3.762
CCCC(=O)CC,4.009
C=CCCC=C,3.464
CCCCOC(=O)c1ccccc1,5.505
CC(C)C(C)C(C)(C)C,4.16
CC(=O)OCCC(C)C,4.656
CCCCCCCCCCCCCC(=O)O,7.265
ClCCCCCl,3.76
Cc1ccc(O)cc1C,4.156
CCCCCC#N,3.971
O=C(O)C(O)C(O)C(=O)O,4.289
CC12CCC(CC1=O)C2(C)C,4.097
ClC(Cl)C(Cl)(Cl)Cl,4.172
C=C(CC(=O)O)C(=O)O,4.185
CC(C)C(=O)O,3.444
CCCCCCCCCCCCCCCC,7.063
FC(F)(Cl)Cl,3.052
CCC=C(C)C,3.738
N#CC=CCCC#N,4.061
Cc1ccc(O)c(C)c1,4.143
COC(C)C,3.125
CC(C)[N+](=O)[O-],3.273
[C-]#[O+],0.558
CCCO,2.825
CC1CCC(C)CC1,3.906
Cc1cccc(O)c1,3.87
CC=C(C)CC,3.589
FC(F)(Br)C(F)(F)Br,3.779
C=COC(C)=O,2.969
O=S1(=O)CCCC1,3.309
CCCCCCCCCCCCCCC(=O)O,7.587
CCc1ccc(C)cc1,4.189
CCOC(=O)Cl,3.595
Cc1ccccc1C(=O)O,4.387
CCC(C)S,3.362
ClC=CCl,2.8125
Cc1ccncc1,3.409
CC(=O)Cl,2.712
CC(C)(C)OOC(C)(C)C,4.534
CCCCC(C=O)CC,4.862
c1ccc2c(c1)[nH]c1ccccc12,4.692
CCOP(=O)(OCC)OCC,4.949
CCCCc1ccccc1,4.849
CN(C)C,2.766
CCC(C)(C)C(C)(C)C,4.1
BrC(Br)C(Br)Br,4.54
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,11.0
c1ccc(Nc2ccccc2)cc1,5.082
Cc1ccc(N)cc1,3.783
CC(C)c1cccc(C(C)C)c1,5.281
CCCCC#N,3.631
Oc1cccc(O)c1O,3.96
c1ccc2c(c1)CCC2,3.85
O=C(F)F,2.269
CC(=O)OC(C)=O,3.579
CCCC(CC)CC,4.571
CCCCCCCCO,4.787
Cc1cc(C)nc(C)c1,4.306
CCC(C)OC,3.463
C=C=CC,2.724
FC(F)(Cl)Br,3.105
C=C(C)C(=O)OCC,4.197
CC(C)C(C)C,3.636
C=CBr,1.763
CCCCCCCC=O,4.681
C=CCCl,2.668
CCC(C)(C)C,3.476
CC(C)(C)c1ccccc1,4.318
CCCCCCCCCCCC,5.914
CC(=O)C=C(C)C,3.913
CC=CCCCCC,4.375
CCCCCCCCOCCCCCCCC,7.36
CCCCCCCC(C)O,5.302
Cc1ccc2ccc(C)cc2c1,4.804
CCCCOCC,3.932
CCCS,2.883
CCCOCC,3.47
CCCCCCCCCc1cccc(O)c1CCCCCCCCC,11.66
FC(F)=C(F)C(F)(F)F,3.796
CCCCCC,3.769
CC1=C(C)C(C)c2ccccc21,4.78
CCCC=CCCC,4.419
O=C1c2ccccc2C(=O)c2ccccc21,5.332
CC(C)CC(O)CC(C)C,4.915
CC1=CCC(C(C)C)=CC1,4.615
Clc1ccccc1Cl,4.186
OCc1ccco1,3.422
CCCCCO,3.679
CCCCCCCCCCCC(=O)O,6.601
O=C(O)c1ccc2c(c1)C(=O)OC2=O,5.362
CC1CCC(O)CC1,3.8615
C=CCCCCCCCCCCCCCCCC,7.589
FC(Cl)Cl,3.015
O=C1CCCCCN1,3.761
O=C(O)CCCCCCCC(=O)O,8.283
c1ccc2c(c1)ccc1ccccc12,4.961
CC(Cl)(Cl)Cl,3.373
CC(C)(C)Cl,3.152
C=CC(C)C,3.272
CC(C)(O)C#N,3.344
CC(C)(OO)c1ccccc1,4.532
CCCCCCCCCCc1ccccc1,7.108
CCOCCOCCO,4.433
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4.147
CCC(CC)C(C)(C)C,4.398
CCCCCCCCCCS,5.712
CCCCCCC(C)=O,4.892
CC=C=CC,3.301
C=CCC(C)CC,3.972
CCCCCCCBr,4.485
Cc1ccc(N)cc1N,4.165
CC(C)NC(C)C,3.806
Cc1ccc2cc(C)ccc2c1,4.729
O=C(O)CCS,3.705
Oc1ccc(O)cc1,3.708
CCCCC,3.337
Nc1ccc(Cl)cc1,3.929
N#Cc1ccccc1,3.8
Nc1ccc(Cl)c(Cl)c1,4.528
C=CCOC(C)=O,3.73
CCC(CC)CC,3.943
CC1OC(C)OC(C)O1,4.166
CCCOCCO,3.822
Cc1ccc(C)c(C)c1,4.199
c1ccsc1,2.781
Clc1cccc2ccccc12,4.627
CC(C)CCC(C)(C)C,4.658
Cc1cc2ccccc2o1,1.114
CNC(C)=O,3.051
CC(C)CC(C)O,3.843
CCCOC=O,3.364
C=CCN,2.704
CCCCCCCCC,4.985
C1CN2CCN1CC2,3.234
CC=CC(=O)O,3.4175
COCCOCCOCCOC,5.414
CCCCCN,3.641
CC(=O)OCC(COC(C)=O)OC(C)=O,6.778
CCCC(C)C(C)C,4.363
CCOCCOC(C)=O,4.664
OCCCCCCO,4.428
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,9.114
Nc1ccc(Nc2ccccc2)cc1,5.327
C1=CCCC=CCC1,3.732
CC(=O)OC(C)OC(C)=O,4.481
CCCCCCCCCCCCCCCCCCC,7.983
O=[N+]([O-])c1ccc(Cl)cc1,4.494
CC(C)(c1ccccc1)C(C)(C)c1ccccc1,5.361
c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,7.145
CCc1ccc(C)cc1C,4.543
N#CCC#N,3.058
OCCN(CCO)CCO,5.219
CC(=O)CC(C)C,3.828
NCc1ccccc1,3.837
c1cc2ccc3cccc4ccc(c1)c2c34,5.152
COc1ccc(O)cc1,4.04
Cc1ccc(Br)cc1,3.891
C=C=C(C)C,3.021
CCCCCCC=O,4.314
CCC(C)(C)OC,3.465
CO,1.552
C=CC=C,2.602
CCCCCC(C)=O,4.498
COC(=O)Cl,2.962
CC(=O)OC(C)C,3.679
CC(C)c1ccc(C(C)C)cc1,5.178
C(#Cc1ccccc1)c1ccccc1,5.832
CCc1ccccc1N,4.157
CCCCCCCCCCCCCCCC(=O)O,7.725
COCCO,2.985
COC(=O)c1ccccc1O,4.468
Nc1ccccc1[N+](=O)[O-],4.198
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,5.299
C#N,0.654
CC(C)=C(C)C,3.577
CCC1CCCCC1,3.932
CCOCc1ccccc1,4.581
Cc1cccc(C)c1O,4.068
FC(F)(F)C(F)(F)F,3.419
CCC(C)(C)O,3.359
CCC(C)C(C)(C)C,3.913
O=C=Nc1ccccc1,4.073
FC(F)(F)C(F)(F)C(F)(F)F,3.736
O=C1CCCC1,3.165
CCCCS,3.4
O=C(O)C(F)(F)F,3.294
ClCc1ccccc1,4.027
CCC(C)N,3.201
CCNCC,3.172
C1=CCOC1,2.58
OCCCO,3.169
FC(F)Cl,2.689
CC(=O)OC(C)(C)C,3.845
CCCCCCCCCC,5.184
C#CCC,2.77
ClCCl,2.322
CN,1.722
Nc1cccc(N)c1,3.836
CC(C)=O,2.746
CCCCCC(C)O,4.483
CCCCCCCCOC=O,5.279
CCC(=O)O,3.107
CCCCCCCCCCCCc1ccccc1,7.796
CNC1CCCCC1,3.888
CCCI,2.311
C=C1C=CC(C(C)C)CC1,4.441
NCCNCCO,3.821
C=C(C)C(=C)C,3.57
C1=CCCC1,2.728
c1ccccc1,3.004
C=O,1.215
CN(CCO)CCO,4.366
Ic1ccccc1,3.359
CCCCCCCCCCC=O,5.711
C=Cc1ccccc1,3.81
CCCCC=O,3.516
CC(=O)CC(C)=O,4.017
CCCCC(C)=O,4.093
C=C(C)C,2.875
O=C(O)CCCCC(=O)O,4.976
Fc1c(F)c(F)c(F)c(F)c1F,4.706
CC(O)CNCC(C)O,4.694
CCc1cccc(C)c1,4.265
COC(C)=O,2.996
C=CCCCCCC,4.457
Nc1cccc(Cl)c1,4.092
c1ccc2cnccc2c1,4.013
CCC#CCC,3.966
C=CC=O,2.443
Brc1cccc(Br)c1,4.691
C=CC#N,2.464
C=CCC,2.762
BrC(Br)Br,3.73
CCCCCCCCCCCCC=O,6.345
CCCCCCCCCCCS,6.069
CC(C)CCO,3.684
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,6.371
CC=CCC,3.305
C=CC(=O)OCC,3.784
NC(CCC(=O)O)C(=O)O,4.711
O=C1CCO1,2.481
FCCF,2.508
OC1=NCCC1,3.074
CCC(CC)(CC)CC,4.314
CCCCCS,3.797
N#CCl,1.25
CCCCOC(=O)C=CC(=O)OCCCC,6.463
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],4.65
FC(F)(Br)Br,3.243
OCCOCCO,3.739
c1ccc(C2CCCCC2)cc1,4.892
CCCCCCCCCC=O,5.378
Cc1cccc(C(C)C)c1,4.636
CCCCS(=O)(=O)CCCC,5.482
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],4.887
COc1cc(C=O)ccc1O,4.704
O=CO,1.847
C=C(C)CC,3.287
O=CC(Cl)Cl,3.419
C=COC(=O)CC,3.867
NC1CCCCC1,3.539
C=CCCCCCCCCCC,5.747
CC(C)Br,2.615
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.31
Brc1cccc2ccccc12,4.661
NCCNCCNCCN,4.861
