SMILES,TARGET
CCCOCCO,3.822
CCCCCCCCC,4.985
CC1CCC(C)CC1,3.906
C(=Cc1ccccc1)c1ccccc1,5.1855
CCCCC=O,3.516
C=CCCCCCCC,4.873
CCCBr,2.629
CCc1cccc(C)c1C,4.517
CC(=O)OCCC(C)C,4.656
c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,7.145
Nc1ccccc1N,3.74
Nc1ccccc1,3.436
CCCCCCCO,4.38
CC(C)(O)C#N,3.344
CC(C)C1CCCCC1,4.237
CCC(C)(C)c1ccc(O)cc1,4.81
Cc1cccnc1,3.401
c1ccc(Nc2ccccc2)cc1,5.082
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,4.769
CCCCC,3.337
O=[N+]([O-])c1cccc(Cl)c1,4.676
C=CCCCCCCCCCCCC,6.398
NCCCO,3.126
CC1=CC=C(C(C)C)CC1,4.62
Cc1cccc([N+](=O)[O-])c1,4.468
c1ccc(N=NNc2ccccc2)cc1,6.005
c1ccoc1,2.559
Oc1cccc2cccnc12,4.312
Nc1cccc([N+](=O)[O-])c1,4.35
O=C(F)F,2.269
CC(=O)OCc1ccccc1,4.716
OCC=CCO,3.523
O=C(O)c1ccccc1O,4.251
CCCCCCCCCc1cccc2ccccc12,7.732
Cc1ccc(N)cc1N,4.165
COC(=O)Cl,2.962
CCCCCCCCCCCC(=O)O,6.601
FC(F)(Cl)Br,3.105
O=C=NC1CCCCC1,4.229
C1CCC(NC2CCCCC2)CC1,5.317
ICI,2.438
N#CCCO,3.098
FC(F)(F)c1ccc(Cl)cc1,4.799
ClCOCCl,3.373
c1ccc2c(c1)oc1ccccc12,4.71
CCCOC(=O)CCC,4.832
C=CCCC=C,3.464
C=Cc1ccc(C)cc1,4.109
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,5.598
Cc1ccccc1[N+](=O)[O-],4.309
c1ccc(NNc2ccccc2)cc1,5.544
NCCOCCO,3.737
CCc1cc(C)ccc1C,4.579
c1ccc2c(c1)ccc1ccccc12,4.961
C1=CCCC=CCC1,3.732
O=C1C=CC(=O)O1,3.312
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,6.371
Cc1ccc(C)cc1,3.831
Cc1ccc(C)c(O)c1,4.128
Nc1ccc([N+](=O)[O-])cc1,4.263
