SMILES,TARGET
CC(C)(C)OC(C)(C)C,2.262
CCCC(CCC)CCC,5.659
CCCCN,0.3948
CCCCCCCCC=O,1.5637
CCC(C)(C)C(C)C(C)C,5.8215
CCC(C)CC(C)CC,5.5317
CCCCOCCCC,1.4899
CCC(CC)C(C)C(C)C,5.7631
CBr,2.5758
CC(C)C=O,0.9809
Fc1ccc(F)cc1,2.626
CC(C)CC(C)CC(C)C,5.6165
CCC(C)CCC(C)(C)C,5.6758
CC(C)CC(C)(C)C,5.2835
CCC(C)(C)CC(C)(C)C,5.8204
Cc1cc(C)c(C)c(C)c1,2.6575
CCCCCCCCCc1ccccc1,2.2164
CC=O,0.7278
CSC,2.049
CCCCCCC,5.1727
CCCCCBr,2.9898
CC(C(C)(C)C)C(C)(C)C,5.8829
CCC=CCCCC,4.7933
C=CC#N,0.7359
CCC(C)C(C)(C)C,5.3576
C=CC(=O)OCCCC,1.503
CCCC(C)(C)C(C)CC,5.783
CCCOCCC,2.0855
CC(C)CCOC(=O)CC(C)C,2.1326
C=CCCCCCC,4.542
C=C=CCC,3.6974
FC1(F)C(F)(F)C(F)(F)C1(F)F,5.3318
CCBr,2.6131
CCCC(C)(CC)CC,5.6117
CCC(C)C(C)(C)CC,5.6293
CCCCC(CC)CCC,5.713
CCCC(C(C)C)C(C)C,5.8632
C1CCCCC1,4.0328
CCC(CC)(CC)CC,5.6896
CC(C)CCC(C)(C)C,5.482
CC#CC,3.0715
CC=C(C)CC,4.31805
Cc1cccc(C(C)C)c1,2.646
Oc1ccccc1Cl,0.3166
CCCCc1ccccc1,2.8608
CC1CCCCC1,4.3714
CCF,3.0777
C=CC(C)(C)C,4.2778
C=C(CC)CCCC,4.7667
C1CCOC1,0.466
CCCCCCCCCCC1CCCCC1,3.1745
CCC(C(C)C)C(C)C,5.5872
C=CCC,4.1332
O=C=S,3.4482
CCCCC(CC)C(C)C,5.7268
C1CCCC1,4.0183
CCCCCCCCCCCC,5.6591
CCCCCCCCCCc1ccccc1,1.8399
FC(F)(F)F,5.4709
C=C=C(C)C,3.6988
CCCCCCc1ccccc1,3.1471
CSC(C)C,2.2007
CCc1ccc(CC)cc1,2.6448
CCCCC(CC)CC,5.5829
CCCCC(C)C(C)(C)C,5.7341
C=CCC=C,3.8164
CCCC(C)CC,5.2316
N#CC#N,2.4707
Clc1ccccc1,2.4008
Clc1cccc(Cl)c1,2.2722
CCc1cccc(C)c1C,2.6591
Ic1ccccc1,1.8969
CC(=O)OC(C)C,1.1805
CCC(C)C(C)(C)C(C)C,5.8387
CC(C)(C)CCC(C)(C)C,5.5925
CC#CCC,3.1406
COCOC,0.8997
C=Cc1ccc(C)cc1,2.2485
CCC1CCCCC1,4.5571
CCCCCCCC=O,1.4738
CCC(CC)CC(C)(C)C,5.6608
CCCCCCCCCCCCCCC,4.6982
CCCC(C)C,4.9839
CCCCCCCCN,1.6594
CC(C)=C(C)C,4.3318
CCCCCOCCCCC,2.7253
CCCCCCCCCCC,5.0286
CCCCCCCCOCCCCCCCC,0.8233
CCCCCCS,3.0903
CCCC(C)(C)C(C)(C)C,5.814
CCCCCOC=O,1.3446
CC(C)(C)CC(C)(C)S,3.3288
C=C(C)CCCC,4.5031
CC(C)=O,0.5624
Cc1cccc([N+](=O)[O-])c1,0.6171
C#N,0.694
CC(C)C(C(C)C)C(C)C,5.7772
Cc1cc(C)cc(C)c1,2.6544
CCCCCCCCCCCCCCO,0.7617
c1ccc2c(c1)CCC2,2.0853
CCCC(C)CCC(C)C,5.6822
ClC=CCl,2.5915
CCCCCC,4.8584
CCCC(C)CC(C)(C)C,5.6622
ClCCCCl,1.7383
CCCC#N,0.4799
CCCCCCCc1ccccc1,2.5683
CCC(C)(C)C(C)(C)CC,5.9148
CCCCCCC(C)=O,0.7569
ClC(Cl)Cl,2.3576
CCCCCC(C)O,0.4995
CCc1cccc(C)c1,2.5071
CCC(CC)CCC(C)C,5.7058
CCCCCc1ccccc1,3.0917
CCCCC(C)(C)C(C)C,5.7608
CCOC(=O)c1ccccc1,0.6087
CC(C)COC(=O)C(C)C,1.9032
CC=C=CC,3.6928
Cc1ccc(C)cc1,2.5339
CCC1CCCC1,4.4757
C=C(CC)CC,4.3016
CC(C)C(C)C,4.858
CCCC(CC)C(C)CC,5.7474
CCC(C)(C)S,2.7357
CCN(CC)CC,0.8102
[C-]#[O+],4.8018
C=C(C)CCC,4.1874
CCCC(C)C(C)(C)CC,5.7845
O=Cc1ccccc1,0.1414
CCCC(C)(C)CCC,5.5593
Brc1cccc2ccccc12,1.1979
FC(F)Cl,3.224
CCc1ccccc1C,2.3911
C=CCCCCCCCCCC,5.0252
CCCCCCCS,3.218
CC(C)=CC(C)(C)C,4.6472
Clc1cccc2ccccc12,1.0353
CCCCCCCCCCCCS,2.5865
CCCC(C)=O,0.6076
ClC(Cl)=C(Cl)Cl,3.1752
CC(C)C(C)(C)C(C)C,5.6553
CCC(C)C(CC)C(C)C,5.7617
CCCC(CC)C(C)(C)C,5.7481
CCCCCCCCC,5.5336
C=CC(=O)OCC,1.1422
Brc1cccc(Br)c1,1.6724
CC1CCC(C)CC1,4.59805
CCCSCC,2.4624
CCC,4.5798
ClC(Cl)C(Cl)(Cl)Cl,2.035
COC=O,2.0258
CCCCCCO,0.069
CCCCN(CCCC)CCCC,0.9506
CC(C)c1cccc(C(C)C)c1,2.7587
C=CC=O,0.6587
CCC(C)CC,4.8243
COc1ccccc1,2.3089
CCCCCCN,0.7388
CCCCCC(C)CCC,5.7243
FCF,2.8033
C=CCCCCCCCC,5.0641
O=C=Nc1ccccc1,4.4835
C1=CCCC1,3.5486
CCOC(=O)OCC,0.6893
COC(C)(C)C,1.478
CCC=CCCC,4.53255
CCCC(C)(C)C(C)C,5.6027
C=C(Cl)Cl,3.1017
CC1CCCC1C,4.4283
CC(C)CS,2.5838
CCC(C)CC(CC)CC,5.6945
CCSCC,2.0912
CCOC,1.4909
COC(=O)c1ccccc1,0.2861
FCCl,2.5407
CC1CCC(C)C1,4.397
C=CCCC=C,3.8129
CCc1ccc(C)cc1,2.4426
BrCCBr,1.6405
CCCOCC,1.8402
CCOC(C)OCC,0.7162
CC[N+](=O)[O-],0.3403
CCCCCCCCc1ccccc1,2.4412
FC(Cl)(Cl)C(F)(Cl)Cl,3.8404
C=CC(=C)C,3.67135
C#CC=C,3.19
C=CCC(C)C,4.5408
ClCC(Cl)(Cl)Cl,2.1278
C=C(C)C(=C)C,3.8337
C=C(F)F,4.3197
C1CC1,3.6269
CCCCC(C)(CC)CC,5.7773
CCCCCCCCCCCCCC,4.8816
CCCCC,4.847
CCC(C)C(C)CC(C)C,5.7145
CCCCCCCCCCCCCCCC,4.4204
CC1CCCC(C)C1,4.4946
C#CC(C)C,3.1657
ClCCCl,1.8157
Cc1cccc(C)c1C,2.6145
CCC#N,0.281
C=CCCl,2.7104
ClC(Cl)C(Cl)Cl,1.2892
