SMILES,TARGET
CCCCCCCCS,3.2562
CCC(=O)OC,1.0228
CC(C)N,0.6277
ClCC(Cl)Cl,1.7105
CC(C)Br,2.8293
C=C(C)C(C)=O,0.7458
CCC(C)CC(C)CC,5.5317
CC(C)CCCCC(C)C,5.6665
CCCCCC(C)C,5.3627
CCCCC(C)(CC)CC,5.7773
CCCCCC(C)(C)CC,5.7339
CCCCCCCO,0.0212
COC=O,2.0258
CCCC,4.7067
CCCCOC=O,1.4522
C1CO1,1.1215
FC(Cl)(Cl)Cl,3.8298
CCCCCCCCCS,3.1673
CCCCCC=O,1.1624
CC(C)=O,0.5624
CCCCC=O,1.2623
CCCCC(C)C(C)(C)C,5.7341
CC(Cl)CCl,2.193
CC1CO1,0.6047
C1CCCCCC1,3.7131
CCCCCl,2.9673
C=CC(C)CC,4.2894
CC(C)CN,0.0912
C=CC(C)CCC,4.4511
C#CC(C)C,3.1657
CCCCCCCCCC,5.455
CCCCCCC(C)CC,5.7055
CC1CCC(C)C1,4.397
CC(C)OC(C)C,1.9901
CC(=O)C=C(C)C,0.4404
CCCSCC,2.4624
CCC(C)Cl,3.0256
CCCCCCCCCCCCCCCCCC,3.1871
C#C,3.146
FC(F)(F)Br,4.4263
CC(C)C(C)O,0.0018
CCCCC(C)CCCC,5.6904
CCCC(C)CC(C)C,5.5016
CCCC(C)C(C)C,5.3658
CCCCCCN,0.7388
C=CCCC=C,3.8129
FC(F)(F)C(Cl)Br,3.0673
CC(C)C=O,0.9809
CCCC(C)=O,0.6076
CCCCCC(C)=O,0.8655
CCCBr,2.7063
CCOC(=O)C(C)C,1.3579
FC1(F)C(F)(F)C(F)(F)C1(F)F,5.3318
CCCCC(C)(C)C,5.3086
N#CCl,2.0328
CCC(C)(CC)C(C)C,5.6746
CCC(C)C(C)C,4.9823
C=CCC=C,3.8164
CC=CCCCC,4.5567
CC(C)C(=O)C(C)C,1.2906
CCCCCC,4.8584
C=COC(C)=O,1.4414
CC=CC,4.11485
CCCCCC(C)O,0.4995
CCCCCOCCCCC,2.7253
CCS,2.2062
CCCCCCCCCCCCCO,0.4719
CCCCCCCCCCCCCCO,0.7617
C=C(CC)CC,4.3016
CCCS,2.4001
CC(C)CC(C)O,0.4112
CC(C)I,2.7998
FC(Cl)(Cl)C(F)(Cl)Cl,3.8404
CCCCCCC,5.1727
CCCCC(C)C(C)CC,5.7299
BrC(Br)Br,1.5126
CCCCC1CCCCC1,4.8791
CCCC(C)C(C)CCC,5.7293
CCCC(CC)C(C)CC,5.7474
CC(C)CCCC(C)(C)C,5.6413
CC(C)CS,2.5838
C=C(C)C(C)C,4.287
CCC(C)CC(C)(C)CC,5.7397
CCCCCBr,2.9898
CCCCCOC(C)=O,1.284
CCSC,2.0408
CCCCC(C)C,5.2792
CCBr,2.6131
CCCCCCC(C)=O,0.7569
CCCCCCO,0.069
CCCCCOC=O,1.3446
CCCC1CCCC1,4.696
CCCCCCCCCCC1CCCCC1,3.1745
FC(F)(Cl)C(F)(Cl)Cl,4.4263
CCC1(C)CCCC1,4.6823
CCCC1CCCCC1,4.7562
CC(C)(C)CC(C)(C)C,5.5172
[C-]#[O+],4.8018
CCC(CC)C(CC)CC,5.7708
CCC(CC)C(C)C(C)C,5.7631
CCCOCC,1.8402
CCCCC1CCCC1,4.9235
CCCCOC(=O)CCC,1.7031
C=C(CC)CCC,4.5259
CCC(C)(C)C(C)(C)CC,5.9148
CCCCCC(C)(C)C,5.5141
CCC(C)OC(C)=O,1.4815
CCCCC(C)=O,0.6708
CCC(O)CC,0.0177
CCCCC(C)CC,5.3148
CCC(C)C(C)C(C)(C)C,5.8002
CCC[N+](=O)[O-],0.674
CC(C)C1CCCCC1,4.7649
CCC(C)CCC(C)C,5.527
C=CCCC,4.3462
CCCCCCCCCCCCCCC,4.6982
CCCC(=O)OCC,1.3659
CC(C)C(C)CC(C)(C)C,5.6961
CCC#CCC,3.3203
CCC(C)S,2.5662
C=C(C)CC,4.2082
CCCCl,2.8633
C=C(C)C,4.0596
CCC(C)(CC)CC(C)C,5.7795
ClCC(Cl)CCl,1.3185
CCCCCCCCCCCCCCCCO,0.7346
CC(C)CC(O)CC(C)C,0.5036
C=CC(=O)OCC,1.1422
CC1CCCC1,4.297
CBr,2.5758
CC(C)CC(C)CC(C)C,5.6165
CCCC(C)C(C)CC,5.5833
C=CC#N,0.7359
C=CCCCCCCCCCCCCCC,3.9751
FC(F)=C(F)F,4.5308
CCC(C)(CC)CC,5.425
CC(C)C(C)C(C)C(C)C,5.7343
CCC(CC)CCC(C)C,5.7058
C=CCC(C)CC,4.4658
CC(C)(C)C,5.0677
CCCCOCCCC,1.4899
CCOC(C)=O,0.8848
CCCCOC(=O)CC,1.5861
CCCCCCCCC=O,1.5637
CCC(C)(C)OC,2.0046
S=C=S,3.7647
C1=CCCC1,3.5486
CCCCCCCCCCCCCCCCCCCC,2.3776
CCCC(CC)CC,5.3718
CCCCN,0.3948
ClCCCl,1.8157
CC1CCCCC1C,4.40905
CCCOC=O,1.375
CCCCCCCCCCCCC,5.5769
C,4.5485
CCCCC(C)C(C)C,5.5771
CCN(CC)CC,0.8102
CC#CCCC,3.3396
CC(C)CCC(C)(C)C,5.482
CCC(CC)CO,0.054
CCC(C)(C)CC(C)C,5.5557
CCCOCCC,2.0855
CCC(C)C(C)(CC)CC,5.8039
CCC(CC)C(C)C,5.3758
C=CCCCCC,4.3467
CC(C)CC(C)C,5.2127
C=CC(=O)OC,1.0192
CCC(CC)CC,5.158
CCCCCCC(C)C,5.547
CCCC#N,0.4799
CCC=CCC,4.30975
CCCC(C)(CC)C(C)C,5.8059
CCCCCCCS,3.218
C#CC=C,3.19
CCCCCCCCOCCCCCCCC,0.8233
CCC(C)(C)Cl,2.2521
CC(=O)OC(C)C,1.1805
CCCC(CC)CC(C)C,5.6905
CC(C)S,2.365
CCCCCCCC=O,1.4738
CC(F)F,3.1495
BrCCBr,1.6405
CC1CCCC1C,4.4283
CC1CCCC(C)C1,4.4946
CCC(C)C(C)CC,5.3855
CCC(C)C,4.8803
CCC#N,0.281
CCCCCS,2.8852
CCCCS,2.6984
CC1(C)CCCCC1,4.4915
C1=CCCCC1,3.3973
CCCCNCCCC,0.895
CCCC(C)(C)C(C)(C)C,5.814
C=C(C)C(C)(C)C,4.4484
CCl,2.6612
CCCl,2.5843
CCCCCCCCCCS,2.9239
CCCC=O,0.8173
CCC(C)C(C)C(C)C,5.5999
CCCN(CCC)CCC,1.325
CCCCCCCCCCCS,2.2034
CC(C)C(C)(C)C,5.1153
CCCCCCCCCCCCO,0.4595
CCC(C)=O,0.217
C=C(C)C=O,1.0619
CC=C=CC,3.6928
ClCBr,1.948
C=C=CCC,3.6974
C1CCCCC1,4.0328
CC(Cl)Cl,2.5119
C=CC(C)(C)C,4.2778
CC1CCCCC1,4.3714
CC(C)=C(C)C,4.3318
C=CCCCCCCCC,5.0641
CCC(C)C(CC)C(C)C,5.7617
CC(C)C(C)C(C)(C)C,5.5918
CC[N+](=O)[O-],0.3403
C=C(C)CC(C)(C)C,4.6574
CC(C)C(C)C,4.858
CCCOC,1.8982
C1=CC=CCC=C1,2.4071
CCC(CC)(CC)CC,5.6896
CC(C)CCC(C)C,5.3145
CCC(C)(C)C(C)C,5.4061
CCCC=CCCC,4.7795
CCCCCCCCCCCC,5.6591
CI,2.197
CCC(C)OC(C)CC,2.2965
CCC(=O)CC,0.8234
CCOC(C)OCC,0.7162
CCCCCCCC,5.4345
ClC(Cl)C(Cl)(Cl)Cl,2.035
CC(=O)OCC(C)C,1.3779
CCC=CCCCC,4.7933
CCCCCCCCCCCO,0.2598
CCCCCCl,3.4568
CCC=C(C)C,4.3086
CCCC(CC)(CC)CC,5.8097
ClCCl,2.1351
CCOCCC(=O)OCC,1.5576
CCC(C)CC(CC)CC,5.6945
CCC(C)CCC(C)CC,5.6953
CCCC(C)C(CC)CC,5.7489
O=C=O,3.0836
CCCCC(C)(C)CCC,5.7165
CCC(C(C)C)C(C)(C)C,5.7759
CCCCCCCCC,5.5336
CCC(C)(C)C(C)C(C)C,5.8215
COC(C)(C)C,1.478
CCCC(C)C(C)(C)C,5.5574
C=CCCCCCCC,4.6479
CC(C)CCCC(C)C,5.5156
CC1CCC(C)CC1,4.59805
CC(C)[N+](=O)[O-],0.8226
CC(C)CC(C)(C)C,5.2835
CCC(C)CC,4.8243
ClC(Cl)(Cl)C(Cl)(Cl)Cl,3.1474
CCCCSCC,2.6737
CC,4.4276
