SMILES,TARGET
CSc1c(N)nc(N)nc1Cl,2.08
CNC(=O)Oc1cccc(N=CN(C)C)c1.Cl,2.44
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,4.8
CNC(=O)Oc1ccccc1C1OCCO1,1.6
c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,6.02
CCCCCOC(=O)Nc1ccccc1,2.61
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,6.5
O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1ccccc1C3=O,4.28
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,2.48
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,3.21
Nc1ccc(Cl)c(Cl)c1Cl,2.6
CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.14
Oc1cccc(Cl)c1Cl,2.66
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,2.04
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.98
COC(=O)Nc1ccc(Cl)c(Cl)c1,2.74
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,3.31
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,4.21
Nc1ccc([N+](=O)[O-])cc1,1.88
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,3.17
Cc1ccc(/N=C/N(C)/C=N/c2ccc(C)cc2C)c(C)c1,3.0
O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],2.3
CC1=C(C(=O)Nc2ccccc2)SCCO1,2.41
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,3.9
Cc1cc(Cl)ccc1OCCCC(=O)O,2.73
O=C(O)Cc1ccccc1,1.45
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,3.55
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,1.89
CCSC(=O)N1CCCCCC1,1.92
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.74
Nc1ccc(-c2ccc(N)cc2)cc1,3.46
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,2.14
Cc1cc(Cl)ccc1OC(C)C(=O)O,1.3
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,5.95
Cc1ccc(N)cc1,1.9
Oc1cc(Cl)cc(Cl)c1Cl,3.61
CNC(=O)ON=C(C)SC,1.3
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,1.6
