SMILES,TARGET
O=Cc1ccccc1,3.8176
C1CO1,6.0
CCCCC(C)C(C)(C)C,-1.1427
C=Cc1ccccc1,2.5073
CCCC=CCCC,0.3858
CCC(C)(C)C(C)(C)C,-0.7049
CCC(C)(C)CC,0.7738
C1=CCCC=C1,2.8451
CCCCCCCCSCC,0.0961
Cc1ccc(O)cc1,4.2878
CC(C)C(C)C(C)(C)C,-0.519
C=CC(CC)CC,1.3158
CCC(CC)C(C)(C)CC,-1.2736
CC(=O)CC(C)=O,5.0374
C#CCO,6.0
IC(I)I,2.0
CCCC(CC)C(C)C,-0.6466
O=C(O)CC(O)(CC(=O)O)C(=O)O,5.7332
CC1(C)CCCC1,1.3528
CC(C)Br,3.4583
FC(F)F,2.9542
CCCCCCCSCCC,0.0961
CCCCCCCCCO,2.1126
CCC(C)(C)C(C)(C)CC,-1.4456
Cc1ccc(C)c2ccccc12,1.0569
Cc1ccc(O)cc1C,3.678
CCOCCOCCOC(C)=O,6.0
CC(F)F,3.3979
Fc1ccc(F)cc1,3.0874
CCCC(C)C(C)C,-0.0749
C=CCC(C)C,1.6814
CCCCCCCCCCCCCCC,-2.9723
CC(Cl)CCl,3.4393
CSC,4.2925
CC(C)CC(C)O,4.1761
CCCCCCCO,3.2405
Cc1ccncc1,6.0
C=CC(C)CCC,1.3205
C=CCCCCC,1.2591
CCCC,1.7882
COP(=O)(OC)OC,5.699
CCCC(=O)OC,4.1761
Clc1ccccc1Cl,1.9653
CCCCCCCSC,0.8431
CCCC(C)C(C)C(C)C,-1.1997
C=CCCCCCCCCCCC,-2.0367
C=CCCCCCCCCCC,-1.7341
Oc1ccccc1,4.9041
CCCC(=O)O,6.0
CCCCCCCCCCCCCCCCCCCC,-2.7212
CCCCCC=O,3.7516
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.1399
ICI,3.0934
c1ccccc1,3.2443
CC(C)C(C)C(C)C(C)C,-1.1078
c1ccc2c(c1)[nH]c1ccccc12,-0.0422
O=[N+]([O-])c1ccccc1[N+](=O)[O-],2.1239
CCCCCCCCCCCC(=O)O,1.7404
CCCCC,1.5855
ClC(Cl)Cl,3.8751
FCCl,4.022
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.9031
