SMILES,TARGET
CC(C)SC(C)C,2.6649
CCCCCCCCCCCSCC,-0.0539
CCCCCCCCCCCCCCCC(=O)O,0.8573
C#CCCCCCCCCC,-0.3441
CCCCCCCCC(=O)O,2.415
CC(C)(C)OC(C)(C)C,3.2365
CCc1cccc2ccccc12,1.0294
CCCCOCCO,6.0
Cc1ccccc1O,4.3892
CCC(C)CC(C)CC,-0.5954
CC(C)C,1.6893
CCCSCCC,2.0818
CCC(CC)CCC(C)C,-1.1948
C#Cc1ccccc1,2.6592
CCCC(CC)CC,-0.149
ICI,3.0934
CCCCCCCCCCCCCCCCCO,-2.0969
CCCCCCCCCCCCCCC(=O)O,1.0792
CCCC=CCCC,0.3858
C1=CCCCC1,2.3286
CCCCC(CC)CO,2.0
CCc1cccc(CC)c1N,2.8261
COCOC,5.3617
ClC(Cl)C(Cl)(Cl)Cl,2.699
Cc1cccc2c(C)cccc12,0.5283
FC(Cl)(Cl)Cl,3.0334
C=Cc1ccc(C)cc1,1.9494
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-0.1367
OCCOCCOCCO,6.0
c1ccc(Oc2ccccc2)cc1,1.2563
CCCCCC=O,3.7516
CCCN(CCC)CCC,2.8738
CCc1ccc(C)cc1C,1.2059
CCCCCCCCCCCO,1.312
CC(C)CCCC(C)(C)C,-0.925
CCc1cc(CC)cc(CC)c1,0.6219
CCCCCCC(=O)O,3.3874
CCCCCCCCCCCCS,-0.4865
CCCC(CC)CC(C)C,-1.1078
O=C1CCCCC1,4.9694
OCc1ccccc1,4.6325
CCCC(C)CC(C)CC,-1.1873
O=C(O)c1ccc(C(=O)O)cc1,1.1761
c1ccc2c(c1)CCCC2,1.6693
Cc1ccccc1C,2.344
C(=Cc1ccccc1)c1ccccc1,-0.5376
C1CN1,6.0
CCCCO,4.8727
C1CCCCCCC1,0.8976
C=C(C)CCCC,1.1371
CC(C)c1cccc(C(C)C)c1,0.9097
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.0792
CCC(C)CCC(C)(C)C,-0.9722
CCC(C)(C)C(C)(C)C,-0.7049
C=CC(CC)CC,1.3158
C1COCCO1,6.0
CC12CCC(CC1=O)C2(C)C,3.1953
Ic1ccccc1,2.3025
NCCNCCNCCNCCN,6.0
Cc1cc(C)c(C)cc1C,0.5416
CC1CCCC1,1.6298
CCCCC1CCCC1,-0.3658
CC1CCC(C)C1,1.27355
COc1ccccc1,2.1461
FCCl,4.022
CC(C)C(C)C(C)(C)C,-0.519
CCCCCCCCC,-0.9136
CCN(CC)CC,4.8673
CC1(C)CCCCC1,0.7774
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,-1.1308
CCCCCCC1CCCCC1,-1.5987
CCCC(CC)C(C)C,-0.6466
O=C1OC(=O)c2ccccc21,3.7782
CCN,6.0
Cc1ccccc1C(C)C,1.5061
NCCO,6.0
CC(Br)CBr,3.1547
c1ccc2c(c1)oc1ccccc12,1.001
C#CCC,3.4579
CCC(C)(CC)CC(C)C,-1.2293
c1ccc2c(c1)ccc1c3ccccc3ccc21,-1.7664
CC(C)(C)c1ccc(O)c(O)c1,-6.699
C1CCNC1,6.0
CCc1cc(C)ccc1C,1.2961
CCCI,3.0294
CCCC(C)(CC)CC,-0.713
Clc1ccccc1,2.5918
Nc1ccccc1Cl,3.5758
FC(F)Cl,3.4425
C[N+](=O)[O-],4.0
COC(=O)c1ccccc1O,2.8451
CC(C)C(C)(C)C(C)(C)C,-1.3504
Cc1ccc2ccccc2c1C,0.903
C1COCCN1,6.0
CC(C)C(C)C(C)C(C)C,-1.1078
CC(C)O,6.0
CCCCCCCCCSCC,-0.0777
