SMILES,TARGET
BrCBr,0.98
BrC(Br)Br,1.799
CCCOC,0.24245
CS(C)=O,1.991
CCCCCCC(=O)OCC(C)(C)COC(=O)CCCCCC,7.4
CN(CCO)CCO,77.85
CCCC(C)CC,0.3555
CC(C)CCC(C)(C)C,0.438937
CCCCC(CC)COC(=O)CC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,42.5
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,2.038
COC(=O)CC#N,2.61122
CCC(F)(F)CC,0.38898
CCCl,0.27
NCCO,19.995
C/C=C/C,0.162127
C/C=C\OCC,0.357663
CCCCO,2.54
FC(F)C(F)CCl,0.452202
C1CCOCC1,0.7758905226666667
CCCC(C)SCC,0.678659
CCCCCCCCCCOC(C)=O,2.73
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,4.47684
C[C@H]1CC[C@@H](O)CC1,24.7
CCCCCCCCCOC(C)=O,1.75
CCCCCCCCCCCC(C)C,1.11
CCCCCCCCCCCN(CC)CC,1.14633
CC(=O)CCC=C(C)C,0.980181
CC(C)=CCCCl,0.534703
CCc1ccccc1,0.634146375
CCCCC=CCl,0.53348
CCCCC,0.224
C[C@@H]1CCC[C@@H](C)C1,0.595
BrCCCCCCCBr,4.345
CC(=O)OO,3.28
CCOC(=O)C=CC(=O)OCC,2.9
FC(F)CC(F)(F)Cl,0.321736
CC(C)=CF,0.175926
C=C(C)C(=O)OCC1CO1,5.481
c1ccc2c(c1)CCC2,1.4235
CCCCCC(C)NC,0.617686
CC(O)CC(C)(C)C,0.612705
CCCCCCCCOC(=O)CCCCCCC,4.4
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,3017.5
CCC=C(C)[N+](=O)[O-],0.87
C=C(C)C(=O)O,1.3156666666666668
Cc1ccco1,0.368269
CCOC(=O)CCC(C)CC,0.761617
C=CC/C=C/C,0.311977
CC1=CC[C@H]2C[C@@H]1C2(C)C,0.801842
CC(C)CC(=O)OC(C)C,0.64675
CC=CC(C)Br,0.685293
CCC(F)C(F)F,0.188549
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.4
CCC(C)CCC(C)CC,0.846
CC(C)C(C)C(C)C,0.562495
CCOCCC(=O)OCC,2.65
CC(C)O,2.04
CC(Cl)C(F)(Cl)Cl,0.828288
Fc1c(F)c(F)c(F)c(F)c1F,0.933
CCCCCCCOC=O,1.143333333333333
CC(CO)CC(C)(C)C,0.725642
CC(C)=CC(=O)C=C(C)C,1.4
CCC/C=C/C(C)C,0.387774
O=CC=Cc1ccccc1,5.395106225
CCC(C)C(F)F,0.394769
CC(CCO)CCO,1.42842
CC(C)=CCBr,0.706421
CC/C=C\CC(C)C,0.395946
ClC(Cl)(Cl)Cl,0.9084068000000001
CC(C)CC(C(=O)O)N1C(=O)/C(=C2/C(=O)Nc3ccccc32)SC1=S,0.900333
CCC(C)(C)C,0.343371
C/C=C(\C)C(=O)OCC,0.621069
CCCCCCC(C)O,6.41
CC(C)=CCC/C(C)=C/C=O,2.111
