SMILES,TARGET
C=CC(CC)CCC,0.397109
CCCOC(=O)CC(CC(=O)OCCC)C(=O)OCCC,16.6
CCC(C)C(C)(O)CC,0.711485
C=C(C)Cl,0.326405
C#CCC,0.206275
CC(C)CCC(C)Cl,0.60015
OCCNCCO,569.5
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,12.0
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(=O)C(C)(C)Br)C(O)C1C(C)(C)CCC(OCc3ccccc3)C12C,0.383442
ClC(Cl)C(Cl)(Cl)Cl,2.37
C=CCCCCCCC=C,0.723931
C=CC(Br)CC,0.678227
CC/C=C/C(C)CC,0.395946
CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC,14.0
ClCC(Cl)CCl,0.25
CCSCC,0.42264999999999997
CC(C)OC(C)C,0.3339
C1=CCCC1,0.23
C=C(CCC)CCC,0.40162
CCOC(=O)CCc1ccccc1,3.07
C=CCOC(=O)/C=C\C(=O)OCC=C,4.5
Cc1cscc1C,0.781388
CCCCn1cccc1,0.98052
CCCC(C)(O)C(C)C,0.731555
CC(C)CC(C)(C)C,0.4747999999999999
O=C1CCCCCC1,1.76
CCCC(O)C(C)(C)C,0.685465
CC(C)OC(=O)CCCCC(=O)OC(C)C,3.5
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.8696666666666667
CC(=O)OC(C)C,0.4957291666666666
OC1CCCCC1,57.5
C=CC(=O)OCCC(C)C,0.694132
CCC=CCC(C)C,0.395946
CC(CF)CCF,0.394769
Cc1ccccc1C,0.749
CC(=O)CCC(=O)O,29.443
Oc1cccc(Cl)c1,11.5
CC(Cl)(Cl)C(F)(Cl)Cl,0.972722
BrCCCCCCCBr,4.345
CCC(C)NC(C)CC,0.590535
CC=CCF,0.175926
O=Cc1ccccc1Cl,1.461
COC(=O)c1ccccc1C(=O)OC,14.36
CC(=O)OCc1ccccc1,2.049
C=C(C)C#N,0.392
CCC(C)C(F)F,0.394769
CC(C)(F)C(F)F,0.188549
Cc1ccncc1,0.8687412506666666
CC(C)C(C)C(C)C,0.562495
C=CCCCl,0.395002
CCOP(=O)(OCC)OCC,1.34487
C=CC(C)=O,0.807
FC(F)(F)C(F)(Cl)C(F)(F)F,0.186718
C/C=C\CCBr,0.700414
CCCC(S)CC,0.539867
CCC=CF,0.168827
CC(C)CCOCCC(C)C,1.012
CC(C)COCCOCC(C)C,1.13111
CC(C)CCOC(=O)CCCCCCCCC(=O)OCCC(C)C,11.8
CCCC(=O)O,1.4677722222222223
CCCC(C)O,3.47
OCc1ccccc1,5.474
CCC/C=C\C(C)C,0.392312
c1ccc(CNCc2ccccc2)cc1,6.16
CCC=C(C)[N+](=O)[O-],0.87
CC(C)CC(C)S,0.563182
CCC(CC)=C(C)C,0.40943
COC(=O)CC(C)=O,1.6249125
CC(C)I,0.6688333333333334
FCC(F)(F)C(F)Cl,0.321736
COC(=O)CCC(C)=O,1.9159
C=Cc1cc(C)cc(C)c1,0.881513
C=CC(=O)OCC,0.5377
C[Si](C)(C)C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,3.5
C/C=C/C(C)C(C)C,0.402419
Cc1cc(C(C)C)cc(C(C)C)c1,1.01281
Cc1ccccc1N,3.194
CCOCCC(=O)OCC,2.65
C=CC(=O)OCC(C)CC,0.68855
CC(C)CC(C)CCO,0.721636
CCCCCCCCCCCCCc1ccccc1,5.4629
ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.26
C1CCC1,0.231112
CCC=C(CC)CC,0.404326
CC(=O)OCC=C(C)C,0.61143
CCN(CC)C(=O)c1cccc(C)c1,13.3
CCOC(=O)CCC(C)CC,0.761617
CC(C)C(C)O,3.51
C=C(C)C(=C)C,0.2683666666666666
C=C(CC)C(C)CC,0.398045
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,4.4275
C=CCN,0.3745
C/C=C(\C)C(C)(C)C,0.40943
CCC1=CCCCC1,0.521629
CC[Si](C)(O[Si](C)(C)C[Si](C)(C)C)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(C)C[Si](C)(C)C,6.3
C=C(C)CC(C)CC,0.399654
C=CCC(C)C(=O)OCC,0.66577
COP(=O)(OC)OC,1.80522
FC(F)CCl,0.296594
OCCN1CCOCC1,26.582
CC(C)CN,0.571
CCCC(C)(C)C(C)O,0.741365
CC(F)C(C)(C)F,0.394769
CCCOc1ccc(C)cc1,2.014
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.8
CC(C)(F)CF,0.302432
CCC1CCCC1C,0.483196
c1ccc2c(c1)CCC2,1.4235
C=C(CCC)C(C)C,0.402419
CCCC1CCCC1,0.65
C=C(C)C(C)Br,0.683291
C=C(C)CCC(=O)OCC,0.68304
CCOC(OCC)OCC,0.68
CC(CC=O)CC(C)(C)C,1.4
CC=C(C)C(C)C(C)=O,0.976683
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0.93
FC(F)=C(F)OC(F)(F)F,0.177176
CCOC(=O)C(C)(C)C(=O)OCC,1.95
FC(CCl)C(F)(F)F,0.321736
CC/C=C\F,0.178472
CCC(C)O,3.1
Nc1ccccc1Cl,3.32
CCc1ccc(C)cc1C,0.829615
C=CC(C)CC(C)C,0.393385
CCC(C)CS,0.483874
C1=CCCC=C1,0.549398
CCOC(=O)Cc1ccccc1,2.362222222222222
CC=CC(Cl)CC,0.534703
CC=C(Br)Br,1.1519
FC(F)(F)CCl,0.270583
CCOC(=O)CCC(C)=O,1.9296
CCCCOC(C)COC(C)CO,4.23
CC(C)=CCC(C)C,0.393974
CC[C@@H]1CCC[C@H]1C,0.468157
C=C[Si](Cl)(Cl)Cl,0.432525
C[C@@H]1CCC[C@H](C)C1,0.68
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9068339586666668
C=C=C(C)CC,0.333769
CC(C)=C(C)Br,0.712974
CCCc1ccc(C)cc1,0.79467
CCC(C)(C)F,0.297255
CCCC(C)(C)CCO,0.733825
C=Cc1ccccn1,1.17
FC(F)(F)C(Cl)Cl,0.31755
CC(=O)OC(C)CCCC(C)C,0.816305
Cc1ccc(C(C)C)cc1,0.769835
CC(=O)C(C)C,0.42854852
FC(F)C(F)(F)F,0.0601327
Cc1ccco1,0.368269
C=C(C)C(=O)OCC(C)C,0.9466666666666668
CCCC(C)CCSC,0.711078
O=C(O)C1CCC1,2.45
CC(C)C(C)Cl,0.392393
C=C(C)C(C)CCC,0.400114
CCCC(C)CS,0.563182
[C-]#[N+]CC(C)C,0.541231
FCCC(F)(F)Cl,0.452202
CC(C)(C)CC(C)(C)N,0.715349
CC1CCNC1,0.488464
C[C@@H]1CCCC[C@H]1C,0.7949999999999999
CI,0.47406666666666664
Cc1cccc(O)c1,12.91
FC(F)(F)C(F)(Br)Br,0.72
C=CC(C)C(C)CC,0.401844
COC(=O)/C=C\C(=O)OC,3.364
C1CCNC1,0.710366
Cc1ccc(Cl)cc1,0.8538333333333333
CC(F)(F)F,0.11824
CCOC(=O)CCCCCCCC(=O)OCC,4.5
CC(F)C(C)CF,0.394769
C=C(C)c1ccc(C)cc1,0.93595
CC(C)C(C)CI,1.04273
C/C=C\F,0.131977
CCCCCCCCCCCCCCCCc1ccccc1,7.74
CCC(=O)/C=C(\C)CC,0.913505
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,8.7
O=C(O)CS,6.55
C=CC(=O)OC(C)CC,0.585843
CC1=CCCCC1,0.42
CC=C(C)CC(=O)CC,0.973006
CCC(C(C)C)C(C)O,0.725361
C=C(C)CCBr,0.683291
CCCCC(=O)OCC(C)CC,0.874024
c1cc[nH]c1,1.225
C=C(CC)CC,0.268601
c1ccc(Cc2ccccc2)cc1,3.00699
C1=CCC=C1,0.260366
CCCC(=O)OCC,0.645007375
C=CCC(C)C(C)C,0.403779
C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,2.71
FC(F)C(Cl)C(F)F,0.321736
C=C=CC,0.19651
C=C(C)C(=O)CC,0.742603
CC(C)COCCO,0.819685
CC(CCO)C(C)(C)C,0.740867
C/C=C/c1ccc(OC)cc1,3.52591
Cc1csc(C)c1,0.756127
CCCCC(=O)OC(C)CCCC,0.90858
CCc1ccc(C)c(C)c1,0.866784
CC(=O)N1CCOCC1,8.534
CCC(C)CCC(C)CC,0.846
C=C(C)OC(C)=O,0.439785
CC1CC(C)(C)CC1C,0.515014
C/C=C\CC(C)CC,0.401281
C=CCCCC(C)C,0.389907
FC(F)(F)c1ccccc1,0.57
FC(F)C(F)C(F)Cl,0.321736
C/C=C/c1ccc2c(c1)OCO2,4.0
CC(=O)CCC(C)C,0.758888888888889
CCCCOCCOCCOC(C)=O,5.6
C/C=C\C=C/C,0.340994
CCCCCCCCCCCCCCC1CCCC1,6.29
CCCCC(=O)OCC(COCC(COC(=O)CCCC)(COC(=O)CCCC)COC(=O)CCCC)(COC(=O)CCCC)COC(=O)CCCC,107.6
O=C(c1ccccc1)c1ccccc1,13.6
ClCC1CO1,1.073
CC(C)Cc1ccccc1,0.8396666666666667
CCCOC(=O)C(C)C,0.7389
CCC(C)OC(C)CC,0.48697
CC(C)OC(=O)Cl,0.65
ClC(Cl)(Cl)Cl,0.9084068000000001
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,19.7
CC(=O)CC(C)C,0.5503666666666667
CC1CC(C)CC(C)C1,0.624
CCC(C)c1ccccc1,0.97
FCCCCCF,0.394769
CCCCCCCC(=O)OCC(CCC)CCCCC,4.3
CCCCC(C)CCOC(C)=O,0.853621
COC(=O)c1ccccc1,1.857
O=C(O)C(Cl)Cl,5.915616342
FC(F)=C(F)Br,0.313042
CC/C(C)=C(/C)C(C)=O,0.998371
CC(O)COC(C)COC(C)COC(C)CO,44.89
C1CC2OC2CC1C1CO1,7.77
CCC(=O)NC,6.06
CCCCCCCCCCCc1ccccc1,4.0
CCOC(C)(C)CC,0.427189
CCOCCC(C)C,0.450828
FC(F)(F)C1CCCCC1,0.95
ClC=C(Cl)Cl,0.592
C=CCCC=C,0.286432
CCCCCCCCC1CCCC1,2.12541
CC#CCCC,0.310307
CCCCC(CC)C(=O)OCC(C)(C)COC(=O)C(CC)CCCC,11.0
CN1CCCC1=O,1.6699986065
C[C@H]1CC[C@@H](O)CC1,24.7
FC(F)(F)C(F)(F)C(F)(F)Cl,0.197339
CCC(C)(C)C,0.343371
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,9.2
COCCOC(C)=O,1.1
C=C(C)C(=O)OC,0.6061333333333333
CN(C)C(=O)N(C)C,1.396368361
C=CC(N)=O,2.71
CC(F)(F)CCF,0.188549
CCCc1ccccc1,0.79
CCOCC(C)OC(C)=O,1.2
C=CCOCC(C)O,2.43
CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O,3.19498
FC=C(F)F,0.12183
CCc1ccccc1,0.634146375
CCC(C)(C)CI,1.04273
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.35851
CC=C(C)F,0.175926
CC(C)C,0.1666666666666666
C=COC(C)C,0.354067
CCC(=O)c1ccccc1,1.51
CCC(C)(CC)CC,0.518896
COCCOCCOCCOCCOC,3.3
Cc1ccccc1F,0.601
CCCCCCCC/C=C/CCCCCCCC(=O)OCC,8.17
CC(Cl)C(F)(F)F,0.452202
CSC,0.2852166666666667
