SMILES,TARGET
CO,337.85
CCl,248.93
CCOCC,307.58
CCCC#N,390.75
COC(C)=O,330.09
CCOC(C)=O,350.21
CCC,231.11
CCO,351.44
CCCO,370.35
CC=O,293.55
ClCCl,312.9
ClCCCl,356.59
CC(C)=O,329.44
C1CCCC1,322.4
CCCCCCO,430.15
CCC(C)=O,352.79
CCC(=O)CC,375.14
C=C(Cl)Cl,304.71
ClCC(Cl)Cl,387.0
CC(Cl)(Cl)Cl,347.23
CN,266.82
CBr,276.71
CCCl,285.42
CCCC,272.65
CCCCN,350.55
CCCCO,390.81
CCC=O,321.15
CCCCC,309.22
CCCCCO,410.95
CC(C)O,355.41
CCCCCC,341.88
CCCC=O,347.95
CCCC(C)=O,375.46
ClC=C(Cl)Cl,360.1
C[N+](=O)[O-],374.35
CSC,310.48
CNC,280.03
CCC#N,370.5
CCNCC,328.6
COCOC,315.0
COC=O,304.9
CN(C)C,276.02
C=CC#N,350.5
C=CCCC,303.11
CCCCCCN,404.65
CCCCCCC,371.58
CCCOC=O,353.97
C=CCCCC,336.63
CCCOCCC,362.79
CC(=O)O,391.05
CCCCCCl,381.54
CC(C)CO,380.81
c1ccncc1,388.41
CCC(C)CC,336.42
CC(C)CCO,404.35
CCC(=O)O,414.32
C1CCCCC1,353.87
BrC(Br)Br,422.35
CCCCOCCCC,413.44
CCCC(=O)O,436.42
ClC(Cl)Cl,334.33
C1=CCCCC1,356.12
CCCCCCCCO,468.35
CC(Cl)CCl,369.52
C=CC(=C)C,307.215
COC(C)(C)C,328.35
CCC(C)(C)O,375.15
CCCCOC(C)=O,399.15
CC(=O)OC(C)C,361.65
CC[N+](=O)[O-],387.22
ClC(Cl)=C(Cl)Cl,394.4
NCCN,390.41
C=CC,225.43
CCBr,311.5
CCCS,340.87
CC#N,354.75
C=CCl,259.78
C1CO1,283.85
CCCCl,319.67
C=CCC,266.9
CC(C)N,305.55
C=CC=C,268.74
CCOC=O,327.46
CCC(C)O,372.7
CC(C)CN,340.88
CCC(C)C,300.99
CCCC(C)C,333.41
C=C(C)CC,304.3
CCCCCCCC,398.83
C=CCCCCC,366.79
CN(C)C=O,426.15
CCCCCCCCC,423.97
CCCCC(C)C,363.2
CC1CCCCC1,374.08
CCOC(=O)CC,372.25
CCC(C)(C)C,322.88
CCCCCC(C)C,390.8
CCCCC(C)=O,400.85
CC(C)C(C)C,331.13
CC(C)C(=O)O,427.85
CCCC(=O)OCC,394.65
CC(C)OC(C)C,341.45
CCCCC(C)(C)C,379.99
CCCC(C)(C)CC,385.12
CCCCCOC(C)=O,422.15
CCOCCOC(C)=O,429.45
CC(C)CCC(C)C,382.26
CCCCCCOC(C)=O,444.65
CC(=O)OCC(C)C,389.8
ClC(Cl)(Cl)Cl,349.79
CC(C)CC(C)(C)C,372.39
CCC(C)(C)C(C)C,387.92
CC(C)C(C)C(C)C,386.62
CCC(C)C(C)(C)C,383.0
CCC[N+](=O)[O-],404.33
CI,315.58
CCS,308.15
C#N,298.85
CCN,289.73
O=CO,373.71
C1CN1,329.0
COCCO,397.55
C=CCO,370.23
CC1CO1,307.05
C=CC=O,325.84
CCCCBr,374.75
CCCOCC,337.01
CCC(C)N,336.15
CCCCC=O,376.15
C1CCNC1,359.72
C1CCOC1,338.0
ClCCCCl,393.55
CCCCCCCO,449.45
CCC(C)Cl,341.25
CC1CCCC1,344.96
CCCC(C)O,392.15
C1=CCCC1,317.38
CCCCOCCO,444.47
Cc1ccncc1,418.5
CCCCCCC=O,425.95
CCCCCCCCN,452.75
CCCCNCCCC,432.0
C=CCCCCCC,394.44
CCCCCCCBr,452.05
CCC(=O)OC,352.6
CCCCCCCCCC,447.3
O=Cc1ccco1,434.85
O=C1CCCCC1,428.9
CCCCC(C)CC,392.08
CCCOC(C)=O,374.65
CCC(C)(C)CC,359.21
CCCCCC(C)=O,424.05
ClCC(Cl)CCl,430.0
CCCC(C)(C)C,352.34
CC(=O)N(C)C,439.25
CC(=O)C(C)C,367.55
CCCN(CCC)CCC,429.65
CC(C)C(C)(C)C,354.03
ClC(Cl)C(Cl)Cl,418.25
Cc1cccc2ccccc12,517.83
CCC(C(C)C)C(C)C,409.87
CC(C)(C)CC(C)(C)C,395.44
CC(C)CC(=O)CC(C)C,441.41
ICI,455.15
CCSCC,365.25
OCCCl,401.75
CCCCCN,377.65
CC(C)S,325.71
CC(C)C,261.43
CCOCCO,408.15
CS(C)=O,462.15
CCC(C)S,358.13
CC(C)Br,332.56
c1ccsc1,357.31
CC(C)C=O,337.25
CCC(O)CC,388.45
CC=C(C)C,311.71
CC(C)C#N,376.76
CCCCOC=O,379.25
C1COCCN1,401.15
CCC(CC)CC,366.62
Cc1ccccn1,402.55
C1CCCCCC1,391.94
OC1CCCCC1,434.0
C=CC(=O)O,414.15
NC1CCCCC1,407.65
C=C(C)C=O,341.15
OCc1ccco1,443.15
CCC1CCCCC1,404.95
CCCCC(=O)O,458.65
CCCCCCCC=O,447.15
CCCC(=O)OC,375.9
CCCCCCCCCO,486.25
C=CCCCCCCCC,443.75
CCCCC(C)CCC,415.59
CCCCCC(=O)O,478.85
CCCOC(=O)CC,395.65
CCCCCCCCCCO,503.35
CCCCC1CCCCC1,454.13
CCC(C)(CC)CC,391.42
CCC(C)CC(C)C,382.58
CC(=O)CC(C)C,389.65
CCC(C)C(C)CC,390.88
CCCCCCC(C)=O,445.75
CC(C)C1CCCCC1,427.91
CCCCCCCCCCCCC,508.62
CC(C)CCCC(C)C,408.36
CCOC(=O)C(C)O,427.65
CC(=O)C=C(C)C,402.95
CCCCCCCCCCCCCC,526.73
CC(=O)OCCC(C)C,415.25
CCC(CC)C(C)(C)C,406.99
CC(C)CCC(C)(C)C,397.24
c1ccc2c(c1)CCC2,451.12
CC(C)[N+](=O)[O-],393.4
CC(C)C(C)C(C)(C)C,406.18
CCI,345.45
C=O,254.05
BrCBr,370.1
CNCCO,431.15
C#CCO,386.75
C=CCN,326.45
C#CCCC,313.33
C=CCCl,318.11
COCCOC,357.2
CC(C)CS,361.64
C#CCCCC,344.48
C=CCC=C,299.11
CCCCC#N,414.45
COC(C)C,303.92
C=C(C)C,266.25
c1ccoc1,304.5
CCCCCC=O,401.45
CCCCCCCS,450.09
O=C1CCCC1,403.8
CCC1CCCC1,376.62
CCCCC(C)O,413.04
CCC(CC)CO,419.65
CC(C)(C)S,337.37
C=CCC(C)C,327.01
C=C(C)CCC,335.25
CC(C)COC=O,371.22
C=CC(=O)OC,353.35
CCCC(C)CCC,390.86
CCOC(C)OCC,376.75
C=CCCCCCCC,420.02
c1cc[nH]c1,403.0
CCCC1CCCC1,404.11
CC(C)C(C)O,384.65
CC(C)(C)Cl,323.75
CC(O)C(C)O,453.85
CCCCCOCCCCC,459.9
CC(C)CC(C)C,353.64
CCCC1CCCCC1,429.9
CCOCCOCCOCC,462.15
CCCCCCCCCCC,469.08
CCCCCC(C)CC,417.38
FC(Cl)(Cl)Cl,296.97
CC(C)CC(=O)O,448.25
CC1CCC(C)CC1,394.99
CCCCCCCCCCCC,489.47
CCCCCCCCCCCCO,535.0
CC(=O)CC(C)=O,413.55
C=C(C)CC(C)(C)C,374.59
CC1OC(C)OC(C)O1,397.25
CC(=O)OC(C)(C)C,369.15
CCCCCCCCCCCCCCC,543.83
c1ccc2c(c1)CCCC2,480.77
Clc1cccc2ccccc12,532.45
CCc1cccc2ccccc12,531.48
CC,184.55
CCCI,375.6
CSSC,382.9
O=C=S,223.0
CCCCS,371.61
C=COCC,308.7
CC(C)I,362.65
CCCCCS,399.79
CC(N)CN,392.45
CC(O)CO,460.75
CCCCCCS,425.81
C=CCC#N,391.67
CC(C)Cl,308.85
FC(F)Cl,232.32
CCC=CCC,339.92
CCCCCC#N,436.75
ClCC1CO1,389.26
ClCCCCCl,427.05
Cn1cccc1,385.89
C=CCCC=C,332.61
CCC(C)CO,401.85
COCCOCCO,486.75
CN(C)CCO,407.15
CCC(C)Br,364.37
C=COCCCC,366.97
CC(=O)Cl,323.9
C=CC(C)C,293.21
CC=C(C)CC,342.225
CCCCCOC=O,406.6
CC(C)(C)O,355.57
Cc1cccnc1,417.29
CCCCCCCCS,472.19
ClCCCCCCl,453.15
C=CC(C)CC,327.33
C=C=C(C)C,314.0
C=C(CC)CC,337.82
O=C(Cl)Cl,280.71
CCCCCC(C)O,432.35
