SMILES,TARGET
CO,45.1631
CCOCC,118.2607
COC(C)=O,86.0241
c1ccccc1,84.6744
CCOC(C)=O,117.5073
Clc1ccccc1Cl,114.5206
CCC,74.6578
CCO,66.1721
CCCO,93.4806
CC=O,55.9844
ClCCCl,79.1706
CC(C)=O,75.3259
CC(Cl)Cl,76.9121
CCC(C)=O,105.0153
CCC(=O)CC,130.8531
C=C(Cl)Cl,67.8875
Clc1ccccc1,103.1148
CC(Cl)(Cl)Cl,91.961
CBr,43.1461
CCCl,64.1062
CCCC,100.5892
CCC#N,74.5163
CCNCC,119.2011
CCCCO,111.9144
COC=O,66.5192
CCCCCO,133.7003
CC(C)O,89.9941
CCCCCC,146.0652
CCCC=O,106.3489
CC(=O)O,63.8125
CCCC(C)=O,125.7601
Brc1ccccc1,101.8682
ClC=C(Cl)Cl,80.3884
C[N+](=O)[O-],59.11
CNC,72.0327
COCOC,91.2503
CN(C)C,94.9567
C=CC#N,64.6445
C=CCCC,113.11
CCCOC=O,109.7715
CCCCCCl,133.31
CC(C)CO,111.2599
c1ccncc1,79.0988
CCC(C)CC,141.5817
CC(C)CCO,131.0617
CCC(=O)O,89.2683
C1CCCCC1,108.145
BrC(Br)Br,70.7686
CCCCOCCCC,208.6785
CCCC(=O)O,115.5642
CCCCCCCCO,203.5886
CC(Cl)CCl,100.6761
C=CC(=C)C,103.6696
COC(C)(C)C,131.8657
CCOC(=O)CC,135.1104
CCC(C)(C)O,135.9763
CCCCOC(C)=O,159.0879
O=Cc1ccccc1,115.3383
CC(C)C(=O)O,103.94
CC(=O)OCC(C)C,154.3882
CC[N+](=O)[O-],80.4995
ClC(Cl)=C(Cl)Cl,94.947
Clc1ccc(Cl)c(Cl)c1,129.7639
O=[N+]([O-])c1ccccc1,119.0198
O=CO,45.9559
NCCN,91.2131
CCBr,67.0779
CCCS,96.8624
C1CO1,49.4037
CCCCl,86.6691
CC(C)N,94.4493
C=CC=C,81.3658
CCOC=O,88.8493
CCC(C)O,115.5731
CC(C)CN,116.197
CCCNCCC,157.3789
C1CCOC1,78.6746
CCCC(C)C,144.1169
C=C(C)CC,114.4718
CCCCCCCC,192.3777
CN(C)C=O,96.0061
CCCCCCCCC,215.6814
CC(C)(C)C,120.8637
CCC(=O)OC,111.3855
CCC(C)(C)C,143.4783
CCCCCC(C)C,190.3143
CCCCC(C)=O,150.5332
COc1ccccc1,111.8084
CC(C)C(C)C,139.929
CCCC(=O)OCC,157.3231
CCCCC(C)(C)C,191.2809
CCCC(C)(C)CC,192.3862
CCOCCOC(C)=O,164.5867
CCCCCCOC(C)=O,197.9763
CC(C)CC(C)(C)C,190.3198
CCC(C)(C)C(C)C,187.4292
CCC(C)C(C)(C)C,186.9915
Cc1cc(C)cc(C)c1,150.2547
Cc1cccc([N+](=O)[O-])c1,140.9668
CI,45.7252
C#N,35.9152
CCCBr,88.413
C1CN1,54.4038
COCCO,99.7991
C=CCO,77.9167
CCCCCN,140.0877
C=CC=O,66.3002
CCC(C)N,118.6353
C1CCNC1,85.0651
ClCCCCl,101.6711
CCC(O)CC,135.6963
CCC(C)Cl,112.1417
CC1CCCC1,113.4833
CCCC(C)O,135.4688
C1=CCCC1,78.0551
CCCCOCCO,165.9912
Cc1ccncc1,101.96
CCCCCCC=O,176.6108
CCCCCCCCN,208.0836
CCCCNCCCC,203.0529
Fc1ccccc1,97.644
CNc1ccccc1,105.1514
O=Cc1ccco1,99.3135
CCCCC(C)CC,188.5386
OCc1ccccc1,111.3672
CCCCCC(C)=O,175.0014
CC(=O)C(C)C,112.5036
CCc1ccccc1CC,188.0082
CCCN(CCC)CCC,224.8819
CCc1ccc(C)cc1,151.7078
CC(=O)CC(C)=O,114.4712
CCc1cccc(CC)c1,182.6295
CCc1ccc(CC)cc1,181.9259
CC(C)Cc1ccccc1,172.3237
ClC(Cl)C(Cl)Cl,99.8554
c1ccc2c(c1)CCC2,121.0043
CCC(C(C)C)C(C)C,211.0284
Cc1ccc(C(C)C)cc1,180.43
CC(C)(C)CC(C)(C)C,219.4957
CC(C)CC(=O)CC(C)C,215.9976
ICI,57.8089
CCSCC,120.1071
OCCCl,75.904
CC(C)S,98.0316
CC(C)C,98.6358
COCCOC,122.2576
CCOCCO,120.9433
CC(O)CO,101.7961
CCC(C)S,122.1052
c1ccsc1,72.9342
CC(C)C=O,98.7221
CC=C(C)C,108.9707
CC(C)C#N,98.6164
CCCCOC=O,132.9021
C1COCCN1,116.7217
Cc1ccccn1,102.4634
C=C(C)C=O,79.6051
OCc1ccco1,119.3215
CC(C)COC=O,132.4817
CCC1CCCCC1,165.4445
C1=CCCC=C1,96.4128
CCCCCCCC=O,200.7784
Cc1ccccc1N,135.5709
