SMILES,TARGET
c1ccccc1,84.6744
Cc1ccccc1,106.6168
Clc1cccc(Cl)c1,115.0003
C1CCCC1,86.3028
Clc1ccccc1,103.1148
Brc1ccccc1,101.8682
CC(C)c1ccccc1,155.7457
c1ccncc1,79.0988
C1CCCCC1,108.145
C1=CCCCC1,103.8606
O=Cc1ccccc1,115.3383
Clc1ccc(Cl)c(Cl)c1,129.7639
O=[N+]([O-])c1ccccc1,119.0198
C1CO1,49.4037
C1CCOC1,78.6746
COc1ccccc1,111.8084
Oc1ccccc1Cl,118.1578
CCCCc1ccccc1,181.7399
Cc1cc(C)cc(C)c1,150.2547
Cc1ccc(C)c(C)c1,156.8284
CC(C)(C)c1ccccc1,177.5547
Cc1cccc([N+](=O)[O-])c1,140.9668
C1CN1,54.4038
CC1CO1,72.6565
C1CCNC1,85.0651
CC1CCCC1,113.4833
C1=CCCC1,78.0551
Cc1ccncc1,101.96
Fc1ccccc1,97.644
CNc1ccccc1,105.1514
O=Cc1ccco1,99.3135
O=C1CCCCC1,111.7864
OCc1ccccc1,111.3672
Cc1cccc(N)c1,130.8722
CCc1ccccc1CC,188.0082
CCc1ccc(C)cc1,151.7078
CCc1cccc(CC)c1,182.6295
CCc1ccc(CC)cc1,181.9259
CC(C)Cc1ccccc1,172.3237
CCC(C)c1ccccc1,188.9898
c1ccc2c(c1)CCC2,121.0043
Cc1ccc(C(C)C)cc1,180.43
c1ccsc1,72.9342
Cc1ccccn1,102.4634
OC1CCCCC1,132.3709
NC1CCCCC1,133.2313
CCC1CCCCC1,165.4445
C1=CCCC=C1,96.4128
NCc1ccccc1,125.9145
CCCCC1CCCCC1,218.3774
CC(C)C1CCCCC1,179.1134
CN(C)c1ccccc1,137.6929
Cc1ccc(Cl)cc1,120.5764
CCc1cccc(C)c1,151.3894
Cc1ccccc1C(C)C,174.9581
CCc1cc(C)cc(C)c1,174.0369
Cc1ccccc1[N+](=O)[O-],140.9668
c1ccoc1,68.043
O=C1CCCC1,94.0639
Oc1ccccc1,104.4251
Ic1ccccc1,103.8678
c1cc[nH]c1,74.2797
CCCC1CCCCC1,192.9837
Cc1ccccc1Cl,120.5764
N#Cc1ccccc1,111.488
OCCc1ccccc1,141.0232
CC1CCC(C)CC1,164.60335
Cc1cccc(O)c1,127.3136
C=Cc1ccc(C)cc1,150.0939
Brc1cccc(Br)c1,119.4282
C=Cc1cccc(C)c1,150.0939
C1CCC2CCCCC2C1,173.9681
CC1OC(C)OC(C)O1,148.8109
c1ccc2c(c1)CCCC2,155.8505
FC(F)(F)c1ccccc1,134.2974
Clc1cccc2ccccc12,149.6624
CCOC(=O)c1ccccc1,143.5976
Cc1cccc(C(C)C)c1,181.1016
CCc1cccc2ccccc12,183.6985
Cc1cc(C)c(C)c(C)c1,184.8596
CCOC(=O)c1ccccc1C(=O)OCC,212.2025
Cn1cccc1,97.0368
Cc1cccnc1,102.1947
CN1CCCC1=O,102.766
CCOc1ccccc1,132.1492
ClCc1ccccc1,99.5917
Cc1cccc(C)n1,124.2565
CC1(C)CCCCC1,161.313
CCc1cc(C)ccc1C,178.6522
CCc1ccc(C)cc1C,178.6522
Cc1cc(C)nc(C)c1,141.3448
CC1=CCC2CC1C2(C)C,142.7217
CC1=CC(=O)CC(C)(C)C1,181.6797
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,482.1515
C1CCSC1,93.5104
CCC1CO1,97.3378
OCC1CCCO1,139.5464
Sc1ccccc1,107.5969
O=C1CCCO1,87.9571
C1CCCNCC1,117.0056
CC1CCCCC1C,164.72455
C=C1CC(=O)O1,88.9119
CCc1c(C)cccc1C,183.5344
C=C(C)c1ccccc1,150.0038
CCCCCCCc1ccccc1,252.549
CCCCCCCCc1ccccc1,276.1936
COC(=O)c1ccccc1O,143.9697
CCc1ccc(C)c(C)c1,178.8362
COC(=O)c1ccccc1C(=O)OC,171.5427
C1CC1,58.0605
C1COC1,61.991
O=C1CCO1,73.405
NNc1ccccc1,123.3736
CCc1ccccc1N,154.9069
O=C1CCCCCO1,122.2004
C=CC1=CCCCC1,137.3287
CC1CCCC(C)C1,164.1576
O=Cc1ccccc1O,132.4771
O=C=Nc1ccccc1,110.4752
CCc1cccc(C)c1C,183.489
ClC(Cl)c1ccccc1,129.2122
CC(=O)OCc1ccccc1,162.6715
C=C1CCC2CC1C2(C)C,166.8785
CC1=CCC(C(C)C)=CC1,205.0475
CC(c1ccccc1)c1ccccc1,204.7417
CC(C)c1cccc(C(C)C)c1,219.0711
Fc1c(F)c(F)c(F)c(F)c1F,156.9528
CC1CN1,75.425
CN1CCCC1,103.672
C1=CCC=C1,77.4952
CCOCc1ccccc1,154.0329
C=Cc1ccccc1C,150.0939
C1=CCCC=CCC1,140.505
CCOc1ccc(N)cc1,138.9902
Cc1ccc(Cl)cc1Cl,137.7245
CCCCCCCCCCC1CCCCC1,361.8438
C=C(C)C1CC=C(C)CC1,188.2952
CC1=CC=C(C(C)C)CC1,208.3665
c1ccc(Cc2ccccc2)cc1,182.1246
c1ccc(COCc2ccccc2)cc1,201.4111
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,327.2489
Cc1ccccc1O,129.5937
C1=Cc2ccccc2C1,125.4867
CCc1cccc(CC)c1N,202.3379
Cc1ccc(O)c(C)c1,158.4226
O=C(Cl)c1ccccc1,121.1642
Cc1ccc2ccccc2n1,156.151
Brc1cccc2ccccc12,243.783
CCCCCCCCCc1ccccc1,294.9373
CC1=CCC(C(C)C)C=C1,187.6963
ClC(Cl)(Cl)c1ccccc1,146.3289
O=C(OCc1ccccc1)c1ccccc1,190.9044
NCCN1CCNCC1,178.6137
c1ccc2cnccc2c1,133.5942
C=Cc1cccc(C=C)c1,162.8188
C=C1C=CC(C(C)C)CC1,189.3716
CCCCc1cccc2ccccc12,232.2518
COc1ccccc1[N+](=O)[O-],146.1584
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,175.3536
Cc1ccc(N)cc1,130.3372
c1ccc2ccccc2c1,137.429
CCCCCCCCCCCCCc1ccccc1,394.41
C(=Cc1ccccc1)c1ccccc1,194.3882
FC1(F)C(F)(F)C(F)(F)C1(F)F,160.3439
c1cocn1,61.9212
Nc1ccccc1Cl,125.0307
O=C=NC1CCCCC1,131.1411
Clc1ccc(Cl)cc1,114.8655
c1cc2c3c(cccc3c1)CC2,228.8874
CCCCCCCCCCCCc1ccccc1,368.4915
c1ccc2cc3ccccc3cc2c1,187.9977
O=C(c1ccccc1)c1ccccc1,178.4234
c1ccc2c(c1)ccc1ccccc12,189.767
CCCCCCCCCc1cccc2ccccc12,340.1705
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,174.7493
Oc1cccc(O)c1,125.2394
Oc1cccc(Cl)c1,118.1578
Cc1cccc(C)c1O,158.1044
Cc1cccc(O)c1C,165.8744
Cc1ccc(O)cc1C,165.0727
Cc1ccc(Br)cc1,123.2462
Cc1cc2ccccc2o1,131.7781
Cc1cc(C)cc(O)c1,154.8987
Cc1cc(C)c(C)cc1C,185.835
O=C(Cl)c1cccc(Cl)c1,137.6602
Nc1ccc([N+](=O)[O-])cc1,147.2293
Nc1cccc([N+](=O)[O-])c1,147.2293
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,572.4071
C1OCOCO1,85.2075
Oc1ccc(O)cc1,124.7108
O=C(O)c1ccccc1,108.4923
Cc1ccc(C)c(O)c1,159.6192
Nc1ccccc1[N+](=O)[O-],147.2293
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,182.4084
Oc1ccccc1O,121.2464
Nc1ccc(Cl)cc1,124.9231
O=C1C=CC(=O)O1,111.779
CC(C)(OO)c1ccccc1,184.6903
CC1=CCC(=C(C)C)CC1,189.7001
c1ccc2c(c1)oc1ccccc12,159.5075
FC(F)(F)c1ccc(Cl)cc1Cl,165.2193
CCc1ccc(O)cc1,154.5173
Oc1ccc(Cl)cc1,118.1578
O=Cc1ccc(O)cc1,134.5659
CC(=O)Nc1ccccc1,134.2508
O=C(O)c1ccccc1O,123.4298
CCCCCCCCCc1ccccc1O,308.8875
CC12CCC(CC1=O)C2(C)C,167.3417
O=[N+]([O-])c1cccc(Cl)c1,137.4598
O=C1CCCCCN1,107.9635
C1=CC2CCC1C2,108.8773
CC1(O)CCCCC1,152.3419
O=C(O)c1ccccc1Cl,120.1269
C1=CC2C3C=CC(C3)C2C1,155.2914
c1ccc(CCc2ccccc2)cc1,205.0021
O=[N+]([O-])c1ccccc1Cl,137.8546
O=[N+]([O-])c1ccc(Cl)cc1,138.2481
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,155.8998
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,245.4935
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],175.3168
C1CNCCN1,119.2989
ON=C1CCCCC1,133.9287
Nc1cccc(N)c1,134.1809
O=S1(=O)CCCC1,116.9657
Oc1cccc2cccnc12,135.5187
CC(C)(C)c1ccc(O)cc1,194.5265
Nc1ccc(Nc2ccccc2)cc1,203.459
c1ccc2c(c1)[nH]c1ccccc12,176.9457
O=C1c2ccccc2C(=O)c2ccccc21,206.2433
c1ccc2c(c1)ccc1c3ccccc3ccc21,242.3005
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,271.0585
O=[N+]([O-])c1ccccc1[N+](=O)[O-],159.3328
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,153.3698
Nc1ccccc1N,134.1809
Nc1ccc(N)cc1,134.1809
C1CN2CCN1CC2,118.6839
COc1ccc(O)cc1,131.628
Oc1cccc(O)c1O,143.4117
COc1cc(C=O)ccc1O,163.4713
CN(C)c1ccc(C=O)cc1,168.6597
C(#Cc1ccccc1)c1ccccc1,186.891
O=C(O)c1ccc2c(c1)C(=O)OC2=O,146.0899
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,245.4935
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,310.7379
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,245.9327
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,153.3698
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],175.3168
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,171.8098
O=CNc1ccccc1,114.6552
C=C1C2CCC(C2)C1(C)C,159.2601
c1ccc(-c2cccc3ccccc23)cc1,214.1206
CC(C)(O)c1ccccc1,165.4251
CCOc1cc(C=O)ccc1O,185.167
CC(C)(C)c1ccc(O)c(O)c1,214.9748
