SMILES,TARGET
c1ccccc1,137.87
Cc1ccccc1,157.49
Clc1cccc(Cl)c1,171.97
C1CCCC1,119.78
Cc1ccccc1C,189.25
Clc1ccccc1,152.6
C1COCCO1,153.23
Brc1ccccc1,159.05
Cc1cccc(C)c1,182.66
CC(C)c1ccccc1,217.96
c1ccncc1,133.85
C1CCCCC1,162.07
C1=CCCCC1,142.31
CCCc1ccccc1,215.43
C=Cc1ccccc1,187.0
C1CO1,69.9
Nc1ccccc1,210.44
CC1CCCCC1,171.72
COc1ccccc1,203.0
CCc1ccccc1,183.6
O=Cc1ccccc1,177.85
CCCCc1ccccc1,247.85
Cc1ccc(C)c(C)c1,213.52
CC(C)(C)c1ccccc1,233.22
Clc1ccc(Cl)c(Cl)c1,202.46
O=[N+]([O-])c1ccccc1,189.62
Cc1cccc([N+](=O)[O-])c1,184.96
C1CN1,107.36
CC1CO1,120.42
C1CCNC1,158.36
C1CCOC1,119.08
CC1CCCC1,150.72
C1=CCCC1,114.06
Fc1ccccc1,146.21
O=Cc1ccco1,169.03
O=C1CCCCC1,190.32
CCc1ccccc1C,218.7
Oc1ccccc1Cl,198.53
Cc1cccc(N)c1,213.39
CCc1ccccc1CC,256.97
Cc1cccc(C)c1C,216.26
CCc1ccc(C)cc1,216.4
CCc1cccc(CC)c1,248.67
CCc1ccc(CC)cc1,255.72
CC(C)Cc1ccccc1,251.74
CCC(C)c1ccccc1,250.95
Cc1cc(C)cc(C)c1,208.31
Cc1cccc2ccccc12,231.33
c1ccsc1,124.15
C1COCCN1,173.02
Cc1ccccn1,159.66
C1CCCCCC1,187.27
OC1CCCCC1,218.25
NC1CCCCC1,216.95
CNc1ccccc1,200.35
CCC1CCCCC1,203.43
C1=CCCC=C1,138.59
Cc1ccccc1N,217.2
OCc1ccccc1,223.25
CCCCC1CCCCC1,317.67
CC(C)C1CCCCC1,243.58
CN(C)c1ccccc1,238.4
Cc1ccc(Cl)cc1,199.43
CCc1cccc(C)c1,213.33
Cc1ccccc1C(C)C,246.79
c1ccc2c(c1)CCC2,199.03
COC(=O)c1ccccc1,214.24
CCc1cc(C)cc(C)c1,261.31
Cc1ccccc1[N+](=O)[O-],177.89
C1CCNCC1,183.64
O=C1CCCC1,164.16
CCC1CCCC1,171.61
Ic1ccccc1,160.14
c1cc[nH]c1,131.74
CCCC1CCCC1,211.99
NCc1ccccc1,220.4
CCCC1CCCCC1,243.96
Cc1ccccc1Cl,198.51
N#Cc1ccccc1,180.55
Cc1cccc(O)c1,235.69
Nc1cccc(Cl)c1,210.51
C=Cc1ccc(C)cc1,212.65
Brc1cccc(Br)c1,181.38
C=Cc1cccc(C)c1,211.62
CC(=O)c1ccccc1,200.32
CC1OC(C)OC(C)O1,258.78
c1ccc2c(c1)CCCC2,234.7
FC(F)(F)c1ccccc1,190.8
Clc1cccc2ccccc12,242.7
CCOC(=O)c1ccccc1,244.95
Cc1cccc(C(C)C)c1,246.58
CCc1cccc2ccccc12,287.58
Cc1cc(C)c(C)c(C)c1,280.5
CCOC(=O)c1ccccc1C(=O)OCC,374.95
ClCC1CO1,133.04
Cc1cccnc1,161.28
CN1CCCC1=O,177.27
ClCc1ccccc1,187.41
Cc1cccc(C)n1,193.01
CC1(C)CCCCC1,214.81
CCc1cc(C)ccc1C,267.15
CCc1ccc(C)cc1C,267.52
C1CCC2CCCCC2C1,251.18
c1ccc2ncccc2c1,217.49
CC1=CCC2CC1C2(C)C,235.54
CC1=CC(=O)CC(C)(C)C1,275.71
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,704.66
Sc1ccccc1,174.8
C1CCCNCC1,226.08
CC1CCCCC1C,211.13
CCC1(C)CCCC1,225.79
C=C1CC(=O)O1,160.13
CCc1c(C)cccc1C,272.15
C=C(C)c1ccccc1,212.62
CCCCCCCc1ccccc1,352.82
CCCCCCCCc1ccccc1,387.29
CCc1ccc(C)c(C)c1,267.91
COC(=O)c1ccccc1C(=O)OC,300.96
C1CC1,92.42
C1CCC1,104.07
C1CCSC1,138.67
O=C1CCO1,123.05
O=C1CCCO1,139.99
NNc1ccccc1,190.05
CCc1ccccc1N,252.44
O=C1CCCCCO1,198.77
C=CC1=CCCCC1,205.67
CC1CCCC(C)C1,210.055
O=C=Nc1ccccc1,169.43
CCCCCCc1ccccc1,318.15
CCc1cccc(C)c1C,261.09
ClC(Cl)c1ccccc1,188.85
COC(=O)c1ccccc1O,252.34
C=C1CCC2CC1C2(C)C,263.87
CCCCCCCCCCc1ccccc1,457.48
CC1=CCC(C(C)C)=CC1,295.41
CC(c1ccccc1)c1ccccc1,320.81
CC(C)c1ccc(C(C)C)cc1,314.53
CC(C)c1cccc(C(C)C)c1,299.26
CC1CN1,126.51
CN1CCCC1,155.86
CC1CCCC1C,182.435
C1=CCC=C1,118.3
CCOCc1ccccc1,248.44
C=Cc1ccccc1C,211.36
C1=CCCC=CCC1,213.56
CCCCCc1ccccc1,290.8
CCOc1ccc(N)cc1,267.4
Cc1ccc(Cl)cc1Cl,127.27
CCCCCCCCCCC1CCCCC1,464.79
C=C(C)C1CC=C(C)CC1,273.03
CC1=CC=C(C(C)C)CC1,295.68
c1ccc(Cc2ccccc2)cc1,275.52912
c1ccc(COCc2ccccc2)cc1,342.31
Fc1c(F)c(F)c(F)c(F)c1F,220.17
CCCCOC(=O)c1ccccc1C(=O)OCCCC,492.41
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,506.88
OC1=NCCC1,178.05
CC1CCCCC1O,264.45
CC1=CC=CC1,156.64
C1=Cc2ccccc2C1,193.11
CCc1cccc(CC)c1N,335.06
O=C(Cl)c1ccccc1,181.15
CC(=O)OCc1ccccc1,253.3
CCCCCCCCCc1ccccc1,426.78
c1ccc(C2CCCCC2)cc1,314.92
CC1=CCC(C(C)C)C=C1,280.91
C1CCC(C2CCCCC2)CC1,320.12
ClC(Cl)(Cl)c1ccccc1,213.47
FC(F)(F)c1ccc(Cl)cc1,218.9
NCCN1CCNCC1,284.95
