SMILES,TARGET
c1ccccc1,82.93
Cc1ccccc1,60.0
Clc1cccc(Cl)c1,26.44
C1CCCC1,-77.24
Cc1ccccc1C,19.0
Clc1ccccc1,51.84
Cc1ccc(C)cc1,17.95
C1COCCO1,-315.06
Brc1ccccc1,105.02
Cc1cccc(C)c1,17.24
CC(C)c1ccccc1,3.93
c1ccncc1,140.16
C1CCCCC1,-123.14
C1=CCCCC1,-5.36
O=Cc1ccccc1,-36.8
CCCc1ccccc1,7.82
C=Cc1ccccc1,147.36
Clc1ccc(Cl)c(Cl)c1,-11.76
O=[N+]([O-])c1ccccc1,67.6
C1CO1,-52.83
C1CCOC1,-184.18
Nc1ccccc1,86.86
CC1CCCCC1,-154.77
COc1ccccc1,-68.0
CCc1ccccc1,29.79
Oc1ccccc1Cl,-123.0
CCCCc1ccccc1,-13.81
Cc1cc(C)cc(C)c1,-16.07
Cc1ccc(C)c(C)c1,-13.93
CC(C)(C)c1ccccc1,-21.63
Cc1cccc([N+](=O)[O-])c1,20.8
C1CN1,123.43
CC1CO1,-92.76
C1CCNC1,-3.6
CC1CCCC1,-106.69
C1=CCCC1,32.93
Cc1ccncc1,102.13
CNc1ccccc1,88.0
O=Cc1ccco1,-151.04
O=C1CCCCC1,-230.12
OCc1ccccc1,-100.4
CCc1ccccc1C,1.21
Cc1cccc(N)c1,64.0
CCc1ccccc1CC,-18.95
Cc1cccc(C)c1C,-9.58
CCc1ccc(C)cc1,-3.26
CCc1cccc(CC)c1,-21.84
CCc1ccc(CC)cc1,-22.26
CC(C)Cc1ccccc1,-20.34
CCC(C)c1ccccc1,-16.9
c1ccc2c(c1)CCC2,60.7
Cc1cccc2ccccc12,116.86
Cc1ccc(C(C)C)cc1,-29.0
c1ccsc1,115.73
C1COCCN1,-156.0
Cc1ccccn1,98.95
C1CCCCCC1,-119.33
OC1CCCCC1,-294.55
OCc1ccco1,-218.9
CCC1CCCCC1,-171.75
C1=CCCC=C1,106.2
NCc1ccccc1,62.23
CCCCC1CCCCC1,-213.17
CC(C)C1CCCCC1,-196.0
CN(C)c1ccccc1,100.5
Cc1ccc(Cl)cc1,18.2
CCc1cccc(C)c1,-1.92
COC(=O)c1ccccc1,-287.9
CCc1cc(C)cc(C)c1,-35.4
Cc1ccccc1[N+](=O)[O-],45.5
c1ccoc1,-34.69
O=C1CCCC1,-194.14
CCC1CCCC1,-127.07
Ic1ccccc1,162.55
c1cc[nH]c1,108.28
CCCC1CCCC1,-148.07
CCCC1CCCCC1,-193.3
Cc1ccccc1Cl,18.2
N#Cc1ccccc1,218.82
OCCc1ccccc1,-121.0
CC1CCC(C)CC1,-184.6
Nc1cccc(Cl)c1,57.3
C=Cc1ccc(C)cc1,114.64
Brc1cccc(Br)c1,125.52
C=Cc1cccc(C)c1,115.48
CC(=O)c1ccccc1,-86.6
C1CCC2CCCCC2C1,-182.3
c1ccc2ncccc2c1,222.3
CC1OC(C)OC(C)O1,-645.3
c1ccc2c(c1)CCCC2,26.61
FC(F)(F)c1ccccc1,-600.07
Clc1cccc2ccccc12,119.8
CCOC(=O)c1ccccc1,-284.0
