SMILES,TARGET
CO,-243.74
CCl,-102.4
S=C=S,89.41
CCOCC,-271.2
CCCC#N,-5.8
COC(C)=O,-445.89
Cc1ccccc1,12.0
Clc1ccccc1Cl,-17.0
Clc1cccc(Cl)c1,-20.5
CCC,-119.8
CCO,-276.0
CCCO,-303.788
CC=O,-196.4
ClCCl,-124.2
ClCCCl,-168.45
CC(C)=O,-249.4
C1CCCC1,-105.75
CCCCCCO,-382.125
CC(Cl)Cl,-163.3
CCC(C)=O,-276.15
CCC(=O)CC,-296.51
C=C(Cl)Cl,-24.4333
Cc1ccccc1C,-24.4
Clc1ccccc1,11.1
ClCC(Cl)Cl,-188.25
CC(Cl)(Cl)Cl,-176.1
CN,-43.5333
CBr,-60.6
CCCl,-137.0
CCCCO,-328.0
CCC=O,-218.925
CCCCC,-173.3
CCCCCO,-354.618
CC(C)O,-317.9667
CCCCCC,-198.75
CCCC=O,-240.625
Brc1ccccc1,59.75
Cc1cccc(C)c1,-25.4
CC(C)c1ccccc1,-41.2
CSC,-63.68
CNC,-47.4
CCC#N,15.5
CCNCC,-131.0
CN(C)C,-49.215
C=CC#N,143.55
C=CCCC,-49.0
CCCCCCN,-239.0
CCCCCCC,-225.15
C=CCCCC,-73.0
CCCOCCC,-330.95
CC(=O)O,-484.78
CCCCCCl,-212.7
CC(C)CO,-334.3
CCC(C)CC,-202.0
CC(C)CCO,-356.15
CCC(=O)O,-510.4
CCCC(=O)O,-533.92
CCCCCCCCO,-428.7
COC(C)(C)C,-317.3
CCC(C)(C)O,-379.5
CCCCOC(C)=O,-609.6
CCCc1ccccc1,-38.4
CC[N+](=O)[O-],-142.5667
NCCN,-63.01
CC#N,35.98
C=CCl,0.9
C1CO1,-95.7
CC(C)N,-112.3
C=CC=C,90.5
CCC(C)C,-178.75
C=C(C)CC,-60.96
CCCCCCCC,-250.15
C=CCCCCC,-97.69
CN(C)C=O,-239.2
CCCCCCCCC,-274.7
CC(C)(C)C,-189.25
CCCCC(C)C,-230.4
CC1CCCCC1,-192.75
CCCCCC(C)C,-255.2
CC(C)C(C)C,-207.0
CCCC(C)(C)CC,-257.7
CCCCc1ccccc1,-63.4
ClC(Cl)(Cl)Cl,-128.25
CC(C)CC(C)(C)C,-259.3
CCC(C)(C)C(C)C,-253.7
CC(C)C(C)C(C)C,-255.2
CCC(C)C(C)(C)C,-257.1
Cc1ccc(C)c(C)c1,-61.9
CCC[N+](=O)[O-],-167.8
CC(C)(C)c1ccccc1,-70.8
Clc1ccc(Cl)c(Cl)c1,-50.2
Cc1cccc([N+](=O)[O-])c1,-46.0
CI,-12.8
CCS,-73.68
CCN,-84.5
O=CO,-425.13
CCCBr,-124.4
C1CN1,91.9
CCCCBr,-145.9
CCCOCC,-303.6
CCC(C)Cl,-198.43
CC1CCCC1,-138.6333
CCCC(C)O,-366.2333
C1=CCCC1,4.56
CCCCCCC=O,-312.0
CCCCCCCCN,-228.1
CCCCNCCCC,-209.2
C=CCCCCCC,-121.8
Fc1ccccc1,-150.8
CCCC(C)CC,-227.7
CCCCCCCCCC,-301.0
O=C1CCCCC1,-268.525
CCCCC(C)CC,-252.5
ClCC(Cl)CCl,-230.0
Cc1cccc(N)c1,42.3
CCc1ccccc1CC,-69.7
Cc1cccc(C)c1C,-58.6
CC(=O)OC(C)=O,-625.0
CC(C)C(C)(C)C,-237.45
CCc1cccc(CC)c1,-73.25
ClC(Cl)C(Cl)Cl,-198.9
CCC(C)c1ccccc1,-66.0
Cc1cccc2ccccc12,56.2
Cc1ccc(C(C)C)cc1,-78.2
CC(C)CC(=O)CC(C)C,-408.6
OCCO,-455.89
CC(C)S,-106.6
CS(C)=O,-203.4
CCC(C)S,-131.0
CC(C)Br,-129.05
c1ccsc1,80.62
CC=C(C)C,-68.35
CC(C)C#N,-13.0
C1COCCN1,-186.7
C1CCCCCC1,-156.4
OC1CCCCC1,-351.56
CNc1ccccc1,32.7
CCC1CCCCC1,-212.6
C1=CCCC=C1,71.41
CCCCC(=O)O,-557.848
Cc1ccccc1N,-5.605
OCc1ccccc1,-164.225
C=COC(C)=O,-348.4
C=CCCCCCCCC,-173.8
CCCCCC(=O)O,-583.6867
CCCCCCCCCCO,-482.51
CCC(C)C(C)C,-233.25
CCCCC1CCCCC1,-263.2
CCC(C)C(C)CC,-252.0
CN(C)c1ccccc1,40.85
CCCCCCCCCCCCCC,-403.3
CCC(CC)C(C)(C)C,-272.7
CC(C)CCC(C)(C)C,-293.3
CC(C)C(=O)C(C)C,-352.9
c1ccc2c(c1)CCC2,11.3667
CCI,-37.8667
c1ccoc1,-59.895
C1CCNCC1,-87.27
O=C1CCCC1,-238.0333
CCC1CCCC1,-164.65
CCCCC(C)O,-391.5
Ic1ccccc1,117.0
CC(C)(C)S,-140.5
C=CCC(C)C,-78.22
CCCC(C)CCC,-251.8
C=C(Cl)CCl,-73.47
c1cc[nH]c1,63.1
CCCC1CCCC1,-188.95
CC(C)(C)Cl,-211.2
CC(O)C(C)O,-543.3
CC(C)CC(C)C,-236.5
N#Cc1ccccc1,163.2
CCCCCCCCCCC,-327.2
CCCCCCCCCCCC,-350.7
C=CC(=O)OCCCC,-425.5
CCCCCCCCCCCCO,-528.5
Nc1cccc(Cl)c1,-20.3
CC1OC(C)OC(C)O1,-681.8
CCCCCCCCCCCCCCC,-428.8
c1ccc2c(c1)CCCC2,-30.6
FC(F)(F)c1ccccc1,-620.45
Clc1cccc2ccccc12,49.8
CCCI,-65.7
CSSC,-62.535
C=COCC,-167.25
CC(C)I,-74.9
CCCCCS,-151.45
CCCCCCS,-175.7
ClCC1CO1,-149.0
CCC(C)CO,-356.6
CCC(C)Br,-155.65
CC(=O)Cl,-273.7333
C=CC(C)C,-51.6
CC(C)(C)O,-358.1667
C=C(CC)CC,-87.2
COC(=O)CCl,-487.0
CCOC(=O)Cl,-497.3
CN1CCCC1=O,-265.73
CCOc1ccccc1,-156.0
CCC(C)(C)OC,-341.79
ClCc1ccccc1,-33.0
C=C(C)C(=O)O,-417.25
CCCCC(C)CCCC,-307.9
C=CCCCCCCCCCC,-226.2
CCCCCC(C)(C)C,-288.2
CCCCCCCC(=O)O,-635.845
O=CC(Cl)(Cl)Cl,-218.1
c1ccc2ncccc2c1,141.22
Cc1cc(C)nc(C)c1,-31.0
CCCCN(CCCC)CCCC,-281.8
CCCCCCCCCCCCCCCC,-456.2
CC(C)(C)OC(C)(C)C,-400.0167
CCCCCCCCCCCCCCCCC,-479.5
ClC(Cl)C(Cl)(Cl)Cl,-197.0
CS,-46.65
NCCO,-507.5
OCCCCO,-504.15
OCCOCCO,-628.5
CCC1CO1,-168.9
OCC(O)CO,-669.1
CCCCCCCN,-266.0
Sc1ccccc1,63.68
COCCOCCOC,-562.9
C1CCCNCC1,-89.3
OCCOCCOCCO,-804.2
CCCCCCCCCCS,-276.4
CCCCC(CC)CO,-432.88
CCC1(C)CCCC1,-193.8
CCCCCCCC(C)C,-309.8
CCc1c(C)cccc1C,-81.55
FC(F)(F)C(Cl)Br,-720.0
CC(=O)CC(C)(C)O,-592.8
CCc1ccc(C)c(C)c1,-85.65
C=CCCCCCCCCCCCCCC,-329.0667
CC(C)COC(=O)C(C)C,-587.4
FC(F)(Cl)C(F)(Cl)Cl,-755.0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-24.5
N=CO,-251.0
OCCCCCO,-528.77
O=C1CCO1,-331.0
O=C1CCCO1,-422.434
O=C1CCCCCO1,-458.0
CC(C)CC(C)O,-394.7
OCCN(CCO)CCO,-664.2
CCCCC(C=O)CC,-348.6
CCOC(=O)CC#N,-330.3
OCCOCCOCCOCCO,-981.7
CCCCCCCCC(=O)O,-659.955
COC(=O)CC(C)=O,-623.21
CCCC(C)(C)C(C)C,-281.1
CCOC(=O)C(=O)OCC,-808.725
CCOC(=O)CC(=O)OCC,-986.6
CCCCCCCCCCc1ccccc1,-219.1
CC(C)c1ccc(C(C)C)cc1,-132.3
CC(C)c1cccc(C(C)C)c1,-132.3
CCSSCC,-120.05
CCCSCCC,-169.8
OCC1CCCO1,-435.6
N#CCCCCC#N,84.9
CCC(=O)C(C)C,-325.9
Cc1ccc(O)cc1,-193.0
CCCCCCC(=O)O,-609.995
C1=CCCC=CCC1,24.0
CCCCOC(=O)CCCC,-613.0
CCCCCCCCCCC1CCCCC1,-418.4
c1ccc(Cc2ccccc2)cc1,94.37
Fc1c(F)c(F)c(F)c(F)c1F,-991.7
CCCOC,-265.96
C=CCBr,16.5
OC1=NCCC1,-266.04
Cc1ccccc1O,-202.0
COC(=O)CC#N,-310.765
CCC(C)(C)Cl,-235.0
C1=Cc2ccccc2C1,110.3
O=C(Cl)c1ccccc1,-160.6667
FC(F)(Cl)C(F)(F)Cl,-960.2
c1ccc(C2CCCCC2)cc1,-77.85
CC(C)(C)OOC(C)(C)C,-382.2667
C1CCC(C2CCCCC2)CC1,-274.85
ClC(Cl)(Cl)c1ccccc1,-45.1
CC=CC=O,-143.2
CC(C)(O)C#N,-120.9
FC(F)=C(F)Cl,-522.7
c1ccc2cnccc2c1,144.8
Cc1ccc2ccccc2n1,93.0
