SMILES,TARGET
CO,3.205
CCl,6.548
S=C=S,4.393
CCOCC,7.19
CCCC#N,5.021
COC(C)=O,7.97
c1ccccc1,9.866
CCOC(C)=O,10.48
Cc1ccccc1,6.636
Clc1ccccc1Cl,12.66
CCC,3.524
CCO,4.931
CCCO,5.372
CC=O,3.222
ClCCCl,6.626
CC(C)=O,5.691
C1CCCC1,0.609
CCCCCCO,15.397
CC(Cl)Cl,7.67
CCC(C)=O,8.439
CCC(=O)CC,11.594
Clc1ccccc1,9.556
ClCC(Cl)Cl,11.297
CC(Cl)(Cl)Cl,2.35
Cc1ccc(C)cc1,17.113
CBr,5.979
CCCl,4.452
CCCC,4.661
CCCCO,9.372
CCC=O,9.75
CCCCC,8.393
CCCCCO,9.791
CCCCCC,13.079
CCCC=O,11.104
C1COCCO1,12.845
CCCC(C)=O,10.623
Brc1ccccc1,10.627
C[N+](=O)[O-],9.703
CC(C)c1ccccc1,7.326
CNC,5.941
CCC#N,5.029
CCNCC,11.4
COCOC,8.33
COC=O,7.531
C=CC#N,6.23
CCCCCCN,21.2
CCCOCCC,11.0
CC(=O)O,11.715
c1ccncc1,8.28
CCC(C)CC,5.303
CC(C)CCO,6.61
C1CCCCC1,2.74
BrC(Br)Br,11.6
CCCCOCCCC,16.6
CCCC(=O)O,11.59
ClC(Cl)Cl,9.54
C1=CCCCC1,3.293
COC(C)(C)C,7.6
CCCCOC(C)=O,14.4
CCCc1ccccc1,9.288
C=Cc1ccccc1,10.95
CC(=O)OC(C)C,8.88
CC[N+](=O)[O-],9.653
ClC(Cl)=C(Cl)Cl,10.46
NCCN,22.563
C=CC,3.003
CCBr,5.656
C=CCl,4.744
C1CO1,5.171
CCCCl,5.544
CC(C)N,7.325
C=CC=C,7.985
CCOC=O,9.205
CCC(C)O,5.971
CC(C)CN,9.99
CCC(C)C,5.151
CCCC(C)C,6.268
CCCCCCCC,20.74
C=CCCCCC,12.401
CCCCCCCCC,15.468
CCCCC(C)C,9.184
CC1CCCCC1,6.751
CCCCCC(C)C,11.878
COc1ccccc1,11.2
CCc1ccccc1,9.184
CC(C)C(C)C,0.799
O=Cc1ccccc1,9.322
CC(C)C(=O)O,5.021
CCCC(=O)OCC,12.5
CC(C)OC(C)C,11.046
CCCCC(C)(C)C,6.778
CCCCCOC(C)=O,16.5
CCOCCOC(C)=O,17.2
CC(C)CCC(C)C,12.954
CCCCCCOC(C)=O,16.9
CC(=O)OCC(C)C,12.4
CCC(C)(C)C(C)C,0.858
CC(C)C(C)C(C)C,9.268
Cc1ccc(C)c(C)c1,13.192
CC(C)(C)c1ccccc1,8.393
Clc1ccc(Cl)c(Cl)c1,15.565
O=[N+]([O-])c1ccccc1,11.632
CCS,4.975
O=CO,12.698
CCCBr,6.527
C1CN1,5.67
C=CCO,5.12
CC1CO1,6.531
C=CC=O,1.02
CCCCBr,6.694
CCCOCC,8.395
CCC(C)N,8.93
CCCCC=O,15.0
CCCNCCC,14.5
C1CCOC1,8.54
CC1CCCC1,6.929
CCCC(C)O,8.48
CCCCCCCCN,28.6
CCCCNCCCC,19.0
CCCCCCCBr,12.1
Fc1ccccc1,11.305
CCC(=O)OC,10.1
CCCC(C)CC,9.46
O=Cc1ccco1,14.351
O=C1CCCCC1,1.19
CCCOC(C)=O,11.2
CCC(C)(C)CC,7.067
CCCC(C)(C)C,5.824
CCc1ccccc1C,9.962
Oc1ccccc1Cl,13.502
CC(=O)C(C)C,9.343
Cc1cccc(N)c1,3.891
CCc1ccccc1CC,16.778
CC(=O)OC(C)=O,10.502
CCc1cccc(CC)c1,10.966
CCc1ccc(CC)cc1,10.586
CCC(C)c1ccccc1,9.832
Cc1cc(C)cc(C)c1,9.514
Cc1cccc2ccccc12,6.945
CC(C)(C)CC(C)(C)C,9.7
ICI,12.05
OCCO,9.956
CCSCC,11.904
CCCCCN,17.6
CC(C)S,5.736
CC(C)Br,6.527
c1ccsc1,5.086
CC(C)C=O,12.0
CCC(O)CC,9.08
CCCCOC=O,13.9
C1COCCN1,9.2
CCC(CC)CC,9.548
Cc1ccccn1,9.724
C=CC(=O)O,11.129
NC1CCCCC1,13.7
OCc1ccco1,13.131
CNc1ccccc1,9.52
C1=CCCC=C1,4.205
CCCCC(=O)O,14.163
CCCCCCCC=O,26.13
CCCC(=O)OC,11.5
C=COC(C)=O,5.37
CCCCCCCCCO,28.8
C=CCCCCCCCC,13.807
CCCCC(C)CCC,16.0
CCCCCCCCCCO,37.656
CCCCC1CCCCC1,14.16
CCC(C)(CC)CC,10.8
CCCCCCC(C)=O,24.419
CCCCCCCCCCCCC,28.501
CC(C)CCCC(C)C,13.0
Cc1ccc(Cl)cc1,12.98
CCc1cccc(C)c1,7.615
CCCCCCCCCCCCCC,45.07
Cc1ccccc1C(C)C,10.0
CCC(CC)C(C)(C)C,10.2
CC(C)C(=O)C(C)C,11.18
COC(=O)c1ccccc1,9.736
CCc1cc(C)cc(C)c1,8.954
CCC(C)(C)C(C)(C)C,2.3
CC(C)C(C)C(C)(C)C,0.5
Cc1ccccc1[N+](=O)[O-],11.476
CNCCO,8.76
C=CCN,9.49
BrCCBr,10.962
CC(C)CS,4.982
C=CCC=C,6.073
CCCCC#N,4.728
COC(C)C,5.85
C=C(C)C,5.931
c1ccoc1,3.803
C1CCNCC1,11.422
CCCCCCCS,25.38
CCC1CCCC1,6.87
Oc1ccccc1,11.514
Ic1ccccc1,9.749
CCC(CC)CO,8.22
CC(C)(C)S,2.482
CC(C)COC=O,11.2
C=CCCCCCCC,17.991
c1cc[nH]c1,7.908
CC(C)(C)Cl,2.092
CC(O)C(C)O,11.3
