SMILES,TARGET
CO,7.3
CCl,10.7
CCOCC,1.9
ClCCl,15.5
CCCC#N,1.8
COC(C)=O,3.1
c1ccccc1,1.4
CCOC(C)=O,2.2
Cc1ccccc1,1.2
Clc1ccccc1Cl,2.2
Clc1cccc(Cl)c1,1.8
CCCO,2.0
CC=O,1.6
CCCCN,1.7
CCCCC,1.4
ClCCCl,6.2
CC(C)=O,2.6
C1CCCC1,1.4
CCCCCCO,1.2
CC(Cl)Cl,5.4
CCC(C)=O,1.8
CCC(=O)CC,1.5
C=C(Cl)Cl,7.3
Cc1ccccc1C,1.0
Clc1ccccc1,1.3
CC(Cl)(Cl)Cl,8.0
Cc1ccc(C)cc1,1.1
CN,4.9
CBr,10.0
CCCl,3.8
CCCC,1.8
CCNCC,1.8
CCCCO,1.4
CC(C)O,2.0
CCCCCC,1.2
CC(=O)O,5.4
C1COCCO1,2.0
Brc1ccccc1,1.5
ClC=C(Cl)Cl,8.0
Cc1cccc(C)c1,1.1
C[N+](=O)[O-],7.3
CSC,2.2
CNC,2.8
COCOC,1.6
CN(C)C,2.0
C=CC#N,2.4
C=CCCC,1.5
CCCCCCC,1.0
C=CCCCC,1.2
CCCOCCC,1.2
CCCCCCl,1.6
c1ccncc1,1.8
CCC(C)CC,1.2
CC(C)CCO,1.2
CCC(=O)O,2.9
CCCC(=O)O,2.2
C1=CCCCC1,1.2
CCCCCCCCO,0.9
CC(Cl)CCl,3.4
C=CC(=C)C,1.8
COC(C)(C)C,2.0
CCOC(=O)CC,1.9
CCC(C)(C)O,1.2
CCCCOC(C)=O,1.7
CC(=O)N(C)C,1.8
O=Cc1ccccc1,1.4
CC(C)C(=O)O,2.0
CCCc1ccccc1,0.9
CC(=O)OC(C)C,1.8
CC(=O)OCC(C)C,1.3
CC[N+](=O)[O-],3.4
Clc1ccc(Cl)c(Cl)c1,2.5
O=[N+]([O-])c1ccccc1,1.8
O=CO,18.0
NCCN,4.2
C=CC,2.0
CCBr,6.7
CC#N,4.4
C=CCl,3.6
CCCCl,2.6
CCC(C)C,1.4
CCCNCCC,1.1
C1CCOC1,2.0
CCCC(C)C,1.2
C=C(C)CC,1.4
C=CCCCCC,1.0
CN(C)C=O,2.2
CCCCCCCCC,0.7
CC(C)(C)C,1.4
CCCCC(C)C,1.0
CCC(=O)OC,2.5
CC1CCCCC1,1.2
CCC(C)(C)C,1.2
CCCCCC(C)C,1.0
COc1ccccc1,1.3
CCc1ccccc1,1.0
CC(C)C(C)C,1.2
Oc1ccccc1Cl,1.7
CCCC(=O)OCC,1.3
CC(C)OC(C)C,1.4
CCCCC(C)(C)C,0.9
CCCCc1ccccc1,0.8
CCCCCOC(C)=O,1.1
CCOCCOC(C)=O,1.7
CC(C)CCC(C)C,0.9
CCCCCCOC(C)=O,1.0
CC(C)CC(C)(C)C,1.1
CC(C)C(C)C(C)C,1.0
CCC(C)C(C)(C)C,1.0
Cc1cc(C)cc(C)c1,0.9
Cc1ccc(C)c(C)c1,0.9
CCC[N+](=O)[O-],2.2
CC(C)(C)c1ccccc1,0.7
Cc1cccc([N+](=O)[O-])c1,1.6
C#N,6.0
CCN,3.5
OCCO,3.2
COCCO,2.3
C=CCO,2.5
CCCCBr,2.6
CCCOCC,1.7
CCC(C)N,1.6
CCCCCCCO,1.0
CCC(C)Cl,1.9
CC1CCCC1,1.2
CCCC(C)O,1.5
C1=CCCC1,1.5
CCCCCCC=O,1.1
CCCCCCCCN,0.9
CCCCNCCCC,1.1
C=CCCCCCC,0.9
CCCCCCCBr,1.0
Fc1ccccc1,1.6
CCCC(C)CC,1.0
CNc1ccccc1,1.2
O=Cc1ccco1,2.1
O=C1CCCCC1,1.0
CCCCC(C)CC,1.0
OCc1ccccc1,1.3
CCCOC(C)=O,2.0
CCC(C)(C)CC,1.0
CCCCCC(C)=O,1.1
ClCC(Cl)CCl,3.2
CCCC(C)(C)C,1.0
CCc1ccccc1C,0.9
CC(=O)C(C)C,1.5
Cc1cccc(N)c1,1.2
CCc1ccccc1CC,0.8
CCCN(CCC)CCC,0.8
Cc1cccc(C)c1C,0.9
CCc1ccc(C)cc1,0.9
CC(=O)OC(C)=O,2.9
CCc1cccc(CC)c1,0.8
CCc1ccc(CC)cc1,0.8
c1ccc2c(c1)CCC2,1.0
Cc1cccc2ccccc12,0.8
CCC(C(C)C)C(C)C,0.8
Cc1ccc(C(C)C)cc1,0.7
CC(C)(C)CC(C)(C)C,0.9
CC(C)CC(=O)CC(C)C,0.8
OCCCl,4.9
CC(C)S,1.8
CC(C)C,1.8
CCOCCO,1.7
CC(O)CO,2.6
CS(C)=O,2.6
CCC(C)S,1.4
CC(C)C=O,1.6
CC(C)C#N,1.9
CCCCOC=O,1.7
C1COCCN1,1.8
CCC(CC)CC,1.0
C1CCCCCC1,1.1
OC1CCCCC1,1.2
C=CC(=O)O,2.4
NC1CCCCC1,12.0
OCc1ccco1,1.8
CC(C)COC=O,1.7
CCC1CCCCC1,0.9
C1=CCCC=C1,1.4
Cc1ccccc1N,1.2
NCc1ccccc1,1.2
C=COC(C)=O,2.6
C=CCCCCCCCC,0.7
CCCCC(C)CCC,0.9
CCCCCC(=O)O,1.3
CCCOC(=O)CC,1.3
CCOCCOCCOCC,0.9
CCC(C)C(C)C,1.1
CCCCC1CCCCC1,0.9
CCC(C)(CC)CC,0.9
CCC(C)CC(C)C,0.9
CC(=O)CC(C)C,1.4
CCC(C)C(C)CC,0.9
CCCCCCC(C)=O,1.0
CC(C)C1CCCCC1,0.8
