SMILES,TARGET
CO,80.96
CCl,66.79
S=C=S,79.03
CCOCC,36.38
COC(C)=O,46.9
c1ccccc1,48.98
Clc1ccccc1Cl,40.7
Clc1cccc(Cl)c1,40.7
CCC,42.49
CCO,63.84
CCCO,51.7
CC=O,55.5
ClCCl,60.8
ClCCCl,53.7
CC(C)=O,47.02
C1CCCC1,45.02
CCCCCCO,35.1
CC(Cl)Cl,50.66
CCC(=O)CC,37.39
C=C(Cl)Cl,51.9
Cc1ccccc1C,37.34
Clc1ccccc1,45.19
ClCC(Cl)Cl,44.8
CC(Cl)(Cl)Cl,42.96
Cc1ccc(C)cc1,35.11
CN,74.58
CBr,80.0
CCCl,52.69
CCCC,37.97
CCCCN,42.0
CCCCO,44.13
CCC=O,46.6
CCCCC,33.69
CCCCCO,38.8
CC(C)O,47.64
CCCCCl,38.2
CCCCCC,30.12
CCCC=O,40.0
CCCC(C)=O,36.94
ClC=C(Cl)Cl,49.1
Cc1cccc(C)c1,35.41
C[N+](=O)[O-],63.13
CC(C)c1ccccc1,32.09
CSC,55.3
CNC,53.09
CCC#N,41.85
CCNCC,37.09
COCOC,39.52
COC=O,59.96
CN(C)C,40.73
C=CC#N,44.8
C=CCCC,35.29
CCCCCCN,31.8
CCCCCCC,27.36
CCCOC=O,40.63
C=CCCCC,31.4
CCCOCCC,30.28
CC(=O)O,57.86
CCCCCCl,33.5
CC(C)CO,42.95
c1ccncc1,56.34
CCC(C)CC,31.24
CC(C)CCO,38.8
CCC(=O)O,45.3
C1CCCCC1,40.75
BrC(Br)Br,60.9
CCCCOCCCC,24.6
CCCC(=O)O,44.2
ClC(Cl)Cl,54.72
CCCCCCCCO,28.6
CC(Cl)CCl,42.4
C=CC(=C)C,37.95
CCC(C)(C)O,38.8
CCCCOC(C)=O,31.1
C=Cc1ccccc1,40.0
CC(=O)OC(C)C,35.8
CC[N+](=O)[O-],51.6
NCCN,62.9
C=CC,46.13
CCBr,62.32
CCCS,46.3
CC#N,48.33
C=CCl,56.7
CCCCl,45.8
C=CCC,40.2
CC(C)N,45.39
C=CC=C,43.3
CCOC=O,47.42
CCC(C)O,41.94
CC(C)CN,42.15
CCC(C)C,33.81
CCCC(C)C,30.1
C=C(C)CC,34.0
CCCCCCCC,24.86
C=CCCCCC,28.3
CCCCCCCCC,23.06
CC(C)(C)C,31.99
CCCCC(C)C,27.34
Nc1ccccc1,53.09
CC1CCCCC1,34.71
CCOC(=O)CC,33.62
CCC(C)(C)C,30.81
CCCCCC(C)C,24.85
CCCCC(C)=O,33.24
COc1ccccc1,41.75
CCc1ccccc1,36.09
CC(C)C(C)C,31.27
O=Cc1ccccc1,46.5
CC(C)C(=O)O,40.53
CCCC(=O)OCC,30.6
CC(C)OC(C)C,28.78
CCCCC(C)(C)C,25.3
CCCC(C)(C)CC,26.5
CCCCc1ccccc1,28.87
CCCCCOC(C)=O,28.0
CCOCCOC(C)=O,24.62
CC(C)CCC(C)C,24.9
CCCCCCOC(C)=O,25.4
CC(=O)OCC(C)C,31.6
ClC(Cl)(Cl)Cl,45.6
CC(C)CC(C)(C)C,25.68
CCC(C)(C)C(C)C,28.2
CC(C)C(C)C(C)C,27.3
CCC(C)C(C)(C)C,27.3
Cc1ccc(C)c(C)c1,32.32
CCC[N+](=O)[O-],43.5
CC(C)(C)c1ccccc1,29.7
Clc1ccc(Cl)c(Cl)c1,37.2
O=[N+]([O-])c1ccccc1,44.0
CI,73.7
CCS,54.9
C#N,53.91
CCN,56.24
O=CO,73.9
CCCBr,53.9
C1CN1,68.5
C=CCO,56.2
C=CC=O,50.0
CCCCBr,45.4
CCCOCC,33.7
CCC(C)N,40.0
CCCCC=O,35.0
C1CCNC1,56.13
CCCNCCC,36.3
ClCCCCl,41.5
CCCCCCCO,31.5
CCC(C)Cl,39.0
CC1CCCC1,37.85
CCCC(C)O,33.8
C1=CCCC1,47.9
CCCCOCCO,32.4
Cc1ccncc1,46.61
CCCCCCC=O,28.0
CCCCCCCCN,25.8
CCCCNCCCC,31.1
C=CCCCCCC,25.5
CCCCCCCBr,30.8
Fc1ccccc1,45.51
CCCC(C)CC,28.14
CCCCCCCCCC,21.23
O=Cc1ccco1,55.12
CCCCC(C)CC,25.46
CCCOC(C)=O,33.6
CCC(C)(C)CC,29.46
CCCCCC(C)=O,29.2
ClCC(Cl)CCl,38.7
CCCC(C)(C)C,37.73
CC(=O)N(C)C,40.3
CCc1ccccc1C,30.4
CC(=O)C(C)C,38.5
Cc1cccc(N)c1,41.54
CCCN(CCC)CCC,22.3
Cc1cccc(C)c1C,34.54
CCc1ccc(C)cc1,29.38
CC(=O)OC(C)=O,46.81
CC(C)C(C)(C)C,29.54
CCc1cccc(CC)c1,28.8
CCc1ccc(CC)cc1,28.03
CC(C)Cc1ccccc1,30.4
ClC(Cl)C(Cl)Cl,40.9
CCC(C)c1ccccc1,29.51
Cc1cc(C)cc(C)c1,31.27
CCC(C(C)C)C(C)C,25.3
Cc1ccc(C(C)C)cc1,28.37
CC(C)(C)CC(C)(C)C,23.61
CC(C)CC(=O)CC(C)C,24.8
ICI,54.7
OCCO,75.3
OCCCl,59.2
CC(C)S,47.5
CC(C)C,36.48
CCOCCO,42.4
CCC(C)S,40.6
CC(C)Br,55.1
CC(C)C=O,41.0
CCC(O)CC,38.8
CC=C(C)C,34.0
CC(C)C#N,37.6
CCCCOC=O,35.1
CCC(CC)CC,28.91
Cc1ccccn1,43.8
C1CCCCCC1,38.4
C=CC(=O)O,56.6
NC1CCCCC1,42.0
C=C(C)C=O,42.5
OCc1ccco1,53.5
CNc1ccccc1,51.98
C1=CCCC=C1,47.3
CCCCC(=O)O,38.1
CCCCCCCC=O,25.5
Cc1ccccc1N,37.49
CCCC(=O)OC,34.73
OCc1ccccc1,45.5
C=COC(C)=O,42.5
CCCCCCCCCO,26.0
C=CCCCCCCCC,21.6
CCCCC(C)CCC,23.41
CCCCCC(=O)O,33.5
CCCOC(=O)CC,31.1
CCCCCCCCCCO,23.7
CCC(C)C(C)C,29.08
CCCCC1CCCCC1,25.7
CCC(C)(CC)CC,28.1
CCC(C)CC(C)C,25.6
CC(=O)CC(C)C,32.73
CCC(C)C(C)CC,26.9
CCCCCCC(C)=O,26.4
CC(C)C1CCCCC1,28.5
CCCCCCCCCCCCC,17.23
CN(C)c1ccccc1,36.27
CC(C)CCCC(C)C,23.0
CCOC(=O)C(C)O,38.6
Cc1ccc(Cl)cc1,39.1
CC(=O)C=C(C)C,34.1
CCCCCCCCCCCCCC,16.21
CC(=O)OCCC(C)C,28.4
Cc1ccccc1C(C)C,29.3
CCC(CC)C(C)(C)C,25.7
CC(C)CCC(C)(C)C,23.31
CC(C)C(=O)C(C)C,30.2
c1ccc2c(c1)CCC2,39.5
COC(=O)c1ccccc1,35.9
CCc1cc(C)cc(C)c1,27.5
CC(C)[N+](=O)[O-],44.5
CCC(C)(C)C(C)(C)C,27.36
Cc1ccccc1[N+](=O)[O-],38.0
CCI,59.9
C=O,65.86
BrCBr,71.7
C#CCO,65.3
C=CCN,51.7
C=CCCl,47.1
BrCCBr,54.77
COCCOC,38.7
CC(C)CS,40.6
C#CCCCC,36.2
C=CCC=C,37.4
COC(C)C,38.8
C=C(C)C,39.99
c1ccoc1,55.02
CCCCCC=O,31.1
CCCCCCCS,27.7
O=C1CCCC1,58.5
Oc1ccccc1,61.3
CCCCC(C)O,34.0
Ic1ccccc1,45.19
CCC(CC)CO,34.0
CC(C)(C)S,40.6
C=CCC(C)C,32.2
C=C(C)CCC,31.6
CCN(CC)CC,30.4
CC(C)COC=O,38.81
CCCC(C)CCC,25.42
CCOC(C)OCC,29.8
C=C(Cl)CCl,43.8
C=CCCCCCCC,23.3
c1cc[nH]c1,62.1
CCCC1CCCC1,30.0
CC(C)C(C)O,39.6
CC(C)(C)Cl,39.0
CC(O)C(C)O,51.3
NCc1ccccc1,43.2
CCCCCOCCCCC,20.9
CC(C)CC(C)C,27.37
CCCC1CCCCC1,28.07
Cc1ccccc1Cl,39.1
N#Cc1ccccc1,42.15
CCOC(=O)OCC,33.9
CCOCCOCCOCC,23.7
CCCCCCCCCCC,19.66
CCCCCC(C)CC,23.41
CCCCOC(=O)CC,28.0
FC(Cl)(Cl)Cl,44.08
CC(C)CC(=O)O,38.9
CC1CCC(C)CC1,29.38
Cc1cccc(O)c1,45.6
CCCCCCCCCCCC,18.24
C=CC(=O)OCCCC,26.3
Nc1cccc(Cl)c1,45.9
CC(=O)CC(C)=O,39.6
C=Cc1ccc(C)cc1,33.6
Brc1cccc(Br)c1,46.6
C=Cc1cccc(C)c1,32.9
CC(=O)c1ccccc1,38.4
C=C(C)CC(C)(C)C,26.3
CC1OC(C)OC(C)O1,35.0
CC(=O)OC(C)(C)C,31.7
CCCCCCCCCCCCCCC,15.2
c1ccc2c(c1)CCCC2,36.2
FC(F)(F)c1ccccc1,33.9
CCOC(=O)c1ccccc1,31.8
Cc1cccc(C(C)C)c1,29.3
CCOC(=O)c1ccccc1C(=O)OCC,23.3
CC,48.8
CCCI,50.3
CSSC,53.6
O=C=S,63.49
C#CCC,49.5
CCCCS,39.7
C=COCC,40.73
CC(C)I,51.2
CCCCCS,34.7
CC(N)CN,52.7
C=CCC#N,38.8
CC(C)Cl,45.4
FC(F)Cl,49.71
CCC=CCC,31.7
CCCCCC#N,29.2
ClCCCCCl,36.1
Cn1cccc1,47.7
CCC(C)CO,38.8
COCCOCCO,35.4
CN(C)CCO,41.4
CCC(C)Br,46.3
C=COCCCC,31.2
CC(=O)Cl,57.4
C=CC(C)C,35.16
CC=C(C)CC,32.9
CCCCCOC=O,31.25
CC(C)(C)O,39.72
CCCC=CCCC,25.8
CCCCCCCCS,25.2
ClCCCCCCl,31.9
C=CC(C)CC,32.9
C=C=C(C)C,38.3
C=C(CC)CC,31.6
CC(C)(C)N,38.4
O=C(Cl)Cl,58.74
CCCCCC(C)O,30.3
CCCC(=O)CC,33.2
COC(=O)CCl,45.0
CCCC(CC)CC,26.1
C=CC(CC)CC,30.3
CCOc1ccccc1,34.25
CCCCCCCCC=O,23.3
CCC(C)(C)OC,30.4
C=CC(=O)OCC,36.8
ClCc1ccccc1,39.1
CCCCCCCCCCN,21.8
C=C(C)C(C)C,32.2
CCCCC(CC)CC,23.9
CCCCCCC(C)O,27.3
CC(C)=C(C)C,31.6
OCCc1ccccc1,39.2
CCCCCCC(C)C,22.9
C=C(C)C(=O)O,47.0
CCCCCC(C)CCC,21.6
CCCC(C)C(C)C,26.3
Cc1cccc(C)n1,37.8
CCCCCCC(C)CC,21.6
CC1(C)CCCCC1,29.38
CCCCC(C)CCCC,21.6
CCC(CC)(CC)CC,26.75
C=CCCCCCCCCCC,18.9
CCC(C)OC(C)=O,31.7
CC(C)CNCC(C)C,25.7
C=C(C)C(=O)OC,36.8
C=C(C)C(C)(C)C,31.4
CCc1cc(C)ccc1C,28.0
O=CC(Cl)(Cl)Cl,44.1
CCc1ccc(C)cc1C,28.8
C1CCC2CCCCC2C1,20.37
CCOC(=O)CC(C)C,28.4
ClCC(Cl)(Cl)Cl,40.2
C=CCCCCCCCCCCC,17.7
Cc1cc(C)nc(C)c1,33.3
CCCCN(CCCC)CCCC,18.0
CC(C)=CC(C)(C)C,26.3
CCCCCCCCCCCCCCCC,14.19
CC(C)(C)OC(C)(C)C,25.3
CC1=CCC2CC1C2(C)C,27.6
CCCCCCCCCCCCCCCCC,13.17
ClC(Cl)C(Cl)(Cl)Cl,36.8
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,11.8
CS,72.35
COC,53.7
C#CC,56.28
CCOC,43.98
CN=CO,56.2
OCCCO,59.2
CC(F)F,44.99
CC=CCC,36.54
OCCCCO,48.8
ClCOCCl,45.8
CC(O)CN,56.7
ClC=CCl,51.9
C=C=CCC,38.0
OCCOCCO,46.0
C=CC=CC,37.4
NCCNCCN,42.2
CC=CCCC,31.6
CC(Br)Br,60.3
CCC(C)OC,34.1
OCC(O)CO,40.0
CC(O)CCO,50.0
CCCCCCCN,28.5
COCC(C)C,34.1
Sc1ccccc1,47.4
CCOCCOCCO,31.4
C1CCCNCC1,42.7
C=C(C)CCCC,28.7
FC(F)(F)Br,39.72
OCCOCCOCCO,33.2
CC(C)NC(C)C,32.0
CCCCCCCCCCS,21.3
CC1CCC(C)C1,34.45
CCCCC(CC)CO,27.3
C=CCCCCCCCCC,20.3
CC(=O)C(=O)O,56.5
CCC1(C)CCCC1,30.2
C=C(C)C(=C)C,35.2
CCCCCCCC(C)C,21.2
C=C1CC(=O)O1,59.6
COCCOCCOCCOC,23.1
CCC(C)OC(C)CC,25.3
O=C(O)C(Cl)Cl,51.7
CCCCOC(=O)CCC,25.4
CCc1c(C)cccc1C,30.2
C=C(C)c1ccccc1,33.6
FC(F)(F)C(Cl)Br,39.2
C=CCCCCCCCCCCCC,16.6
CCCCCCCc1ccccc1,21.8
CC(C)CC(C)C(C)C,24.01
CCCCCCCCc1ccccc1,20.2
CCc1ccc(C)c(C)c1,28.0
C=CCCCCCCCCCCCCCC,14.8
CC(C)COC(=O)C(C)C,26.1
CCOC(=O)CCC(=O)OCC,25.3
FC(F)(Cl)C(F)(Cl)Cl,34.15
CC(C)CCOC(=O)CC(C)C,22.0
COC(=O)c1ccccc1C(=O)OC,27.8
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,28.4
C=C,50.32
N=CO,78.0
CC=CC,41.54
C1COC1,57.5
N#CCCO,48.9
OCCCCCO,41.5
CCC#CCC,35.3
COCCC#N,36.3
CC=C=CC,38.0
CC=CC=CC,33.5
CC=CCCCC,20.45
FC(Cl)Cl,51.84
C#CC(C)C,42.0
CC(O)C#N,50.3
C=C(C)C#N,38.8
CCC=C(C)C,31.6
CCCC(C)CO,34.0
O=C1CCCO1,59.4
CC(F)(F)Cl,41.24
CCCCCCCCCN,23.6
NNc1ccccc1,49.1
C=CCC(C)CC,30.4
NCCNCCNCCN,31.7
C=CC(=C)Cl,42.6
CCc1ccccc1N,37.4
O=C1CCCCCO1,46.3
C=CC(C)(C)C,32.9
CC(C)CC(C)O,34.7
OCCN(CCO)CCO,24.5
CCCCCCCCCCCO,20.8
CCCCC(C=O)CC,25.8
CC1CCCC(C)C1,34.38
CCOC(=O)CC#N,33.4
CCCC(C)CC(C)C,23.41
O=C=Nc1ccccc1,40.6
NCCNCCNCCNCCN,25.3
OCCOCCOCCOCCO,25.9
CCOC(=O)C(C)C,30.4
CCCCCCc1ccccc1,23.8
CCc1cccc(C)c1C,28.0
CC(O)CC(C)(C)O,40.1
COC(=O)CC(C)=O,37.1
CCC(C)C(C)(C)CC,26.24
ClC(Cl)c1ccccc1,36.5
CCCC(C)C(C)(C)C,24.9
CCCC(C)(C)C(C)C,25.53
CCCCOCCOCCOCCCC,17.6
CCC(=O)OC(=O)CC,33.4
CC(=O)OCCOC(C)=O,30.9
COC(=O)c1ccccc1O,40.9
C=CCCCCCCCCCCCCC,15.7
CCOC(=O)C(=O)OCC,30.9
CCOC(=O)CC(=O)OCC,27.8
CC(C)C(C)(C)C(C)C,27.2
FC(F)(F)C(F)(F)Cl,31.57
CCCCCCCCCCc1ccccc1,17.7
CC1=CCC(C(C)C)=CC1,28.0
c1ccc(Oc2ccccc2)cc1,31.3
CC(c1ccccc1)c1ccccc1,26.8
CC(C)c1ccc(C(C)C)cc1,24.5
CC(=O)OCC(COC(C)=O)OC(C)=O,23.1
FCF,58.3
C=CBr,71.8
ClCBr,68.1
C=COC,46.7
CCSSCC,38.7
CN=C=O,51.9
N#CC#N,59.78
CC1CN1,54.2
C=C=CC,45.0
CC#CCCC,35.3
C=COC=C,42.5
CCCSCCC,31.67
CN1CCCC1,42.0
CCC=CCCC,28.45
C#CCCCCC,32.95
O=C(O)CCS,50.2
CC=CC(C)C,32.2
CC1CCCC1C,34.45
CCC(Cl)Cl,42.4
COC(=O)Cl,53.6
CCC=CCCCC,25.8
C1=CCC=C1,51.5
CN(CCO)CCO,38.8
CC=CC(=O)O,47.0
