SMILES,TARGET
S=C=S,1.85
CO,0.07
CCl,0.05
CCOCC,3.74
ClCCl,2.51
CCCC#N,9.83
COC(C)=O,3.47
CCOC(C)=O,8.99
CCC,0.47
CCO,1.32
CCCO,6.63
CC=O,0.27
CCCCC,5.68
ClCCCl,7.99
CC(C)=O,2.03
C1CCCC1,5.65
CCCCCCO,27.56
CC(Cl)Cl,7.65
CCC(C)=O,6.52
CCC(=O)CC,13.28
C=C(Cl)Cl,6.37
ClCC(Cl)Cl,26.43
CC(Cl)(Cl)Cl,17.29
CN,0.05
CBr,0.31
CCCl,0.94
CCCC,2.28
CCC#N,3.46
CCCCO,15.41
CCC=O,3.23
COC=O,0.4
CCCCCO,20.36
CCCCCl,11.69
CCCCCC,11.16
CCCC=O,6.27
CC(=O)O,3.7
C1COCCO1,9.99
CCCC(C)=O,13.26
ClC=C(Cl)Cl,19.86
CSC,6.77
CNC,0.24
COCOC,3.59
CN(C)C,1.69
C=CC#N,3.48
C=CCCC,5.22
CCCCCCN,23.12
CCCCCCC,17.39
CCCOC=O,9.43
C=CCCCC,10.66
CCCCCCl,19.59
CC(C)CO,13.94
c1ccncc1,15.96
CCC(C)CC,10.73
CC(C)CCO,23.16
CCC(=O)O,14.86
C1CCCCC1,9.15
BrC(Br)Br,81.07
CCCCOCCCC,28.04
CCCC(=O)O,28.4
ClC(Cl)Cl,10.22
C1=CCCCC1,12.22
CCCCCCCCO,39.16
CC(Cl)CCl,17.78
C=CC(=C)C,5.35
COC(C)(C)C,9.14
CCOC(=O)CC,16.32
CCC(C)(C)O,17.07
CCCCOC(C)=O,24.51
CC(=O)N(C)C,26.23
CC(=O)OC(C)C,11.56
CC(=O)OCC(C)C,22.83
CC[N+](=O)[O-],7.96
ClC(Cl)=C(Cl)Cl,39.17
O=CO,0.18
NCCN,9.55
C=CC,0.4
CCBr,5.28
CCCS,7.63
CC#N,0.65
C=CCl,0.43
C1CO1,0.03
CCCCl,5.36
C=CCC,2.43
CC(C)N,2.69
C=CC=C,2.0
CCOC=O,3.37
CCC(C)O,12.01
CCC(C)C,5.25
CCCNCCC,20.22
C1CCOC1,4.36
CCCC(C)C,10.46
C=C(C)CC,5.33
CCCCCCCC,17.45
C=CCCCCC,16.9
CN(C)C=O,17.22
CCCCCCCCC,23.03
CC(C)(C)C,4.71
CC1CCCCC1,17.91
CCC(C)(C)C,9.62
CCCCCC(C)C,22.1
CCCCC(C)=O,21.6
CC(C)C(C)C,10.29
CCCC(=O)OCC,23.08
CCCCC(C)(C)C,20.89
CCCC(C)(C)CC,21.6
CCCCCOC(C)=O,31.33
CCOCCOC(C)=O,34.35
CC(C)CCC(C)C,21.11
CCCCCCOC(C)=O,35.56
ClC(Cl)(Cl)Cl,21.57
CC(C)CC(C)(C)C,19.99
CCC(C)(C)C(C)C,22.07
CC(C)C(C)C(C)C,21.91
CCC(C)C(C)(C)C,21.46
CCC[N+](=O)[O-],16.69
CI,11.39
CCS,2.47
C#N,0.0005
OCCO,36.77
CCCBr,13.68
C1CN1,0.47
COCCO,13.06
C=CCO,5.94
CCCCCN,15.89
CC1CO1,1.21
C=CC=O,1.49
CCCCBr,24.44
CCCOCC,9.97
CCC(C)N,7.36
C1CCNC1,8.72
ClCCCCl,22.57
CCC(O)CC,19.49
CCCCCCCO,36.45
CCC(C)Cl,10.46
CC1CCCC1,11.09
CCCC(C)O,20.71
C1=CCCC1,5.17
CCCCOCCO,34.95
Cc1ccncc1,26.28
CCCCCCC=O,28.34
CCCCNCCCC,30.1
C=CCCCCCC,22.75
CCCCCCCBr,46.97
CCCC(C)CC,16.7
CCCCCCCCCC,31.25
O=Cc1ccco1,32.62
O=C1CCCCC1,21.97
CCCCC(C)CC,22.38
CCCOC(C)=O,16.75
CCC(C)(C)CC,16.09
CCCCCC(C)=O,28.0
ClCC(Cl)CCl,42.87
CCCC(C)(C)C,15.27
CC(=O)C(C)C,12.14
CCCN(CCC)CCC,32.1
CC(=O)OC(C)=O,22.33
CC(=O)CC(C)=O,27.19
CC(C)C(C)(C)C,15.54
ClC(Cl)C(Cl)Cl,48.03
c1ccc2c(c1)CCC2,37.5
Cc1cccc2ccccc12,49.21
CCC(C(C)C)C(C)C,26.63
CC(C)(C)CC(C)(C)C,24.72
CC(C)CC(=O)CC(C)C,33.17
ICI,119.66
CCSCC,15.23
OCCCl,14.43
CC(C)S,7.12
CC(C)C,2.02
COCCOC,10.89
CCOCCO,21.14
CC(O)CO,39.69
CS(C)=O,32.05
c1ccsc1,12.67
CC(C)C=O,5.45
CC(C)C#N,8.31
CCCCOC=O,17.45
C1COCCN1,19.03
CCC(CC)CC,16.98
Cc1ccccn1,23.35
C1CCCCCC1,20.81
OC1CCCCC1,35.27
C=CC(=O)O,14.81
NC1CCCCC1,24.01
C=C(C)C=O,6.03
OCc1ccco1,38.92
CC(C)COC=O,16.21
C1=CCCC=C1,12.18
CCCCC(=O)O,38.02
CCCCCCCC=O,33.24
CCCC(=O)OC,16.83
C=COC(C)=O,8.56
CCCCCCCCCO,41.13
C=CCCCCCCCC,31.29
CCCCC(C)CCC,26.89
CCOCCOCCOCC,40.01
CCC(C)C(C)C,16.54
FC(Cl)(Cl)Cl,3.64
CCCCC1CCCCC1,33.82
CCC(C)(CC)CC,22.47
CCC(C)CC(C)C,21.23
CC(=O)CC(C)C,19.36
CC(C)C1CCCCC1,29.88
CCCCCCCCCCCCC,37.26
CC(C)CCCC(C)C,25.95
CCOC(=O)C(C)O,30.59
CCCCCCCCCCCCCC,33.96
CC(=O)OCCC(C)C,29.69
CCC(CC)C(C)(C)C,26.02
CC(C)CCC(C)(C)C,24.77
CC(C)C(=O)C(C)C,23.73
CC(=O)OC(C)(C)C,19.53
CC(C)[N+](=O)[O-],14.25
CCC(C)(C)C(C)(C)C,27.34
CCI,19.99
C=O,0.016
BrCBr,26.52
CNCCO,25.53
C#CCO,5.65
C=CCN,3.46
