SMILES,TARGET
S=C=S,1.6241
CO,1.3265
CCl,1.3362
CCOCC,1.3495
ClCCl,1.4212
c1ccccc1,1.4979
CCOC(C)=O,1.3704
Cc1ccccc1,1.4941
Clc1ccccc1Cl,1.5491
CCC,1.2861
CCO,1.3594
CCCO,1.3837
CC=O,1.3283
CCCCN,1.3967
CCCCC,1.3547
ClCCCl,1.4421
CC(C)=O,1.356
C1CCCC1,1.4036
CC(Cl)Cl,1.4138
CCC(C)=O,1.3764
CCC(=O)CC,1.39
Cc1ccccc1C,1.5029
Clc1ccccc1,1.5229
ClCC(Cl)Cl,1.4689
CC(Cl)(Cl)Cl,1.4313
Cc1ccc(C)cc1,1.4932
CN,1.3491
CBr,1.4187
CCCl,1.3652
CCCC,1.3292
CCC#N,1.3636
CCNCC,1.3825
CCC=O,1.3593
COC=O,1.3415
CCCCCO,1.408
CC(C)O,1.3752
CCCCCl,1.4001
CCCCCC,1.3723
CCCC=O,1.3766
CC(=O)O,1.3698
CCCC(C)=O,1.388
Brc1ccccc1,1.5577
ClC=C(Cl)Cl,1.475
Cc1cccc(C)c1,1.4946
C[N+](=O)[O-],1.3796
CC(C)c1ccccc1,1.4889
CNC,1.3566
COCOC,1.3504
CN(C)C,1.3443
C=CC#N,1.3884
C=CCCC,1.3684
CCCCCCN,1.4167
CCCCCCC,1.3851
CCCOC=O,1.375
C=CCCCC,1.385
CCCOCCC,1.378
CCCCCCl,1.4104
CC(C)CO,1.3938
CCC(C)CC,1.3739
CC(C)CCO,1.4052
CCC(=O)O,1.3843
C1CCCCC1,1.4235
BrC(Br)Br,1.5956
CCCCOCCCC,1.3968
CCCC(=O)O,1.3958
ClC(Cl)Cl,1.4431
C1=CCCCC1,1.4438
CC(Cl)CCl,1.4368
C=CC(=C)C,1.4185
COC(C)(C)C,1.3663
CCOC(=O)CC,1.3814
CCC(C)(C)O,1.4024
CCCCOC(C)=O,1.3918
CC(=O)N(C)C,1.4356
O=Cc1ccccc1,1.5428
CC(C)C(=O)O,1.3908
CCCc1ccccc1,1.4895
C=Cc1ccccc1,1.544
CC(=O)OC(C)C,1.375
CC[N+](=O)[O-],1.3897
ClC(Cl)=C(Cl)Cl,1.5055
Clc1ccc(Cl)c(Cl)c1,1.5693
O=[N+]([O-])c1ccccc1,1.5499
O=CO,1.3693
NCCN,1.455765
C=CC,1.0009
CCBr,1.4212
CCCS,1.4353
C=CCl,1.366
CCCCl,1.3858
CC(C)N,1.3711
CCOC=O,1.3575
CCC(C)O,1.3949
CC(C)CN,1.3945
CCC(C)C,1.3509
CCCNCCC,1.4018
CCCC(C)C,1.3687
C=C(C)CC,1.3746
CCCCCCCC,1.3951
C=CCCCCC,1.3971
CN(C)C=O,1.4269
CCCCCCCCC,1.4031
CC(C)(C)C,1.339
CCCCC(C)C,1.3823
Nc1ccccc1,1.5836
CC1CCCCC1,1.4206
CCCCCC(C)C,1.3926
CCCCC(C)=O,1.3987
CCc1ccccc1,1.4932
CC(C)C(C)C,1.3728
Oc1ccccc1Cl,1.5568
CCCC(=O)OCC,1.39
CC(C)OC(C)C,1.3655
CCCCC(C)(C)C,1.391
CCCC(C)(C)CC,1.3978
CCCCc1ccccc1,1.4874
CCCCCOC(C)=O,1.4028
CCOCCOC(C)=O,1.4023
CC(C)CCC(C)C,1.39
CCCCCCOC(C)=O,1.4073
ClC(Cl)(Cl)Cl,1.4573
CC(C)CC(C)(C)C,1.389
CCC(C)(C)C(C)C,1.4052
CC(C)C(C)C(C)C,1.402
CCC(C)C(C)(C)C,1.4007
Cc1cc(C)cc(C)c1,1.4968
Cc1ccc(C)c(C)c1,1.5024
CCC[N+](=O)[O-],1.3996
CC(C)(C)c1ccccc1,1.4902
CI,1.527
CCS,1.4278
C#N,1.2594
CCN,1.3627
CCCBr,1.4317
C1CN1,1.4123
COCCO,1.4002
C=CCO,1.41345
CCCCCN,1.4093
CC1CO1,1.3632
CCCCBr,1.4378
CCC(C)N,1.3907
CCCCC=O,1.3917
ClCCCCl,1.446
CCC(O)CC,1.4079
CCCCCCCO,1.4223
CCC(C)Cl,1.3941
CC1CCCC1,1.407
