SMILES,TARGET
Cc1ccccc1,27.843
Clc1ccccc1Cl,36.63
Clc1cccc(Cl)c1,35.88
C1CCCC1,21.969
Cc1ccccc1C,29.574
Clc1ccccc1,32.981
Cc1ccc(C)cc1,27.9555
C1COCCO1,32.979
Brc1ccccc1,36.136
Cc1cccc(C)c1,28.262
CC(C)c1ccccc1,27.819
c1ccncc1,36.6685
C1CCCCC1,24.596
C1=CCCCC1,26.173
CCCc1ccccc1,28.635
C=Cc1ccccc1,31.625
C1CO1,23.9725
CC1CCCCC1,23.332
COc1ccccc1,34.883
CCc1ccccc1,28.6645
CCCCc1ccccc1,28.766
Cc1ccc(C)c(C)c1,29.456
CC(C)(C)c1ccccc1,27.88
O=[N+]([O-])c1ccccc1,43.0135
Cc1cccc([N+](=O)[O-])c1,40.805
C1CN1,33.67
C1CCNC1,30.0175
CC1CCCC1,21.949
C1=CCCC1,21.915
Cc1ccncc1,35.11
Fc1ccccc1,27.15
O=C1CCCCC1,34.746
CCc1ccccc1C,29.9325
Oc1ccccc1Cl,40.1
Cc1cccc(N)c1,37.8155
CCc1ccccc1CC,30.0275
CCc1ccc(C)cc1,28.5675
CCc1cccc(CC)c1,29.47
CCc1ccc(CC)cc1,28.735
CC(C)Cc1ccccc1,27.225
CCC(C)c1ccccc1,28.2725
Cc1cc(C)cc(C)c1,28.5305
Cc1cccc2ccccc12,38.832
c1ccsc1,31.884
C1COCCN1,37.4075
Cc1ccccn1,32.8695
C1CCCCCC1,27.46
OC1CCCCC1,33.61
NC1CCCCC1,31.306
OCc1ccco1,37.98
CCC1CCCCC1,25.2225
C1=CCCC=C1,26.72
Cc1ccccc1N,39.8835
CCCCC1CCCCC1,26.77
CC(C)C1CCCCC1,25.7
CN(C)c1ccccc1,36.0915
Cc1ccc(Cl)cc1,31.74
CCc1cccc(C)c1,28.8075
Cc1ccccc1C(C)C,31.01
COC(=O)c1ccccc1,37.54
CCc1cc(C)cc(C)c1,29.95
Cc1ccccc1[N+](=O)[O-],41.14
C1CCNCC1,29.22
O=C1CCCC1,33.0425
CCC1CCCC1,23.605
Oc1ccccc1,40.763
Ic1ccccc1,39.176
c1cc[nH]c1,36.7545
CCCC1CCCC1,24.685
NCc1ccccc1,39.2775
CCCC1CCCCC1,26.2
Cc1ccccc1Cl,32.95
N#Cc1ccccc1,38.345
CC1CCC(C)CC1,23.475
Nc1cccc(Cl)c1,44.8
C=Cc1ccc(C)cc1,34.46
Brc1cccc(Br)c1,42.98
CC(=O)c1ccccc1,38.93
CC1OC(C)OC(C)O1,25.885
c1ccc2c(c1)CCCC2,34.04
FC(F)(F)c1ccccc1,24.65
Clc1cccc2ccccc12,41.39
CCOC(=O)c1ccccc1,34.9035
Cc1cccc(C(C)C)c1,28.88
CCc1cccc2ccccc12,38.235
Cc1cc(C)c(C)c(C)c1,33.46
CCOC(=O)c1ccccc1C(=O)OCC,36.785
ClCC1CO1,35.655
Cn1cccc1,31.31
CN1CCCC1=O,40.354
CCOc1ccccc1,32.6675
ClCc1ccccc1,37.021
OCCc1ccccc1,38.7725
Cc1cccc(C)n1,31.995
CC1(C)CCCCC1,23.89
CCc1cc(C)ccc1C,31.62
CCc1ccc(C)cc1C,31.51
C1CCC2CCCCC2C1,29.9655
Cc1cc(C)nc(C)c1,33.04
CC1=CCC2CC1C2(C)C,26.0775
CC1=CC(=O)CC(C)(C)C1,31.18
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,32.08
CCC1CO1,23.47
Sc1ccccc1,38.621
C1CCCNCC1,34.41
CC1CCCCC1C,24.6325
CC1CCC(C)C1,21.155
CCC1(C)CCCC1,24.18
C=C1CC(=O)O1,24.51
CCc1c(C)cccc1C,33.42
C=C(C)c1ccccc1,31.53
CCCCCCCc1ccccc1,29.84
CCc1ccc(C)c(C)c1,31.29
COC(=O)c1ccccc1C(=O)OC,40.805
C1CC1,12.99
C1COC1,27.92
C1CCC1,16.73
O=C1CCO1,47.13
NNc1ccccc1,45.1975
CCc1ccccc1N,39.69
O=C1CCCCCO1,40.97
C=CC1=CCCCC1,26.75
CC1CCCC(C)C1,23.51
O=C=Nc1ccccc1,36.88
CCCCCCc1ccccc1,29.97
CCc1cccc(C)c1C,33.82
ClC(Cl)c1ccccc1,39.31
COC(=O)c1ccccc1O,39.6775
C=C1CCC2CC1C2(C)C,27.101
CCCCCCCCCCc1ccccc1,30.3
CC1=CCC(C(C)C)=CC1,29.91
c1ccc(Oc2ccccc2)cc1,26.685
CC(c1ccccc1)c1ccccc1,37.2125
CC(C)c1ccc(C(C)C)cc1,28.82
CC(C)c1cccc(C(C)C)c1,28.68
CC1CN1,24.41
CC1CCCC1C,22.41
CCOCc1ccccc1,32.48
C=Cc1ccccc1C,33.7
O=Cc1ccccc1O,42.37
C1=CCCC=CCC1,30.865
CCCCCc1ccccc1,29.16
CCOc1ccc(N)cc1,42.1
Cc1ccc(Cl)cc1Cl,37.94
CCCCCCCCCCC1CCCCC1,29.385
C=C(C)C1CC=C(C)CC1,26.8565
CC1=CC=C(C(C)C)CC1,27.9
c1ccc(Cc2ccccc2)cc1,38.18
c1ccc(COCc2ccccc2)cc1,39.77
Fc1c(F)c(F)c(F)c(F)c1F,21.705
CCCCOC(=O)c1ccccc1C(=O)OCCCC,33.38
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.295
C1=CCOC1,27.53
OC1=NCCC1,45.76
CC1=CC=CC1,23.57
Cc1ccccc1O,36.9
C1=Cc2ccccc2C1,19.245
CCc1cccc(CC)c1N,30.78
c1ccc(C2CCCCC2)cc1,84.22
CC1=CCC(C(C)C)C=C1,29.58
ClC(Cl)(Cl)c1ccccc1,40.84
NCCN1CCNCC1,40.01
c1ccc2cnccc2c1,40.72
Cc1ccc2ccccc2n1,44.0
Brc1cccc2ccccc12,44.0385
C=Cc1cccc(C=C)c1,34.73
CC=Cc1ccc(OC)cc1,34.4325
C=C1C=CC(C(C)C)CC1,28.6
CCCCc1cccc2ccccc12,35.455
CCCCCCCCCCCc1ccccc1,30.45
COc1ccccc1[N+](=O)[O-],46.395
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,45.74
Cc1ccsc1,32.03
Cc1cccs1,30.595
C1=CC=CCC=C1,30.57
c1ccc2ccccc2c1,31.21
Cc1ccc(C)c(C)c1C,29.92
C1CCC(NC2CCCCC2)CC1,33.425
C(=Cc1ccccc1)c1ccccc1,40.43
FC1(F)C(F)(F)C(F)(F)C1(F)F,8.01
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,35.18
c1cocn1,35.17
CC1=CCCC1,19.28
CC1C=CCC1,22.395
Nc1ccccc1Cl,41.5225
C#Cc1ccccc1,32.85
CCCCC1CCCC1,25.63
CC1CCC(O)CC1,27.2675
O=C=NC1CCCCC1,49.9
CCc1ccc2ccccc2c1,36.89
c1ccc2[nH]ccc2c1,41.63
Cc1ccc2c(C)cccc2c1,37.43
CCCCCCCCCCCCc1ccccc1,29.59
O=C(c1ccccc1)c1ccccc1,43.785
CCCCCCCCCc1cccc2ccccc12,35.56
C1CSC1,35.0775
C1CCCCCCC1,29.33
Fc1ccc(F)cc1,26.435
Oc1cccc(Cl)c1,42.282
Cc1cc2ccccc2o1,34.4
CCCCCCCC1CCCCC1,27.9
Cc1ccc2ccccc2c1C,39.025
Cc1ccc(C)c2ccccc12,36.88
CCc1ccc(CC)c(CC)c1,28.31
O=C(Cl)c1cccc(Cl)c1,53.72
O=[N+]([O-])c1cccc(C(F)(F)F)c1,39.75
C1CS1,32.82
CCCCCC1CCCCC1,27.0
Cc1ccc(Br)cc1,31.727
CCCCCCCCCC1CCCCC1,28.9
CCCCCCCCCCCCCC1CCCCC1,25.68
CCCCCCCCCCCCCCc1ccccc1,31.69
CCCCCCCCCCCCCCCc1ccccc1,31.82
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,32.2
C1CC12CC2,22.83
Cc1ccc(C=O)cc1,36.28
C1=CC=CC=CC=C1,30.84
CCCCCCC1CCCCC1,27.5
CC(C)(OO)c1ccccc1,24.52
CC1=CCC(=C(C)C)CC1,28.65
Cc1ccc2cccc(C)c2c1,37.44
CCCCCCCCCCCCC1CCCCC1,26.05
CCc1ccc(CC)c(CC)c1CC,27.77
FC(F)(F)c1ccc(Cl)cc1Cl,37.3
C1=CCC1,16.86
SC1CCCC1,31.09
CC=Cc1ccccc1,30.72
Oc1ccc(Cl)cc1,44.14
CCCCCCCCCCC1CCCC1,29.115
CCCCCCCCCc1ccccc1O,32.96
CCCCc1ccc2ccccc2c1,35.14
CCCCCCCCCCCC1CCCCC1,26.32
CCCCCCCCCCCCCCC1CCCCC1,25.21
CCc1cc(CC)c(CC)c(CC)c1,27.75
CC1CC(C)CC(C)C1,23.04
CCc1cccc(CC)c1CC,28.31
CCCc1cccc2ccccc12,36.5
CCCc1ccc2ccccc2c1,35.465
CCCCCc1cccc2ccccc12,34.905
CCCCCc1ccc2ccccc2c1,34.36
CCCCCCCCCCCCCCC1CCCC1,23.82
O=[N+]([O-])c1ccccc1Cl,44.472
CCCCCCCCCCCCCCCC1CCCC1,22.92
C1CCCSCC1,33.32
CC1(C)CCCC1,21.75
Cc1cncc(C)c1,33.83
Cc1ccnc(C)c1,33.18
C1COCO1,32.71
c1cncnc1,30.865
OC1CCCC1,32.283
CCNc1ccccc1,36.692
CC1COC(=O)O1,42.0
CC(C)C1CCCC1,24.38
Cc1ccc(C)nc1,32.34
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,31.3
CCc1ccccn1,32.08
ClC1CCCCC1,31.24
CCN(CC)c1ccccc1,33.975
Fc1cc(F)c(F)c(F)c1F,20.76
c1cnoc1,35.985
CCC1CCC1,21.34
CC(=O)C1CC1,30.41
N#CCc1ccccc1,41.39
OCCCc1ccccc1,38.26
COc1ccc(C=O)cc1,42.75
Fc1c(F)c(F)c(Cl)c(F)c1F,19.96
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,14.091
CCc1cccs1,30.05
COc1ccccc1OC,35.25
Cc1cccc(F)c1,29.05
COc1cccc(O)c1,44.1
Cc1ccc(N)c(C)c1,36.9
CC(=O)OC1CCCCC1,31.31
CCOC(=O)Cc1ccccc1,35.41
CC12CCC(CC1)C(C)(C)O2,30.92
c1ccc(CNCc2ccccc2)cc1,40.25
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,20.155
O=C1CCC1,31.93
CC1=CCCCC1,26.63
O=C1CCCCCC1,34.68
COc1ccc(C)cc1,33.52
CC(C)c1ccccc1O,34.2
CCC(=O)c1ccccc1,37.005
CC(=O)OCCc1ccccc1,36.59
CCCOC(=O)c1ccccc1,33.87
CCOC(=O)C=Cc1ccccc1,37.143
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,19.305
c1ccnnc1,48.48
CN1CCOCC1,28.22
BrC1CCCCC1,33.55
BrCc1ccccc1,32.33
Cc1ccc(C)s1,30.397
CCCNc1ccccc1,34.77
Fc1ccc(Br)cc1,34.49
CC1CCC(=O)CC1,30.8
CCCCNc1ccccc1,33.9
CC(=O)c1ccccc1O,41.94
COc1cccc2ccccc12,42.9
CC(C)(C)C1CCCCC1,26.66
CCOC(=O)c1ccccc1O,37.56
COC(=O)C=Cc1ccccc1,40.17
c1ccc(N(c2ccccc2)c2ccccc2)cc1,29.0
CCSc1ccccc1,36.89
CC1CCCCC1=O,31.93
Cc1ccccc1Br,34.365
BrCCc1ccccc1,38.51
O=COCc1ccccc1,40.04
CCCCOc1ccccc1,30.85
Cc1cccc(C#N)c1,36.308
CC(C)CC1CCCCC1,25.84
CC(=O)c1ccncc1,44.03
O=C(Br)c1ccccc1,43.06
Ic1cccc2ccccc12,47.3
COC(=O)c1ccncc1,40.82
CC1CCCC(C)(C)C1,23.5
CC(=O)Cc1ccccc1,34.807
COC(=O)c1ccccc1N,43.71
CC(C)c1ccc2ccccc2c1,35.0
CC(=O)CC(=O)c1ccccc1,40.17
CC(=O)c1cccc2ccccc12,46.29
CC(C)CCOC(=O)c1ccccc1,31.927
C=C(C)C1CC=C(C)C(=O)C1,34.7
CCOC(=O)CC(=O)c1ccccc1,38.27
Cc1ccno1,33.125
Clc1cccs1,34.03
Brc1cccs1,37.37
OCc1cccnc1,49.78
Cc1cc(C)on1,32.905
N#CC1CCCCC1,34.37
CCCOc1ccccc1,31.6
Cc1ccc(I)cc1,36.743
CC(C)CC1CCCC1,24.75
CC1CCCC(=O)C1,31.235
S=C=Nc1ccccc1,39.942
CCOC(=O)c1cccs1,36.77
COC(=O)Cc1ccccc1,38.08
CC(C)(C)c1ccncc1,33.59
N#Cc1cccc2ccccc12,46.46
CCOC(=O)CCc1ccccc1,34.315
O=S(=O)(Cl)c1ccccc1,42.95
CCOC(=O)c1ccc(OC)cc1,37.45
CCCCCCc1cccc2ccccc12,18.5
Cc1cccc(-c2cccc(C)c2)c1,39.0
CC1CCCS1,31.0
O=S1CCCC1,49.77
C=C1CCCC1,24.312
O=Cc1cccs1,49.25
OC1CCCCCC1,33.135
C1=CCCCCC1,28.02
O=C(O)C1CCC1,33.085
CN1CCCCCC1=O,39.5
Clc1ccc(Cl)s1,37.77
C=CCOc1ccccc1,33.56
CC(=O)c1ccccn1,39.68
Fc1cccc2ccccc12,38.305
COC(=O)c1ccccn1,43.47
CC(=O)CCc1ccccc1,37.28
CCCC(=O)c1ccccc1,34.91
CCOC(=O)c1ccccn1,39.73
CCOC(=O)c1ccncc1,37.16
CCC(=O)OCc1ccccc1,36.77
CC(=O)OCCCc1ccccc1,36.54
CC(C)CCOC(=O)c1ccccc1O,32.64
O=[N+]([O-])c1cccc(F)c1,37.1
O=C(OCc1ccccc1)c1ccccc1O,41.95
C1CSCCO1,42.39
Ic1cccs1,42.59
COC1CCCC1,25.92
CCCc1cccs1,29.67
N#Cc1cccs1,46.42
C=C1CCCCC1,25.685
O=Cc1ccccn1,41.53
CCCc1ccncc1,32.13
O=Cc1ccncc1,48.71
CCCSc1ccccc1,34.83
Cc1noc(C)c1C,33.55
CCC(O)c1ccccc1,33.97
CCC(C)C1CCCCC1,27.46
CCOC(=O)C1CCC1,29.605
COC(=O)c1cccs1,39.66
CCCCCCOc1ccccc1,30.88
OC1CCCC1C1CCCC1,36.1
CNc1ccccc1C(=O)OC,38.98
CC(C)(O)Cc1ccccc1,32.91
COC(=O)CCc1ccccc1,37.635
CCCOC(=O)c1cccnc1,36.16
CC(=O)Oc1ccc(C)cc1,38.55
CC(C)c1ccc(C=O)cc1,34.03
CC1=CCC(C)C(C)C1=O,30.67
COc1ccc(COC(C)=O)cc1,40.4
CCCCCCOC(=O)c1cccnc1,33.72
CC(C)CC(=O)OCc1ccccc1,33.3
CC(C)C(=O)OCCc1ccccc1,38.42
CC(C)COC(=O)Cc1ccccc1,33.12
COC(=O)c1cccc2ccccc12,44.14
CCCCCCCc1ccc2ccccc2c1,33.89
CCCCOC(=O)C=Cc1ccccc1,36.697
CC1CCCCCCCCCCCCC(=O)C1,34.52
CC(C)(C)c1ccc2ccccc2c1,34.03
CCCCCOC(=O)C=Cc1ccccc1,36.45
CCCCCCOC(=O)C=Cc1ccccc1,35.6
CC(=O)OC1CC(C)CCC1C(C)C,30.46
CCOC(=O)C1OC1(C)c1ccccc1,35.36
CCCCCCCC(c1ccccc1)c1ccccc1,31.4
CCCCCc1ccc(-c2ccc(C#N)cc2)cc1,14.3
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,32.0
