SMILES,TARGET
CO,239.7
CCl,234.18
S=C=S,237.79
CCOCC,341.0
CCCC#N,325.43
Cc1ccccc1,319.74
Clc1ccccc1Cl,341.85
CCC,270.2
CCCO,324.72
ClCCCl,308.28
CC(C)=O,295.35
C1CCCC1,292.88
CCCCCCO,441.5
CC(Cl)Cl,305.06
CCC(C)=O,338.11
CCC(=O)CC,370.1
C=C(Cl)Cl,267.87
Cc1ccccc1C,352.75
ClCC(Cl)Cl,333.42
CC(Cl)(Cl)Cl,320.03
Cc1ccc(C)cc1,352.1
CN,243.3
CBr,245.85
CCCl,275.78
CCCCN,363.0
CCCCO,362.75
CCC=O,304.4
CCCCC,349.45
CC(C)O,309.91
CCCCCl,355.17
CCCCCC,388.74
C1COCCO1,299.78
Brc1ccccc1,324.39
Cc1cccc(C)c1,357.69
C[N+](=O)[O-],275.01
CNC,272.96
CCNCC,352.21
COC=O,285.2
CN(C)C,288.78
C=CC#N,275.31
C=CCCC,345.81
CCCCCCC,427.98
CCCOC=O,372.54
CCCOCCC,422.5
CC(=O)O,282.5
CC(C)CO,348.34
CCC(C)CC,383.0
C1CCCCC1,298.24
CCCCOCCCC,501.4
CCCC(=O)O,362.0
ClC(Cl)Cl,295.51
C1=CCCCC1,310.75
CCCCCCCCO,519.23
CC(Cl)CCl,354.8
COC(C)(C)C,352.96
CCC(C)(C)O,382.75
CCCCOC(C)=O,442.5
C=Cc1ccccc1,345.1
CC(=O)OC(C)C,390.2
CC[N+](=O)[O-],315.43
ClC(Cl)=C(Cl)Cl,340.85
NCCN,321.83
C=CC,268.6
CCCS,336.5
CC#N,243.47
C=CCl,273.54
C1CO1,242.92
CCCCl,315.47
C=CCC,307.83
C=CC=C,278.74
CCOC=O,328.2
CCC(C)O,359.03
CCC(C)C,343.63
CCCC(C)C,380.89
C=C(C)CC,341.96
CCCCCCCC,467.23
CC(C)(C)C,305.89
CCCCC(C)C,420.41
CC1CCCCC1,343.34
CCOC(=O)CC,402.5
CCC(C)(C)C,358.34
CCCCCC(C)C,459.57
CCCCC(C)=O,417.86
COc1ccccc1,361.0
CC(C)C(=O)O,341.25
CCCCC(C)(C)C,432.71
CCCCc1ccccc1,439.49
CCCCCOC(C)=O,481.8
CCOCCOC(C)=O,493.0
CC(C)CCC(C)C,442.33
CCCCCCOC(C)=O,520.9
CC(=O)OCC(C)C,441.0
ClC(Cl)(Cl)Cl,309.7
CCC(C)(C)C(C)C,427.02
CC(C)C(C)C(C)C,428.4
CCC(C)C(C)(C)C,423.88
Cc1ccc(C)c(C)c1,396.1
