SMILES,TARGET
c1ccccc1,269.2
Cc1ccccc1,319.74
Clc1ccccc1Cl,341.85
Clc1cccc(Cl)c1,343.53
C1CCCC1,292.88
Clc1ccccc1,313.47
Cc1ccc(C)cc1,352.1
C1COCCO1,299.78
Brc1ccccc1,324.39
CC(C)c1ccccc1,388.57
c1ccncc1,282.8
C1CCCCC1,298.24
C1=CCCCC1,310.75
O=Cc1ccccc1,335.9
CCCc1ccccc1,400.66
C=Cc1ccccc1,345.1
Clc1ccc(Cl)c(Cl)c1,380.91
O=[N+]([O-])c1ccccc1,359.0
C1CCOC1,297.29
Nc1ccccc1,319.16
CC1CCCCC1,343.34
COc1ccccc1,361.0
CCc1ccccc1,380.45
Oc1ccccc1Cl,351.0
CCCCc1ccccc1,439.49
Cc1cc(C)cc(C)c1,385.6
Cc1ccc(C)c(C)c1,396.1
CC(C)(C)c1ccccc1,395.9
Cc1cccc([N+](=O)[O-])c1,387.0
C1CN1,250.62
CC1CO1,286.73
C1CCNC1,309.49
CC1CCCC1,339.91
C1=CCCC1,289.66
Cc1ccncc1,319.47
Fc1ccccc1,302.63
CNc1ccccc1,341.0
O=Cc1ccco1,333.3
O=C1CCCCC1,322.17
OCc1ccccc1,365.47
CCc1ccccc1C,399.2
Cc1cccc(N)c1,354.3
CCc1ccccc1CC,434.8
Cc1cccc(C)c1C,380.5
CCc1ccc(C)cc1,398.9
CCc1cccc(CC)c1,439.5
CCc1ccc(CC)cc1,433.1
CCC(C)c1ccccc1,427.6
c1ccc2c(c1)CCC2,234.0
Cc1cccc2ccccc12,377.44
Cc1ccc(C(C)C)cc1,426.3
c1ccsc1,278.65
C1COCCN1,232.0
Cc1ccccn1,325.01
C1CCCCCC1,342.34
OC1CCCCC1,327.69
NC1CCCCC1,351.0
OCc1ccco1,408.0
CCC1CCCCC1,382.59
C1=CCCC=C1,303.4
Cc1ccccc1N,349.3
NCc1ccccc1,358.0
CCCCC1CCCCC1,458.48
CC(C)C1CCCCC1,405.0
CN(C)c1ccccc1,366.0
Cc1ccc(Cl)cc1,342.0
CCc1cccc(C)c1,404.17
Cc1ccccc1C(C)C,426.7
CCc1cc(C)cc(C)c1,426.1
c1ccoc1,267.14
C1CCNCC1,337.0
O=C1CCCC1,325.0
CCC1CCCC1,378.32
Oc1ccccc1,314.81
Ic1ccccc1,334.05
c1cc[nH]c1,270.54
CCCC1CCCC1,417.27
CCCC1CCCCC1,419.53
Cc1ccccc1Cl,348.0
N#Cc1ccccc1,321.04
OCCc1ccccc1,405.0
CC1CCC(C)CC1,367.625
Cc1cccc(O)c1,356.04
Nc1cccc(Cl)c1,356.0
C=Cc1ccc(C)cc1,383.67
Brc1cccc(Br)c1,366.9
CC(=O)c1ccccc1,384.51
C1CCC2CCCCC2C1,374.55
c1ccc2ncccc2c1,365.6
CC1OC(C)OC(C)O1,337.48
c1ccc2c(c1)CCCC2,369.64
FC(F)(F)c1ccccc1,372.59
Clc1cccc2ccccc12,375.0
CCOC(=O)c1ccccc1,455.0
Cc1cccc(C(C)C)c1,431.5
CCc1cccc2ccccc12,420.9
Cc1cc(C)c(C)c(C)c1,422.5
CCOC(=O)c1ccccc1C(=O)OCC,742.0
ClCC1CO1,319.32
Cn1cccc1,307.5
Cc1cccnc1,324.97
CN1CCCC1=O,338.36
CCOc1ccccc1,402.0
Cc1cccc(C)n1,356.09
CC1(C)CCCCC1,365.01
CCc1cc(C)ccc1C,436.6
CCc1ccc(C)cc1C,436.6
Cc1cc(C)nc(C)c1,477.0
CC1=CC(=O)CC(C)(C)C1,422.0
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1149.0
OCC1CCCO1,374.0
Sc1ccccc1,336.9
O=C1CCCO1,305.4
C1CCCNCC1,356.52
CC1CCCCC1C,372.71
CC1CCC(C)C1,366.81
CCC1(C)CCCC1,401.0
C=C1CC(=O)O1,307.5
CCc1c(C)cccc1C,421.0
C=C(C)c1ccccc1,383.67
CCCCCCCc1ccccc1,556.8
CCCCCCCCc1ccccc1,596.0
CCc1ccc(C)c(C)c1,436.6
C1CC1,237.65
C1COC1,265.26
C1CCC1,285.39
O=C1CCO1,286.14
NNc1ccccc1,351.0
CCc1ccccc1N,402.0
C=CC1=CCCCC1,378.0
CC1CCCC(C)C1,373.34
O=Cc1ccccc1O,388.0
O=C=Nc1ccccc1,348.0
CCCCCCc1ccccc1,517.9
CCc1cccc(C)c1C,421.0
ClC(Cl)c1ccccc1,386.0
CC(=O)OCc1ccccc1,458.99
C=C1CCC2CC1C2(C)C,404.0
CCCCCCCCCCc1ccccc1,673.7
CC(c1ccccc1)c1ccccc1,479.0
CC(C)c1ccc(C(C)C)cc1,488.0
Fc1c(F)c(F)c(F)c(F)c1F,362.2
CN1CCCC1,329.0
CC1CCCC1C,366.475
C1=CCC=C1,280.33
CC1CCCCC1O,391.0
CNC1CCCCC1,377.0
Cc1ccc(O)cc1,350.75
C=Cc1ccccc1C,383.7
C1=CCCC=CCC1,350.51
CCCCCc1ccccc1,479.18
CCOc1ccc(N)cc1,437.0
Cc1ccc(Cl)cc1Cl,378.95
