SMILES,TARGET
CO,-129.666
CCCC#N,-250.21
COC(C)=O,-296.83
c1ccccc1,-156.733
CCOC(C)=O,-387.456
Cc1ccccc1,-241.523
Clc1ccccc1Cl,-176.824
Clc1cccc(Cl)c1,-174.878
CCO,-223.143
ClCCl,-88.982
ClCCCl,-187.322
C1CCCC1,-386.596
CCCCCCO,-809.324
CC(Cl)Cl,-190.575
CCC(C)=O,-309.576
CCC(=O)CC,-416.368
C=C(Cl)Cl,-77.209
Cc1ccccc1C,-345.766
CC(Cl)(Cl)Cl,-221.734
Cc1ccc(C)cc1,-346.067
CN,-185.376
CBr,-31.863
CCCl,-173.436
CCCCN,-473.755
CCCCO,-415.093
CCC=O,-206.574
CCCCC,-463.089
CCCCCl,-363.877
CCCCCC,-559.92
CCCC(C)=O,-407.781
ClC=C(Cl)Cl,-86.165
Cc1cccc(C)c1,-340.869
CC(C)c1ccccc1,-446.252
CSC,-149.187
CNC,-291.196
CCC#N,-152.675
CCNCC,-484.555
COCOC,-408.821
COC=O,-176.388
CN(C)C,-411.739
C=CC#N,-34.815
C=CCCC,-335.536
CCCCCCN,-668.455
CCCCCCC,-656.616
CCCOC=O,-377.293
C=CCCCC,-433.071
CCCOCCC,-828.274
CC(=O)O,-195.036
c1ccncc1,-167.835
CCC(C)CC,-568.506
CC(C)CCO,-526.882
CCC(=O)O,-291.129
C1CCCCC1,-519.537
CCCCOCCCC,-822.908
CCCC(=O)O,-388.651
C1=CCCCC1,-378.388
CCCCCCCCO,-803.958
CC(Cl)CCl,-277.042
COC(C)(C)C,-561.597
CCC(C)(C)O,-551.501
CCCCOC(C)=O,-581.251
CCCc1ccccc1,-434.077
CC(=O)OC(C)C,-496.394
ClC(Cl)=C(Cl)Cl,-116.619
NCCN,-404.293
CCBr,-126.446
CCCS,-234.915
CC#N,-59.5
C1CO1,-132.584
CCCCl,-266.477
C=CCC,-239.577
CC(C)N,-388.16
C=CC=C,-135.871
CCOC=O,-285.762
CCC(C)O,-419.151
CCC(C)C,-468.422
CN(C)C=O,-346.436
CCCCCCCCC,-851.384
CCCCC(C)C,-664.598
CC1CCCCC1,-610.599
CCC(C)(C)C,-590.106
CCCCCC(C)C,-765.521
CCCCC(C)=O,-502.284
COc1ccccc1,-303.975
CC(C)C(C)C,-582.526
O=Cc1ccccc1,-198.558
CC(C)C(=O)O,-409.022
CCCC(=O)OCC,-581.251
CC(C)OC(C)C,-660.54
CCCCC(C)(C)C,-789.636
CCCC(C)(C)CC,-782.76
CCCCc1ccccc1,-531.678
CCOCCOC(C)=O,-633.909
CC(C)CCC(C)C,-781.788
CC(=O)OCC(C)C,-578.568
CC(C)CC(C)(C)C,-797.652
CCC(C)(C)C(C)C,-789.368
CC(C)C(C)C(C)C,-792.722
CCC(C)C(C)(C)C,-795.673
Cc1ccc(C)c(C)c1,-438.94
CCC[N+](=O)[O-],-419.286
CC(C)(C)c1ccccc1,-575.314
Clc1ccc(Cl)c(Cl)c1,-183.834
O=[N+]([O-])c1ccccc1,-303.203
Cc1cccc([N+](=O)[O-])c1,-409.861
CCS,-138.923
C#N,35.083
CCN,-279.39
O=CO,-92.604
C1CN1,-182.995
COCCO,-385.712
C=CCO,-203.79
CC1CO1,-224.686
C=CC=O,-83.917
CCCCBr,-316.72
C1CCNC1,-396.713
C1CCOC1,-350.495
ClCCCCl,-284.665
CCC(C)Cl,-362.334
CC1CCCC1,-477.813
CCCC(C)O,-518.229
CCCCOCCO,-674.157
CCCCCCC=O,-594.868
CCCCCCCCN,-662.083
CCCCNCCCC,-874.057
C=CCCCCCC,-627.704
Fc1ccccc1,-159.416
CCC(=O)OC,-390.743
CCCC(C)CC,-660.406
O=C1CCCCC1,-467.449
CCCOC(C)=O,-464.32
CCC(C)(C)CC,-684.823
ClCC(Cl)CCl,-295.12
CCCC(C)(C)C,-691.699
CCc1ccccc1C,-435.586
Oc1ccccc1Cl,-223.713
CC(=O)C(C)C,-413.886
Cc1cccc(N)c1,-368.942
CCc1ccccc1CC,-536.743
CCCN(CCC)CCC,-988.395
CC(C)C(C)(C)C,-701.258
CCc1ccc(CC)cc1,-537.045
CC(C)Cc1ccccc1,-537.783
ClC(Cl)C(Cl)Cl,-225.256
CCC(C)c1ccccc1,-543.686
Cc1cc(C)cc(C)c1,-449.505
Cc1cccc2ccccc12,-338.185
Cc1ccc(C(C)C)cc1,-545.028
CC(C)CC(=O)CC(C)C,-820.392
OCCO,-284.588
CCSCC,-339.594
CC(C)S,-247.124
CC(C)C,-381.15
CS(C)=O,-313.5
CCC(C)S,-340.869
CC(C)Br,-234.211
c1ccsc1,-37.062
CC(C)C=O,-333.557
CCC(O)CC,-531.846
CC=C(C)C,-342.814
CC(C)C#N,-262.284
CCCCOC=O,-474.325
CCC(CC)CC,-673.017
Cc1ccccn1,-282.016
OC1CCCCC1,-592.453
C=CC(=O)O,-168.271
NC1CCCCC1,-627.905
C=C(C)C=O,-182.458
C1=CCCC=C1,-253.228
CCCCC(=O)O,-484.186
Cc1ccccc1N,-375.65
CCCC(=O)OC,-487.674
OCc1ccccc1,-299.514
C=COC(C)=O,-291.799
CCCCCCCCCO,-901.191
C=CCCCCCCCC,-822.338
CCCCCCCCCCO,-998.591
CCC(C)C(C)C,-670.501
CCCCC1CCCCC1,-904.276
CCC(C)(CC)CC,-787.825
CCC(C)CC(C)C,-775.214
CC(=O)CC(C)C,-513.601
CCC(C)C(C)CC,-772.531
CCCCCCC(C)=O,-696.965
CC(C)C1CCCCC1,-821.734
CCCCCCCCCCCCC,-1240.818
Cc1ccc(Cl)cc1,-266.644
CC(=O)C=C(C)C,-391.682
CCCCCCCCCCCCCC,-1338.085
CC(C)C(=O)C(C)C,-601.711
c1ccc2c(c1)CCC2,-470.569
COC(=O)c1ccccc1,-358.544
CCc1cc(C)cc(C)c1,-545.363
CCC(C)(C)C(C)(C)C,-910.75
CC(C)C(C)C(C)(C)C,-904.31
Cc1ccccc1[N+](=O)[O-],-410.867
C=O,-20.091
CNCCO,-459.165
C=CCN,-257.588
C#CCCC,-221.03
BrCCBr,-94.986
COCCOC,-495.858
C#CCCCC,-318.397
C=CCC=C,-217.374
CCCCC#N,-346.403
COC(C)C,-439.913
C=C(C)C,-251.451
c1ccoc1,-119.302
CCCCCC=O,-496.495
C1CCNCC1,-506.121
CCCCCCCS,-623.21
O=C1CCCC1,-328.492
Oc1ccccc1,-212.879
CCCCC(C)O,-614.791
C=CCC(C)C,-449.908
C=C(C)CCC,-435.586
CCN(CC)CC,-703.907
C=CC(=O)OC,-253.832
CCCC(C)CCC,-767.5
CCOC(C)OCC,-699.312
c1cc[nH]c1,-174.442
CC(C)C(C)O,-529.465
CC(C)(C)Cl,-399.665
N#Cc1ccccc1,-141.036
CCOC(=O)OCC,-585.108
CCOCCOCCOCC,-942.479
CCCCCCCCCCC,-1046.051
CCCCCC(C)CC,-855.442
CCCCOC(=O)CC,-677.847
FC(Cl)(Cl)Cl,-133.322
CC(C)CC(=O)O,-495.388
CC1CCC(C)CC1,-722.6395
Cc1cccc(O)c1,-307.899
CCCCCCCCCCCC,-1143.418
C=CC(=O)OCCCC,-543.516
Nc1cccc(Cl)c1,-277.377
CC(=O)CC(C)=O,-352.172
C=Cc1ccc(C)cc1,-320.51
Brc1cccc(Br)c1,-80.765
C=Cc1cccc(C)c1,-314.607
CC(=O)c1ccccc1,-286.198
CC1OC(C)OC(C)O1,-787.926
CC(=O)OC(C)(C)C,-617.139
CCCCCCCCCCCCCCC,-1435.452
c1ccc2c(c1)CCCC2,-471.206
CCOC(=O)c1ccccc1,-456.146
CCc1cccc2ccccc12,-433.775
CCOC(=O)c1ccccc1C(=O)OCC,-651.685
CC,-173.57
CCCI,-196.176
CSSC,-130.371
O=C=S,91.33
C#CCC,-123.797
CCCCS,-332.45
CCCCCS,-428.576
CC(N)CN,-501.459
CC(O)CO,-392.487
CCCCCCS,-525.943
C=CCC#N,-141.539
CC(C)Cl,-281.503
FC(F)Cl,-111.353
CCCCCC#N,-443.032
ClCC1CO1,-238.336
ClCCCCCl,-379.339
Cn1cccc1,-274.023
C=CCCC=C,-314.942
COCCOCCO,-546.705
CN(C)CCO,-555.425
C=CC(C)C,-347.879
CC=C(C)CC,-437.565
CCCCCOC=O,-577.562
CCCC=CCCC,-632.587
Cc1cccnc1,-261.982
ClCCCCCCl,-475.6
C=C=C(C)C,-231.125
C=C(CC)CC,-441.087
CC(C)(C)N,-498.876
O=C(Cl)Cl,-43.636
CCCCCC(C)O,-711.051
CCCC(=O)CC,-511.152
COC(=O)CCl,-288.445
CN1CCCC1=O,-476.17
CCCC(CC)CC,-762.703
C=CC(CC)CC,-539.158
CCOc1ccccc1,-399.296
CCCCCCCCC=O,-789.368
C=CC(=O)OCC,-349.086
ClCc1ccccc1,-247.191
CCCCCCCCCCN,-1055.71
C=C(C)C(C)C,-452.021
CCCCC(CC)CC,-861.211
CC(C)=C(C)C,-452.993
CCCCCCC(C)C,-861.244
C=C(C)C(=O)O,-289.059
CCCC(C)C(C)C,-776.891
CC1(C)CCCCC1,-725.239
CCCCC(C)CCCC,-958.88
C=CCCCCCCCCCC,-1017.105
CCC(C)OC(C)=O,-583.599
CC(C)CNCC(C)C,-896.864
CCCCCC(C)(C)C,-884.119
C=C(C)C(=O)OC,-354.754
CCCCCCCC(=O)O,-774.778
C=C(C)C(C)(C)C,-573.772
O=CC(Cl)(Cl)Cl,-164.347
CCc1ccc(C)cc1C,-534.63
C1CCC2CCCCC2C1,-657.723
CCOC(=O)CC(C)C,-677.511
ClCC(Cl)(Cl)Cl,-231.763
C=CCCCCCCCCCCC,-1114.372
CCCCN(CCCC)CCCC,-1271.172
CC(C)(C)OC(C)(C)C,-895.992
CC1=CCC2CC1C2(C)C,-629.549
ClC(Cl)C(Cl)(Cl)Cl,-253.597
CC1=CC(=O)CC(C)(C)C1,-646.319
C[Si](C)(C)O[Si](C)(C)C,-814.758
CS,-43.77
COC,-238.538
NCCO,-346.503
C#CC,-30.186
CCOC,-331.343
CN=CO,-255.576
OCCCO,-385.444
CC=CCC,-338.0515
ClCOCCl,-238.135
ClC=CCl,-75.281
C=C=CCC,-217.374
C=CC=CC,-229.811
CC(Br)Br,-97.233
OCC(O)CO,-450.478
CC(O)CCO,-430.018
CCCCCCCN,-765.789
COCC(C)C,-533.289
Sc1ccccc1,-120.948
COCCOCCOC,-752.977
CC1CCCCC1C,-717.5245
FC(F)(F)Br,-88.144
OCCOCCOCCO,-800.168
FC(F)(Cl)Cl,-185.242
CC(C)NC(C)C,-697.3
CCCCCCCCCCS,-915.244
CC1CCC(C)C1,-587.1375
CCC1(C)CCCC1,-689.485
C=C(C)C(=C)C,-331.712
CCCCCCCC(C)C,-958.88
C=C1CC(=O)O1,-181.788
C=C(C)C(C)=O,-293.476
CCC(C)OC(C)CC,-860.641
O=C(O)C(Cl)Cl,-228.073
CCCCOC(=O)CCC,-774.107
CCc1c(C)cccc1C,-550.495
O=C(O)C(F)(F)F,-253.899
C=C(C)c1ccccc1,-320.51
FC(F)(F)C(Cl)Br,-202.381
C=CCCCCCCCCCCCC,-1211.773
CCCCCCCc1ccccc1,-823.042
CC(C)CC(C)C(C)C,-887.339
CC(=O)CC(C)(C)O,-586.282
CCCCCCCCc1ccccc1,-920.443
CC(C)COC(=O)C(C)C,-784.84
CCOC(=O)CCC(=O)OCC,-781.486
FC(F)(Cl)C(F)(Cl)Cl,-261.01
CC(C)CCOC(=O)CC(C)C,-979.138
COC(=O)c1ccccc1C(=O)OC,-459.5
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-233.071
N=CO,-151.434
CC=CC,-246.5035
C1COC1,-246.185
C1CCC1,-279.691
OCCCCCO,-583.599
CCC#CCC,-311.924
COCCC#N,-314.271
CC=C=CC,-226.061
C1CCSC1,-267.751
CC=CC=CC,-330.8735
CC=CCCCC,-531.276
FC(Cl)Cl,-107.731
C#CC(C)C,-231.83
O=C1CCO1,-197.25
CCC=C(C)C,-439.242
O=C1CCCO1,-314.305
CCCCCCCCCN,-959.383
NNc1ccccc1,-397.218
C=CCC(C)CC,-533.289
NCCNCCNCCN,-1028.509
C=CC(=C)Cl,-140.299
O=C1CCCCCO1,-530.236
C=CC(C)(C)C,-473.923
CCCOC(=O)CCC,-677.847
CCCCCCCCCCCO,-1095.992
CCCCC(C=O)CC,-698.004
C[SiH](Cl)Cl,-180.111
CC1CCCC(C)C1,-716.8875
CCCC(C)CC(C)C,-868.523
CCOCCC(=O)OCC,-727.822
O=C=Nc1ccccc1,-216.669
NCCNCCNCCNCCN,-1343.217
OCCOCCOCCOCCO,-1083.045
CCOC(=O)C(C)C,-588.965
CCCCCCCCC(=O)O,-873.386
CCCCCCc1ccccc1,-725.675
CCc1cccc(C)c1C,-550.226
CC(O)CC(C)(C)O,-696.83
COC(=O)CC(C)=O,-415.898
CCC(C)CC(C)(C)C,-891.263
CCC(C)C(C)(C)CC,-882.14
ClC(Cl)c1ccccc1,-288.992
CCCC(C)C(C)(C)C,-891.263
CCCC(C)(C)C(C)C,-887.875
CCCCOCCOCCOCCCC,-1331.545
CCC(C)(C)CC(C)C,-887.875
CCC(=O)OC(=O)CC,-524.904
CC(=O)OCCOC(C)=O,-590.307
CCOC(=O)C(=O)OCC,-569.512
CCOC(=O)CC(=O)OCC,-680.865
CC(C)C(C)(C)C(C)C,-906.691
FC(F)(F)C(F)(F)Cl,-280.664
C=C1CCC2CC1C2(C)C,-698.642
CC1=CCC(C(C)C)=CC1,-646.319
c1ccc(Oc2ccccc2)cc1,-404.83
CC(c1ccccc1)c1ccccc1,-516.519
CC(C)c1ccc(C(C)C)cc1,-755.995
CC(C)c1cccc(C(C)C)c1,-745.028
CC(=O)OCC(COC(C)=O)OC(C)=O,-904.578
FCF,-92.336
C=CBr,-7.983
ClCBr,-36.559
CCSSCC,-325.004
N#CC#N,39.443
CC#CCC,-219.051
C=COC=C,-183.196
CCCOCCO,-580.245
CCCSCCC,-531.846
CCC=CCCC,-530.27
OCC1CCCO1,-513.835
O=C(O)CCS,-208.083
CC=CC(C)C,-446.8055
CCC=CCCCC,-626.53
C1=CCC=C1,-140.097
N#CCCCC#N,-244.843
N#CCCCCC#N,-348.18
CN(CCO)CCO,-707.897
CNC1CCCCC1,-737.884
CCCCCCCCCS,-817.843
C=CC(Cl)CCl,-266.644
CCCC(CCC)CCC,-968.003
Cc1ccc(O)cc1,-316.988
CCCCCCCCCC=O,-886.735
C=Cc1ccccc1C,-320.51
C1=CCCC=CCC1,-479.624
CCCCCCOCCCCCC,-1210.129
CC(=O)CCC(C)C,-610.431
CCCCCc1ccccc1,-628.409
CCCCCCCCCCCCS,-1109.878
CCCC(C)(C)CCC,-880.698
CCCCCCC(C)(C)C,-981.754
CCOc1ccc(N)cc1,-525.239
CC(C)CCCCC(C)C,-977.696
CCC(C)CCCC(C)C,-966.158
CCOCCOCCOC(C)=O,-889.552
Cc1ccc(Cl)cc1Cl,-275.901
C[Si](Cl)(Cl)Cl,-203.589
CCC(C)C(C)C(C)C,-878.618
CCCCCCCCCCC1CCCCC1,-1488.345
CC1=CC=C(C(C)C)CC1,-666.108
c1ccc(Cc2ccccc2)cc1,-419.252
CCOC(=O)C=CC(=O)OCC,-657.387
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-1750.797
CCSC,-238.269
CCCOC,-428.71
OCCNCCO,-613.114
C1=CCOC1,-232.366
OC1=NCCC1,-377.059
CC1CCCCC1O,-665.672
C=C(CC)CCC,-534.161
CC(O)C(=O)O,-352.172
CCCC(CC)CCC,-861.211
CCCCCCCCOC=O,-867.013
CCCCCCCCCCCS,-1012.477
CCCCCCCC(C)O,-912.292
CCCCC(CC)CCC,-953.144
C=CC(=O)OCCC,-446.084
CCCC(C)(CC)CC,-874.962
CCCC(C)C(C)CC,-865.571
CCCC(CC)C(C)C,-868.523
CCC(C)C(CC)CC,-868.523
CCCCC(C)C(C)C,-868.489
CCCC(CCC)C(C)C,-971.927
CCCCCC(C)(C)CC,-972.631
CCCCC(C)(CC)CC,-972.631
CCC(C)CCC(C)CC,-969.009
CCCCC(CC)C(C)C,-966.192
CCCCC(C)C(C)CC,-963.24
BrC(Br)C(Br)Br,-46.353
C=C(C)C(=O)OCC,-449.438
CCCC(C)CC(C)CC,-963.24
C1=Cc2ccccc2C1,-237.095
CCCCC(C)(C)CCC,-972.631
O=C(Cl)c1ccccc1,-212.41
CC(=O)OCc1ccccc1,-450.579
C=C(C)C(=O)OCCCC,-640.617
CCC(CC)C(C)(C)CC,-985.712
CCCCCCCCCc1ccccc1,-1017.876
CCCCCCCCOCCCCCCCC,-1592.152
CCCCC(CC)COC(C)=O,-962.603
CCCC(=O)OC(=O)CCC,-719.94
CC(C)(C)CCC(C)(C)C,-1023.31
CC(C)C(C)CC(C)(C)C,-1001.945
