SMILES,TARGET
c1ccccc1,-156.733
Cc1ccccc1,-241.523
Clc1ccccc1Cl,-176.824
Clc1cccc(Cl)c1,-174.878
Cc1ccccc1C,-345.766
Clc1ccccc1,-168.712
Cc1ccc(C)cc1,-346.067
C1COCCO1,-450.344
Brc1ccccc1,-112.393
CC(C)c1ccccc1,-446.252
c1ccncc1,-167.835
C1CCCCC1,-519.537
C1=CCCCC1,-378.388
CCCc1ccccc1,-434.077
C=Cc1ccccc1,-222.841
C1CO1,-132.584
Nc1ccccc1,-267.751
CC1CCCCC1,-610.599
COc1ccccc1,-303.975
CCc1ccccc1,-338.051
O=Cc1ccccc1,-198.558
CCCCc1ccccc1,-531.678
Cc1ccc(C)c(C)c1,-438.94
CC(C)(C)c1ccccc1,-575.314
Clc1ccc(Cl)c(Cl)c1,-183.834
O=[N+]([O-])c1ccccc1,-303.203
C1CN1,-182.995
C1CCNC1,-396.713
C1CCOC1,-350.495
CC1CCCC1,-477.813
C1=CCCC1,-261.144
Cc1ccncc1,-288.154
Fc1ccccc1,-159.416
O=C1CCCCC1,-467.449
CCc1ccccc1C,-435.586
Oc1ccccc1Cl,-223.713
Cc1cccc(N)c1,-368.942
CCc1ccccc1CC,-536.743
Cc1cccc(C)c1C,-449.908
CCc1ccc(C)cc1,-435.854
CCc1cccc(CC)c1,-531.712
CCc1ccc(CC)cc1,-537.045
CC(C)Cc1ccccc1,-537.783
CCC(C)c1ccccc1,-543.686
Cc1cc(C)cc(C)c1,-449.505
Cc1cccc2ccccc12,-338.185
Cc1ccc(C(C)C)cc1,-545.028
c1ccsc1,-37.062
C1COCCN1,-576.891
Cc1ccccn1,-282.016
C1CCCCCC1,-611.571
OC1CCCCC1,-592.453
NC1CCCCC1,-627.905
OCc1ccco1,-217.678
CNc1ccccc1,-382.358
CCC1CCCCC1,-707.697
C1=CCCC=C1,-253.228
Cc1ccccc1N,-375.65
OCc1ccccc1,-299.514
CCCCC1CCCCC1,-904.276
CC(C)C1CCCCC1,-821.734
CN(C)c1ccccc1,-493.812
Cc1ccc(Cl)cc1,-266.644
CCc1cccc(C)c1,-430.522
Cc1ccccc1C(C)C,-544.692
c1ccc2c(c1)CCC2,-470.569
COC(=O)c1ccccc1,-358.544
CCc1cc(C)cc(C)c1,-545.363
Cc1ccccc1[N+](=O)[O-],-410.867
C1CCNCC1,-506.121
O=C1CCCC1,-328.492
CCC1CCCC1,-575.65
Oc1ccccc1,-212.879
Ic1ccccc1,-84.622
c1cc[nH]c1,-174.442
CCCC1CCCC1,-673.017
NCc1ccccc1,-364.816
CCCC1CCCCC1,-807.043
Cc1ccccc1Cl,-260.607
N#Cc1ccccc1,-141.036
CC1CCC(C)CC1,-722.6395
Cc1cccc(O)c1,-307.899
Nc1cccc(Cl)c1,-277.377
Brc1cccc(Br)c1,-80.765
C=Cc1cccc(C)c1,-314.607
CC(=O)c1ccccc1,-286.198
CC1OC(C)OC(C)O1,-787.926
FC(F)(F)c1ccccc1,-297.803
Clc1cccc2ccccc12,-252.222
CCc1cccc2ccccc12,-433.775
Cc1cc(C)c(C)c(C)c1,-548.549
CN1CCCC1=O,-476.17
CCOc1ccccc1,-399.296
ClCc1ccccc1,-247.191
OCCc1ccccc1,-396.277
Cc1cccc(C)n1,-367.936
CC1(C)CCCCC1,-725.239
CCc1cc(C)ccc1C,-534.899
C1CCC2CCCCC2C1,-657.723
c1ccc2ncccc2c1,-238.806
Cc1cc(C)nc(C)c1,-384.035
CC1=CC(=O)CC(C)(C)C1,-646.319
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-1879.658
CCC1CO1,-325.742
Sc1ccccc1,-120.948
C1CCCNCC1,-622.371
CC1CCCCC1C,-717.5245
CC1CCC(C)C1,-587.1375
CCC1(C)CCCC1,-689.485
C=C(C)c1ccccc1,-320.51
CCCCCCCc1ccccc1,-823.042
CCCCCCCCc1ccccc1,-920.443
CCc1ccc(C)c(C)c1,-534.932
C1CC1,-171.357
C1COC1,-246.185
C1CCC1,-279.691
C1CCSC1,-267.751
O=C1CCO1,-197.25
O=C1CCCO1,-314.305
NNc1ccccc1,-397.218
CCc1ccccc1N,-458.494
O=C1CCCCCO1,-530.236
CCCCCCc1ccccc1,-725.675
CCc1cccc(C)c1C,-550.226
