SMILES,TARGET
S=C=S,363.15
CO,737.038889
CCl,905.372222
CCOCC,453.15
CCCC#N,774.816667
COC(C)=O,774.816667
Cc1ccccc1,753.705556
Clc1ccccc1Cl,920.927778
CCO,695.927778
CCCO,644.261111
CC=O,458.15
CCCCC,533.15
ClCCCl,685.927778
CC(C)=O,810.927778
C1CCCC1,634.261111
CC(Cl)Cl,730.927778
CCC(C)=O,788.705556
CCC(=O)CC,725.372222
Cc1ccccc1C,737.038889
Clc1ccccc1,910.927778
CC(Cl)(Cl)Cl,810.372222
Cc1ccc(C)cc1,802.038889
CN,703.15
CBr,810.372222
CCCl,792.038889
CCCC,689.261111
CCNCC,585.372222
CCCCO,616.483333
COC=O,729.261111
CC(C)O,672.038889
CCCCCl,733.15
CCCCCC,507.038889
CCCC=O,503.15
CC(=O)O,699.816667
C1COCCO1,453.15
CCCC(C)=O,725.372222
ClC=C(Cl)Cl,683.15
Cc1cccc(C)c1,800.927778
C[N+](=O)[O-],652.038889
CC(C)c1ccccc1,697.038889
CSC,479.261111
COCOC,510.372222
CCCOC=O,728.15
C=CCCCC,525.927778
CCCCCCl,533.15
c1ccncc1,755.372222
CCC(C)CC,550.927778
CCC(=O)O,748.15
C1CCCCC1,533.15
CCCC(=O)O,725.372222
CCCCCCCCO,554.816667
CC(Cl)CCl,830.372222
CCCCOC(C)=O,694.261111
O=Cc1ccccc1,464.816667
CCCc1ccccc1,729.261111
C=Cc1ccccc1,763.15
CC(=O)OC(C)C,752.038889
CC(=O)OCC(C)C,695.927778
CC[N+](=O)[O-],633.15
Clc1ccc(Cl)c(Cl)c1,844.261111
O=CO,874.261111
C=CC,728.15
CCBr,784.261111
CCCCl,793.15
C=CCC,657.038889
CC(C)N,675.372222
C=CC=C,702.038889
CCC(C)C,693.15
CCCNCCC,572.038889
C1CCOC1,594.261111
CCCC(C)C,579.261111
C=C(C)CC,638.15
CCCCCCCC,493.15
C=CCCCCC,535.927778
CN(C)C=O,718.15
CCCCCCCCC,479.261111
CC(C)(C)C,723.15
CCCCC(C)C,553.15
CCC(=O)OC,742.038889
CC1CCCCC1,558.15
CCC(C)(C)C,698.15
CCCCCC(C)C,519.816667
CCc1ccccc1,705.372222
CC(C)C(C)C,693.15
CCCC(=O)OCC,735.927778
CC(C)OC(C)C,716.483333
CCCCC(C)(C)C,709.816667
CCCC(C)(C)CC,709.816667
CCCCCOC(C)=O,629.816667
CCOCCOC(C)=O,652.594444
CCC(C)(C)C(C)C,703.15
Cc1cc(C)cc(C)c1,823.15
Cc1ccc(C)c(C)c1,788.15
Cc1cccc([N+](=O)[O-])c1,663.15
C#N,810.927778
OCCO,673.15
COCCO,558.15
C=CCO,651.483333
CC1CO1,738.15
CCCCBr,538.15
CCC(C)N,650.927778
CCCCC=O,495.372222
CCCCCCCO,554.816667
CC1CCCC1,602.038889
CCCC(C)O,616.483333
C1=CCCC1,668.15
Cc1ccncc1,809.816667
C=CCCCCCC,503.15
CCCC(C)CC,553.15
