SMILES,TARGET
CO,737.038889
CCl,905.372222
S=C=S,363.15
CCOCC,453.15
CCCC#N,774.816667
COC(C)=O,774.816667
CCOC(C)=O,699.816667
CCC,723.15
CCO,695.927778
CCCO,644.261111
CC=O,458.15
ClCCCl,685.927778
CC(C)=O,810.927778
C1CCCC1,634.261111
CCCCCCO,558.15
CCC(C)=O,788.705556
C=C(Cl)Cl,843.15
ClCC(Cl)Cl,744.261111
CC(Cl)(Cl)Cl,810.372222
CN,703.15
CCCl,792.038889
CCCC,689.261111
CCCCN,585.372222
CCC=O,480.372222
CCCCC,533.15
CCCCCO,573.15
CC(C)O,672.038889
CCCCCl,733.15
CCCCCC,507.038889
CCCC=O,503.15
C1COCCO1,453.15
ClC=C(Cl)Cl,683.15
C[N+](=O)[O-],652.038889
CSC,479.261111
CNC,673.15
CCC#N,784.816667
CCNCC,585.372222
COCOC,510.372222
COC=O,729.261111
CN(C)C,463.15
C=CC#N,754.261111
CCCCCCC,495.927778
CCCOC=O,728.15
CCCOCCC,488.15
CC(=O)O,699.816667
CC(C)CO,699.816667
c1ccncc1,755.372222
CCC(C)CC,550.927778
CC(C)CCO,623.15
CCC(=O)O,748.15
C1CCCCC1,533.15
CCCCOCCCC,467.594444
CCCC(=O)O,725.372222
C1=CCCCC1,538.15
CCCCCCCCO,554.816667
CC(Cl)CCl,830.372222
CCC(C)(C)O,710.372222
CCCCOC(C)=O,694.261111
CC(=O)OC(C)C,752.038889
CC[N+](=O)[O-],633.15
NCCN,658.15
C=CC,728.15
CCBr,784.261111
CC#N,797.038889
C=CCl,745.372222
C1CO1,702.038889
CCCCl,793.15
C=CCC,657.038889
CC(C)N,675.372222
C=CC=C,702.038889
CCOC=O,728.15
CCC(C)O,679.261111
CC(C)CN,650.927778
CCC(C)C,693.15
CCCC(C)C,579.261111
C=C(C)CC,638.15
CCCCCCCC,493.15
C=CCCCCC,535.927778
CN(C)C=O,718.15
CCCCCCCCC,479.261111
CC(C)(C)C,723.15
CCCCC(C)C,553.15
CC1CCCCC1,558.15
CCOC(=O)CC,749.816667
CCCCCC(C)C,519.816667
CCCCC(C)=O,697.038889
CC(C)C(C)C,693.15
CC(C)C(=O)O,774.816667
CCCC(=O)OCC,735.927778
CC(C)OC(C)C,716.483333
CCCCC(C)(C)C,709.816667
CCCC(C)(C)CC,709.816667
CCCCCOC(C)=O,629.816667
CCOCCOC(C)=O,652.594444
CC(C)CC(C)(C)C,690.927778
CCC(C)(C)C(C)C,703.15
CC(C)C(C)C(C)C,699.816667
CCC(C)C(C)(C)C,703.15
CCS,572.038889
C#N,810.927778
CCN,657.038889
O=CO,874.261111
CCCBr,763.15
C1CN1,593.15
C=CCO,651.483333
CC1CO1,738.15
C=CC=O,507.038889
CCCCBr,538.15
CCC(C)N,650.927778
CCCCC=O,495.372222
CCCNCCC,572.038889
C1CCOC1,594.261111
CCCCCCCO,554.816667
CC1CCCC1,602.038889
CCCC(C)O,616.483333
CCCCOCCO,510.927778
Cc1ccncc1,809.816667
C=CCCCCCC,503.15
CCC(=O)OC,742.038889
CCCC(C)CC,553.15
CCCCCCCCCC,480.927778
O=Cc1ccco1,588.705556
O=C1CCCCC1,693.15
CCCCC(C)CC,512.038889
CCCOC(C)=O,723.15
CCCCCC(C)=O,665.927778
ClCC(Cl)CCl,577.038889
CCCC(C)(C)C,609.816667
CC(=O)N(C)C,627.038889
CC(=O)OC(C)=O,663.15
CC(C)C(C)(C)C,723.15
Cc1cccc2ccccc12,802.038889
CCC(C(C)C)C(C)C,663.15
CC(C)(C)CC(C)(C)C,703.15
CC(C)CC(=O)CC(C)C,669.261111
OCCO,673.15
OCCCl,698.15
CC(C)C,733.15
CCOCCO,508.15
CS(C)=O,488.15
CC(C)C=O,527.594444
CCC(O)CC,708.15
CCCCOC=O,595.372222
C1COCCN1,583.15
Cc1ccccn1,810.927778
OC1CCCCC1,573.15
C=CC(=O)O,710.927778
NC1CCCCC1,565.927778
C=C(C)C=O,507.038889
OCc1ccco1,664.261111
CCC1CCCCC1,535.372222
CCCCC(=O)O,673.15
C=CCCCCCCCC,508.15
CCCCC(C)CCC,493.15
CCCCCC(=O)O,653.15
