SMILES,TARGET
CO,33.0
CCCC#N,24.471
c1ccccc1,2.27805
CCOC(C)=O,6.0817
Cc1ccccc1,2.3837
Clc1ccccc1Cl,10.11
CCC,1.65945
CCO,24.8
CCCO,20.62
CC=O,21.1
ClCCl,8.93
ClCCCl,10.39
CC(C)=O,20.86
C1CCCC1,1.964685
CCCCCCO,13.075
CC(Cl)Cl,10.1
CCC(C)=O,18.435
CCC(=O)CC,16.78
C=C(Cl)Cl,4.6
ClCC(Cl)Cl,7.1937
CC(Cl)(Cl)Cl,7.1415
Cc1ccc(C)cc1,2.26611
CCCl,9.45
CCCC,1.765005
CCCCN,4.955
CCCCO,17.77
CC(C)O,19.655
CCCCCl,7.26
CCCC=O,13.45
C1COCCO1,2.21445
CCCC(C)=O,15.415
Brc1ccccc1,5.42
ClC=C(Cl)Cl,3.38
Cc1cccc(C)c1,2.3545
C[N+](=O)[O-],37.935
CSC,6.7
CCC#N,28.45
CCNCC,3.72675
COCOC,2.644
COC=O,8.69
CN(C)C,2.44
C=CC#N,33.0
C=CCCC,2.013
CCCCCCN,4.01
CCCCCCC,1.91745
C=CCCCC,2.077
CCCOCCC,3.36
CC(=O)O,6.19
CCCCCCl,6.654
c1ccncc1,12.78
CCC(C)CC,1.89065
CC(C)CCO,14.965
CCC(=O)O,3.32
C1CCCCC1,2.02072
BrC(Br)Br,4.4
CCCCOCCCC,3.0594
CCCC(=O)O,2.88
ClC(Cl)Cl,4.76345
C1=CCCCC1,2.2125
CCCCCCCCO,10.205
CC(Cl)CCl,8.37
CCC(C)(C)O,5.74
CCCCOC(C)=O,5.01
CCCc1ccccc1,2.37
CC[N+](=O)[O-],28.9
ClC(Cl)=C(Cl)Cl,2.3163
NCCN,13.41
C=CC,1.885
CCBr,9.105
CC#N,36.67
C1CO1,12.42
CC(C)N,5.5462
CCOC=O,8.7
CCC(C)O,16.99
CCC(C)C,1.83625
CCCC(C)C,1.886
CCCCCCCC,1.9436
C=CCCCCC,2.092
CC(C)(C)C,1.769
CCCCC(C)C,1.9221
Nc1ccccc1,7.037
CC1CCCCC1,2.024
CCCCC(C)=O,14.56
