SMILES,TARGET
c1ccccc1,2.27805
Cc1ccccc1,2.3837
Clc1ccccc1Cl,10.11
Clc1cccc(Cl)c1,4.96
Cc1ccccc1C,2.561
Clc1ccccc1,5.65475
Cc1ccc(C)cc1,2.26611
C1COCCO1,2.21445
Brc1ccccc1,5.42
Cc1cccc(C)c1,2.3545
CC(C)c1ccccc1,2.37855
c1ccncc1,12.78
C1CCCCC1,2.02072
C1=CCCCC1,2.2125
CCCc1ccccc1,2.37
C=Cc1ccccc1,2.4737
C1CO1,12.42
Nc1ccccc1,7.037
CC1CCCCC1,2.024
CCc1ccccc1,2.4237
O=Cc1ccccc1,17.625
CCCCc1ccccc1,2.3845
Cc1ccc(C)c(C)c1,2.3775
CC(C)(C)c1ccccc1,2.3589
Clc1ccc(Cl)c(Cl)c1,6.75
O=[N+]([O-])c1ccccc1,35.15
Cc1cccc([N+](=O)[O-])c1,25.075
C1CN1,18.3
C1CCOC1,7.78
CC1CCCC1,1.9853
C1=CCCC1,2.083
Cc1ccncc1,12.2
Fc1ccccc1,5.4025
O=Cc1ccco1,42.1
O=C1CCCCC1,15.94
CCc1ccccc1C,2.595
Oc1ccccc1Cl,7.12
Cc1cccc(N)c1,5.816
CCc1ccccc1CC,2.594
Cc1cccc(C)c1C,2.656
CCc1ccc(C)cc1,2.265
CCc1cccc(CC)c1,2.369
CCc1ccc(CC)cc1,2.259
CC(C)Cc1ccccc1,2.318
CCC(C)c1ccccc1,2.357
Cc1cc(C)cc(C)c1,2.2795
Cc1cccc2ccccc12,2.7984
Cc1ccc(C(C)C)cc1,2.2381
C1COCCN1,7.42
Cc1ccccn1,9.94
C1CCCCCC1,2.074735
OC1CCCCC1,15.7
OCc1ccco1,16.85
CNc1ccccc1,6.1
Cc1ccccc1N,6.138
CN(C)c1ccccc1,4.9601
Cc1ccc(Cl)cc1,6.035
CCc1cccc(C)c1,2.365
COC(=O)c1ccccc1,6.596
CCc1cc(C)cc(C)c1,2.275
Cc1ccccc1[N+](=O)[O-],26.4
c1ccoc1,2.9465
C1CCNCC1,4.255
O=C1CCCC1,13.58
Oc1ccccc1,12.9
c1cc[nH]c1,8.1575
NCc1ccccc1,5.19
Cc1ccccc1Cl,4.721
N#Cc1ccccc1,25.48
Cc1cccc(O)c1,12.12
Nc1cccc(Cl)c1,13.3
Brc1cccc(Br)c1,4.74
CC(=O)c1ccccc1,17.42
CC1OC(C)OC(C)O1,14.05
c1ccc2c(c1)CCCC2,2.771
FC(F)(F)c1ccccc1,9.22
Clc1cccc2ccccc12,5.04
CCOC(=O)c1ccccc1,6.155
CCOC(=O)c1ccccc1C(=O)OCC,7.86
ClCC1CO1,22.6
Cc1cccnc1,11.1
CN1CCCC1=O,32.55
ClCc1ccccc1,6.852
OCCc1ccccc1,12.31
Cc1cccc(C)n1,7.33
C1CCC2CCCCC2C1,2.193167
c1ccc2ncccc2c1,9.08
Cc1cc(C)nc(C)c1,7.807
CC1=CCC2CC1C2(C)C,2.2741
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.22
Sc1ccccc1,4.321
CCCCCCCc1ccccc1,2.26
CCCCCCCCc1ccccc1,2.26
O=C1CCCO1,39.0
NNc1ccccc1,7.15
O=C=Nc1ccccc1,8.94
CCCCCCc1ccccc1,2.3
ClC(Cl)c1ccccc1,6.9
COC(=O)c1ccccc1O,8.4
C=C1CCC2CC1C2(C)C,2.497
CC1=CCC(C(C)C)=CC1,2.2738
CN1CCCC1,32.2
OCC1CCCO1,13.48
CCOCc1ccccc1,3.9
Cc1ccc(O)cc1,12.85
O=Cc1ccccc1O,17.675
CCOc1ccc(N)cc1,7.43
C=C(C)C1CC=C(C)CC1,2.381
CC1=CC=C(C(C)C)CC1,2.4526
c1ccc(Cc2ccccc2)cc1,2.515
