SMILES,TARGET
S=C=S,1.569
CCOCC,3.177
CCCC#N,3.088
COC(C)=O,2.996
c1ccccc1,3.004
CCOC(C)=O,3.468
Clc1ccccc1Cl,4.186
Clc1cccc(Cl)c1,4.389
CCC,2.431
CCO,2.259
CCCO,2.825
CC=O,2.083
CCCCN,3.289
CCCCC,3.337
ClCCCl,2.827
C1CCCC1,2.85
CC(Cl)Cl,3.095
CCC(C)=O,3.135
CCC(=O)CC,3.583
Clc1ccccc1,3.603
ClCC(Cl)Cl,3.717
CC(Cl)(Cl)Cl,3.373
Cc1ccc(C)cc1,3.831
CCCl,2.267
CCC#N,2.652
CCNCC,3.172
CCCCO,3.251
CCC=O,2.643
CCCCCO,3.679
CC(C)O,2.807
CCCCCC,3.769
CCCC=O,3.185
CC(=O)O,2.61
C1COCCO1,3.017
Brc1ccccc1,3.466
ClC=C(Cl)Cl,3.742
CSC,2.374
CNC,2.271
COCOC,2.891
C=CC#N,2.464
C=CCCC,3.231
CCCCCCN,4.073
CCCCCCC,4.173
CCCOC=O,3.364
C=CCCCC,3.66
CCCOCCC,3.914
CCCCCCl,3.995
CC(C)CCO,3.684
BrC(Br)Br,3.73
CCCCOCCCC,4.797
CCCC(=O)O,3.61
CCCCCCCCO,4.787
CC(Cl)CCl,3.496
C=CC(=C)C,3.213
COC(C)(C)C,3.179
CCOC(=O)CC,3.934
CCC(C)(C)O,3.359
CCCCOC(C)=O,4.261
CC(=O)N(C)C,3.368
O=Cc1ccccc1,3.751
CC(C)C(=O)O,3.444
CCCc1ccccc1,4.344
C=Cc1ccccc1,3.81
CC(=O)OC(C)C,3.679
CC(=O)OCC(C)C,4.276
ClC(Cl)=C(Cl)Cl,4.059
Clc1ccc(Cl)c(Cl)c1,4.832
O=CO,1.847
NCCN,2.761
C=CCl,2.049
CCCCl,2.774
C=CCC,2.762
CC(C)N,2.802
C=CC=C,2.602
CCOC=O,2.963
CCC(C)O,3.203
CC(C)CN,3.23
CCC(C)C,3.324
CCCNCCC,3.976
CCCC(C)C,3.784
C=C(C)CC,3.287
CCCCCCCC,4.548
CN(C)C=O,3.027
CCCCCCCCC,4.985
CC(C)(C)C,3.161
CCCCC(C)C,4.167
Nc1ccccc1,3.436
CCC(=O)OC,3.49
CC1CCCCC1,3.643
CCCCCC(C)C,4.57
CCc1ccccc1,3.897
CC(C)C(C)C,3.636
CCCC(C)(C)CC,3.717
CCCCc1ccccc1,4.849
CCOCCOC(C)=O,4.664
CCCCCCOC(C)=O,5.16
ClC(Cl)(Cl)Cl,3.482
CC(C)CC(C)(C)C,4.091
CCC(C)(C)C(C)C,3.96
CCC(C)C(C)(C)C,3.913
Cc1cc(C)cc(C)c1,4.375
Cc1ccc(C)c(C)c1,4.199
CCC[N+](=O)[O-],3.359
CC(C)(C)c1ccccc1,4.318
Cc1cccc([N+](=O)[O-])c1,4.468
CI,1.035
CCS,2.363
C#N,0.654
COCCO,2.985
CCCCCN,3.641
CC1CO1,2.66
C=CC=O,2.443
CCCCBr,3.132
CCCOCC,3.47
CCC(C)N,3.201
CCCCC=O,3.516
C1CCNC1,2.7
ClCCCCl,3.501
CCC(O)CC,3.503
CCCCCCCO,4.38
CCC(C)Cl,3.324
CC1CCCC1,3.299
CCCC(C)O,3.619
C1=CCCC1,2.728
Cc1ccncc1,3.409
CCCCCCCCN,4.79
CCCCNCCCC,4.723
C=CCCCCCC,4.457
CCCCCCCBr,4.485
Fc1ccccc1,3.345
CCCC(C)CC,4.078
CCCCCCCCCC,5.184
O=Cc1ccco1,3.35
CCCCC(C)CC,4.49
CCCOC(C)=O,3.969
CCC(C)(C)CC,3.768
CCCCCC(C)=O,4.498
ClCC(Cl)CCl,4.263
CCc1ccccc1C,4.084
CC(=O)C(C)C,3.465
Cc1cccc(N)c1,3.876
CCc1ccccc1CC,4.398
CCCN(CCC)CCC,5.27
CCc1ccc(C)cc1,4.189
CC(=O)CC(C)=O,4.017
CCc1cccc(CC)c1,4.742
CCc1ccc(CC)cc1,4.58
CCC(C)c1ccccc1,4.564
Cc1cccc2ccccc12,4.435
CCC(C(C)C)C(C)C,4.371
Cc1ccc(C(C)C)cc1,4.557
CC(C)(C)CC(C)(C)C,4.86
CC(C)CC(=O)CC(C)C,4.614
ICI,2.438
CCSCC,3.212
OCCCl,2.779
CC(O)CO,3.154
CS(C)=O,2.84
CCC(C)S,3.362
CC(C)Br,2.615
CC(C)C=O,3.176
CC(C)C#N,3.211
CCCCOC=O,3.947
C1COCCN1,3.042
CCC(CC)CC,3.943
C1CCCCCC1,3.555
C=CC(=O)O,2.978
NC1CCCCC1,3.539
C=C(C)C=O,3.121
OCc1ccco1,3.422
CCC1CCCCC1,3.932
C1=CCCC=C1,2.835
Cc1ccccc1N,3.774
CCCC(=O)OC,3.972
C=COC(C)=O,2.969
CCCCCCCCCO,5.108
CCCCC(C)CCC,4.772
CCCOC(=O)CC,4.311
CCOCCOCCOCC,5.511
CCC(C)C(C)C,3.917
CCC(C)(CC)CC,3.928
CCC(C)CC(C)C,4.287
CC(=O)CC(C)C,3.828
CCCCCCC(C)=O,4.892
CCCCCCCCCCCCC,6.198
CN(C)c1ccccc1,4.076
Cc1ccc(Cl)cc1,3.972
CC(=O)C=C(C)C,3.913
CCc1cccc(C)c1,4.265
CC(=O)OCCC(C)C,4.656
Cc1ccccc1C(C)C,4.439
CCC(CC)C(C)(C)C,4.398
CC(C)CCC(C)(C)C,4.658
CC(=O)OC(C)(C)C,3.845
CCc1cc(C)cc(C)c1,4.721
CC(C)[N+](=O)[O-],3.273
CCC(C)(C)C(C)(C)C,4.1
CC(C)C(C)C(C)(C)C,4.16
Cc1ccccc1[N+](=O)[O-],4.309
CCI,1.799
CNCCO,3.035
C#CCO,2.543
C=CCN,2.704
CC(C)CS,3.455
C#CCCCC,3.691
C=CCC=C,3.049
CCCCC#N,3.631
COC(C)C,3.125
C=C(C)C,2.875
c1ccoc1,2.559
CCCCCC=O,3.924
O=C1CCCC1,3.165
CCC1CCCC1,3.734
Oc1ccccc1,3.415
CCCCC(C)O,3.787
COCCOCCOC,4.413
Ic1ccccc1,3.359
CCC(CC)CO,3.906
CC(C)(C)S,3.185
C=CCC(C)C,3.679
C=C(C)CCC,3.704
CCN(CC)CC,3.73
C=CC(=O)OC,3.28
CCCC(C)CCC,4.52
CCOC(C)OCC,4.329
C=C(Cl)CCl,3.47
C=CCCCCCCC,4.873
CCCC1CCCC1,4.135
CC(C)C(C)O,3.48
CC(C)(C)Cl,3.152
CC(O)C(C)O,3.371
CC(C)CC(C)C,3.931
N#Cc1ccccc1,3.8
CCCCCCCCCCC,5.498
CCCCCC(C)CC,5.02
OCCc1ccccc1,4.279
CCCCC(CC)CO,4.809
CCCCOC(=O)CC,4.822
CC1CCC(C)CC1,3.906
Cc1cccc(O)c1,3.87
CCCCCCCCCCCC,5.914
C=CC(=O)OCCCC,4.765
Nc1cccc(Cl)c1,4.092
C=Cc1ccc(C)cc1,4.109
Brc1cccc(Br)c1,4.691
C=Cc1cccc(C)c1,4.265
CC(=O)c1ccccc1,4.09
C1CCC2CCCCC2C1,4.314
C=C(C)CC(C)(C)C,3.994
CC1OC(C)OC(C)O1,4.166
CCCCCCCCCCCCCCC,6.729
c1ccc2c(c1)CCCC2,4.162
Clc1cccc2ccccc12,4.627
CCOC(=O)c1ccccc1,4.765
Cc1cccc(C(C)C)c1,4.636
CC,1.826
COC,2.154
CCCI,2.311
CSSC,2.942
CCCCS,3.4
C=COCC,2.94
OCCCCO,3.582
OCCOCCO,3.739
NCCNCCN,3.865
C=CCC#N,2.979
