SMILES,TARGET
CO,1.552
CCl,1.265
CCOCC,3.177
CCCC#N,3.088
c1ccccc1,3.004
CCOC(C)=O,3.468
Cc1ccccc1,3.472
Clc1cccc(Cl)c1,4.389
CCC,2.431
CCO,2.259
CCCO,2.825
CC=O,2.083
CCCCN,3.289
ClCCCl,2.827
CC(C)=O,2.746
C1CCCC1,2.85
CC(Cl)Cl,3.095
CCC(C)=O,3.135
CCC(=O)CC,3.583
C=C(Cl)Cl,3.011
Cc1ccccc1C,3.836
Clc1ccccc1,3.603
ClCC(Cl)Cl,3.717
CC(Cl)(Cl)Cl,3.373
Cc1ccc(C)cc1,3.831
CN,1.722
CBr,1.173
CCCl,2.267
CCC#N,2.652
CCCCO,3.251
CCC=O,2.643
COC=O,2.387
CCCCCO,3.679
CC(C)O,2.807
CCCCCl,3.338
CCCCCC,3.769
CCCC=O,3.185
CC(=O)O,2.61
C1COCCO1,3.017
CCCC(C)=O,3.618
Brc1ccccc1,3.466
ClC=C(Cl)Cl,3.742
Cc1cccc(C)c1,3.937
CC(C)c1ccccc1,4.322
CSC,2.374
CNC,2.271
COCOC,2.891
CN(C)C,2.766
C=CC#N,2.464
C=CCCC,3.231
CCCCCCN,4.073
CCCCCCC,4.173
CCCOC=O,3.364
C=CCCCC,3.66
CCCOCCC,3.914
CCCCCCl,3.995
CC(C)CO,3.332
c1ccncc1,2.938
CCC(C)CC,3.695
CC(C)CCO,3.684
CCC(=O)O,3.107
C1CCCCC1,3.242
BrC(Br)Br,3.73
CCCCOCCCC,4.797
ClC(Cl)Cl,3.249
C1=CCCCC1,3.157
CCCCCCCCO,4.787
CC(Cl)CCl,3.496
C=CC(=C)C,3.213
COC(C)(C)C,3.179
CCOC(=O)CC,3.934
CCC(C)(C)O,3.359
CCCCOC(C)=O,4.261
CC(=O)N(C)C,3.368
CC(C)C(=O)O,3.444
CCCc1ccccc1,4.344
C=Cc1ccccc1,3.81
CC(=O)OC(C)C,3.679
CC(=O)OCC(C)C,4.276
CC[N+](=O)[O-],2.795
ClC(Cl)=C(Cl)Cl,4.059
O=[N+]([O-])c1ccccc1,3.944
O=CO,1.847
NCCN,2.761
C=CC,2.254
CCBr,1.987
CCCS,2.883
CC#N,1.841
C=CCl,2.049
C1CO1,1.937
CCCCl,2.774
C=CCC,2.762
CC(C)N,2.802
CCOC=O,2.963
CCC(C)O,3.203
CC(C)CN,3.23
CCC(C)C,3.324
CCCNCCC,3.976
C1CCOC1,2.694
CCCC(C)C,3.784
C=C(C)CC,3.287
CCCCCCCC,4.548
C=CCCCCC,4.083
CN(C)C=O,3.027
CCCCCCCCC,4.985
CC(C)(C)C,3.161
Nc1ccccc1,3.436
CCC(=O)OC,3.49
CC1CCCCC1,3.643
CCC(C)(C)C,3.476
CCCCCC(C)C,4.57
CCc1ccccc1,3.897
CC(C)C(C)C,3.636
Oc1ccccc1Cl,3.837
CCCC(=O)OCC,4.298
CC(C)OC(C)C,3.906
CCCCC(C)(C)C,4.392
CCCC(C)(C)CC,3.717
CCCCc1ccccc1,4.849
CCCCCOC(C)=O,4.772
CCOCCOC(C)=O,4.664
CCCCCCOC(C)=O,5.16
ClC(Cl)(Cl)Cl,3.482
CC(C)CC(C)(C)C,4.091
CCC(C)(C)C(C)C,3.96
CCC(C)C(C)(C)C,3.913
Cc1cc(C)cc(C)c1,4.375
CCC[N+](=O)[O-],3.359
Cc1cccc([N+](=O)[O-])c1,4.468
CI,1.035
CCS,2.363
C#N,0.654
CCN,2.336
OCCO,2.564
CCCBr,2.629
C1CN1,1.99
COCCO,2.985
C=CCO,2.577
CCCCCN,3.641
CC1CO1,2.66
C=CC=O,2.443
CCCOCC,3.47
CCC(C)N,3.201
CCCCC=O,3.516
C1CCNC1,2.7
ClCCCCl,3.501
CCCCCCCO,4.38
CCC(C)Cl,3.324
CCCC(C)O,3.619
C1=CCCC1,2.728
CCCCOCCO,4.192
Cc1ccncc1,3.409
CCCCCCC=O,4.314
CCCCNCCCC,4.723
C=CCCCCCC,4.457
CCCCCCCBr,4.485
Fc1ccccc1,3.345
CCCC(C)CC,4.078
CNc1ccccc1,3.782
CCCCCCCCCC,5.184
O=C1CCCCC1,3.511
CCCCC(C)CC,4.49
OCc1ccccc1,3.813
CCCOC(C)=O,3.969
CCC(C)(C)CC,3.768
CCCCCC(C)=O,4.498
ClCC(Cl)CCl,4.263
CCCC(C)(C)C,3.922
CCc1ccccc1C,4.084
Cc1cccc(N)c1,3.876
CCc1ccccc1CC,4.398
CCCN(CCC)CCC,5.27
Cc1cccc(C)c1C,4.127
CC(=O)OC(C)=O,3.579
CC(=O)CC(C)=O,4.017
CC(C)C(C)(C)C,3.96
CCc1cccc(CC)c1,4.742
CCc1ccc(CC)cc1,4.58
CC(C)Cc1ccccc1,4.555
CCC(C)c1ccccc1,4.564
CCC(C(C)C)C(C)C,4.371
Cc1ccc(C(C)C)cc1,4.557
CC(C)CC(=O)CC(C)C,4.614
ICI,2.438
CCSCC,3.212
OCCCl,2.779
CC(C)S,2.993
CC(C)C,2.948
COCCOC,3.328
CCOCCO,3.392
CC(O)CO,3.154
CS(C)=O,2.84
CCC(C)S,3.362
CC(C)Br,2.615
CC(C)C=O,3.176
CC=C(C)C,3.281
CC(C)C#N,3.211
CCCCOC=O,3.947
C1COCCN1,3.042
Cc1ccccn1,3.365
C1CCCCCC1,3.555
OC1CCCCC1,3.601
C=CC(=O)O,2.978
NC1CCCCC1,3.539
C=C(C)C=O,3.121
CC(C)COC=O,4.294
CCC1CCCCC1,3.932
C1=CCCC=C1,2.835
