SMILES,TARGET
C1COCCO1,0.00902
C=Cc1ccccc1,0.00997
C1CO1,0.01308
C1CCCCCC1,0.00996
C1CC1,0.01667
C1CCC1,0.01443
Cc1ccsc1,0.00775
Cc1cccs1,0.00782
C1=CC=CCC=C1,0.00892
Fc1cccc(F)c1,0.00764
Cc1ccc(C)c(C)c1C,0.00775
CCc1cc(CC)cc(CC)c1,0.007
FC1(F)C(F)(F)C(F)(F)C1(F)F,0.00997
CC1=CCCC1,0.00866
CC1C=CCC1,0.00897
CC1CC=CC1,0.0089
Fc1ccccc1F,0.00801
C1CCCCCCC1,0.00757
C#Cc1ccccc1,0.00766
CCc1ccc2ccccc2c1,0.0063
Cc1ccc2c(C)cccc2c1,0.00622
Cc1cc(C)c2ccccc2c1,0.00622
C1CSC1,0.00856
C1CCSCC1,0.00778
Fc1ccc(F)cc1,0.00787
CCCCCCCC1CCCCC1,0.00707
Cc1ccc(C)c2ccccc12,0.00619
CCc1ccc(CC)c(CC)c1,0.00711
C1CS1,0.00989
Cc1ccc(F)cc1,0.00773
CCCCCC1CCCCC1,0.00763
CCCCCCCCCC1CCCCC1,0.00661
CCCCCCCCCCCCCC1CCCCC1,0.00595
CCCCCCCCCCCCCCc1ccccc1,0.00514
CCCCCCCCCCCCCCCc1ccccc1,0.0051
C1CC12CC2,0.01076
CCCCCCC1CCCCC1,0.00733
Cc1ccc2cccc(C)c2c1,0.00622
CCCCCCCCCCCCC1CCCCC1,0.00609
CCc1ccc(CC)c(CC)c1CC,0.00705
C1=CCC1,0.01158
CC=Cc1ccccc1,0.00749
CCCCCCCCCCC1CCCC1,0.00645
CCCCc1ccc2ccccc2c1,0.00601
CCCCCCCCCCCC1CCCCC1,0.00625
CCc1cc(CC)c(CC)cc1CC,0.00702
CCCCCCCCCCCCCCC1CCCCC1,0.00583
CCc1cc(CC)c(CC)c(CC)c1,0.00696
c1ccc2cccc-2cc1,0.00586
CC1CC(C)CC(C)C1,0.00841
CCc1cccc(CC)c1CC,0.00713
CCCc1cccc2ccccc12,0.00613
CCCc1ccc2ccccc2c1,0.00613
CCCCCc1cccc2ccccc12,0.00586
CCCCCc1ccc2ccccc2c1,0.00585
CCCCCCCCCCCCCCC1CCCC1,0.00572
CCCCCCCCCCCCCCCC1CCCC1,0.00556
Cc1c(C)c(C)c(C)c(C)c1C,0.0076
C1CCCSCC1,0.00661
Cc1cc2ccccc2cc1C,0.00622
CCCCCCCCCCCCCCCCc1ccccc1,0.00494
CCc1cc(CC)c(CC)c(CC)c1CC,0.00677
CCCCCCCCCCCCCCCC1CCCCC1,0.00572
CCCCCCCCCCCCCCCCC1CCCCC1,0.00564
CCc1c(CC)c(CC)c(CC)c(CC)c1CC,0.00663
