SMILES,TARGET
CCl,2.6612
S=C=S,3.7647
CCOCC,1.6572
COC(C)=O,0.5891
c1ccccc1,2.4889
CCOC(C)=O,0.8848
Cc1ccccc1,2.5477
Clc1ccccc1Cl,2.1975
Clc1cccc(Cl)c1,2.2722
CCC,4.5798
ClCCl,2.1351
ClCCCl,1.8157
C1CCCC1,4.0183
CCCCCCO,0.069
CCC(C)=O,0.217
C=C(Cl)Cl,3.1017
Cc1ccccc1C,2.3669
Clc1ccccc1,2.4008
ClCC(Cl)Cl,1.7105
CBr,2.5758
CCCl,2.5843
CCCCN,0.3948
CCCCC,4.847
CCCCCl,2.9673
CCCCCC,4.8584
CCCC(C)=O,0.6076
Brc1ccccc1,2.075
Cc1cccc(C)c1,2.5758
CC(C)c1ccccc1,2.9022
CCC#N,0.281
COCOC,0.8997
COC=O,2.0258
C=CC#N,0.7359
CCCCCCN,0.7388
CCCCCCC,5.1727
C=CCCCC,4.2149
CCCOCCC,2.0855
CCCCCCl,3.4568
BrC(Br)Br,1.5126
CCCCOCCCC,1.4899
C1=CCCCC1,3.3973
CCCCCCCCO,0.1432
CC(Cl)CCl,2.193
C=CC(=C)C,3.67135
CCC(C)(C)O,0.9888
CCCc1ccccc1,2.508
CC(=O)OC(C)C,1.1805
CC[N+](=O)[O-],0.3403
C=CC,4.0536
CCBr,2.6131
CC#N,0.0444
C1CO1,1.1215
CCCCl,2.8633
C=CCC,4.1332
CC(C)N,0.6277
CC(C)CN,0.0912
CCC(C)C,4.8803
CCCC(C)C,4.9839
C=C(C)CC,4.2082
CCCCCCCC,5.4345
C=CCCCCC,4.3467
CCCCCCCCC,5.5336
CC(C)(C)C,5.0677
CCCCC(C)C,5.2792
CCOC(=O)CC,1.087
CCC(C)(C)C,4.9265
CCCCC(C)=O,0.6708
COc1ccccc1,2.3089
CCc1ccccc1,2.6554
CC(C)C(C)C,4.858
O=Cc1ccccc1,0.1414
CCCC(=O)OCC,1.3659
CCCCC(C)(C)C,5.3086
CCCC(C)(C)CC,5.361
CCCCc1ccccc1,2.8608
CCCCCOC(C)=O,1.284
CC(C)CCC(C)C,5.3145
CCCCCCOC(C)=O,1.4361
CC(=O)OCC(C)C,1.3779
ClC(Cl)(Cl)Cl,3.2122
CC(C)CC(C)(C)C,5.2835
CCC(C)(C)C(C)C,5.4061
Cc1ccc(C)c(C)c1,2.5764
CCC[N+](=O)[O-],0.674
CC(C)(C)c1ccccc1,2.5937
Clc1ccc(Cl)c(Cl)c1,2.2173
O=[N+]([O-])c1ccccc1,0.0642
Cc1cccc([N+](=O)[O-])c1,0.6171
CI,2.197
CC1CO1,0.6047
C=CC=O,0.6587
CCCOCC,1.8402
CCCCC=O,1.2623
CCCCCCCO,0.0212
CCC(C)Cl,3.0256
CCCCCCC=O,1.2881
CCCCCCCCN,1.6594
CCCCNCCCC,0.895
C=CCCCCCC,4.542
CCCCCCCBr,3.3986
Fc1ccccc1,2.5427
CCC(=O)OC,1.0228
CCCC(C)CC,5.2316
CCCCCCCCCC,5.455
CCCOC(C)=O,1.2114
CCC(C)(C)CC,5.0082
CCCCCC(C)=O,0.8655
ClCC(Cl)CCl,1.3185
CCCC(C)(C)C,5.2428
CCc1ccccc1C,2.3911
Oc1ccccc1Cl,0.3166
CCc1ccccc1CC,2.6359
CCCN(CCC)CCC,1.325
Cc1cccc(C)c1C,2.6145
CCc1ccc(C)cc1,2.4426
CC(C)C(C)(C)C,5.1153
CCc1ccc(CC)cc1,2.6448
CC(C)Cc1ccccc1,2.638
ClC(Cl)C(Cl)Cl,1.2892
Cc1cc(C)cc(C)c1,2.6544
CCC(C(C)C)C(C)C,5.5872
Cc1ccc(C(C)C)cc1,2.6253
CC(C)(C)CC(C)(C)C,5.5172
CC(C)CC(=O)CC(C)C,0.8201
ICI,1.2779
CC(C)C,4.8056
CCC(C)S,2.5662
CC(C)Br,2.8293
c1ccsc1,2.2038
CCC(O)CC,0.0177
CC=C(C)C,4.195
CCCCOC=O,1.4522
CCC(CC)CC,5.158
C1CCCCCC1,3.7131
C=C(C)C=O,1.0619
CCCC(=O)OC,1.2
C=COC(C)=O,1.4414
C=CCCCCCCCC,5.0641
CCCOC(=O)CC,1.4202
CCCCCCCCCCO,0.4242
CCC(C)C(C)C,4.9823
CCCCC1CCCCC1,4.8791
CCC(C)(CC)CC,5.425
CCCCCCC(C)=O,0.7569
CC(C)C1CCCCC1,4.7649
CCCCCCCCCCCCC,5.5769
CN(C)c1ccccc1,0.753
CC(C)CCCC(C)C,5.5156
Cc1ccc(Cl)cc1,2.385
CC(=O)C=C(C)C,0.4404
CCc1cccc(C)c1,2.5071
CCCCCCCCCCCCCC,4.8816
CC(=O)OCCC(C)C,1.4241
Cc1ccccc1C(C)C,2.6616
CCC(CC)C(C)(C)C,5.5649
CC(C)CCC(C)(C)C,5.482
CC(C)C(=O)C(C)C,1.2906
c1ccc2c(c1)CCC2,2.0853
COC(=O)c1ccccc1,0.2861
CCc1cc(C)cc(C)c1,2.6343
CCC(C)(C)C(C)(C)C,5.6519
CC(C)C(C)C(C)(C)C,5.5918
CCI,2.5977
C#CCCCC,3.3452
C=CCC=C,3.8164
CCCCCC=O,1.1624
CCC1CCCC1,4.4757
CCCCC(C)O,0.1173
CCC(CC)CO,0.054
C=CCC(C)C,4.5408
C=C(C)CCC,4.1874
CCN(CC)CC,0.8102
CC(C)COC=O,1.2178
C=CC(=O)OC,1.0192
CCCC(C)CCC,5.3608
C=C(Cl)CCl,2.3629
C=CCCCCCCC,4.6479
CCCC1CCCC1,4.696
NCc1ccccc1,0.2095
CCCCCOCCCCC,2.7253
CC(C)CC(C)C,5.2127
CCCC1CCCCC1,4.7562
CCOC(=O)OCC,0.6893
CCCCCCCCCCC,5.0286
CCCCCC(C)CC,5.5747
CCCCOC(=O)CC,1.5861
FC(Cl)(Cl)Cl,3.8298
CC1CCC(C)CC1,4.59805
CCCCCCCCCCCC,5.6591
C=CC(=O)OCCCC,1.503
C=Cc1ccc(C)cc1,2.2485
Brc1cccc(Br)c1,1.6724
C=Cc1cccc(C)c1,2.2659
C=C(C)CC(C)(C)C,4.6574
CC(=O)OC(C)(C)C,1.2787
CCCCCCCCCCCCCCC,4.6982
c1ccc2c(c1)CCCC2,1.881
FC(F)(F)c1ccccc1,2.9639
Clc1cccc2ccccc12,1.0353
Cc1cccc(C(C)C)c1,2.646
Cc1cc(C)c(C)c(C)c1,2.6575
CC,4.4276
O=C=S,3.4482
C#CCC,3.005
CCCCCS,2.8852
CCCCCCS,3.0903
CCC=CCC,4.30975
C=CCCC=C,3.8129
CC=C(C)CC,4.31805
CCCCCOC=O,1.3446
CCCCCCCCS,3.2562
C=CC(C)CC,4.2894
C=C(CC)CC,4.3016
O=C(Cl)Cl,2.8893
CCCCCC(C)O,0.4995
CCCC(CC)CC,5.3718
C=CC(CC)CC,4.4505
CCCCCCCCC=O,1.5637
CCC(C)(C)OC,2.0046
C=CC(=O)OCC,1.1422
C=C(C)C(C)C,4.287
CC(C)=C(C)C,4.3318
CCCCCCC(C)C,5.547
CCCCCCC(C)CC,5.7055
CCCCC(C)CCCC,5.6904
CCC(CC)(CC)CC,5.6896
C=CCCCCCCCCCC,5.0252
CCCCCC(C)(C)C,5.5141
C=C(C)C(C)(C)C,4.4484
CCc1cc(C)ccc1C,2.6716
CCc1ccc(C)cc1C,2.6042
C1CCC2CCCCC2C1,4.1411
CCOC(=O)CC(C)C,1.5465
ClCC(Cl)(Cl)Cl,2.1278
CCCCN(CCCC)CCCC,0.9506
CC(C)=CC(C)(C)C,4.6472
CC(C)(C)OC(C)(C)C,2.262
CCCCCCCCCCCCCCCCC,3.4252
ClC(Cl)C(Cl)(Cl)Cl,2.035
CCOC,1.4909
CC=CCC,4.10125
ClC=CCl,2.5915
C=C=CCC,3.6974
CC=CCCC,4.3159
C=C(C)CCCC,4.5031
CC1CCCCC1C,4.40905
FC(F)(F)Br,4.4263
FC(F)(Cl)Cl,4.3358
CC1CCC(C)C1,4.397
C=CCCCCCCCCC,5.0749
CCC1(C)CCCC1,4.6823
C=C(C)C(=C)C,3.8337
CCCCCCCC(C)C,5.6652
C=C(C)C(C)=O,0.7458
CCC(C)OC(C)CC,2.2965
CCCCOC(=O)CCC,1.7031
FC(F)(F)C(Cl)Br,3.0673
C=CCCCCCCCCCCCC,4.5686
CCCCCCCc1ccccc1,2.5683
CC(C)CC(C)C(C)C,5.5176
CC(C)CCOC(=O)CC(C)C,2.1326
C=C,4.0613
C1CC1,3.6269
CC=CC=CC,3.8854
FC(Cl)Cl,2.4621
CCC=C(C)C,4.3086
CCCC(C)CO,0.2442
C=CCC(C)CC,4.4658
C=CC(C)(C)C,4.2778
CCCCCCCCCCCO,0.2598
CC1CCCC(C)C1,4.4946
CCCC(C)CC(C)C,5.5016
CCOCCC(=O)OCC,1.5576
O=C=Nc1ccccc1,4.4835
CCOC(=O)C(C)C,1.3579
CCCCCCc1ccccc1,3.1471
CCc1cccc(C)c1C,2.6591
CCC(C)C(C)(C)CC,5.6293
CCCC(C)C(C)(C)C,5.5574
CCCC(C)(C)C(C)C,5.6027
CCC(C)(C)CC(C)C,5.5557
CC(C)C(C)(C)C(C)C,5.6553
FC(F)(F)C(F)(F)Cl,5.1559
CCCCCCCCCCc1ccccc1,1.8399
c1ccc(Oc2ccccc2)cc1,1.4703
FCF,2.8033
ClCBr,1.948
N#CC#N,2.4707
CC#CCC,3.1406
CCCSCCC,2.6638
CC=CC(C)C,4.2882
CCC=CCCCC,4.7933
C=CC(C)CCC,4.4511
CCCC(CCC)CCC,5.659
CCCCCCOCCCCCC,2.2608
CCCC(C)(C)CCC,5.5593
CCCCCCC(C)(C)C,5.7029
CC(C)CCCCC(C)C,5.6665
CCCCOC(=O)CCCC,1.5516
CCC(C)CCCC(C)C,5.6982
C=CC(=O)OCC(C)C,1.5767
CCC(C)C(C)C(C)C,5.5999
CC(C)CC(O)CC(C)C,0.5036
CCCCCCCCCCC1CCCCC1,3.1745
C=C(C)C1CC=C(C)CC1,3.1545
c1ccc(Cc2ccccc2)cc1,1.1013
CCSC,2.0408
CCCOC,1.8982
CC=CCCCCC,4.8123
C=C(CC)CCC,4.5259
CCC(C)(C)Cl,2.2521
CCCC(CC)CCC,5.5702
C=C(CC)CCCC,4.7667
CCCCCCCCOC=O,2.0323
CCCCC(CC)CCC,5.713
CCCC(C)(CC)CC,5.6117
CCC(C)CC(C)CC,5.5317
CCC(C)C(CC)CC,5.5856
CCC(CC)CCC(C)C,5.7058
CCCC(C)C(C)CCC,5.7293
CCCC(C)CCC(C)C,5.6822
CCCCC(C)(CC)CC,5.7773
CCCCC(C)CC(C)C,5.6554
CCC(C)CCC(C)CC,5.6953
CCCCC(CC)C(C)C,5.7268
CCCCC(C)C(C)CC,5.7299
CCCC(C)CC(C)CC,5.702
CCCCCC(C)C(C)C,5.7241
CCC(CC)C(C)(C)CC,5.8054
CCCCCCCCOCCCCCCCC,0.8233
CCCCC(CC)COC(C)=O,1.6403
FC(F)(Cl)C(F)(F)Cl,4.8266
CC(C)(C)CCC(C)(C)C,5.5925
CC(C)C(C)CC(C)(C)C,5.6961
CCCC(C)(C)C(C)(C)C,5.814
CCCCCCCCCCCCCCCCCC,3.1871
CC(C(C)(C)C)C(C)(C)C,5.8829
CC#CC,3.0715
CCC(CC)C(C)C,5.3758
CCCC(CC)CC(C)C,5.6905
CCC(CC)C(CC)CC,5.7708
CCC(C)CC(CC)CC,5.6945
CCCC(CC)(CC)CC,5.8097
CCCC(C)(C)C(C)CC,5.783
Brc1cccc2ccccc12,1.1979
CC(C)CCCC(C)(C)C,5.6413
CCCC(C)(CC)C(C)C,5.8059
CCCCC(C)(C)C(C)C,5.7608
CCCC(C)(C)CC(C)C,5.7
CCC(CC)C(C)C(C)C,5.7631
CCC(CC(C)C)C(C)C,5.7063
