SMILES,TARGET
Cc1ccccc1,2.5477
Clc1ccccc1Cl,2.1975
Clc1cccc(Cl)c1,2.2722
C1CCCC1,4.0183
Cc1ccccc1C,2.3669
Clc1ccccc1,2.4008
Cc1ccc(C)cc1,2.5339
Brc1ccccc1,2.075
Cc1cccc(C)c1,2.5758
CC(C)c1ccccc1,2.9022
C1CCCCC1,4.0328
C1=CCCCC1,3.3973
CCCc1ccccc1,2.508
C1CO1,1.1215
CC1CCCCC1,4.3714
COc1ccccc1,2.3089
CCc1ccccc1,2.6554
O=Cc1ccccc1,0.1414
CCCCc1ccccc1,2.8608
Cc1ccc(C)c(C)c1,2.5764
CC(C)(C)c1ccccc1,2.5937
Clc1ccc(Cl)c(Cl)c1,2.2173
O=[N+]([O-])c1ccccc1,0.0642
Cc1cccc([N+](=O)[O-])c1,0.6171
CC1CO1,0.6047
CC1CCCC1,4.297
C1=CCCC1,3.5486
Oc1ccccc1Cl,0.3166
CCc1ccccc1CC,2.6359
Cc1cccc(C)c1C,2.6145
CCc1ccc(C)cc1,2.4426
CCc1cccc(CC)c1,2.6111
CCc1ccc(CC)cc1,2.6448
CCC(C)c1ccccc1,2.61
Cc1cc(C)cc(C)c1,2.6544
Cc1cccc2ccccc12,1.3993
Cc1ccc(C(C)C)cc1,2.6253
c1ccsc1,2.2038
C1CCCCCC1,3.7131
CCC1CCCCC1,4.5571
C1=CCCC=C1,2.9099
CCCCC1CCCCC1,4.8791
CC(C)C1CCCCC1,4.7649
CN(C)c1ccccc1,0.753
Cc1ccc(Cl)cc1,2.385
CCc1cccc(C)c1,2.5071
Cc1ccccc1C(C)C,2.6616
c1ccc2c(c1)CCC2,2.0853
COC(=O)c1ccccc1,0.2861
CCc1cc(C)cc(C)c1,2.6343
CCC1CCCC1,4.4757
Ic1ccccc1,1.8969
CCCC1CCCC1,4.696
NCc1ccccc1,0.2095
CCCC1CCCCC1,4.7562
CC1CCC(C)CC1,4.59805
C=Cc1ccc(C)cc1,2.2485
Brc1cccc(Br)c1,1.6724
C=Cc1cccc(C)c1,2.2659
c1ccc2c(c1)CCCC2,1.881
FC(F)(F)c1ccccc1,2.9639
Clc1cccc2ccccc12,1.0353
CCOC(=O)c1ccccc1,0.6087
Cc1cccc(C(C)C)c1,2.646
CCc1cccc2ccccc12,1.4286
Cc1cc(C)c(C)c(C)c1,2.6575
CC1(C)CCCCC1,4.4915
CCc1cc(C)ccc1C,2.6716
CCc1ccc(C)cc1C,2.6042
CC1CCCCC1C,4.40905
CC1CCC(C)C1,4.397
CCC1(C)CCCC1,4.6823
CCc1c(C)cccc1C,2.6379
CCCCCCCCc1ccccc1,2.4412
CCc1ccc(C)c(C)c1,2.6399
C1CC1,3.6269
C=CC1=CCCCC1,3.3946
CC1CCCC(C)C1,4.4946
O=C=Nc1ccccc1,4.4835
CCc1cccc(C)c1C,2.6591
CCCCCCCCCCc1ccccc1,1.8399
c1ccc(Oc2ccccc2)cc1,1.4703
CC(C)c1ccc(C(C)C)cc1,2.7208
CC(C)c1cccc(C(C)C)c1,2.7587
CC1CCCC1C,4.4283
CCCCCc1ccccc1,3.0917
CCCCCCCCCCC1CCCCC1,3.1745
C=C(C)C1CC=C(C)CC1,3.1545
c1ccc(Cc2ccccc2)cc1,1.1013
Brc1cccc2ccccc12,1.1979
CC=Cc1ccc(OC)cc1,0.7366
C1=CC=CCC=C1,2.4071
Fc1cccc(F)c1,3.6346
Cc1ccc2ccccc2c1,1.3826
FC1(F)C(F)(F)C(F)(F)C1(F)F,5.3318
Fc1ccccc1F,2.5917
CCCCC1CCCC1,4.9235
Fc1ccc(F)cc1,2.626
CCc1ccc(CC)c(CC)c1,2.8788
c1ccc2sccc2c1,1.2551
