SMILES,TARGET
CO,0.44
S=C=S,2.34
CCO,0.2
CCCO,0.48
ClCCCl,1.52
CCCCCCO,1.01
CC(Cl)Cl,1.48
C=C(Cl)Cl,1.81
ClCC(Cl)Cl,1.89
CC(Cl)(Cl)Cl,1.95
CBr,1.34
CCCCN,1.88
CCCCO,0.5
CCCCCO,0.7
C1COCCO1,1.23
ClC=C(Cl)Cl,2.0
CC(=O)O,0.0
c1ccncc1,1.6
BrC(Br)Br,2.06
ClC(Cl)Cl,1.6
CCCCCCCCO,1.56
CC(Cl)CCl,1.67
ClC(Cl)=C(Cl)Cl,2.4
C1CN1,0.78
CCCCCCCO,1.14
CCCCOCCO,1.83
Cc1cccc2ccccc12,3.36
CCCCCC(=O)O,1.46
CCCCCCCCCCO,2.59
BrCCBr,1.71
CCCCCCCCCCCCO,3.52
CCc1cccc2ccccc12,3.78
CC(O)CO,0.36
C1CCC2CCCCC2C1,3.67
c1ccc2ncccc2c1,3.1
CC1=CC(=O)CC(C)(C)C1,1.4
c1ccc(Oc2ccccc2)cc1,3.29
OCCNCCO,0.6
c1ccc(-c2ccccc2)cc1,3.27
c1ccc2ccccc2c1,2.96
Cc1ccc2ccccc2c1,3.6
CCc1ccc2ccccc2c1,3.76
c1ccc(Nc2ccccc2)cc1,2.78
c1cc2c3c(cccc3c1)CC2,3.59
c1ccc2cc3ccccc3cc2c1,4.31
O=C(c1ccccc1)c1ccccc1,2.63
c1ccc2c(c1)ccc1ccccc12,4.35
c1ccc2c(c1)Cc1ccccc1-2,3.7
CC(N)=O,0.7
c1ccc2c(c1)oc1ccccc12,3.91
c1cc2ccc3cccc4ccc(c1)c2c34,4.9
c1ccc2c(c1)-c1cccc3cccc-2c13,4.8
C=CC(N)=O,1.7
O=C1OC(=O)c2ccccc21,1.56
c1ccc2c(c1)[nH]c1ccccc12,3.4
O=C1c2ccccc2C(=O)c2ccccc21,3.57
c1ccc2sccc2c1,3.48
c1ccc(NNc2ccccc2)cc1,2.98
CCCCC(=O)OCC,1.97
CCCCCCC(=O)OCC,2.61
CCCCCC(=O)OCC,2.06
O=[N+]([O-])C(Cl)(Cl)Cl,1.79
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,4.19
ClCCOCCCl,1.88
CCCCCCCC(=O)OCC,3.02
O=C(O)C(Cl)(Cl)Cl,0.3
N#Cc1cccnc1,1.56
c1ccc2c(c1)sc1ccccc12,4.05
Nc1cccc2ccccc12,3.51
Clc1ccccc1-c1ccccc1Cl,3.92
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,4.34
N=C(N)S,0.85
ClC(Cl)Br,1.78
ClC(Br)Br,1.92
CCN(CC)C(C)=O,1.84
CN1CCC[C@H]1c1cccnc1,2.01
CC(=O)c1ccc2ccccc2c1,2.93
c1ccc(N=Nc2ccccc2)cc1,3.3
O=C(Oc1ccccc1)c1ccccc1,3.16
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.3
c1ccc(N(c2ccccc2)c2ccccc2)cc1,2.26
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,4.21
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.82
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,4.38
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,4.08
BrC=CBr,1.65
C1OC1C1CO1,0.4
Oc1cccc2ccccc12,2.72
c1ccc2n[nH]nc2c1,1.69
Clc1ccccc1-c1ccccc1,3.47
OC(c1ccccc1)c1ccccc1,2.34
CCNc1nc(NC(C)C)nc(SC)n1,2.59
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.36
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,5.22
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.22
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,5.31
CN=C=S,0.97
CC(N)=S,0.78
ClCC(Br)CBr,1.85
Nc1ncn[nH]1,1.25
CC(Cl)(Cl)C(=O)O,0.4
CCCCN(CC)C(=O)SCCC,2.8
Cc1cccc2sc3nncn3c12,3.09
c1ccc(-c2ccccn2)nc1,1.6
c1ccc2nc3ccccc3nc2c1,3.37
Brc1ccc(Oc2ccccc2)cc1,4.23
CNC(=O)Oc1cccc2ccccc12,2.4
c1ccc2c(c1)ccc1ncccc12,4.64
Nc1ccc(-c2ccc(N)cc2)cc1,3.46
Nc1ccc(Cc2ccc(N)cc2)cc1,1.99
Clc1cccc(C(Cl)(Cl)Cl)n1,2.62
Clc1ccc(-c2ccccc2Cl)cc1,4.34
c1ccc2cc3cc4ccccc4cc3cc2c1,5.81
CN(C)c1ccc(N=Nc2ccccc2)cc1,3.87
CNC(=O)N(C)c1nnc(C(C)(C)C)s1,1.83
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,3.73
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,2.76
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,2.08
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,2.75
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.7
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,6.5
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,4.61
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,5.66
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,5.58
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,5.93
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,4.9
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,6.08
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,4.02
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,4.78
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,6.36
