SMILES,TARGET
CO,0.566
CCl,0.153
S=C=S,0.108
CCCC#N,0.371
COC(C)=O,0.325
c1ccccc1,0.211
CCOC(C)=O,0.366
Cc1ccccc1,0.264
Clc1ccccc1Cl,0.219
Clc1cccc(Cl)c1,0.279
CCC,0.152
CCO,0.637
CCCO,0.628
CC=O,0.317
CC(C)=O,0.306
C1CCCC1,0.194
CCCCCCO,0.58
CC(Cl)Cl,0.244
CCC(C)=O,0.324
CCC(=O)CC,0.35
C=C(Cl)Cl,0.272
Cc1ccccc1C,0.313
Clc1ccccc1,0.251
ClCC(Cl)Cl,0.26
CC(Cl)(Cl)Cl,0.216
Cc1ccc(C)cc1,0.326
CN,0.281
CCCl,0.204
CCCC,0.199
CCCCN,0.33
CCCCO,0.595
CCCCC,0.249
CCCCCO,0.594
CC(C)O,0.669
CCCCCl,0.274
CCCCCC,0.305
CCCC=O,0.345
C1COCCO1,0.28
CCCC(C)=O,0.346
Brc1ccccc1,0.251
ClC=C(Cl)Cl,0.217
Cc1cccc(C)c1,0.326
C[N+](=O)[O-],0.348
CC(C)c1ccccc1,0.338
CSC,0.189
CNC,0.294
CCNCC,0.304
COCOC,0.29
COC=O,0.254
CN(C)C,0.209
C=CC#N,0.35
C=CCCC,0.233
CCCCCCC,0.351
CCCOC=O,0.318
C=CCCCC,0.28
CCCOCCC,0.37
CCCCCCl,0.334
CC(C)CO,0.589
CCC(C)CC,0.274
CC(C)CCO,0.556
CCC(=O)O,0.536
BrC(Br)Br,0.156
CCCCOCCCC,0.467
CCCC(=O)O,0.604
ClC(Cl)Cl,0.213
CC(Cl)CCl,0.251
COC(C)(C)C,0.267
CCC(C)(C)O,0.483
CCCCOC(C)=O,0.41
C=Cc1ccccc1,0.236
CC(=O)OC(C)C,0.355
CC[N+](=O)[O-],0.265
ClC(Cl)=C(Cl)Cl,0.214
NCCN,0.479
C=CC,0.142
CCBr,0.183
CCCS,0.235
CC#N,0.338
C1CO1,0.198
CCCCl,0.228
C=CCC,0.187
CC(C)N,0.279
C=CC=C,0.193
CCOC=O,0.285
CCC(C)O,0.571
CC(C)CN,0.363
CCC(C)C,0.228
CCCC(C)C,0.278
C=C(C)CC,0.229
CCCCCCCC,0.396
C=CCCCCC,0.331
CN(C)C=O,0.376
CCCCCCCCC,0.438
CC(C)(C)C,0.196
CCCCC(C)C,0.328
Nc1ccccc1,0.404
CCOC(=O)CC,0.394
CCC(C)(C)C,0.234
CCCCCC(C)C,0.377
CCCCC(C)=O,0.397
COc1ccccc1,0.369
CCc1ccccc1,0.304
CC(C)C(C)C,0.248
O=Cc1ccccc1,0.305
CC(C)C(=O)O,0.618
CCCC(=O)OCC,0.419
CC(C)OC(C)C,0.338
CCCCC(C)(C)C,0.338
CCCCc1ccccc1,0.392
CCCCCOC(C)=O,0.49
CCOCCOC(C)=O,0.534
CC(C)CCC(C)C,0.358
CCCCCCOC(C)=O,0.54
CC(=O)OCC(C)C,0.454
ClC(Cl)(Cl)Cl,0.193
CC(C)CC(C)(C)C,0.303
CCC(C)(C)C(C)C,0.29
CC(C)C(C)C(C)C,0.316
CCC(C)C(C)(C)C,0.297
Cc1ccc(C)c(C)c1,0.379
CCC[N+](=O)[O-],0.412
CC(C)(C)c1ccccc1,0.266
Clc1ccc(Cl)c(Cl)c1,0.358
O=[N+]([O-])c1ccccc1,0.448
Cc1cccc([N+](=O)[O-])c1,0.49
CI,0.193
CCS,0.192
CCN,0.285
O=CO,0.473
CCCBr,0.285
C1CN1,0.089
COCCO,0.731
C=CCO,0.572
CC1CO1,0.271
C=CC=O,0.32
CCCCBr,0.323
CCC(C)N,0.282
CCCCC=O,0.393
CCCNCCC,0.465
C1CCOC1,0.226
ClCCCCl,0.292
CCCCCCCO,0.587
CCC(C)Cl,0.291
CC1CCCC1,0.23
CCCC(C)O,0.675
C1=CCCC1,0.195
CCCCOCCO,0.817
Cc1ccncc1,0.302
CCCCCCCCN,0.568
CCCCNCCCC,0.56
C=CCCCCCC,0.375
CCCCCCCBr,0.444
Fc1ccccc1,0.247
CCC(=O)OC,0.353
CCCC(C)CC,0.322
CCCCCCCCCC,0.464
O=C1CCCCC1,0.45
CCCOC(C)=O,0.394
CCC(C)(C)CC,0.267
CCCCCC(C)=O,0.413
ClCC(Cl)CCl,0.306
CCCC(C)(C)C,0.288
CC(=O)N(C)C,0.364
CCc1ccccc1C,0.293
Oc1ccccc1Cl,0.437
CC(=O)C(C)C,0.35
CCc1ccccc1CC,0.34
CCCN(CCC)CCC,0.699
Cc1cccc(C)c1C,0.366
CCc1ccc(C)cc1,0.324
CC(=O)OC(C)=O,0.84
CC(C)C(C)(C)C,0.25
CCc1cccc(CC)c1,0.35
CCc1ccc(CC)cc1,0.404
CC(C)Cc1ccccc1,0.381
ClC(Cl)C(Cl)Cl,0.259
CCC(C)c1ccccc1,0.276
Cc1cc(C)cc(C)c1,0.398
Cc1cccc2ccccc12,0.348
Cc1ccc(C(C)C)cc1,0.372
CC(C)(C)CC(C)(C)C,0.316
CC(C)CC(=O)CC(C)C,0.512
ICI,0.141
OCCO,1.137
CCSCC,0.294
OCCCl,0.637
CCCCCN,0.407
CC(C)S,0.212
CC(C)C,0.177
CCOCCO,0.759
CS(C)=O,0.209
CCC(C)S,0.248
CC(C)Br,0.243
c1ccsc1,0.193
CC(C)C=O,0.37
CCC(O)CC,0.675
CC=C(C)C,0.277
CC(C)C#N,0.338
CCCCOC=O,0.384
C1COCCN1,0.358
C=CC(=O)O,0.518
C=C(C)C=O,0.246
OCc1ccco1,0.736
CNc1ccccc1,0.48
C1=CCCC=C1,0.231
CCCCC(=O)O,0.627
CCCCCCCC=O,0.547
Cc1ccccc1N,0.442
CCCC(=O)OC,0.381
OCc1ccccc1,0.691
CCCCCCCCCO,0.594
C=CCCCCCCCC,0.465
CCCCC(C)CCC,0.413
CCCCCC(=O)O,0.67
CCCCCCCCCCO,0.613
CCC(C)C(C)C,0.292
CCC(C)(CC)CC,0.305
CCC(C)C(C)CC,0.338
CCCCCCC(C)=O,0.528
CCCCCCCCCCCCC,0.619
