SMILES,TARGET
S=C=S,0.3575
CCOCC,0.224
CCCC#N,0.548
CCOC(C)=O,0.423
Cc1ccccc1,0.56
Clc1ccccc1Cl,1.322
Clc1cccc(Cl)c1,1.044
CCC,0.099
CCO,1.074
CC=O,0.225
ClCCCl,0.776
C1CCCC1,0.4112
CCCCCCO,4.593
CCC(C)=O,0.396
C=C(Cl)Cl,0.41
Cc1ccccc1C,0.758
Clc1ccccc1,0.753
ClCC(Cl)Cl,1.063
CC(Cl)(Cl)Cl,0.8015
Cc1ccc(C)cc1,0.609
CCCl,0.285
CCCC,0.168
CCCCO,2.581
CCCCCO,3.518
CC(C)O,2.04
CCCCCl,0.4214
CCCCCC,0.296
CCCC=O,0.426
CCCC(C)=O,0.467
Brc1ccccc1,1.074
Cc1cccc(C)c1,0.581
C[N+](=O)[O-],0.621
CNC,0.19
C=CC#N,0.33795
C=CCCC,0.198
CCCCCCC,0.39
CCCOC=O,0.4835
C=CCCCC,0.253
CCCOCCC,0.404
CC(=O)O,1.07
CCCCCCl,0.55485
CC(C)CO,3.29935
CCC(C)CC,0.287
CC(C)CCO,3.69
CCC(=O)O,1.0305
BrC(Br)Br,1.8675
CCCCOCCCC,0.637
CCCC(=O)O,1.457
ClC(Cl)Cl,0.539
CCCCCCCCO,7.487
CC(Cl)CCl,0.75
C=CC(=C)C,0.219
CCC(C)(C)O,3.60255
CCCc1ccccc1,0.783
C=Cc1ccccc1,0.695
CC[N+](=O)[O-],0.6845
ClC(Cl)=C(Cl)Cl,0.844
C=CC,0.1
CCCS,0.375
CC#N,0.369
C1CO1,0.26
CCCCl,0.3355
C=CCC,0.15
CC(C)N,0.325
C=CC=C,0.141
CCOC=O,0.379
CCC(C)O,3.1
CC(C)CN,0.555
CCC(C)C,0.214
C=CCCCCC,0.336
CN(C)C=O,0.8123
CCCCCCCCC,0.672
CC(C)(C)C,0.214
Nc1ccccc1,3.85
CCCCCC(C)C,0.453
CCCCC(C)=O,0.5835
COc1ccccc1,1.001
CCc1ccccc1,0.631
CC(C)C(C)C,0.322
O=Cc1ccccc1,1.41415
CC(C)C(=O)O,1.205
CCCC(=O)OCC,0.623
CCCC(C)(C)CC,0.475
CCCCCOC(C)=O,0.805
CC(C)CCC(C)C,0.459
CCCCCCOC(C)=O,1.0535
ClC(Cl)(Cl)Cl,0.905
CC(C)CC(C)(C)C,0.4757
CC(C)C(C)C(C)C,0.567
CCC(C)C(C)(C)C,0.564
Cc1ccc(C)c(C)c1,0.835
CCC[N+](=O)[O-],0.7955
CC(C)(C)c1ccccc1,0.971
O=[N+]([O-])c1ccccc1,1.863
CI,0.4795
CCN,0.251
O=CO,1.607
CCCBr,0.495
C1CN1,0.415
COCCO,1.4885
CC1CO1,0.302
C=CC=O,0.334
CCCCBr,0.606
CCCOCC,0.306
CCC(C)N,0.473
CCCCC=O,0.617
C1CCNC1,0.7205
CCCNCCC,0.505
C1CCOC1,0.465
ClCCCCl,0.9
CCCCCCCO,5.81
CC1CCCC1,0.476
CCCC(C)O,3.47
C1=CCCC1,0.233
CCCCOCCO,2.902
Cc1ccncc1,0.86715
CCCCCCC=O,0.999
CCCCCCCCN,1.48
CCCCNCCCC,0.888
C=CCCCCCC,0.4585
CCCCCCCBr,1.151
Fc1ccccc1,0.55
CCCC(C)CC,0.3545
CCCCCCCCCC,0.852
O=Cc1ccco1,1.587
O=C1CCCCC1,2.054
CCCCC(C)CC,0.454
CCC(C)(C)CC,0.445
CCCCCC(C)=O,0.7275
CCc1ccccc1C,0.842
CC(=O)C(C)C,0.435
Cc1cccc(N)c1,3.293
CCCN(CCC)CCC,0.607
Cc1cccc(C)c1C,0.863
CC(C)C(C)(C)C,0.551
CCc1cccc(CC)c1,0.965
CC(C)Cc1ccccc1,0.953
ClC(Cl)C(Cl)Cl,1.6195
CCC(C)c1ccccc1,0.967
Cc1cccc2ccccc12,3.0165
Cc1ccc(C(C)C)cc1,0.758
CC(C)(C)CC(C)(C)C,0.692
