SMILES,TARGET
C#Cc1ccccc1,0.886
c1ccc(Cc2ccccc2)cc1,3.00699
C/C=C/c1ccc(O)c(OC)c1,2.68
C1=CC2C3C=CC(C3)C2C1,0.736
Oc1ccccc1Cl,3.08
Clc1ccccc1,0.76
Nc1ccc(Nc2ccccc2)cc1,17.6
c1ccncc1,0.88
C1=CCCC1,0.23
C1=CCCCC1,0.6275
C1=CCC=C1,0.260366
C1CC2OC2CC1C1CO1,7.77
C1=CCCC=C1,0.549398
C1=COCC1,0.399461
C1CCC(C2CCCCC2)CC1,2.95924
C1CCC1,0.231112
C1CCCC1,0.4229
C1CCCCC1,0.894
C1CCCCCC1,1.37
C1CCCNCC1,1.78221
C1CCNC1,0.710366
C1CCNCC1,1.573
C1CCOC1,0.47062699999999996
C1CCOCC1,0.7758905226666667
O=S1(=O)CCCC1,10.29
C1CCSC1,0.973
C1CC[C@H]2CCCC[C@@H]2C1,1.981666666666667
C1COCCN1,2.125
C1COCCO1,1.16225
C1COCO1,0.595927384
C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,2.71
C=C(C)C(=O)OC1CCCCC1,5.0
C=C(C)C(=O)OCC1CO1,5.481
C=C(C)C(=O)OCc1ccccc1,2.302
C=C(C)c1ccccc1,0.94
C=C1CCC2CC1C2(C)C,1.522
C=CCOC(=O)c1ccccc1C(=O)OCC=C,13.0
C=CCc1ccc2c(c1)OCO2,2.3
C=CN1CCCC1=O,2.07
C=Cc1cccc(C=C)c1,0.952616
C=Cc1ccccc1,0.6883809999999999
C=Cc1ccccn1,1.17
C=C(C)c1ccc(C)cc1,0.93595
CC(=O)N1CCOCC1,8.534
CC(=O)OC1CCCCC1,1.9833333333333336
CC(=O)OCCC1CCCCC1,2.54
CC(=O)OCc1ccccc1,2.049
CC(=O)Oc1ccccc1,2.44
CC(=O)c1ccccc1,1.681
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(=O)C(C)(C)Br)C(O)C1C(C)(C)CCC(OCc3ccccc3)C12C,0.383442
CC(C)c1ccccc1,0.739
CC(C)C1CCCCC1,0.98
CC(C)CC(C(=O)O)N1C(=O)/C(=C2/C(=O)Nc3ccccc32)SC1=S,0.900333
CC(C)CC1CCCC1,0.5151693333333333
CC(C)CC1CCCCC1,1.12
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,87.4
CC(C)Cc1ccccc1,0.8396666666666667
Cc1cc(C(C)C)cc(C(C)C)c1,1.01281
Cc1ccc(C(C)C)cc1,0.769835
Cc1cccc(C(C)C)c1,0.787372
CC(C)c1cccc(C(C)C)c1,1.70009
Cc1ccccc1C(C)C,0.837045
CC(O)COc1ccccc1,22.7
CC(O)c1ccccc1,8.703
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,4.47684
C=C1CC[C@H]2C[C@@H]1C2(C)C,0.805124
CC12CCC(CC1)C(C)(C)O2,2.309127878
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,3017.5
Cc1cccc(C)c1,0.5874999999999999
Cc1cccc(F)c1,0.571
Cc1cccc(N)c1,2.741
Cc1cccc([N+](=O)[O-])c1,2.33
CC1=CC(=O)CC(C)(C)C1,2.33
Cc1ccc(C)cc1,0.61225
CC(=O)c1ccc(C)cc1,1.581
Cc1ccc([N+](=O)[O-])cc1,2.33
Cc1ccccc1,0.553
Cc1ccccc1C,0.749
Cc1ccccc1F,0.601
Cc1ccccc1N,3.194
Cc1ccccc1[N+](=O)[O-],2.37
CC1=CCC2CC1C2(C)C,1.64
C=C(C)[C@H]1CC=C(C)C(=O)C1,3.39
CC1=CC[C@@H]2C[C@H]1C2(C)C,0.781962
CC1=CC[C@H]2C[C@@H]1C2(C)C,0.801842
CC1=C[C@H]2C[C@@H](C1)C2(C)C,1.303
CC1CC(C)(C)CC1C,0.515014
CC1CC(C)CC(C)C1,0.624
CC1CC1(C)C,0.292154
CC1CCC(C(C)C)C(=O)C1,2.31
CC1CCC(C)C(C)C1,0.827
CC1CCCC(C)(C)C1,0.561265
CC1CCCC(C)C1,0.68
CC1CCCCC1,0.6808874444444445
CC1CCCCC1C,0.77
CC1CCCCC1O,21.8
CC1CCCO1,0.4731008393333333
CC1CCNC1,0.488464
CC1CN1,0.491
CC1CO1,0.3135
CC1COC(=O)O1,2.5103333333333335
CC1OC(C)OC(C)O1,1.11575
