inchikey,smiles,value,tier,scaffold
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,1.3265,tier1+confirmed,EMPTY_SCAFFOLD
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,1.3362,tier1,EMPTY_SCAFFOLD
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,1.6241,tier1+confirmed,EMPTY_SCAFFOLD
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,1.3495,tier1+confirmed,EMPTY_SCAFFOLD
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,1.382,tier1+confirmed,EMPTY_SCAFFOLD
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,1.3589,tier1+confirmed,EMPTY_SCAFFOLD
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,1.4979,tier1+confirmed,c1ccccc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,1.3704,tier1+confirmed,EMPTY_SCAFFOLD
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,1.4941,tier1+confirmed,c1ccccc1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,1.5491,tier1+confirmed,c1ccccc1
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,1.5434,tier1+confirmed,c1ccccc1
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,1.2861,tier1,EMPTY_SCAFFOLD
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,1.3594,tier1+confirmed,EMPTY_SCAFFOLD
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,1.3837,tier1+confirmed,EMPTY_SCAFFOLD
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,1.3283,tier1+confirmed,EMPTY_SCAFFOLD
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,1.4212,tier1+confirmed,EMPTY_SCAFFOLD
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,1.4421,tier1+confirmed,EMPTY_SCAFFOLD
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,1.356,tier1+confirmed,EMPTY_SCAFFOLD
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,1.4036,tier1+confirmed,C1CCCC1
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,1.4161,tier1+confirmed,EMPTY_SCAFFOLD
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,1.4138,tier1+confirmed,EMPTY_SCAFFOLD
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,1.3764,tier1+confirmed,EMPTY_SCAFFOLD
FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,1.39,tier1+confirmed,EMPTY_SCAFFOLD
CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,1.5029,tier1+confirmed,c1ccccc1
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,1.5229,secondary_tight,c1ccccc1
UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,1.4689,tier1+confirmed,EMPTY_SCAFFOLD
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,1.4313,tier1+confirmed,EMPTY_SCAFFOLD
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,1.4932,tier1+confirmed,c1ccccc1
BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,1.3491,tier1,EMPTY_SCAFFOLD
GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr,1.4187,tier1,EMPTY_SCAFFOLD
HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,1.3652,tier1,EMPTY_SCAFFOLD
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,1.3292,tier1,EMPTY_SCAFFOLD
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,1.3967,tier1+confirmed,EMPTY_SCAFFOLD
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1.3971,tier1+confirmed,EMPTY_SCAFFOLD
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,1.3593,tier1+confirmed,EMPTY_SCAFFOLD
OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,1.3547,tier1+confirmed,EMPTY_SCAFFOLD
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1.408,tier1+confirmed,EMPTY_SCAFFOLD
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,1.3752,tier1+confirmed,EMPTY_SCAFFOLD
VFWCMGCRMGJXDK-UHFFFAOYSA-N,CCCCCl,1.4001,tier1+confirmed,EMPTY_SCAFFOLD
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,1.3723,tier1+confirmed,EMPTY_SCAFFOLD
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,1.3766,tier1+confirmed,EMPTY_SCAFFOLD
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,1.4202,tier1+confirmed,C1COCCO1
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,1.388,tier1+confirmed,EMPTY_SCAFFOLD
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,1.5577,tier1+confirmed,c1ccccc1
XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl,1.475,tier1+confirmed,EMPTY_SCAFFOLD
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,1.4946,tier1+confirmed,c1ccccc1
LYGJENNIWJXYER-UHFFFAOYSA-N,C[N+](=O)[O-],1.3796,tier1+confirmed,EMPTY_SCAFFOLD
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1,1.4889,tier1+confirmed,c1ccccc1
QMMFVYPAHWMCMS-UHFFFAOYSA-N,CSC,1.4323,tier1+confirmed,EMPTY_SCAFFOLD
ROSDSFDQCJNGOL-UHFFFAOYSA-N,CNC,1.3566,tier1,EMPTY_SCAFFOLD
FVSKHRXBFJPNKK-UHFFFAOYSA-N,CCC#N,1.3636,tier1+confirmed,EMPTY_SCAFFOLD
HPNMFZURTQLUMO-UHFFFAOYSA-N,CCNCC,1.3825,tier1+confirmed,EMPTY_SCAFFOLD
NKDDWNXOKDWJAK-UHFFFAOYSA-N,COCOC,1.3504,tier1+confirmed,EMPTY_SCAFFOLD
TZIHFWKZFHZASV-UHFFFAOYSA-N,COC=O,1.3415,tier1+confirmed,EMPTY_SCAFFOLD
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,1.3443,tier1,EMPTY_SCAFFOLD
NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,1.3884,tier1+confirmed,EMPTY_SCAFFOLD
YWAKXRMUMFPDSH-UHFFFAOYSA-N,C=CCCC,1.3684,tier1+confirmed,EMPTY_SCAFFOLD
BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,1.4167,tier1+confirmed,EMPTY_SCAFFOLD
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,1.3851,tier1+disputed,EMPTY_SCAFFOLD
KFNNIILCVOLYIR-UHFFFAOYSA-N,CCCOC=O,1.375,tier1+confirmed,EMPTY_SCAFFOLD
LIKMAJRDDDTEIG-UHFFFAOYSA-N,C=CCCCC,1.385,tier1+confirmed,EMPTY_SCAFFOLD
POLCUAVZOMRGSN-UHFFFAOYSA-N,CCCOCCC,1.378,tier1+confirmed,EMPTY_SCAFFOLD
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,1.3698,tier1+confirmed,EMPTY_SCAFFOLD
SQCZQTSHSZLZIQ-UHFFFAOYSA-N,CCCCCCl,1.4104,tier1+confirmed,EMPTY_SCAFFOLD
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,1.3938,tier1+confirmed,EMPTY_SCAFFOLD
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1,1.5075,tier1+confirmed,c1ccncc1
PFEOZHBOMNWTJB-UHFFFAOYSA-N,CCC(C)CC,1.3739,tier1+confirmed,EMPTY_SCAFFOLD
PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,1.4052,tier1+confirmed,EMPTY_SCAFFOLD
XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,1.3843,tier1+confirmed,EMPTY_SCAFFOLD
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,1.4235,tier1+confirmed,C1CCCCC1
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,1.5956,tier1+confirmed,EMPTY_SCAFFOLD
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,1.3968,tier1+confirmed,EMPTY_SCAFFOLD
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,1.3958,tier1+confirmed,EMPTY_SCAFFOLD
HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,1.4431,tier1+confirmed,EMPTY_SCAFFOLD
HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1,1.4438,tier1+confirmed,C1=CCCCC1
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,1.4276,tier1+confirmed,EMPTY_SCAFFOLD
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,1.4368,tier1+confirmed,EMPTY_SCAFFOLD
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,1.4185,tier1+confirmed,EMPTY_SCAFFOLD
BZLVMXJERCGZMT-UHFFFAOYSA-N,COC(C)(C)C,1.3663,tier1+confirmed,EMPTY_SCAFFOLD
MSXVEPNJUHWQHW-UHFFFAOYSA-N,CCC(C)(C)O,1.4024,tier1+confirmed,EMPTY_SCAFFOLD
DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,1.3918,tier1+confirmed,EMPTY_SCAFFOLD
ODLMAHJVESYWTB-UHFFFAOYSA-N,CCCc1ccccc1,1.4895,tier1+confirmed,c1ccccc1
PPBRXRYQALVLMV-UHFFFAOYSA-N,C=Cc1ccccc1,1.544,tier1+confirmed,c1ccccc1
JMMWKPVZQRWMSS-UHFFFAOYSA-N,CC(=O)OC(C)C,1.375,tier1+confirmed,EMPTY_SCAFFOLD
MCSAJNNLRCFZED-UHFFFAOYSA-N,CC[N+](=O)[O-],1.3897,tier1+confirmed,EMPTY_SCAFFOLD
CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(Cl)=C(Cl)Cl,1.5055,tier1+confirmed,EMPTY_SCAFFOLD
PIICEJLVQHRZGT-UHFFFAOYSA-N,NCCN,1.455765,secondary_tight,EMPTY_SCAFFOLD
QQONPFPTGQHPMA-UHFFFAOYSA-N,C=CC,1.0009,tier1,EMPTY_SCAFFOLD
