inchikey,smiles,value,tier,scaffold
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,737.038889,tier1,EMPTY_SCAFFOLD
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,905.372222,tier1,EMPTY_SCAFFOLD
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,363.15,tier1,EMPTY_SCAFFOLD
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,453.15,tier1,EMPTY_SCAFFOLD
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,774.816667,tier1,EMPTY_SCAFFOLD
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,774.816667,tier1,EMPTY_SCAFFOLD
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,835.372222,tier1,c1ccccc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,699.816667,tier1,EMPTY_SCAFFOLD
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,753.705556,tier1,c1ccccc1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,920.927778,tier1,c1ccccc1
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,919.816667,tier1,c1ccccc1
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,723.15,tier1,EMPTY_SCAFFOLD
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,695.927778,tier1,EMPTY_SCAFFOLD
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,644.261111,tier1,EMPTY_SCAFFOLD
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,458.15,tier1,EMPTY_SCAFFOLD
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,935.372222,tier1,EMPTY_SCAFFOLD
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,685.927778,tier1,EMPTY_SCAFFOLD
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,810.927778,tier1,EMPTY_SCAFFOLD
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,634.261111,tier1,C1CCCC1
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,558.15,tier1,EMPTY_SCAFFOLD
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,730.927778,tier1,EMPTY_SCAFFOLD
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,788.705556,tier1,EMPTY_SCAFFOLD
FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,725.372222,tier1,EMPTY_SCAFFOLD
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,843.15,tier1,EMPTY_SCAFFOLD
CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,737.038889,tier1,c1ccccc1
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,910.927778,tier1,c1ccccc1
UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,744.261111,tier1,EMPTY_SCAFFOLD
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,810.372222,tier1,EMPTY_SCAFFOLD
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,802.038889,tier1,c1ccccc1
BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,703.15,tier1,EMPTY_SCAFFOLD
GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr,810.372222,tier1,EMPTY_SCAFFOLD
HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,792.038889,tier1,EMPTY_SCAFFOLD
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,689.261111,tier1,EMPTY_SCAFFOLD
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,585.372222,tier1,EMPTY_SCAFFOLD
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,616.483333,tier1,EMPTY_SCAFFOLD
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,480.372222,tier1,EMPTY_SCAFFOLD
OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,533.15,tier1,EMPTY_SCAFFOLD
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,573.15,tier1,EMPTY_SCAFFOLD
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,672.038889,tier1,EMPTY_SCAFFOLD
VFWCMGCRMGJXDK-UHFFFAOYSA-N,CCCCCl,733.15,tier1,EMPTY_SCAFFOLD
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,507.038889,tier1,EMPTY_SCAFFOLD
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,503.15,tier1,EMPTY_SCAFFOLD
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,453.15,tier1,C1COCCO1
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,725.372222,tier1,EMPTY_SCAFFOLD
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,838.15,tier1,c1ccccc1
XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl,683.15,tier1,EMPTY_SCAFFOLD
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,800.927778,tier1,c1ccccc1
LYGJENNIWJXYER-UHFFFAOYSA-N,C[N+](=O)[O-],652.038889,tier1,EMPTY_SCAFFOLD
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1,697.038889,tier1,c1ccccc1
QMMFVYPAHWMCMS-UHFFFAOYSA-N,CSC,479.261111,tier1,EMPTY_SCAFFOLD
