inchikey,smiles,value,tier,scaffold
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,2.6332,tier1+confirmed,EMPTY_SCAFFOLD
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,33.0,tier1+disputed,EMPTY_SCAFFOLD
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,10.0,tier1+disputed,EMPTY_SCAFFOLD
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,4.22085,tier1+confirmed,EMPTY_SCAFFOLD
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,8.93,tier1+confirmed,EMPTY_SCAFFOLD
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,24.471,tier1+disputed,EMPTY_SCAFFOLD
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,6.68,tier1+confirmed,EMPTY_SCAFFOLD
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,2.27805,tier1+confirmed,c1ccccc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,6.0817,tier1+confirmed,EMPTY_SCAFFOLD
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,2.3837,tier1+confirmed,c1ccccc1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,10.11,tier1+disputed,c1ccccc1
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,4.96,tier1+confirmed,c1ccccc1
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,1.65945,tier1+confirmed,EMPTY_SCAFFOLD
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,24.8,tier1+confirmed,EMPTY_SCAFFOLD
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,20.62,tier1+confirmed,EMPTY_SCAFFOLD
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,21.1,tier1+confirmed,EMPTY_SCAFFOLD
