inchikey,smiles,value,tier,scaffold
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,1.513217,secondary_tight,EMPTY_SCAFFOLD
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,-0.912431,secondary_tight,EMPTY_SCAFFOLD
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,-1.559422,secondary_tight,EMPTY_SCAFFOLD
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,-0.089175,secondary_tight,EMPTY_SCAFFOLD
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,-0.321009,secondary_tight,EMPTY_SCAFFOLD
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,0.473976,secondary_tight,EMPTY_SCAFFOLD
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,-1.641118,secondary_tight,c1ccccc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,-0.033186,secondary_tight,EMPTY_SCAFFOLD
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,-2.214354,secondary_tight,c1ccccc1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,-3.032693,secondary_tight,c1ccccc1
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,-3.068114,secondary_tight,c1ccccc1
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,-2.843085,secondary_tight,EMPTY_SCAFFOLD
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,0.62,secondary_tight,EMPTY_SCAFFOLD
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,1.356085,secondary_tight,EMPTY_SCAFFOLD
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,-0.629504,secondary_tight,EMPTY_SCAFFOLD
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,-1.07125,secondary_tight,EMPTY_SCAFFOLD
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,1.235991,secondary_tight,EMPTY_SCAFFOLD
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,-2.639732,secondary_tight,C1CCCC1
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,-1.335273,secondary_tight,EMPTY_SCAFFOLD
