inchikey,smiles,value,tier,scaffold
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,9.627,tier1,EMPTY_SCAFFOLD
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,10.947,tier1,EMPTY_SCAFFOLD
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,9.915,tier1,EMPTY_SCAFFOLD
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,7.565,tier1,EMPTY_SCAFFOLD
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,6.29,tier1,EMPTY_SCAFFOLD
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,7.959,tier1,EMPTY_SCAFFOLD
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,7.569,tier1,c1ccccc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,7.603,tier1,EMPTY_SCAFFOLD
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,7.122,tier1,c1ccccc1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,7.344,tier1,c1ccccc1
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,7.29,tier1,c1ccccc1
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,8.261,tier1,EMPTY_SCAFFOLD
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,8.92,tier1,EMPTY_SCAFFOLD
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,7.587,tier1,EMPTY_SCAFFOLD
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,8.648,tier1,EMPTY_SCAFFOLD
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,10.316,tier1,EMPTY_SCAFFOLD
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,7.664,tier1,C1CCCC1
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,7.199,tier1,EMPTY_SCAFFOLD
FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,6.554,tier1,EMPTY_SCAFFOLD
CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,5.851,tier1,c1ccccc1
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,5.509,tier1,c1ccccc1
BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,8.997,tier1,EMPTY_SCAFFOLD
GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr,13.262,tier1,EMPTY_SCAFFOLD
HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,9.722,tier1,EMPTY_SCAFFOLD
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,7.533,tier1,EMPTY_SCAFFOLD
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,7.691,tier1,EMPTY_SCAFFOLD
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,6.989,tier1,EMPTY_SCAFFOLD
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,5.594,tier1,c1ccccc1
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1,6.04,tier1,c1ccccc1
ROSDSFDQCJNGOL-UHFFFAOYSA-N,CNC,7.694,tier1,EMPTY_SCAFFOLD
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,7.813,tier1,EMPTY_SCAFFOLD
BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,5.969,tier1,EMPTY_SCAFFOLD
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,7.127,tier1,EMPTY_SCAFFOLD
PFEOZHBOMNWTJB-UHFFFAOYSA-N,CCC(C)CC,6.603,tier1,EMPTY_SCAFFOLD
XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,7.359,tier1,EMPTY_SCAFFOLD
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,8.142,tier1,EMPTY_SCAFFOLD
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,6.911,tier1,EMPTY_SCAFFOLD
HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,10.225,tier1,EMPTY_SCAFFOLD
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,7.38,tier1,EMPTY_SCAFFOLD
PPBRXRYQALVLMV-UHFFFAOYSA-N,C=Cc1ccccc1,6.17,tier1,c1ccccc1
CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(Cl)=C(Cl)Cl,8.535,tier1,EMPTY_SCAFFOLD
