smiles,mean,std,n
B#B,829.69,0.0,1
B#N,476.98,0.0,1
B1NBNBN1,-510.03,0.0,1
B=O,-198.32,0.0,1
BI,305.43,0.0,1
Br,-36.365,0.1061,2
BrB(Br)Br,-204.18,0.0,1
BrB=O,-251.04,0.0,1
BrBr,30.91,0.0,2
BrC#C,269.0,0.0,1
BrC#N,185.895,0.4172,2
BrC(=O)c1ccccc1,-48.5,0.0,1
BrC(Br)(Br)C(Br)(Br)Br,133.0,0.0,1
BrC(Br)=O,-113.5,0.0,1
BrC(Br)Br,55.4,0.0,1
BrC1CCCC1,9.83,0.0,1
BrC1CCCCC1Br,-109.9,0.0,1
BrC=C,79.2,0.0,1
BrCC=C,46.65,1.4849,2
BrCCCCBr,-85.98,0.0,1
BrCc1ccccc1,84.0,0.0,1
BrI,40.88,0.0,1
BrN=O,82.13,0.0,1
BrP(Br)Br,-146.02,0.0,1
Br[SiH2]Br,-190.37,0.0,1
Br[SiH](Br)Br,-302.92,0.0,1
Br[Si](Br)(Br)Br,-415.47,0.0,1
Brc1ccc2ccccc2c1,175.6,0.0,1
Brc1cccc2ccccc12,174.3,0.0,1
C#C,226.9433,0.3958,3
C#CC#C,464.0,0.0,1
C#CC#N,354.0,0.0,1
C#CC1(CC1)C#C,538.5,0.0,1
C#CC1CC1,292.0,0.0,1
C#C\C=C/C#C,541.8,0.0,1
C#C\C=C\C#C,538.1,0.0,1
C#Cc1ccccc1,306.6,0.0,1
C#N,135.14,0.0,1
C(Cc1ccccc1)c2ccccc2,132.3,4.6669,2
C(OCc1ccccc1)C2CO2,-138.0,0.0,1
C(SCc1ccccc1)c2ccccc2,193.0,0.0,1
C([Se][Se]Cc1ccccc1)c2ccccc2,301.0,0.0,1
C(c1ccccc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,365.0,0.0,1
C(c1ccccc1)c2ccccc2,162.175,3.9144,4
C/1=C/C=C/C=C/C=C\C=C/C=C/C=C\C=C\C=C1,280.0,0.0,1
C/1=C/C=C\C/2=C(/C=C1)/C=C\C=C/C=C2,551.5,0.0,1
C/1=C/C=C\C2=C(/C=C1)C=C2,514.2,0.0,1
C/1=C/C=C\C=C/C=C1,297.6,0.0,1
C/C(O)=C/C(C)=O,-385.3,0.0,1
C12C3C4C1C5C2C3C45,597.1,0.0,1
C1=CC2=CC3=CC=CC=C4C=C(C=C1)C2C34,466.1,0.0,1
C1=CC2C3C=CC1C=CC23,334.1,0.0,1
C1=CC2C=CC3C=CC1C23,224.0,0.0,1
C1=Cc2ccc3C=Cc4ccc1c2c34,408.6,0.0,1
C1C2/C=C\C=C/C=C\C12,372.0,0.0,1
C1C2=C1C2,544.0,0.0,1
C1C2C1C3C4C(C5CC5C46CC6)C2C37CC7,384.3,0.0,1
C1C2C1C3C4C2C34,370.0,0.0,1
C1C2C1C3C=CC23,383.9,0.0,1
C1C2C3CC4C1C4C23,180.0,0.0,2
C1C2C=CC12,333.0,0.0,1
C1C2C=CC1C=C2,240.0,0.0,1
C1C2C=CC=CC1C=CC=C2,261.0,0.0,1
C1C2C=Cc3ccccc3C12,238.0,0.0,1
C1C2CC12,217.0,0.0,1
C1C2CC1C=C2,251.0,0.0,1
C1C2CC2C3CC13,149.0,0.0,1
C1C2CC3C1C3C2,80.0,0.0,1
C1C2CC3C4CC(C5CC45)C3C12,185.5,0.0,1
C1C2CC3CC1CC(C2)C3,-134.72,3.8739,5
C1C2CC3CC1OC(O2)O3,-499.2,0.0,1
C1C=CC2C=CC12,264.0,0.0,1
C1C=CC2CC12,158.0,0.0,1
C1C=CC2CC1C=C2,158.5,0.7071,2
C1C=CC=C1,136.2,3.9598,2
C1C=CC=CC=C1,187.0,0.0,1
C1C=CCC=C1,104.7167,4.3001,3
C1C=CC[C@@H]2C=CC[C@H]12,109.2,0.0,1
C1C=CC[C@@H]2C[C@H]12,120.0,0.0,1
C1C=CC[C@H]2C[C@H]12,232.0,0.0,1
C1C=Cc2ccccc12,161.2,0.0,1
C1CC/C=C\C=C/C1,84.1,0.0,1
C1CC1,46.3,9.8995,2
C1CC12C3(CC3)C24CC4,423.6,0.0,1
C1CC12C=CC3(CC3)C=C2,303.0,0.0,1
C1CC12C=CC=C2,238.0,0.0,1
C1CC12CC2,185.1,0.0,1
C1CC12CC23CC3,302.8,0.0,1
C1CC12CC23CC34CC4,429.9,0.0,1
C1CC12CC23CC34CC45CC5,544.0,0.0,1
C1CC1C#CC#CC2CC2,561.8,0.0,1
C1CC1C(C2CC2)(C3CC3)C(C4CC4)(C5CC5)C6CC6,466.5,0.0,1
C1CC1C2CC2,130.0,0.0,1
C1CC1c2ccccc2,150.55,0.2121,2
C1CC2(CCC2(C1)c3ccccc3)c4ccccc4,215.0,0.0,1
C1CC23C=CC=CC12C=CC=C3,378.3,0.0,1
C1CC23CC2(C1)C=CC=C3,190.0,0.0,1
C1CC23CC=CCC12C=CC=C3,276.3,0.4243,2
C1CC23CC=CCC2(C1)C3,95.8,0.0,1
C1CC23CCC2(C1)C3,152.0,0.0,1
C1CC23CCC=CC2(C1)C3,96.7,0.0,1
C1CC2=C(C1)CC2,173.0,0.0,1
C1CC2=C1C34CCC23C4,240.0,0.0,1
C1CC2=C1CC2,304.0,0.0,1
C1CC2C(C1)C3=C2CCC3,155.0,0.0,1
C1CC2C1C23CC3,288.0,0.0,1
C1CC2C3C(C1)C23,191.0,0.0,1
C1CC2C3CC1C23,168.0,0.0,1
C1CC2C3CCC(C3)C2C1,-60.2,0.0,1
C1CC2C=CC2C1,139.7,0.0,1
C1CC2C=CC3CCC1C23,13.0,0.0,1
C1CC2C=CC=CC12,186.25,4.1719,2
C1CC2CC12,158.0,0.0,1
C1CC2CC1C3CC4CC4C23,59.0,0.0,1
C1CC2CC1C3OC23,-53.9,0.0,1
C1CC2CC1C=C2,90.0,0.0,1
C1CC2CC1N=N2,196.0,0.0,1
C1CC2CC1[C@@H]3O[C@H]23,-53.9,0.0,1
C1CC2CC2C1,39.0,0.0,1
C1CC2CC2C=C1,119.0,0.0,1
C1CC2CC=CC(C1)C2,-49.1,0.0,1
C1CC2CC=CCC1C2,3.6,0.0,1
C1CC2CCC(C1)C=C2,-3.5,0.0,1
C1CC2CCC(C1)O2,27.0,0.0,1
C1CC2CCC12,125.0,0.0,1
C1CC2CCC1C2,-53.4,1.6186,4
C1CC2CCC1C3CCC2C=C3,33.0,0.0,1
C1CC2CCC1C=C2,23.2,3.9598,2
C1CC2CCC1CC2,-99.04,0.0,1
C1CC2CCC1CCC3CCC(CC2)CC3,-152.0,0.0,1
C1CC2CCC1CNC2,-43.68,0.0,1
C1CC2CCC1COC2,-222.6,0.0,1
C1CC2CCC2=C1,167.0,0.0,1
C1CC2CCC3CCC1C23,-102.3,0.0,1
C1CC2CCC=C(C1)C2,31.0,0.0,1
C1CC2CCCC(C1)C2,-128.0,0.0,1
C1CC2CCCC(C1)CC2,-106.0,0.0,1
C1CC2CCCC(C1)CCC2,-89.0,0.0,1
C1CC2CCCN2C1,-3.9,0.0,1
C1CC2C\C=C/CC1C=C2,117.0,0.0,1
C1CC2OC2C1,-97.1,0.0,1
C1CC=C1,157.0,0.0,1
C1CC=C2CCC(C1)C2,73.6,0.0,1
C1CC=C2CCC2=C1,222.0,0.0,1
C1CC=CC1,33.95,1.4821,4
